Family	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost	All
Streptococcaceae	12.5	17.9	19.7	3.39	9.09	13.4	14.5	16.7	18.3	13	13.6	12.5	12.7	11.1	8.82	16.1	10.8	8.06	2.1
Peptostreptococcaceae	0	0	0	5.08	5.45	4.48	0	1.67	0	3.7	1.69	0	0	1.59	1.47	0	0	0	1.7
Atopobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
Campylobacteraceae	1.56	0	0	0	1.82	0	0	0	5	0	0	1.79	3.17	0	0	0	0	0	1.0
Micrococcaceae	3.13	0	0	3.39	0	0	3.23	1.67	3.33	3.7	0	1.79	0	1.59	0	3.23	0	1.61	0.9
Lactobacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Eubacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Bacteroidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Moraxellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Propionibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Cardiobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Burkholderiaceae	3.13	1.49	0	0	1.82	0	3.23	1.67	0	3.7	0	0	0	1.59	0	1.61	3.08	3.23	0.6
Synergistaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Corynebacteriaceae	0	0	0	1.69	0	0	0	0	0	1.85	0	0	0	0	0	0	1.54	0	0.5
Bifidobacteriaceae	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0.5
Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47	0	0	0	0.5
Peptococcaceae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Bacillales_Incertae_Sedis_XI	0	0	0	0	1.82	0	0	1.67	0	0	0	0	0	1.59	0	0	0	0	0.4
Weeksellaceae	0	0	0	0	0	4.48	0	0	0	0	0	0	1.59	0	0	0	0	0	0.4
Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Erysipelotrichaceae	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Peptoniphilaceae	0	2.99	0	1.69	1.82	2.99	0	1.67	0	0	0	0	0	1.59	0	0	1.54	0	0.3
Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Metamycoplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Carnobacteriaceae	0	0	1.64	0	0	0	1.61	0	0	0	0	0	0	1.59	0	1.61	0	0	0.3
Vibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Tissierellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Vallitaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Piscirickettsiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Enterococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Clostridiaceae_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Clostridiales_Incertae_Sedis_XIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Saprospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Marinilabiliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Williamwhitmaniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Rhodocyclaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sphingobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfobulbaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Cytophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Erwiniaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Dysgonomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Chitinophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Alteromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Alcanivoracaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Bacillales_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Erythrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Morganellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Methylophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Prolixibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Paludibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Listeriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Helicobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Halieaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Acholeplasmataceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Hydrogenophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
