med	pre	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	-0.000970675844346494	-2.9645378247788e-05	-0.00051779601545921	1.30713978401475
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae	-0.00166620933397594	0.000562980168736235	-0.000525197334551716	1.03645243484793
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae	-0.00062647585145435	-0.000405040134687246	-0.000526705627623837	0.619994980763384
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	-0.0010550312502927	-7.25256121085632e-05	-0.000531882678949808	0.773159598646055
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	-0.00102283172299482	-1.924114532561e-05	-0.000540347337159845	1.20118673632318
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	-0.000398456596489405	-0.000828544858932689	-0.000617088250401486	0.812491036526852
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae	-0.000750686535031516	-0.000669007483460643	-0.000715025761905482	0.538852988273978
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae	-0.00119536011684877	-0.000248940927667613	-0.000743707250744214	1.16236842521536
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	0.000249362411005901	-0.00161321097181651	-0.000772636499299096	1.06183484755761
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae	4.15020288054341e-05	-0.00157237495702371	-0.000824436368478354	1.04526770761232
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	-0.0024354705787949	0.00057409757914346	-0.000856799176459787	1.41183326992802
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	-0.000473744993688368	-0.0013117656128898	-0.000893029764905548	1.4532923313121
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned	-0.0018170951722911	-7.27625063857959e-05	-0.000932082111335355	1.00068110402488
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae	-0.000988054435604368	-0.00108305961264717	-0.00105963591681858	1.00191499332113
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	-0.000764212450495896	-0.00151054632203386	-0.00108657925893689	1.18260500965512
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	-0.000311451525087434	-0.00195983357969503	-0.0012107829652183	1.07785201674509
