D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales|Metamycoplasmataceae|Metamycoplasma	-0.000366666666666667	0.000157575757575758	5.14705882352941e-05	0.0509214484014794
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga	-0.000583333333333333	0.000215018315018315	5.05952380952381e-05	0.0385532271952801
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax	0	5.88235294117647e-05	5e-05	0.00773095238095238
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera	0.000583333333333333	-0.000226287601287601	4.88595168161732e-05	0.0659827446172768
Bacteria|SR1|Unassigned|Unassigned|Unassigned|SR1_genera_incertae_sedis	-0.000942857142857143	0.000314285714285714	4.62719298245614e-05	0.0744991165267624
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	0.000488095238095238	9.39748976513683e-05	4.51399520671967e-05	0.150158538149183
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia	-0.000283333333333333	6.50316187080893e-05	3.30753353973168e-05	0.120579697343312
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	0.000416666666666667	-4.05372405372405e-05	2.92186571598336e-05	0.0766809168311572
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus	-5e-05	2.22222222222222e-05	2.7421494913755e-05	0.0311473748473748
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales|Rhodocyclaceae|Propionivibrio	0.000333333333333333	-8.32722832722833e-05	2.68584356819651e-05	0.0295004414001955
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas	-0.000333333333333333	8.20378151260504e-05	2.13000449842555e-05	0.0272875492990988
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	-0.00203333333333333	0.000431514727102962	2.03513591671486e-05	0.0804134473446176
