module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
KOmodel_39-OEmodel_22	KOmodel_39	OEmodel_22	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_1-OEmodel_33	KOmodel_1	OEmodel_33	1	7	2	499	0.0465041176998805	0.0465041176998805
KOmodel_60-OEmodel_33	KOmodel_60	OEmodel_33	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_44-OEmodel_33	KOmodel_44	OEmodel_33	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_47-OEmodel_37	KOmodel_47	OEmodel_37	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_42-OEmodel_35	KOmodel_42	OEmodel_35	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_10-OEmodel_49	KOmodel_10	OEmodel_49	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_31-OEmodel_49	KOmodel_31	OEmodel_49	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_5-OEmodel_46	KOmodel_5	OEmodel_46	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_13-OEmodel_34	KOmodel_13	OEmodel_34	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_7-OEmodel_41	KOmodel_7	OEmodel_41	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_3-OEmodel_41	KOmodel_3	OEmodel_41	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_43-OEmodel_41	KOmodel_43	OEmodel_41	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_15-OEmodel_44	KOmodel_15	OEmodel_44	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_5-OEmodel_57	KOmodel_5	OEmodel_57	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_1-OEmodel_32	KOmodel_1	OEmodel_32	1	7	2	499	0.0465041176998805	0.0465041176998805
KOmodel_18-OEmodel_32	KOmodel_18	OEmodel_32	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_19-OEmodel_32	KOmodel_19	OEmodel_32	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_39-OEmodel_48	KOmodel_39	OEmodel_48	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_27-OEmodel_30	KOmodel_27	OEmodel_30	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_26-OEmodel_30	KOmodel_26	OEmodel_30	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_19-OEmodel_25	KOmodel_19	OEmodel_25	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_41-OEmodel_25	KOmodel_41	OEmodel_25	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_12-OEmodel_58	KOmodel_12	OEmodel_58	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_25-OEmodel_58	KOmodel_25	OEmodel_58	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_6-OEmodel_23	KOmodel_6	OEmodel_23	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_62-OEmodel_11	KOmodel_62	OEmodel_1	1	2	6	500	0.0407716775257314	0.0407716775257314
KOmodel_34-OEmodel_11	KOmodel_34	OEmodel_1	1	2	6	500	0.0407716775257314	0.0407716775257314
KOmodel_22-OEmodel_41	KOmodel_22	OEmodel_4	1	3	5	500	0.0464588019672787	0.0464588019672787
KOmodel_26-OEmodel_81	KOmodel_26	OEmodel_8	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_17-OEmodel_101	KOmodel_17	OEmodel_10	1	4	4	500	0.0483470023594227	0.0483470023594227
KOmodel_22-OEmodel_91	KOmodel_22	OEmodel_9	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_30-OEmodel_91	KOmodel_30	OEmodel_9	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_23-OEmodel_71	KOmodel_23	OEmodel_7	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_31-OEmodel_71	KOmodel_31	OEmodel_7	1	3	4	501	0.0388304723830171	0.0388304723830171
KOmodel_38-OEmodel_71	KOmodel_38	OEmodel_7	1	2	4	502	0.0292379621273585	0.0292379621273585
KOmodel_58-OEmodel_121	KOmodel_58	OEmodel_12	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_56-OEmodel_121	KOmodel_56	OEmodel_12	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_8-OEmodel_181	KOmodel_8	OEmodel_18	1	5	3	500	0.0464588019672786	0.0464588019672786
KOmodel_55-OEmodel_181	KOmodel_55	OEmodel_18	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_35-OEmodel_181	KOmodel_35	OEmodel_18	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_10-OEmodel_171	KOmodel_10	OEmodel_17	1	4	3	501	0.0388304723830167	0.0388304723830167
KOmodel_62-OEmodel_171	KOmodel_62	OEmodel_17	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_2-OEmodel_161	KOmodel_2	OEmodel_16	2	5	2	500	0.000961806434902122	0.000961806434902122
KOmodel_48-OEmodel_111	KOmodel_48	OEmodel_11	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_33-OEmodel_111	KOmodel_33	OEmodel_11	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_47-OEmodel_141	KOmodel_47	OEmodel_14	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_13-OEmodel_151	KOmodel_13	OEmodel_15	1	4	3	501	0.0388304723830167	0.0388304723830167
KOmodel_4-OEmodel_131	KOmodel_4	OEmodel_13	1	5	3	500	0.0464588019672786	0.0464588019672786
