Proportion.removed	remain.mean	remain.sd	remain.se	weighted	Group
1	0.05	0.54172131147541	0.0109003254019595	0.00109003254019595	weighted	KO
2	0.1	0.503606557377049	0.0168734351983979	0.00168734351983979	weighted	KO
3	0.15	0.469535519125683	0.0206932017622983	0.00206932017622983	weighted	KO
4	0.2	0.431311475409836	0.0225306987698003	0.00225306987698003	weighted	KO
5	0.25	0.399371584699454	0.0208083225506361	0.00208083225506361	weighted	KO
6	0.3	0.355874316939891	0.0201504194014174	0.00201504194014174	weighted	KO
7	0.35	0.319972677595628	0.0219367644460497	0.00219367644460497	weighted	KO
8	0.4	0.287377049180328	0.0220104930837816	0.00220104930837816	weighted	KO
9	0.45	0.252295081967213	0.0215144538017997	0.00215144538017997	weighted	KO
10	0.5	0.214071038251366	0.0184427507206931	0.00184427507206931	weighted	KO
11	0.55	0.183688524590164	0.0198695993016936	0.00198695993016936	weighted	KO
12	0.6	0.152486338797814	0.0165841195135239	0.00165841195135239	weighted	KO
13	0.65	0.125546448087432	0.019058045976869	0.0019058045976869	weighted	KO
14	0.7	0.0954644808743169	0.0151295653201038	0.00151295653201038	weighted	KO
15	0.75	0.0694262295081967	0.0144372761334497	0.00144372761334497	weighted	KO
16	0.8	0.0478142076502732	0.0106529421168251	0.00106529421168251	weighted	KO
17	0.85	0.0294535519125683	0.0095011771606472	0.00095011771606472	weighted	KO
18	0.9	0.0144535519125683	0.00788533864162388	0.000788533864162388	weighted	KO
19	0.95	0.00284153005464481	0.00408998057709635	0.000408998057709635	weighted	KO
20	1	0	0	0	weighted	KO
21	0.05	0.498907103825137	0.0138121592787824	0.00138121592787824	unweighted	KO
22	0.1	0.461366120218579	0.0188697500766426	0.00188697500766426	unweighted	KO
23	0.15	0.427568306010929	0.0215574331903153	0.00215574331903153	unweighted	KO
24	0.2	0.390300546448087	0.0250274664217475	0.00250274664217475	unweighted	KO
25	0.25	0.35516393442623	0.0256674211544995	0.00256674211544995	unweighted	KO
26	0.3	0.328551912568306	0.0243865494461312	0.00243865494461312	unweighted	KO
27	0.35	0.290792349726776	0.0253057580129928	0.00253057580129928	unweighted	KO
28	0.4	0.262267759562842	0.0212012034661352	0.00212012034661352	unweighted	KO
29	0.45	0.225300546448087	0.0220003501252016	0.00220003501252016	unweighted	KO
30	0.5	0.199644808743169	0.0246690149001592	0.00246690149001592	unweighted	KO
31	0.55	0.165737704918033	0.0216507123697134	0.00216507123697134	unweighted	KO
32	0.6	0.140081967213115	0.0188610965331476	0.00188610965331476	unweighted	KO
33	0.65	0.115191256830601	0.0150039459499624	0.00150039459499624	unweighted	KO
34	0.7	0.0889617486338798	0.0159046559128817	0.00159046559128817	unweighted	KO
35	0.75	0.0636885245901639	0.0138377671953456	0.00138377671953456	unweighted	KO
36	0.8	0.0415573770491803	0.0112639436469767	0.00112639436469767	unweighted	KO
37	0.85	0.0287978142076503	0.0100251372312029	0.00100251372312029	unweighted	KO
38	0.9	0.0139890710382514	0.00740179511713608	0.000740179511713608	unweighted	KO
39	0.95	0.00284153005464481	0.00368251448886707	0.000368251448886707	unweighted	KO
40	1	0	0	0	unweighted	KO
41	0.05	0.627092391304348	0.0107859030514906	0.00107859030514906	weighted	OE
42	0.1	0.580815217391304	0.0142572892757665	0.00142572892757665	weighted	OE
43	0.15	0.530652173913044	0.0158170858470654	0.00158170858470654	weighted	OE
44	0.2	0.487092391304348	0.0193285494056031	0.00193285494056031	weighted	OE
45	0.25	0.437934782608696	0.0189636952417239	0.00189636952417239	weighted	OE
46	0.3	0.394592391304348	0.0208933766989834	0.00208933766989834	weighted	OE
47	0.35	0.351657608695652	0.0213691863256304	0.00213691863256304	weighted	OE
48	0.4	0.30991847826087	0.0204607916631821	0.00204607916631821	weighted	OE
49	0.45	0.270217391304348	0.0201557479873603	0.00201557479873603	weighted	OE
50	0.5	0.232309782608696	0.0199181579021727	0.00199181579021726	weighted	OE
51	0.55	0.195570652173913	0.0193828073611813	0.00193828073611813	weighted	OE
52	0.6	0.157173913043478	0.0167899078131075	0.00167899078131075	weighted	OE
53	0.65	0.126739130434783	0.0152232719674357	0.00152232719674357	weighted	OE
54	0.7	0.0949184782608696	0.0153731238181536	0.00153731238181536	weighted	OE
55	0.75	0.0695380434782609	0.0145446154990918	0.00145446154990918	weighted	OE
56	0.8	0.0489130434782609	0.0126576103574056	0.00126576103574056	weighted	OE
57	0.85	0.026875	0.0100857531571925	0.00100857531571925	weighted	OE
58	0.9	0.0130434782608696	0.00738907584788358	0.000738907584788358	weighted	OE
59	0.95	0.00301630434782609	0.00380189628646177	0.000380189628646177	weighted	OE
60	1	0	0	0	weighted	OE
