ID	group	Group
168	ASV_260	KOmodel_58	KO
169	ASV_440	KOmodel_57	KO
170	ASV_767	KOmodel_57	KO
171	ASV_60	KOmodel_56	KO
172	ASV_143	KOmodel_56	KO
173	ASV_607	KOmodel_55	KO
174	ASV_92	KOmodel_55	KO
175	ASV_400	KOmodel_52	KO
176	ASV_644	KOmodel_52	KO
177	ASV_75	KOmodel_53	KO
178	ASV_277	KOmodel_53	KO
179	ASV_151	KOmodel_60	KO
180	ASV_342	KOmodel_60	KO
181	ASV_155	KOmodel_48	KO
182	ASV_84	KOmodel_48	KO
183	ASV_18	KOmodel_47	KO
184	ASV_29	KOmodel_47	KO
185	ASV_157	KOmodel_46	KO
186	ASV_494	KOmodel_46	KO
187	ASV_146	KOmodel_50	KO
188	ASV_268	KOmodel_50	KO
189	ASV_412	KOmodel_36	KO
190	ASV_68	KOmodel_36	KO
191	ASV_611	KOmodel_54	KO
192	ASV_411	KOmodel_54	KO
193	ASV_103	KOmodel_40	KO
194	ASV_65	KOmodel_40	KO
195	ASV_148	KOmodel_37	KO
196	ASV_186	KOmodel_37	KO
197	ASV_229	KOmodel_43	KO
198	ASV_393	KOmodel_43	KO
199	ASV_203	KOmodel_44	KO
200	ASV_133	KOmodel_44	KO
201	ASV_76	KOmodel_45	KO
202	ASV_281	KOmodel_45	KO
203	ASV_474	KOmodel_51	KO
204	ASV_194	KOmodel_51	KO
205	ASV_88	KOmodel_49	KO
206	ASV_556	KOmodel_49	KO
207	ASV_77	KOmodel_41	KO
208	ASV_271	KOmodel_41	KO
209	ASV_381	KOmodel_35	KO
210	ASV_507	KOmodel_35	KO
211	ASV_286	KOmodel_34	KO
212	ASV_112	KOmodel_34	KO
213	ASV_361	KOmodel_33	KO
214	ASV_387	KOmodel_33	KO
215	ASV_221	KOmodel_38	KO
216	ASV_376	KOmodel_38	KO
217	ASV_350	KOmodel_42	KO
218	ASV_237	KOmodel_62	KO
219	ASV_44	KOmodel_61	KO
220	ASV_324	KOmodel_39	KO
221	ASV_111	KOmodel_59	KO
222	ASV_3	KOmodel_58	KO
223	ASV_17	KOmodel_57	KO
224	ASV_39	KOmodel_56	KO
225	ASV_166	KOmodel_55	KO
226	ASV_421	KOmodel_52	KO
227	ASV_61	KOmodel_53	KO
228	ASV_506	KOmodel_60	KO
229	ASV_258	KOmodel_48	KO
230	ASV_345	KOmodel_47	KO
231	ASV_490	KOmodel_46	KO
232	ASV_495	KOmodel_50	KO
233	ASV_388	KOmodel_36	KO
234	ASV_441	KOmodel_54	KO
235	ASV_394	KOmodel_40	KO
236	ASV_10	KOmodel_37	KO
237	ASV_15	KOmodel_43	KO
238	ASV_278	KOmodel_44	KO
239	ASV_282	KOmodel_45	KO
240	ASV_665	KOmodel_51	KO
241	ASV_71	KOmodel_49	KO
242	ASV_33	KOmodel_41	KO
243	ASV_46	KOmodel_35	KO
244	ASV_283	KOmodel_34	KO
245	ASV_265	KOmodel_33	KO
246	ASV_35	KOmodel_38	KO
247	ASV_410	KOmodel_122	KO
248	ASV_188	KOmodel_119	KO
249	ASV_289	KOmodel_118	KO
250	ASV_70	KOmodel_116	KO
251	ASV_486	KOmodel_113	KO
252	ASV_508	KOmodel_111	KO
253	ASV_341	KOmodel_109	KO
254	ASV_259	KOmodel_108	KO
255	ASV_1843	KOmodel_107	KO
256	ASV_301	KOmodel_105	KO
257	ASV_239	KOmodel_104	KO
258	ASV_407	KOmodel_103	KO
259	ASV_731	KOmodel_102	KO
260	ASV_152	KOmodel_101	KO
261	ASV_363	KOmodel_100	KO
262	ASV_185	KOmodel_99	KO
263	ASV_456	KOmodel_98	KO
264	ASV_452	KOmodel_97	KO
265	ASV_439	KOmodel_96	KO
266	ASV_1982	KOmodel_95	KO
267	ASV_405	KOmodel_94	KO
268	ASV_178	KOmodel_121	KO
269	ASV_512	KOmodel_117	KO
270	ASV_386	KOmodel_115	KO
271	ASV_347	KOmodel_112	KO
272	ASV_1234	KOmodel_93	KO
273	ASV_108	KOmodel_92	KO
274	ASV_306	KOmodel_91	KO
275	ASV_34	KOmodel_90	KO
276	ASV_54	KOmodel_89	KO
277	ASV_211	KOmodel_78	KO
278	ASV_23	KOmodel_88	KO
279	ASV_22	KOmodel_87	KO
280	ASV_356	KOmodel_86	KO
281	ASV_367	KOmodel_85	KO
282	ASV_477	KOmodel_84	KO
283	ASV_339	KOmodel_83	KO
284	ASV_207	KOmodel_82	KO
285	ASV_842	KOmodel_81	KO
286	ASV_233	KOmodel_106	KO
287	ASV_222	KOmodel_80	KO
288	ASV_379	KOmodel_79	KO
289	ASV_313	KOmodel_77	KO
290	ASV_130	KOmodel_76	KO
291	ASV_176	KOmodel_110	KO
292	ASV_184	KOmodel_75	KO
293	ASV_170	KOmodel_74	KO
294	ASV_426	KOmodel_73	KO
295	ASV_464	KOmodel_114	KO
296	ASV_295	KOmodel_72	KO
297	ASV_162	KOmodel_71	KO
298	ASV_297	KOmodel_70	KO
299	ASV_252	KOmodel_69	KO
300	ASV_493	KOmodel_68	KO
