Genus	All	D	H	I	All
Vallitalea	0	0	0	0	0.3
Granulicatella	0	0	0	0	0.3
Schwartzia	0	0	0	0	0.3
Raoultella	0	0	0	0	0.3
Lacrimispora	0	0	0	0	0.3
Metamycoplasma	0	0	0	0	0.3
Bacteroides	0	0	0	0	0.3
Arachnia	0	0	0	0	0.3
Eikenella	0	0	0	0	0.3
Chryseobacterium	0	1.96	0	0	0.3
Cetobacterium	0	0	0	0	0.3
Acetoanaerobium	0	0	0	0	0.3
Filifactor	0	1.96	0	0	0.3
Burkholderia	0	0	0	0	0.2
Peptostreptococcus	2.08	1.96	0	0	0.2
Butyrivibrio	0	0	0	0	0.2
Methylophaga	0	0	0	0	0.2
Clostridium_sensu_stricto	0	0	0	0	0.2
Abiotrophia	0	0	0	0	0.2
Vibrio	0	0	0	0	0.2
Phaeodactylibacter	0	0	0	0	0.2
Solobacterium	0	0	0	0	0.2
Shuttleworthia	0	0	0	0	0.2
Stomatobaculum	0	0	0	0	0.2
Staphylococcus	0	0	0	0	0.2
Streptobacillus	0	0	0	0	0.2
Blautia	0	0	0	0	0.2
Saccharicrinis	0	0	0	0	0.2
Roseburia	0	0	0	0	0.2
Lachnospira	0	0	0	0	0.2
Enterococcus	0	0	0	0	0.2
Enterocloster	0	0	0	0	0.2
Aliiroseovarius	0	0	0	0	0.1
Scardovia	0	0	0	0	0.1
Agathobacter	0	0	0	0	0.1
Sneathia	0	0	0	0	0.1
Schnuerera	0	0	0	0	0.1
Alcanivorax	0	0	0	0	0.1
Enterobacter	0	0	0	0	0.1
Romboutsia	0	0	0	0	0.1
Anaerostipes	0	0	0	0	0.1
Aminipila	0	0	0	0	0.1
Altererythrobacter	0	0	0	0	0.1
Alteromonas	0	0	0	0	0.1
Ruminococcus2	0	0	0	0	0.1
Hydrogenophilus	0	0	0	0	0.1
Acholeplasma	0	0	0	0	0.1
Fudania	0	0	0	0	0.1
Syntrophococcus	0	0	0	0	0.1
Actinobaculum	0	0	0	0	0.1
Williamwhitmania	0	0	0	0	0.1
Wolinella	0	0	0	0	0.1
Gemmiger	0	0	0	0	0.1
Fusicatenibacter	0	0	0	0	0.1
Howardella	0	0	0	0	0.1
Stenotrophomonas	0	0	0	0	0.1
Sphingomonas	0	0	0	0	0.1
Sporanaerobacter	0	0	0	0	0.1
Aerococcus	0	0	0	0	0.1
Sulfitobacter	0	0	0	0	0.1
Holdemania	0	0	0	0	0.1
Hespellia	0	0	0	0	0.1
Ralstonia	0	0	0	1.79	0.1
Nioella	0	0	0	0	0.1
