D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera	-0.00025	-0.00051547619047619	-0.000148809523809524	0.091775085999312
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0	-2e-04	-0.000166666666666667	0.0123452380952381
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema	-0.001	-3.33333333333334e-05	-0.000184523809523809	0.0568317991949571
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Ligilactobacillus	0	-0.000325	-0.000242857142857143	0.0127813131313131
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania	-5e-04	-5e-05	-0.000253174603174603	0.0477633571107255
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	5e-04	-0.00041468253968254	-0.000282539682539683	0.077024855708447
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	-0.00116666666666667	-8.88888888888889e-05	-0.000347979797979798	0.0410701127819549
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	-5e-04	-0.000416666666666667	-0.000364285714285714	0.0187076340927734
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Lancefieldella	-0.00208333333333333	2.02380952380952e-05	-0.000368650793650794	0.0782583038478549
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	-5e-04	-0.000302380952380952	-0.000375324675324675	0.0410642912642913
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella	0	-0.000492857142857143	-0.000380555555555556	0.042435826162142
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Unassigned	-0.00133333333333333	-4.76190476190472e-06	-0.000381746031746032	0.0734751572558848
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas	-0.001	-0.000234523809523809	-0.000402777777777778	0.0179098162071846
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Paeniglutamicibacter	0	-0.000633333333333333	-0.000416666666666667	0.0185615134865135
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	-0.00266666666666667	-1.1904761904763e-06	-0.000426190476190476	0.0535309814196811
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister	0	-0.000675	-0.000432936507936508	0.0243800997592019
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	-0.0015	-3e-04	-0.000444444444444444	0.0651340924898974
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	-0.00116666666666667	-0.000194444444444444	-0.000463636363636364	0.0445152607196725
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	-0.000666666666666667	-0.000385714285714286	-0.000494336219336219	0.0804821984259291
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	-0.0015	-0.000201190476190476	-0.000525396825396826	0.0846396772903739
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	0.00125	-0.000929365079365079	-0.000534126984126984	0.16875595358374
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Streptobacillus	-0.0015	-0.000384523809523809	-0.000535714285714286	0.0184521942110177
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium	-0.001	-0.000423015873015873	-0.000556818181818182	0.0684283512668962
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	-0.00183333333333333	-0.000283333333333333	-0.000597222222222222	0.118374486908001
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	-0.000333333333333333	-0.000577380952380952	-0.000601190476190476	0.086475426027361
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	-0.000583333333333333	-0.00071547619047619	-0.000646825396825397	0.119891436702273
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Unassigned	-5e-04	-0.000761904761904762	-0.000736111111111111	0.073984398152587
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae|Methylophilus	-0.002	-0.00044047619047619	-0.000744444444444444	0.033327661399488
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	-0.001	-0.000736111111111111	-0.000749242424242424	0.048171621739114
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	-0.00266666666666667	-0.000543650793650794	-0.000753174603174603	0.117697543486785
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	-5e-04	-0.000725	-0.000782539682539682	0.167260531041026
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	-0.00133333333333333	-0.00055515873015873	-0.000785714285714286	0.0534570703720085
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga	-0.00225	-0.000528968253968254	-0.000821825396825397	0.069334869808554
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Shuttleworthia	-0.002	-0.000619047619047619	-0.000926587301587302	0.0362381185807656
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pseudescherichia	-0.00216666666666667	-0.00070952380952381	-0.000947222222222222	0.0314534878863826
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	-0.00208333333333333	-0.00101547619047619	-0.00116475468975469	0.0727073560598328
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	-0.004	-0.000573809523809524	-0.00118809523809524	0.0897154774190378
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella	-0.002	-0.00119365079365079	-0.00123730158730159	0.0585233247145012
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoanaerobacter	-0.0025	-0.000961904761904762	-0.0013047619047619	0.0911985850750556
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Schwartzia	-0.001	-0.00119444444444444	-0.00133293650793651	0.0852693241399124
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	-0.0055	-0.000601190476190476	-0.0013452380952381	0.0365779604983939
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Catonella	-0.00466666666666667	-0.000521428571428571	-0.00145119047619048	0.0907058512179255
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	-0.00283333333333333	-0.00151071428571429	-0.00159051226551227	0.0472915904958475
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Kingella	-0.00116666666666667	-0.0016797619047619	-0.00162337662337662	0.0951254164823824
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia	-0.00241666666666667	-0.00150793650793651	-0.00168690476190476	0.148614037072319
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium	-0.00366666666666667	-0.00140238095238095	-0.00183412698412698	0.0784319222487179
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	-0.00233333333333333	-0.00197738095238095	-0.00189880952380952	0.187842755060557
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	-0.00383333333333333	-0.00137261904761905	-0.0019031746031746	0.0566027384638066
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	-0.00633333333333333	-0.00101309523809524	-0.00211904761904762	0.133436337166446
Bacteria|SR1|Unassigned|Unassigned|Unassigned|SR1_genera_incertae_sedis	-0.00408333333333333	-0.00247619047619048	-0.00303333333333333	0.163081258292791
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcaceae_incertae_sedis	-0.006	-0.00296071428571429	-0.00337857142857143	0.0940166408926471
