ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_93	0.46	12.06	0.38304433858098	0.604995263740053	NotSig	0.331	0.27	0.019	0.2	0.091	0.066	0.013	0.078	0.002	0	0.002	0.004	0.019	0.006	0.118	0.149	0.088	0.17	0.293	3.777	0.331	0.151	0.269	0.604	0.03	0.292	1.993	0.215	0.1	0.222	0.621	0.162	0.293	0.53	0.007	0.037	0.029	0.03	0.007	0.008	0.096	0.017	0.047	0.006	0.016	0	0.002	0	0.014	0.004	0.107	0.14	0.562	0.179	0.136	0.334	0.331	0.158	0.898	1.157	0.27	0.491	0.421	0.555	0.172	0.103	0.564	0.144	0.795	1.276	0.571	0.838	0.002	0.003
ASV_43	0.318	12.733	0.389579716596102	0.609620112080937	NotSig	0.571	0.478	0.16	0.092	0.349	1.011	0.113	0.117	0.08	0.075	0.109	0.092	0.11	0.107	0.491	0.701	4.42	1.083	2.016	1.755	0.828	0.319	0.747	0.28	0.092	0.698	0.583	0.291	0.14	0.373	0.143	0.288	0.774	0.251	0.157	0.949	0.249	0.199	0.069	0.082	0.389	0.034	0.253	0.391	0.102	0.338	0.15	0.096	0.286	0.055	0.635	0.418	1.107	3.168	0.352	0.331	0.389	0.186	0.399	1.199	0.478	0.207	0.433	0.137	0.321	0.363	0.991	0.102	0.616	0.236	0.758	1.758	0.385	0.025
ASV_27	-0.371	12.073	0.398717662930778	0.616450196782587	NotSig	0.28	0.443	0.431	0.401	0.22	0	1.881	0.201	0.239	0.228	0.135	0.061	0.146	0.33	0.069	0.016	0.051	0.01	0.062	0.032	0.047	0.089	0.061	2.13	0.001	0.21	0.077	0.58	0.156	0.202	0.336	0.061	0.232	0.061	0.473	0.271	1.018	0.229	2.947	1.819	0.009	0.883	0.792	0.168	1.18	0.195	1.221	0.177	0.249	0.216	0.07	0.058	0.022	0.005	0.032	0.016	0.031	0.048	0.058	0.065	0.845	0.027	0.482	0.081	2.039	0.307	0.499	0.048	0.177	0.085	0.167	0.031	0.129	0.575
ASV_152	0.321	11.237	0.401239773053755	0.616450196782587	NotSig	0.2	0.166	0.014	0.456	0.603	0.177	0.022	0.039	0.052	0.004	0.224	0.166	0.051	0.019	0.447	0.185	0.118	1.209	0.467	0.257	0.121	0.161	0.385	0.152	0.142	0.406	0.097	0.05	0.123	0.04	0.021	0.023	0.215	0.088	0.078	0.042	0.012	0.019	0.084	0.038	0.074	0.01	0.171	0.087	0.023	0.163	0.006	0.054	0.065	0.033	0.405	0.2	0.138	0.866	0.404	0.195	0.355	0.158	0.312	0.348	0.16	0.047	0.073	0.039	0.174	0.764	0.195	0.183	0.061	0.007	0.307	0.126	0.056	0.022
ASV_90	-0.371	11.412	0.407971119570815	0.621145218085296	NotSig	0.175	0.243	0.09	0.289	0.147	0.05	0.131	0.031	0.797	0.053	0.437	0.765	0.825	0.155	0.116	0.012	0.009	0.032	0.027	0.025	0.077	0.052	0.155	0.078	0.001	0.074	0.004	0.121	0.031	0.032	0.118	0.12	0.036	0.109	0.774	3.417	0.073	0.077	0.035	0.01	0.308	0.39	1.119	0.146	1.423	0.093	0.076	0.159	0.222	0.24	0.024	0.027	0.032	0.049	0.038	0.034	0.031	0.035	0.093	0.071	0.027	0.012	0.11	0.01	0.193	0.125	0.06	0.14	0.023	0.194	0.03	0.036	0.059	0.225
ASV_31	-0.372	12.439	0.414212326651495	0.625016814322346	NotSig	0.308	0.526	0.245	0.441	0.596	0.028	0.865	0.777	0.74	0.976	0.364	0.215	0.848	0.311	0.049	0.657	0.081	0.017	0.114	0.051	0.045	0.049	0.067	0.091	0.116	0.218	0.016	0.154	0.092	0.03	0.06	0.061	0.056	0.065	1.668	0.197	0.507	0.177	5.585	1.28	0.067	0.555	0.573	0.514	1.066	1.644	2.914	1.767	0.72	0.788	0.113	0.211	0.066	0.036	0.033	0.023	0.047	0.13	0.034	0.028	0.127	0.065	0.259	0.064	0.028	0.049	0.129	0.057	0.009	0.041	0.065	0.06	0.341	0.156
ASV_82	0.408	10.663	0.437861092040046	0.649171882763199	NotSig	0.195	0.111	0.125	0.059	0.306	0	0.026	0.049	0.009	0.002	0	0.006	0	0	0.047	0.004	0.086	0.037	0.05	0.012	0.47	0.064	0.05	0.484	0.216	3.008	0.406	0.215	0.08	0.076	0.038	0.375	0.05	0.082	0.003	0.131	0.043	0.148	0.016	0.102	0	0.009	0.018	0	0.002	0	0.013	0.002	0.002	0	0.163	0.098	0.026	0.026	0.017	0.582	0.04	0.057	0.085	0.064	0.714	0.035	0.07	0.397	0.2	0.269	0.242	0.027	0.033	0.166	0.412	0.107	0	0.003
ASV_112	-0.381	10.326	0.437902926834347	0.649171882763199	NotSig	0.092	0.111	0.011	0.354	0.034	0.199	0.017	0	0.071	0.049	0.033	0.018	0.045	0.086	0.024	0.043	0.02	0.251	0.654	0.048	0.003	0.006	0.007	0.034	0.015	0.037	0.057	0.024	0.01	0.011	0	0.006	0.002	0.013	0.85	0.031	0.167	0.019	0.044	0.008	0.019	0.007	0.278	0.087	0.061	1.673	0.049	0.018	0.023	0.011	0.122	0.013	0.021	0.386	0.048	0.003	0.009	0.007	0.017	0.012	0.031	0.102	0.043	0.031	0.007	0.06	0.016	0.008	0.003	0.005	0.091	0.089	0.181	0.513
ASV_23	-0.292	13.463	0.463656307045808	0.676456665001674	NotSig	0.746	0.949	0.178	0.247	0.244	1.475	0.336	0.308	0.305	0.141	0.924	0.785	0.323	0.38	0.139	0.066	0.94	0.071	0.38	0.023	0.093	5.856	0.76	0.358	0.509	0.458	0.146	0.767	0.201	0.341	0.535	0.219	0.249	2.249	4.597	0.229	0.507	1.543	1.424	1.561	3.06	1.036	0.485	1.517	0.525	0.404	4.555	1.982	0.538	2.236	0.184	0.152	0.637	0.105	0.221	0.076	0.106	0.048	1.472	0.099	0.85	0.523	0.516	1.115	0.346	0.82	1.303	0.279	0.113	0.109	0.492	0.434	5.245	0.173
ASV_6	-0.319	14.274	0.464313450533693	0.676456665001674	NotSig	1.367	1.55	0.522	3.677	1.372	1.465	0.17	1.435	0.017	0.009	0.693	0.18	0.179	0.207	0.792	0.191	1.248	7.158	3.97	0.697	4.838	1.487	0.461	0.693	0.216	2.462	2.074	1.174	1.971	1.112	0.422	2.291	0.517	1.372	0.025	1.356	0.849	1.092	0.718	0.749	0.079	0.752	0.516	0.016	0.145	0.035	0.172	0.482	0.148	4.91	0.417	1.519	0.696	1.795	0.31	9.771	4.431	2.654	2.06	0.302	1.311	0.403	1.172	4.353	0.736	0.766	1.205	2.247	0.336	0.248	1.688	9.994	0.014	0.022
ASV_53	0.336	10.277	0.485976022836114	0.701965366318832	NotSig	0.099	0.091	0.765	0.099	0.042	0	0.036	0.004	0.88	0.137	0.246	0.084	0.163	0.086	0.004	0.004	0.085	0.012	0.059	0.007	0.032	0.001	0.004	0.026	0.16	0	0.014	0.064	0.004	0.053	0.12	0.017	0.015	0.027	0.018	0.128	0.175	0.175	0.087	0.032	0.033	0.902	0.023	0.217	0.325	0.186	0.356	0.105	0.074	0.064	0.003	0.01	0.051	0.014	0.026	0.004	0.044	0.003	0.008	0.001	0.003	0.01	0.009	0.007	0.026	0.007	0.027	0.031	0.158	0.037	0.004	0.003	0.14	0.055
ASV_2	-0.259	17.026	0.493231208312189	0.702861301761471	NotSig	8.76	10.301	2.12	9.681	3.955	0.646	1.07	1.869	0.92	0.6	1.13	0.992	2.293	2.693	9.99	1.546	31.642	30.146	7.732	17.625	16.121	29.908	9.087	8.285	2.294	9.855	19.715	12.344	15.179	4.883	9.565	2.037	7.534	15.513	0.122	10.767	2.068	4.455	1.049	2.452	1.163	11.74	2.15	0.832	11.869	6.047	2.628	28.84	21.114	3.717	10.075	14.996	21.567	15.735	2.442	25.894	13.733	7.421	23.135	17.578	4.899	19.831	4.675	15.84	4.445	4.945	10.622	10.095	3.244	25.417	7.449	18.853	7.738	0.228
ASV_4	-0.317	15.513	0.495375404660353	0.702861301761471	NotSig	2.802	3.523	0.604	0.413	0.361	1.362	0.284	1.118	0.237	0.073	0.1	0.669	0.133	0.217	6.078	2.202	1.589	4.607	7.961	26.381	4.176	2.742	1.006	1.428	0.382	1.591	1.028	5.628	0.373	1.186	1.775	6.486	4.779	4.69	0.823	1.307	0.782	0.389	0.393	0.03	1.519	1.116	1	0.16	0.191	0.134	0.102	0.715	0.988	0.108	7.18	0.902	3.531	17.615	1.815	1.823	5.609	28.399	5.949	15.647	3.001	2.622	7.631	5.162	1.586	0.712	3.177	0.318	3.983	0.846	5.652	4.168	1.035	0.088
ASV_49	-0.286	11.493	0.501963058365585	0.702861301761471	NotSig	0.199	0.243	0.05	0.535	0.869	0.011	0.321	0.438	0.043	0.021	0.049	0.006	0	0.021	0.07	0.022	0.102	0.932	0.49	0.029	0.14	0.07	0.071	0.323	0.148	0.162	0.479	0.123	0.48	0.033	0.271	0.067	0.059	0.122	0.005	0.073	0.201	0.138	0.383	0.208	0.024	0.252	0.101	0.034	0.048	0.038	0.261	0.065	0.051	0	0.098	0.145	0.079	0.468	0.02	0.114	0.77	0.434	0.168	0.13	0.661	0.052	0.229	1.504	0.179	0.251	1.055	0.696	0.08	0.104	0.258	0.091	0.002	0.005
ASV_189	-0.203	11.142	0.503232056290757	0.702861301761471	NotSig	0.147	0.197	0.153	0.072	0.119	0.096	0.315	0.144	0.272	0.092	0.062	0.209	0.216	0.067	0.116	0.087	0.257	0.039	0.172	0.182	0.121	0.053	0.145	0.237	0.025	0.148	0.106	0.178	0.082	0.414	0.155	0.125	0.188	0.173	0.021	0.112	0.411	0.067	0.424	0.226	0.103	0.34	0.301	0.065	0.236	0.218	0.67	0.253	0.566	0.147	0.099	0.056	0.467	0.061	0.059	0.02	0.097	0.217	0.115	0.113	0.171	0.052	0.449	0.16	0.137	0.083	0.129	0.05	0.333	0.118	0.267	0.263	0.008	0.006
ASV_50	0.453	13.038	0.508153931775603	0.703918151394073	NotSig	0.642	0.487	0.118	0.008	0.045	0.002	0.003	0.066	0.009	0	0.004	0	0	0.015	0.03	0.001	0.016	0.233	1.998	0.08	0.143	0.175	0.02	0.358	0.898	1.229	0.197	0.497	13.819	0.13	0.509	0.077	0.107	0.387	0.005	0.142	0.172	1.816	0.034	0	0	0	0.023	0.008	0.014	0.3	0.011	0	0	0	0.509	0.009	0.037	1.87	0.016	0.146	1.023	0.133	0.037	0.013	0.014	0.11	0.732	0.264	0.272	0.58	0.322	8.341	0.125	0.488	0.18	1.208	0.002	0.034
ASV_113	-0.327	12.46	0.518244593749213	0.71094127423546	NotSig	0.377	0.426	0.126	0.067	0.071	4.597	0.113	0.15	0.069	0.09	0.313	0.701	0.457	0.487	0.04	0.061	0.791	0.006	0.073	0.01	0.071	0.208	0.197	0.095	0.938	0.125	0.01	0.192	0.033	0.012	0.028	0.056	0.017	0.032	2.192	0.087	0.974	0.195	0.468	0.181	2.937	0.081	0.177	0.599	0.225	0.244	0.994	1.285	0.386	1.221	0.047	0.086	0.086	0.013	0.091	0.025	0.043	0.014	0.117	0.028	0.113	0.035	0.055	0.013	0.023	0.081	0.072	0.048	0.021	0.037	0.162	0.013	0.307	5.045
ASV_79	-0.248	12.189	0.523287784623169	0.71094127423546	NotSig	0.305	0.377	0.03	0.19	0.127	0.195	0.041	0.181	0.054	0.051	0.069	0.035	0.069	0.132	0.225	0.859	0.225	1.664	0.934	0.413	0.839	0.44	0.227	0.547	0.497	0.281	0.813	0.097	0.18	0.094	0.143	0.037	0.153	0.195	0.02	0.056	0.056	0.034	0.44	0.972	0.144	0.028	0.163	0.061	0.141	1.033	0.108	0.146	2.023	0.057	0.367	1.057	0.183	1.128	0.503	0.741	0.324	0.203	0.174	0.942	0.496	0.102	0.247	0.487	0.602	0.394	0.244	0.196	0.064	0.054	0.439	0.248	0.022	0.008
ASV_12	-0.336	14.29	0.528289558009096	0.71094127423546	NotSig	1.439	1.623	0.095	0.193	0.095	3.424	0.024	0.111	0.118	0.077	0.124	0.01	0.006	0.098	0.238	0.048	0.15	0.566	1.002	0.222	0.556	1.701	0.343	10.752	3.691	2.883	4.282	0.919	1.383	2.463	0.774	3.863	6.308	0.964	0.008	0.147	0.043	0.024	0.166	0.147	0.116	0.483	0.124	0.126	0.077	1.86	0.114	0.204	0.002	0.004	0.058	0.262	0.382	0.179	0.106	0.351	6.083	1.918	5.902	0.21	4.683	0.889	1.245	4.752	0.172	0.338	0.733	3.662	19.814	4.313	3.013	0.548	0.012	0.017
ASV_78	0.292	11.951	0.530132894564495	0.71094127423546	NotSig	0.355	0.288	0.055	0.683	1.743	2.513	0.078	0.043	0.014	0.009	0.011	0.067	0.006	0.008	0.203	0.036	0.03	1.593	0.462	0.059	0.09	0.075	0.077	0.636	0.86	0.192	0.234	0.985	0.742	0.053	0.069	0.014	0.013	0.031	0.017	0.059	0.203	0.264	0.132	0.035	0.074	0.571	0.067	0.03	0.02	0.003	0.089	0.027	0.042	0.004	0.313	0.627	0.116	0.299	0.187	0.088	1.192	0.183	0.118	0.045	1.077	0.055	0.113	0.125	0.376	1.927	0.544	1.391	0.053	0.057	0.496	0.063	0.156	0.002
ASV_131	0.513	8.213	0.534257643952091	0.71094127423546	NotSig	0.022	0.018	0	0.003	0	0	0	0.008	0	0	0	0	0	0	0.001	0	0.074	0	0.007	0.001	0.255	0.041	0.053	0.061	0	0	0	0.005	0	0.101	0.064	0	0.067	0.001	0	0.002	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0.016	0.001	0.001	0.001	0.071	0.012	0.006	0.058	0.021	0.042	0	0.003	0.007	0.223	0.173	0.002	0.001	0.05	0.006	0.003	0	0	0
ASV_62	0.314	11.594	0.541042409622803	0.714345056455107	NotSig	0.239	0.221	0.431	0.097	0.079	0.131	0.892	0.086	0.622	0.126	0.415	1.544	1.347	0.915	0	0.018	0.041	0.001	0.039	0	0.011	0.013	0.057	0.596	0.028	0.022	0.006	0.002	0.043	0.008	0.124	0.008	0.01	0.051	0.119	0.126	0.192	0.037	0.141	0.102	0.301	0.555	1.319	1.207	0.521	0.535	0.348	0.475	0.337	0.817	0.003	0.015	0.003	0.009	0.064	0.01	0.012	0.02	0.018	0.017	0.303	0.005	0.034	0.028	0.163	0.269	0.021	0.015	0.01	0.07	0.099	0.013	0.072	0.322
ASV_30	0.303	12.767	0.565859917974965	0.741320357657125	NotSig	0.567	0.47	0.117	0.265	0.104	0.057	0.102	0.65	0.005	0.002	0.011	0	0.003	0	1.055	0.014	0.081	0.098	0.668	0.07	0.978	0.034	0.032	0.338	0.835	2.1	0.943	0.239	4.377	1.069	1.226	0.134	1.993	1.087	0.036	0.17	0.15	1.092	0.74	0.146	0.036	0.231	0.107	0.004	0.018	0.009	0.028	0.036	0.088	0	0.316	0.204	0.114	4.167	0.055	0.21	1.416	0.165	0.071	0.019	0.247	0.07	0.336	2.301	0.555	1.071	0.316	1.822	0.39	0.657	0.187	0.774	0.003	0.003
ASV_25	-0.218	13.223	0.588739473832714	0.765361315982528	NotSig	0.649	0.774	0.207	0.042	0.552	0.094	0.091	0.423	0.324	0.181	0.311	0.337	0.566	0.098	0.948	0.135	0.103	0.503	0.97	0.329	0.282	0.539	3.978	1.188	0.009	1.299	1.158	0.788	0.189	1.635	0.251	1.005	1.167	1.228	0.474	2.123	0.172	0.172	0.079	0.016	0.072	0.874	0.281	0.405	0.43	0.189	0.038	0.087	0.15	0.084	0.551	0.096	1.735	0.434	0.24	0.293	0.358	0.099	2.172	4.134	0.566	1.701	2.063	0.275	0.469	0.415	0.575	0.247	5.66	0.181	0.638	1.603	0.307	0.205
ASV_166	0.393	8.767	0.594110189889639	0.766447496880527	NotSig	0.038	0.029	0	0.042	0.027	0	0	0.016	0.002	0	0.007	0	0	0	0.004	0.006	0.024	0	0.002	0.004	0.012	0.006	0	0	0	0.299	0.201	0.057	0.006	0.213	0.014	0.116	0.157	0.028	0	0	0	0	0.001	0.002	0	0.003	0	0.004	0	0.003	0	0	0	0.002	0.003	0.01	0.343	0.003	0	0.039	0.01	0.011	0	0	0	0.112	0.354	0.105	0	0	0.018	0.012	0.057	0.009	0.017	0.023	0	0.003
ASV_870	0.225	9.926	0.610059427079117	0.776542004701691	NotSig	0.076	0.06	0.012	0.003	0.019	0.024	0.007	0.062	0.017	0.004	0.002	0.104	0.112	0.01	0.591	0.07	0.061	0.143	0.291	0.121	0.131	0.029	0.085	0.086	0.007	0.066	0.002	0.014	0	0.019	0.025	0.039	0.027	0.07	0.241	0.033	0.025	0.024	0.031	0.026	0.06	0.021	0.017	0.016	0.034	0.012	0.002	0.027	0.055	0.004	0.255	0.022	0.092	0.106	0.084	0.029	0.138	0.544	0.051	0.217	0.073	0.012	0.095	0.006	0.009	0.018	0.002	0.007	0.098	0.01	0.033	0.023	0.017	0.003
ASV_109	-0.255	9.483	0.611124772930917	0.776542004701691	NotSig	0.048	0.051	0.009	0.022	0.59	0.009	0.026	0.014	0.005	0.021	0.073	0.114	0.11	0.186	0.004	0.001	0.001	0.001	0.009	0	0.006	0.081	0.024	0.009	0.003	0.018	0.002	0.033	0.029	0.004	0.095	0.041	0.002	0.011	0.041	0.007	0.029	0.012	0.078	0.078	0.065	0.048	0.003	0.016	0.043	0.038	0.187	0.222	0.072	0.467	0.003	0.007	0.01	0	0.006	0.006	0.119	0.059	0.039	0	0.01	0	0.027	0.003	0.012	0.002	0.016	0.162	0.01	0.06	0.013	0.007	0.042	0.008
ASV_7	0.218	14.701	0.65653055025848	0.818159098862828	NotSig	1.774	1.792	0.259	1.072	1.252	0.094	3.203	15.375	1.303	1.285	3.437	2.701	5.303	12.042	0.288	0.106	0.917	0.108	0.217	0.1	0.307	0.697	0.343	0.332	4.487	0.177	0.069	0.914	0.139	0.089	0.555	0.183	0.307	0.22	0.665	0.61	0.314	0.226	6.909	1.495	0.154	3.035	5.474	2.296	1.3	1.935	2.192	7.999	2.076	19.546	0.641	0.662	0.145	0.139	0.038	0.295	0.33	0.113	0.764	0.132	0.321	0.234	0.284	0.043	0.804	0.419	0.353	0.526	0.06	0.272	1.035	0.36	0.672	5.666
ASV_128	-0.471	11.35	0.657615051822031	0.818159098862828	NotSig	0.186	0.207	0	0	0	0	0	0.01	0	0.023	0	0.004	0.011	0.004	0.001	0	0.003	0	0	0	0	0.006	0.006	0.281	0	0.192	0.585	0.324	0.183	0.132	3.946	0	0.002	0.415	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013	0.002	0.009	0	0	0	0	0	0	0	0.003	0.009	0.007	0.14	0.077	0.168	1.148	0	0.002	0.298	0.136	0.118	5.763	0.003	0.164	0	0
ASV_84	0.237	10.81	0.658400221570086	0.818159098862828	NotSig	0.144	0.135	0.202	0.003	0.01	0.002	0.033	0.152	0	0.006	0	0.184	0.008	0.021	0.071	0.027	0.125	0.053	0.359	0.005	0.167	0.021	0.074	0.758	0	0.004	0.055	0.22	0.121	1.079	0.302	0.045	0.157	0.481	0.013	0.114	0.184	0.131	0	0	0	0.053	0.086	0.045	0.007	0	0.002	0.004	0.009	0.002	0.237	0.009	0.032	0.072	0.152	0.063	0.009	0.052	0.039	0.036	0.468	0.01	0.043	0.043	0.123	0.125	0.564	0.057	1.284	0.106	0.112	0.968	0.002	0.006
ASV_39	0.176	11.267	0.666545905526117	0.82223546010156	NotSig	0.209	0.194	0.223	0.46	0.317	0.046	0.522	0.514	0.397	0.038	0.124	0.025	0.12	0.021	0.011	0.08	0.238	0.02	0.13	0.018	0.224	0.103	0.025	0.071	0.005	0.096	0.079	0.298	0.012	0.007	0.576	0.063	0.084	1.864	0.088	0.056	0.101	0.049	0.771	1.171	0.142	0.659	0.064	0.059	0.816	0.084	0.375	0.031	0.055	0.007	0.015	0.126	0.092	0.027	0.049	0.028	0.068	0.063	0.054	0.013	0.244	0.645	0.101	0.061	0.151	0.103	0.06	0.019	0.009	0.111	0.461	0.261	0.023	0.358
ASV_83	0.207	11.728	0.675529237451679	0.827278558908216	NotSig	0.283	0.29	0.196	0.022	0.083	0.018	0.054	0.22	0.028	0.011	0.007	0.053	0.002	0	1.159	0.048	0.183	0.059	0.27	0.008	0.163	0.024	1.623	0.101	0.005	0.609	0.144	1.023	0.033	0.597	0.242	0.432	0.119	1.803	0.002	0.204	0.232	0.431	0.097	0.71	0.012	0.224	1.343	0.059	0.014	0.017	0.017	0.099	0.002	0	0.595	0.044	0.586	0.069	0.038	0.044	0.032	0.01	0.126	0.066	0.071	0.702	2.627	0.149	0.153	0.168	0.363	0.027	0.435	0.085	0.753	0.7	0.003	0
ASV_3	-0.187	15.22	0.686444363088691	0.83459782274812	NotSig	2.513	3.321	2.402	1.477	1.778	0.199	1.207	2.685	2.003	1.719	1.78	0.376	0.342	0.232	0.172	0.054	1.026	0.084	0.288	0.096	1.014	0.661	0.173	1.981	5.222	3.108	0.81	3.419	1.028	15.157	7.906	13.271	9.538	1.648	0.063	23.651	2.299	11.793	1.836	7.42	0.759	0.874	7.772	4.266	1.764	10.642	17.217	2.022	0.289	0.183	0.797	0.135	0.867	0.08	0.055	0.385	0.281	0.215	0.393	0.075	2.111	9.851	0.677	0.566	0.413	0.607	2.233	0.624	6.946	5.497	1.892	1.114	0.903	0.017
ASV_88	-0.264	12.253	0.693867440805479	0.837597124972329	NotSig	0.284	0.305	0.188	0.057	0.027	0.031	0.344	0.236	1.171	0.339	2.113	0.81	2.34	0.698	0.004	0.001	0.011	0.004	0.005	0.001	0.018	0.004	0.007	0.014	0.418	0.011	0.006	0.007	0.004	0.022	0.017	0.015	0.004	0.003	0.43	0.014	0.003	0.003	0.035	0.01	0.144	0.036	0.053	0.267	0.291	0.218	0.11	0.054	0.051	0.196	0.004	0.003	0.009	0.017	0.095	0.001	0.026	0.004	0.018	0.001	0.001	0	0.021	0.003	0.051	0.018	0.016	0.05	0.017	0.001	0.003	0.009	0.062	9.97
ASV_14	0.192	13.835	0.701741097810164	0.837844898221718	NotSig	1.05	0.993	3.026	0.641	0.317	1.368	5.361	1.155	1.164	1.179	0.864	6.643	5.122	3.698	0.072	0.105	0.145	0.062	0.217	0.01	0.072	0.186	0.374	0.682	0.289	0.107	0.004	0.357	0.105	0.1	0.12	0.123	0.033	0.037	0.904	0.542	0.504	0.183	1.368	0.403	2.639	2.054	2.274	3.56	1.13	2.107	1.007	1.238	0.677	4.019	0.088	0.117	0.031	0.121	0.065	0.041	0.072	0.028	0.198	0.032	0.493	0.037	0.195	0.021	0.262	0.141	1.432	0.126	0.081	0.068	0.212	0.036	0.603	10.512
ASV_177	0.208	9.97	0.703988020991029	0.837844898221718	NotSig	0.095	0.076	0.025	0.062	0.016	0.004	0.013	0	0.033	0.009	0.033	0.09	0.013	0.019	0.012	0.006	0.004	0.019	0.053	0.004	0.008	0	0.006	0.002	0	0.026	0.073	1.248	0.012	0.025	0.094	0.03	0.981	0.218	0	0.007	0.043	0.209	0.048	0.046	0.005	0.229	0.003	0.462	0.055	0.015	0.03	0.096	0.032	0.128	0.009	0.004	0	0.024	0	0.003	0.003	0	0	0.003	0.001	0.259	0.021	0.058	0.137	0.117	0.593	0.008	0.034	0.111	0.019	0.056	0.083	0.003
ASV_47	-0.219	11.777	0.714023550852444	0.843846014643798	NotSig	0.266	0.291	0.022	0.01	0.035	0.16	0	0.031	0	0.002	0.013	0	0	0.002	0.292	0.216	0.201	0.197	0.572	0.272	0.277	0.084	0.691	0.496	0.015	0.727	2.098	0.137	0.045	0.051	0.087	1.781	0.134	0.129	0	0.016	0.014	0.05	0.004	0	0.058	0.003	0.003	0	0.002	0.006	0.004	0.011	0	0	0.911	2.054	0.63	0.322	0.12	0.076	0.097	0.049	0.25	1.457	0.745	0.09	0.25	0.745	0.267	0.166	0.298	0.024	0.208	0.047	2.249	0.13	0.003	0.002
ASV_127	-0.272	11.495	0.720882256490925	0.8460354260206	NotSig	0.157	0.269	0.184	0.032	0.048	1.302	0.462	0.086	0.194	0.801	0.402	1.382	0	0.13	0.002	0.003	0.045	0.001	0	0.001	0.005	0.004	0	0	0.001	0	0	0.009	0.002	0.028	0.006	0.01	0.013	0.003	0.021	0.089	0.107	0.052	0.094	0.029	2.033	0.112	0.142	5.684	0.468	1.007	0.492	0.052	0	0.004	0.003	0	0.032	0	0.001	0	0.006	0.006	0	0	0.008	0.007	0	0.001	0.002	0	0.008	0.004	0.027	0.004	0.001	0	0.012	0.012
ASV_207	0.256	10.667	0.725969231289928	0.846129655779295	NotSig	0.132	0.103	0	0.005	0	0.002	0.001	0	0.158	0.062	0.062	2.781	0.755	0.107	0.048	0.004	0.006	0.001	0.009	0.001	0.056	0.003	0.003	0.006	0	0.007	0	0.005	0.01	0.036	0.081	0.001	0.004	0.004	0.126	0.009	0.005	0	0.001	0	0.007	0.005	0.005	0.292	2.292	0.044	0.045	0.117	0.506	0.169	0	0.004	0	0	0.019	0.026	0.001	0.01	0	0.015	0.004	0	0	0.003	0.114	0.103	0.01	0.018	0.004	0.08	0	0	0.012	0.092
ASV_176	0.189	9.865	0.743856565044568	0.857567805730224	NotSig	0.063	0.057	0	0.064	0.003	0.004	0.005	0.006	0.038	0.271	0.007	0.176	0.181	0.104	0.105	0.017	0.003	0	0.005	0.018	0.03	0.004	0.053	0.017	0	0.066	0.008	0.007	0.031	0	0	0.011	0.029	0.02	0.787	0	0	0.002	0.046	0.002	0.027	0	0.008	0.018	0.296	0.044	0.002	0.105	0.134	0.101	0.025	0.001	0.006	0	0.035	0.012	0.001	0.021	0.014	0.522	0.008	0.1	0.235	0.004	0.107	0.016	0.047	0.023	0.003	0.002	0.006	0.006	0.125	0.133
ASV_1	-0.115	16.798	0.75159908607038	0.857567805730224	NotSig	7.906	8.899	1.006	7.501	9.457	7.031	1.644	3.9	0.984	0.506	1.412	1.779	1.259	0.623	17.091	32.834	21.85	4.018	12.816	7.9	27.951	9.092	6.758	7.807	5.093	5.662	3.624	9.593	13.65	5.803	2.077	2.224	23.263	4.207	0.501	5.398	1.445	3.533	3.433	9.738	9.472	3.86	24.005	7.176	1.535	9.108	2.813	2.383	6.424	0.605	8.341	35.115	4.912	16.357	10.502	24.428	12.358	20.43	5.382	6.593	13.547	4.582	3.015	2.059	8.854	12.753	13.729	8.899	2.473	1.369	20.715	18.259	1.294	0.174
ASV_137	-0.169	9.779	0.755472086769492	0.857567805730224	NotSig	0.041	0.075	0.008	0.002	0.01	0.002	0.008	0.07	0.092	0.299	0.06	0.031	0.125	0.071	0.019	0.01	0.014	0.108	0.055	0.204	0.014	0.013	0.004	0.012	0.049	0.018	0.024	0.019	0	0.001	0.002	0.011	0.006	0.003	0.002	0.009	0.015	0	0.012	0.002	0.022	0.005	0.062	0.128	0.109	1.699	0.091	0.052	0.074	0.046	0.01	0.001	0.009	0.079	0.055	0.006	0.015	0.022	0.113	0.036	0.018	0	0.009	0.009	0.009	0.065	0.002	0.02	0	0.007	0.058	0.029	0	0.009
