ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_9	-0.428	14.174	0.256562320031979	0.498379679142579	NotSig	1.223	1.672	0.388	0.794	4.614	2.154	0.677	0.282	0.452	0.365	0.937	1.349	0.381	0.38	1.614	0.543	0.907	0.112	0.821	0.043	0.173	3.937	1.043	0.813	0.774	0.963	0.165	0.928	0.476	1.195	0.898	0.256	0.37	1.566	9.977	0.4	1.456	3.252	1.7	8.245	4.31	1.362	0.646	2.391	0.777	0.448	9.432	2.376	0.889	1.25	2.278	0.488	0.293	0.308	0.231	0.121	0.194	0.111	1.083	0.132	1.855	0.924	0.802	0.989	0.439	1.228	1.95	0.73	0.466	0.859	0.927	0.427	9.11	0.327
ASV_120	0.8	12.071	0.270296239349117	0.519091641477281	NotSig	0.314	0.204	0.308	0	0	0	0.061	0.031	0.005	0	0.082	0.376	0.329	7.957	0.002	0.001	0.133	0.012	0.023	0.004	0.02	0	0.01	0.006	0.015	0.022	0.016	0.078	0.023	0.551	0.023	0.172	0.033	0.01	0.053	0.129	0.253	0.088	0.004	0.008	0	0.157	0	0	0.005	0.009	0.765	0.309	0.328	0.927	0.003	0.003	0.062	0	0	0.003	0.087	0.004	0.001	0.004	0.008	0.147	0.027	0.013	0.009	0	0.08	0.016	0.08	0.021	0.01	0.006	3.568	0.815
ASV_74	-0.46	11.625	0.279319694606832	0.530393577399489	NotSig	0.226	0.337	0.308	0.035	0.082	0.006	0.16	0.111	0.017	0.013	0.007	0.276	0.026	0.015	0.279	0.04	0.166	0.212	0.6	0.027	0.298	0.113	0.572	0.887	0.018	0.583	0.215	0.739	0.023	0.193	0.144	0.547	0.153	0.305	0.283	0.325	0.228	0.271	0.043	0.018	0.027	0.179	0.097	0.063	0.016	0.006	0.017	0.036	0.002	0.004	2.929	0.065	0.403	0.184	0.142	0.085	0.091	0.073	0.312	0.071	1.645	0.889	3.015	0.222	0.218	0.146	0.121	0.016	0.415	0.058	0.39	0.246	0.045	0.012
ASV_20	-0.573	13.392	0.293205769731203	0.543491000384306	NotSig	0.607	0.86	0.121	0.74	0.077	0.006	0.028	0.251	0.035	0.023	0.007	0.01	0.003	0	4.3	0.131	0.207	0.931	0.357	0.167	4.319	0.418	0.297	0.123	0.318	0.72	1.43	0.225	1.428	1.157	0.169	0.098	1.176	0.745	0.012	0.182	0.073	1.666	0.194	0.022	0	0.214	0.095	0.004	0.027	0.017	0.225	0.235	0.016	0.022	4.741	2.175	0.28	1.12	0.051	7.969	1.734	1.41	0.224	1.032	0.102	0.149	0.348	3.106	0.149	0.076	0.135	1.912	0.389	0.085	0.146	3.117	0.055	0.048
ASV_183	1.021	9.008	0.294758245854897	0.543491000384306	NotSig	0.037	0.023	0	0.003	0.019	0	0	0.191	0	0	0.036	0.008	0.003	0.002	0.045	0.021	0	0.069	0.069	0.576	0.102	0.057	0.024	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0.002	0	0	0.004	0.005	0.154	0.004	0	0	0.001	0.03	0.06	0.087	0.053	0.456	0.032	0.008	0	0	0	0	0.002	0	0	0	0	0	0	0	0
ASV_13	-0.43	13.584	0.295864923286131	0.543491000384306	NotSig	0.769	1.148	0.167	2.274	1.05	1.042	0.214	0.123	2.157	0.694	1.614	1.415	3.875	0.524	1.701	0.07	0.045	0.689	1.359	0.075	0.2	0.581	0.382	0.955	0.003	0.34	0.087	0.343	0.199	0.217	0.452	0.121	0.259	0.247	1.901	5.477	0.279	0.163	0.528	0.083	3.411	1.717	3.33	7.022	5.197	1.638	0.405	0.525	1.171	0.616	0.237	0.083	0.12	0.902	0.171	0.102	0.13	0.078	0.525	1.195	0.712	0.254	0.473	0.04	0.808	0.314	3.858	0.287	0.11	0.367	0.41	0.517	0.274	1.25
ASV_881	-0.556	11.241	0.300999803908714	0.543602901483088	NotSig	0.14	0.224	0.039	0.002	0.095	0	0.025	0.078	0.005	0.002	0	0.072	0.006	0	0.147	0.095	0.105	0.03	0.304	0.088	0.098	0.05	0.36	0.125	0.003	0.321	0.136	0.277	0.066	0.906	0.126	0.238	0.496	0.315	0.017	0.009	0.008	0.039	0.013	0.046	0	0.078	0.011	0.014	0.002	0	0	0.004	0.007	0.002	0.485	0.065	2.017	0.111	0.088	0.079	0.115	0.025	0.034	1.341	0.063	0.356	0.83	0.042	0.151	0.17	0.213	0.046	1.104	0.08	0.436	0.612	0.014	0.006
ASV_57	-0.772	10.04	0.302359010292368	0.543602901483088	NotSig	0.06	0.097	0.017	0	0.003	0.002	0	0.002	0	0	0	0	0.002	0	0.024	0.041	0.936	0.001	0.011	0.003	0.038	0	0	0.006	0.002	0.011	0.03	0.036	0.031	0.011	0.575	0.014	0.019	0.066	0.101	0.051	0.006	0.029	0	0	0.005	0	0.138	0	0	0	0	0.002	0	0	0.024	0.325	1.712	0.001	0	0.01	0.068	0.011	0.001	0.001	0	0.025	0.015	0.016	0.019	0	0.035	0.037	0.031	1.028	0.007	0.003	0.089	0.096
ASV_61	-0.616	11.538	0.331365652647603	0.582746544825338	NotSig	0.175	0.261	0.006	0.438	0.476	0	0.26	0.206	0.009	0.006	0.007	0	0.006	0.006	0.057	0.004	0.021	0.121	0.757	0.027	0.078	0.05	0.237	0.028	0	0.218	0.006	0.071	0.341	0.607	0.029	0.059	1.473	0.157	0	0.012	0.005	0.029	0.31	0.345	0	0.157	0.012	0.01	0.009	0.035	0.117	0.002	0	0	0.233	0.007	0.275	0.014	0.004	0.06	1.737	2.002	0.048	0.001	0.193	0	0.055	0	0.146	0.065	0.057	0.499	1.291	0.017	2.281	0.151	0	0
ASV_97	-0.365	11.366	0.335039661985452	0.582746544825338	NotSig	0.167	0.23	0.12	0.054	0.128	0.239	0.057	0.167	0.064	0.109	0.215	0.417	0.142	0.098	0.041	0.093	0.092	0.019	0.066	0.019	0.032	0.932	0.22	0.14	0.159	0.037	0.02	0.694	0.053	0.04	0.201	0.161	0.044	0.246	0.403	0.087	0.62	0.384	0.414	0.269	0.855	0.067	0.113	0.78	0.332	0.116	1.077	0.545	0.342	0.33	0.166	0.108	0.037	0.031	0.094	0.02	0.046	0.011	0.196	0.021	0.151	0.032	0.034	0.033	0.105	0.112	0.101	0.091	0.038	0.889	0.023	0.023	0.235	0.034
