ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_144	-0.316	10.149	0.73994068518669	0.833666505310337	NotSig	0.072	0.08	0.008	0	0.013	0.106	0.096	0.077	0.348	0.003	0	0.026	0.019	0.114	0	0.029	0.012	0.012	0.018	0.014	0.007	0.003	0.006	0	0	0	0.061	0.163	0.316	0.139	0.34	0.117	0.19	0.055	0.067	0.817	0.167	0.002	0.006	0	0.042	0.031	0.006	0.012	0.1	0	0.184	0.027	0	0.003
ASV_151	0.211	10.422	0.761495827989003	0.852270165100275	NotSig	0.143	0.112	0.008	0.065	0.03	0.489	0.421	0.197	0.008	0.07	0	0.224	0.175	0.013	0.129	0.469	0.021	0.166	0.08	0.008	0.014	0.003	0.045	0.022	0.185	0.007	0.74	0.099	0.104	0.047	0.033	0.007	0.019	0.013	0.013	0.068	0.143	0.062	0.027	0.033	0.074	0.047	0.066	0.004	0.038	0.794	0.303	0.04	0.031	0
ASV_26	0.189	12.807	0.76664483937113	0.852388012195533	NotSig	0.46	0.536	0.241	0.191	0.157	0.267	0.267	0.18	0.124	0.131	2.579	0.409	1.263	0.271	1.701	1.396	0.209	0.716	0.705	0.658	0.3	1.467	0.926	1.448	0.642	2.291	0.312	0.111	0.286	0.102	0.425	0.016	0.152	0.157	0.089	0.101	0.126	0.159	0.22	0.205	0.265	0.036	0.162	0.029	0.131	0.16	0.465	0.157	2.575	0.057
ASV_143	-0.228	10.944	0.776659901713964	0.852490386881198	NotSig	0.116	0.151	0.034	0.082	0.403	0.135	0.041	0.135	0.206	0.001	0.004	0.143	0.081	0.012	0.048	0.44	0.01	0.24	0.094	0.01	0.009	0.003	0.006	0.054	0.014	0	0.153	0.03	0.508	0.027	0.02	0.102	0.097	0.024	0.012	0.009	0.024	0.665	0.314	0.019	0.072	0.011	0.189	0.022	2.209	0.031	0.028	0.117	0.034	0.006
ASV_61	-0.302	11.755	0.776825559643222	0.852490386881198	NotSig	0.262	0.261	0.002	0.692	0.007	0.07	0.462	0.161	0.96	0	0	0.012	0.005	0.029	0.31	0.345	0	0.157	0.012	0.01	0.009	0.035	0.117	0.002	0	0	0.233	0.007	0.275	0.014	0.004	0.06	1.737	2.002	0.048	0.001	0.193	0	0.055	0	0.146	0.065	0.057	0.499	1.291	0.017	2.281	0.151	0	0
ASV_89	-0.147	10.592	0.814001236164284	0.887523928462994	NotSig	0.11	0.116	0.079	0.042	0.029	0.073	0.084	0.171	0.503	0.004	0.009	0.049	0.022	0.047	0.097	0.083	0.219	0.152	0.015	0.144	0.066	0.067	0.07	0.009	0.005	0.119	0.229	0.025	0.116	0.692	0.1	0.042	0.168	0.041	0.195	0.026	0.077	0.142	0.198	0.128	0.063	0.208	0.035	0.565	0.036	0.044	0.071	0.15	0.002	0.022
ASV_141	-0.161	10.535	0.82574451750571	0.894556560631186	NotSig	0.113	0.125	0.1	0.012	0.242	0.103	0.394	0.103	0.056	0.006	0.001	0.037	0.037	0.039	0.035	0.034	0.14	0.021	0.011	0.04	0.039	0.009	0.036	0.02	0.021	0.011	0.079	0.041	2.288	0.05	0.033	0.022	0.041	0.006	0.255	0.016	0.238	0.012	0.058	0.04	0.046	0.069	0.076	0.046	0.409	0.231	0.072	0.201	0.017	0
ASV_52	0.131	11.353	0.838189301206645	0.901236334372068	NotSig	0.266	0.197	1.58	0.096	0.067	0.019	0.158	0.06	0.025	0.195	0.194	0.339	0.036	0.079	0.066	0.019	0.985	0.055	0.295	0.773	0.377	0.087	0.076	0.182	0.217	0.394	0.003	0.006	0.042	0.024	0.051	0.029	0.06	0.021	0.072	0.169	0.395	0.087	0.259	0.019	0.2	0.092	0.527	0.06	0.009	0.038	0.302	0.383	0.195	0.658
ASV_22	-0.131	11.918	0.842575981247259	0.901236334372068	NotSig	0.23	0.326	0.049	0.025	0.622	0.261	0.05	0.127	0.205	0.523	0.212	0.056	0.102	0.054	0.964	0.141	1.038	0.124	0.073	0.014	0.13	0.003	0.004	0.081	0.42	0.026	1.859	0.254	0.29	0.195	0.101	0.325	0.341	1.028	0.452	0.184	0.13	0.055	1.779	0.037	0.532	0.13	0.975	0.193	0.117	0.038	0.125	0.1	0.176	0.048
ASV_47	0.157	11.923	0.865390548722869	0.919817627258898	NotSig	0.359	0.291	0.085	0.002	0.736	0.506	1.325	0.431	0.145	0.004	0	0.016	0.014	0.05	0.004	0	0.058	0.003	0.003	0	0.002	0.006	0.004	0.011	0	0	0.911	2.054	0.63	0.322	0.12	0.076	0.097	0.049	0.25	1.457	0.745	0.09	0.25	0.745	0.267	0.166	0.298	0.024	0.208	0.047	2.249	0.13	0.003	0.002
ASV_66	-0.141	9.434	0.897575166253906	0.946467169498895	NotSig	0.047	0.065	0	0.075	0.005	0.118	0.009	0.026	0	0.134	0.053	0	0	0.002	0.832	0.798	0	0.426	0	0	0.005	0.003	0.011	0.045	0.002	0	0.013	0.01	0.127	0.022	0.004	0.004	0.004	0.001	0.007	0.009	0.003	0.012	0.015	0.084	0.002	0	0	0	0	0.006	0	0	0.047	0.057
ASV_81	-0.101	11.871	0.901663989877646	0.946467169498895	NotSig	0.325	0.277	1.536	0.31	0.01	0.009	0.185	0.048	0	0.53	0.297	0.047	0.26	0.062	0.891	0.134	0.966	0.19	0.389	0.603	0.832	0.684	0.464	1.137	0.714	2.298	0.055	0.034	0.041	0.013	0.035	0.01	0.021	0.003	0.045	0.003	0.027	0.015	0.076	0.009	0.109	0.067	0.15	0.072	0.024	0.023	0.043	0	0.2	0.057
ASV_118	0.111	10.176	0.911529747389067	0.950916835239211	NotSig	0.094	0.093	0	0	0.008	0.366	0.071	0	0.005	0.396	0.004	0	0	0	0.17	0.026	0	0.007	0	0.002	0.032	0.003	0.015	0.004	0.009	0.002	0.052	0.297	0.019	0.018	0.006	0.02	0.065	0.206	0.062	0.036	1.856	0.002	0.012	0.019	0.014	0.018	0.023	0.079	0.003	0.043	0.409	0.081	0.002	0
ASV_148	0.158	11.084	0.920377761853109	0.950959671827608	NotSig	0.177	0.136	0	0.002	0.013	0	0	0.685	0.002	0.719	0.175	0	0	0	0.01	0.003	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.003	0	0	0	1.444	0.442	0.263	0.005	0.007	0.661	0.003	0.004	0.001	0	0.004	2.173	0.262
ASV_83	0.074	11.665	0.922824770294247	0.950959671827608	NotSig	0.259	0.29	0.154	0.364	0.44	0.074	0.059	0.519	0.711	0.004	0	0.204	0.232	0.431	0.097	0.71	0.012	0.224	1.343	0.059	0.014	0.017	0.017	0.099	0.002	0	0.595	0.044	0.586	0.069	0.038	0.044	0.032	0.01	0.126	0.066	0.071	0.702	2.627	0.149	0.153	0.168	0.363	0.027	0.435	0.085	0.753	0.7	0.003	0
ASV_62	-0.063	11.452	0.934015787198305	0.956658594160688	NotSig	0.191	0.221	0.319	0.506	0.002	0.015	0.028	0.01	0.01	0.128	0.698	0.126	0.192	0.037	0.141	0.102	0.301	0.555	1.319	1.207	0.521	0.535	0.348	0.475	0.337	0.817	0.003	0.015	0.003	0.009	0.064	0.01	0.012	0.02	0.018	0.017	0.303	0.005	0.034	0.028	0.163	0.269	0.021	0.015	0.01	0.07	0.099	0.013	0.072	0.322
ASV_135	0.065	10.839	0.946820243403261	0.961883966747438	NotSig	0.206	0.17	0.021	1.342	0.011	0.006	0.012	0.457	0	0.006	0	0.005	0.011	0.012	2.454	0.616	0.007	0.2	0.038	0	0.009	0.003	0.002	0	0.035	0	0.007	0.279	0	0.072	0.093	0.168	0.012	0.001	0.003	0.001	0.041	0.035	0.134	0.594	1.289	0.128	0.137	0.024	0.006	0.086	0.081	0.041	0.002	0
ASV_63	-0.047	12.187	0.950500724537409	0.961883966747438	NotSig	0.424	0.345	0.077	0.184	0.156	1.339	1.173	0.676	0.033	0.166	0.012	0.087	0.285	0.187	0.145	0.232	0.353	0.005	0.062	0.006	0.007	0.052	0.032	0.009	0.018	0.02	0.096	0.102	0.68	0.063	0.077	0.071	0.829	0.064	0.043	0.064	0.199	0.819	0.247	2.12	0.262	0.233	0.431	0.068	0.064	4.351	0.522	0.284	0.251	0
ASV_33	0.023	12.627	0.976309543292065	0.982120909621185	NotSig	0.444	0.431	0.103	0.047	1.421	1.866	0.218	0.216	0.091	0.026	0.007	0.322	0.102	0.392	0.103	0.154	0.034	0.01	0.411	0.14	0.161	1.208	0.227	0.043	0.009	0.033	0.183	0.123	0.313	0.109	0.227	0.271	4.362	2.272	0.198	0.158	0.331	0.072	0.223	0.273	0.142	0.141	0.3	2.134	0.704	0.365	0.159	0.407	0.005	0
ASV_189	-0.007	11.249	0.989267509239052	0.989267509239052	NotSig	0.205	0.197	0.163	0.24	0.09	0.609	0.151	0.236	0.112	0.21	0.035	0.112	0.411	0.067	0.424	0.226	0.103	0.34	0.301	0.065	0.236	0.218	0.67	0.253	0.566	0.147	0.099	0.056	0.467	0.061	0.059	0.02	0.097	0.217	0.115	0.113	0.171	0.052	0.449	0.16	0.137	0.083	0.129	0.05	0.333	0.118	0.267	0.263	0.008	0.006
