ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_9	-0.487	14.297	0.446946645943276	0.667300543077647	NotSig	1.25	1.672	2.486	2.743	0.098	0.119	1.052	0.877	0.112	1.203	2.556	0.4	1.456	3.252	1.7	8.245	4.31	1.362	0.646	2.391	0.777	0.448	9.432	2.376	0.889	1.25	2.278	0.488	0.293	0.308	0.231	0.121	0.194	0.111	1.083	0.132	1.855	0.924	0.802	0.989	0.439	1.228	1.95	0.73	0.466	0.859	0.927	0.427	9.11	0.327
ASV_881	0.625	11.624	0.449915146866419	0.667300543077647	NotSig	0.381	0.224	0.089	0.004	0.064	0.445	0.059	2.265	0.472	0.021	0.011	0.009	0.008	0.039	0.013	0.046	0	0.078	0.011	0.014	0.002	0	0	0.004	0.007	0.002	0.485	0.065	2.017	0.111	0.088	0.079	0.115	0.025	0.034	1.341	0.063	0.356	0.83	0.042	0.151	0.17	0.213	0.046	1.104	0.08	0.436	0.612	0.014	0.006
ASV_44	-0.553	12.565	0.450131727283147	0.667300543077647	NotSig	0.402	0.508	1.35	0.126	0.119	0.03	0.239	0.883	0.843	0.012	0.015	1.042	0.242	0.879	0.037	0.034	0.014	0.422	0.355	0.761	0.127	0.081	0.074	0.02	0.021	0.031	0.036	1.187	0.312	0.135	1.299	0.172	0.084	0.064	2.647	0.14	0.095	1.713	0.513	0.111	0.513	3.464	0.843	0.14	0.117	0.926	0.067	0.65	0.012	0.447
ASV_119	0.594	9.532	0.460916886780574	0.672774482372206	NotSig	0.101	0.05	0.664	0.033	0.006	0.001	0.083	0.026	0.016	0.05	0.034	0	0	0	0.103	0.075	0.051	0.034	0.048	0.18	0.239	0.192	0.246	0	0	0.194	0.03	0.018	0	0.068	0	0.015	0.01	0.004	0.009	0.001	0.006	0.01	0.122	0.013	0.016	0.031	0.076	0.039	0.016	0.005	0	0.003	0.017	0.097
ASV_177	-0.631	9.797	0.461786035237727	0.672774482372206	NotSig	0.044	0.076	0	0.077	0.02	0.003	0.022	0.142	0.015	0.004	0.109	0.007	0.043	0.209	0.048	0.046	0.005	0.229	0.003	0.462	0.055	0.015	0.03	0.096	0.032	0.128	0.009	0.004	0	0.024	0	0.003	0.003	0	0	0.003	0.001	0.259	0.021	0.058	0.137	0.117	0.593	0.008	0.034	0.111	0.019	0.056	0.083	0.003
ASV_174	0.605	10.628	0.479142000781376	0.685755469061257	NotSig	0.173	0.131	0.053	0.31	0	0.006	0.006	0.031	0.002	1.135	0.016	0.031	0.057	0.013	0.273	0.277	0.036	0.241	0.051	0.522	0.448	0.035	0.36	0.085	0.037	0.004	0	0.003	0	0.006	0.13	0.009	0.012	0.034	0.001	0.001	0.008	0.017	1.068	0.003	0.783	0.278	0	0.007	0.007	0	0.175	0.02	0.03	0.043
ASV_870	0.477	9.939	0.480101529284073	0.685755469061257	NotSig	0.086	0.06	0.03	0.007	0.233	0.319	0.043	0.027	0.063	0.043	0.009	0.033	0.025	0.024	0.031	0.026	0.06	0.021	0.017	0.016	0.034	0.012	0.002	0.027	0.055	0.004	0.255	0.022	0.092	0.106	0.084	0.029	0.138	0.544	0.051	0.217	0.073	0.012	0.095	0.006	0.009	0.018	0.002	0.007	0.098	0.01	0.033	0.023	0.017	0.003
ASV_23	-0.454	13.535	0.482869235611181	0.685755469061257	NotSig	0.845	0.949	2.005	2.284	0.062	0.046	0.554	0.33	0.091	1.631	0.6	0.229	0.507	1.543	1.424	1.561	3.06	1.036	0.485	1.517	0.525	0.404	4.555	1.982	0.538	2.236	0.184	0.152	0.637	0.105	0.221	0.076	0.106	0.048	1.472	0.099	0.85	0.523	0.516	1.115	0.346	0.82	1.303	0.279	0.113	0.109	0.492	0.434	5.245	0.173
ASV_152	-0.429	11.034	0.498595271984667	0.693001994874387	NotSig	0.125	0.166	0.039	0.028	0.068	0.189	0.283	0.065	0.307	0.01	0.138	0.042	0.012	0.019	0.084	0.038	0.074	0.01	0.171	0.087	0.023	0.163	0.006	0.054	0.065	0.033	0.405	0.2	0.138	0.866	0.404	0.195	0.355	0.158	0.312	0.348	0.16	0.047	0.073	0.039	0.174	0.764	0.195	0.183	0.061	0.007	0.307	0.126	0.056	0.022
ASV_50	-0.726	12.725	0.501446205233679	0.693001994874387	NotSig	0.315	0.487	0.008	0.049	0.02	0.268	0.035	0.103	2.334	0.018	0.001	0.142	0.172	1.816	0.034	0	0	0	0.023	0.008	0.014	0.3	0.011	0	0	0	0.509	0.009	0.037	1.87	0.016	0.146	1.023	0.133	0.037	0.013	0.014	0.11	0.732	0.264	0.272	0.58	0.322	8.341	0.125	0.488	0.18	1.208	0.002	0.034
