ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_114	7.204	13.839	2.25486689858088e-07	3.81072505860169e-05	Enriched	0.817	0.017	0.13	0.01	0.003	0.013	0.006	0.002	3.545	0.001	0.013	0.599	0.086	0.006	0.003	0	0.001	0.003	0.057	4.702	1.015	0.613	3.768	1.785	0	3.205	1.196	0.482	0.004	0.021	0.007	0.002	0.007	0.123	0.001	0.01	0.047	0.003	0	0	0	0.023	0.003
ASV_71	6.61	14.83	1.41915128276244e-05	0.00119918283393426	Enriched	1.7	0.064	0.043	0.002	0.163	0.026	0.032	0	0	0.003	0.013	1.756	0	0.001	0	0.023	0.001	0.295	0.329	0.768	20.013	1.328	13.113	5.809	0	0.283	0.194	0.001	0.179	0.112	0.021	0.015	0.007	0.599	0.001	0.009	0.004	0.004	0.002	0	0	0.008	0
ASV_134	4.495	12.109	2.98288160220931e-05	0.00158377473940119	Enriched	0.327	0.028	0.033	0.089	0.114	0.051	0.015	0.065	0.01	0.024	0.011	0.001	0.063	0.026	0.071	0	0.012	0.193	6.531	0.054	0.663	0.083	0.087	0.188	0	0.072	0.05	0	0.029	0.052	0.055	0.029	0.024	0.072	0.044	0.009	0.034	0.037	0.006	0.004	0.004	0	0.014
ASV_107	7.08	14.425	3.74857926485488e-05	0.00158377473940119	Enriched	1.721	0.023	0.005	0.019	0.451	0.092	0	0.005	0	0	0.001	0.021	0	0	0	0	0	1.911	41.14	0.207	0.109	0.329	0.189	0.189	0	0	0	0.067	0.023	0.044	0.01	0.11	0.007	0.007	0.012	0.011	0	0	0.006	0	0.087	0.001	0.021
ASV_125	-4.992	11.986	5.89345901985329e-05	0.00199198914871041	Depleted	0.017	0.78	0.003	0	0	0	0.022	0	0.004	0.006	0.02	0.007	0	0.133	0.001	0	0	0.001	0.224	0.003	0	0.007	0	0	0	0	0	0.004	0	0.011	0	0.007	0.029	0.065	0.026	11.41	0	0.006	0.01	0.065	0.066	0	0
ASV_100	-3.705	13.219	9.59328833313502e-05	0.00250639286310594	Depleted	0.107	0.943	0.19	0.167	0.006	0.019	0.193	0.149	0.012	0	0.115	0	0	0.668	0.003	0.001	0	0.076	0.087	0.102	0.146	0.379	0.155	0.109	0.134	0.001	0.068	0.001	0.044	0.041	0.126	0.012	0.694	0.71	0.069	0.018	0.238	0	2.648	0	0.047	0.001	9.495
ASV_136	5.827	13.469	0.000103815089004388	0.00250639286310594	Enriched	0.902	0.032	0.046	0	0	0.021	0.006	0.065	0	0.067	0.047	0.001	12.085	0.22	0	0	0.079	9.062	0.027	0.106	0.036	0.481	0.435	0.681	0	0	0	0	0.017	0.031	0	0.274	0.022	0.021	0.032	0.025	0	0.003	0.049	0	0.003	0.001	0
ASV_105	7.029	14.916	0.000123402821245777	0.00260688459881704	Enriched	1.071	0.029	0	0.002	0.069	0.024	0.254	0	13.531	0	0	0.113	0	0	0	0	0	0	0.094	0.148	1.358	0.715	8.074	0.802	0	0.468	2.179	0.004	0	0	0.002	0.034	0.003	0	0.001	0.121	0.26	0	0.006	0	0.001	0.012	0
ASV_90	-3.223	12.234	0.000289055625018518	0.0054278222920144	Depleted	0.079	0.77	0.067	0.065	0.102	0.1	0.501	0.393	0.001	0.004	0.223	0.143	0	0.03	0.001	0.004	0.246	0	0.053	0.052	0	0.044	0.004	0.001	0	0	0	0.017	0.091	0.093	0.09	0.029	0.762	3.513	0.184	2.407	0.026	0.006	0.02	3.871	0.001	0.064	0.39
ASV_158	4.805	11.979	0.000467877192965353	0.00691065645830868	Enriched	0.316	0.022	0	0.049	0	0.011	0.036	0.005	0	0	0.004	0.748	0.36	0	0	0	0	0.053	0.123	0.176	0.111	0.141	1.118	5.206	0	0.041	0.041	0	0	0.04	0.028	0.13	0.014	0	0.008	0.006	0.06	0	0.006	0	0	0.003	0.035
