ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_10	-7.299	9.425	0.000565576089635221	0.0510463299086426	Depleted	0	0.087	0	0	0	0	0	0	0.004	0	0	0.659	0.029	0	0	0	0.007	0
ASV_57	5.787	14.976	0.000604098578800504	0.0510463299086426	Enriched	3.376	0.11	0.046	0.037	0.018	0.001	0.046	0	0.141	26.721	0.45	0.006	0.047	0	0.023	0.084	0.263	0.009
ASV_119	3.9	11.564	0.00178084239608621	0.0970341046606201	Enriched	0.412	0.034	0.041	0.086	0.013	0.055	0.008	0.006	3.012	0.076	0.063	0	0.086	0.031	0.003	0.01	0.068	0.009
ASV_166	-4.699	10.761	0.00229666519906793	0.0970341046606201	Depleted	0.011	0.359	0.002	0	0.001	0.046	0.009	0.032	0	0	0.002	0	0	0.004	0.018	0.019	2.202	0.624
ASV_109	3.197	9.235	0.00412955959009168	0.139579114145099	Enriched	0.075	0.009	0.01	0.012	0.001	0.019	0.018	0.015	0.495	0.03	0.017	0.003	0.011	0.003	0.014	0.016	0.003	0.005
ASV_9	2.853	14.629	0.00590666665022826	0.148224703618857	Enriched	2.606	0.539	0.762	1.209	0.136	0.455	0.47	1.356	1.375	15.086	1.387	0.427	0.645	0.131	0.072	0.686	0.718	0.242
ASV_110	3.594	11.906	0.0061394847652781	0.148224703618857	Enriched	0.565	0.05	1.753	0.527	0.002	0.106	0.001	0.03	2.07	0.03	0.208	0.039	0.128	0	0.013	0.003	0.01	0
ASV_88	3.42	11.593	0.00725143651574087	0.153186596395026	Enriched	0.42	0.045	0.43	0.301	0	0.036	0.003	0.026	2.511	0.049	0.056	0.04	0.226	0	0.008	0.014	0.007	0.01
ASV_105	3.626	7.175	0.0131799381783582	0.192188655450791	Enriched	0.019	0.001	0	0	0	0.014	0.001	0.106	0.014	0.014	0	0	0	0	0.003	0.006	0	0
ASV_158	3.395	7.869	0.0135558337208447	0.192188655450791	Enriched	0.028	0.003	0.124	0	0.022	0.004	0	0.009	0.034	0.034	0	0.003	0	0	0.011	0	0.007	0
ASV_28	-6.521	12.85	0.013979942440519	0.192188655450791	Depleted	0.014	1.094	0	0	0	0.108	0	0	0	0	0	0	0	0	8.751	0	0	0
ASV_7	2.56	14.66	0.0161651056517693	0.192188655450791	Enriched	2.812	0.658	0.683	16.696	0.047	0.457	0.797	0.315	1.757	1.745	1.93	0.379	1.651	0.037	0.238	0.372	0.448	0.207
ASV_126	3.477	12.463	0.0168734112169404	0.192188655450791	Enriched	0.764	0.082	0.258	0.243	0.001	0.01	0	0.013	5.529	0.056	0.419	0	0.078	0	0.003	0.124	0.031	0.005
ASV_114	2.943	11.048	0.0176591621581183	0.192188655450791	Enriched	0.252	0.042	0.102	1.087	0.004	0	0.008	0.074	0.728	0.011	0.087	0.003	0.166	0.005	0.008	0.056	0	0.01
ASV_106	3.378	8.071	0.0177280946149515	0.192188655450791	Enriched	0.029	0.003	0	0.001	0.01	0.003	0.088	0	0.107	0.025	0	0	0	0.005	0.006	0.011	0	0
ASV_177	-2.986	9.521	0.0181953756639802	0.192188655450791	Depleted	0.013	0.095	0.02	0.003	0.001	0	0.032	0.038	0.007	0.004	0.003	0.005	0.006	0	0.015	0.008	0.116	0.605
ASV_22	-2.671	14.115	0.0225348032580287	0.22402245591805	NotSig	0.328	2.026	0.07	0.008	0.658	0.462	0.051	0.115	1.044	0.219	0.354	13.655	0.024	1.134	0.621	0.086	0.051	0.285
ASV_122	-2.81	11.272	0.0254320273144336	0.238778478674405	NotSig	0.047	0.287	0.216	0.016	0.07	0.019	0.018	0	0.023	0.016	0.139	2.051	0.015	0.007	0.008	0.006	0	0.071
ASV_112	-2.755	12.684	0.028681241408028	0.252730321387239	NotSig	0.147	0.988	0.857	0.206	0.008	0.008	0.007	0.03	0.041	0.019	7.328	0.261	0.164	0.015	0.018	0.065	0.051	0.001
ASV_115	-2.518	12.362	0.0299089137736378	0.252730321387239	NotSig	0.118	0.556	0.014	0.008	0.072	0.327	0.448	0.064	0.009	0.002	0.071	0.011	0.017	3.294	0.42	0.125	0.352	0.154
ASV_97	2.13	11.599	0.0314999719581674	0.253499774330014	NotSig	0.297	0.095	0.082	0.196	0.011	0.112	0.132	0.106	0.175	1.56	0.208	0.05	0.231	0.032	0.133	0.065	0.027	0.014
ASV_407	2.846	7.227	0.0409502077514401	0.314572050454245	NotSig	0.014	0.002	0	0	0.004	0	0.054	0.011	0.029	0.014	0	0	0	0	0.01	0.003	0.003	0
ASV_53	-2.031	10.939	0.0464229712739644	0.340499394219026	NotSig	0.057	0.27	0.022	0.063	0.022	0.251	0.02	0.011	0.038	0.034	0.035	0.223	1.696	0.028	0.093	0.038	0.024	0.025
ASV_32	2.097	13.666	0.0483549435577315	0.340499394219026	NotSig	2.045	0.419	10.183	0.139	0.06	3.125	0.104	2.598	0.145	0.009	0.827	0.011	0.611	0.529	0.167	0.3	0.725	0.181
ASV_90	2.042	11.809	0.0541322106280512	0.365063154900609	NotSig	0.351	0.103	0.284	0.049	0.049	0.031	0.015	0.017	0.742	1.621	0.125	0.369	0.044	0.015	0.026	0.024	0.068	0.157
ASV_94	1.974	11.999	0.0578746411498014	0.365063154900609	NotSig	0.431	0.152	0.386	2.386	0.047	0.067	0.024	0.145	0.265	0.129	0.163	0.07	0.719	0.011	0.029	0.024	0.192	0.013
ASV_207	2.313	8.919	0.0586999682023435	0.365063154900609	NotSig	0.044	0.011	0.007	0	0.001	0.05	0.004	0.002	0.046	0.245	0.012	0.053	0.002	0.003	0.001	0.005	0.007	0.004
ASV_104	2.033	11.128	0.0630920855924521	0.365063154900609	NotSig	0.237	0.083	0.102	1.232	0.02	0.003	0.008	0.085	0.425	0.018	0.041	0.008	0.339	0.004	0.051	0.008	0.185	0.029
ASV_91	-2.199	11.377	0.0636603997760485	0.365063154900609	NotSig	0.089	0.338	0.002	0.029	0.029	0.108	0.046	0.476	0.009	0.014	0.023	0.002	0.942	0.208	1.476	0.003	0	0.049
ASV_75	-1.769	11.906	0.0674838552201343	0.365063154900609	NotSig	0.149	0.475	0.352	0.14	0.065	0.126	0.104	0.368	0.005	0.028	0.139	0.037	0.084	0.055	0.118	1.452	0.298	1.615
ASV_183	-3.677	9.383	0.0676851571574209	0.365063154900609	NotSig	0.008	0.088	0	0	0	0.055	0.005	0	0	0	0	0	0	0	0.694	0.01	0	0
ASV_188	1.906	9.899	0.0691243843598786	0.365063154900609	NotSig	0.109	0.035	0.133	0.015	0.038	0.005	0.015	0.023	0.61	0.032	0.005	0.003	0.017	0.025	0.003	0.03	0.12	0.075
ASV_55	1.83	13.491	0.0773030166502666	0.389882168614266	NotSig	1.022	0.353	0.269	0.033	1.875	0.323	0.366	0.334	0.089	4.883	0.176	0.129	0.024	1.105	0.349	0.381	0.256	0.402
