ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077
ASV_89	1.492	12.047	0.00808324502257233	0.0379463446892979	Enriched	0.32	0.161	0.062	0.005	0.009	0.001	0.043	0.053	0.099	0.022	0.002	0.099	0.09	0.074	0.015	0.013	0.092	0.016	0.027	0.038	0.021	0.01	0.052	0.014	0.178	0.044	0.049	0.029	0.048	0.083	0.219	0.63	0.002	0.027	0.375	0.189	10.337	0.304	0.005	0	0.011	0.028	0.014	0.019	0.467	0.222	0.007	0.16	0.159	0.256	0.771	0.002	0.095	0.081	0.091	0.016	0.014	0.082	0.044	0.007	0.013	0.042	0.108	0.048	0.051	0.104	0.01	0.025	0.033	0.04	0.974	0.117	0.719	0.002	0.004	0.01	0.191	0.431	0.4	0.04	0.006	0.012	0.566	0.009
ASV_82	-1.354	10.75	0.00895733642079302	0.0409132393274059	Depleted	0.091	0.226	0.029	0.188	0.163	0.118	0.169	0	0.179	0.097	0.648	0.417	0.028	0.03	0.113	0.147	0.056	0.032	0.13	0.765	0.017	0.041	0.003	0.005	0.055	0.011	0.002	0	0.011	0.002	0.025	0.014	0.214	0.001	0.001	0.017	0.012	0.007	0.015	0.004	0.02	0.014	0	0.042	0.027	0.237	1.881	0.628	0.285	0.674	0.184	1.46	0.296	0.006	0.307	0.209	0.108	0.073	0.044	0.135	0.426	0.343	0.024	0	0	0.018	0	0.004	0.005	0.003	0.002	0	0.026	0	0.008	0.348	0.011	0.002	0.747	0.016	0.479	0.008	0.013	0.022
ASV_21	1.386	12.889	0.0100281223633799	0.0445987547213475	Enriched	0.834	0.332	0.096	9.327	7.176	2.49	0.359	0.082	0.691	2.729	0.054	0.138	0.398	1.838	0.544	1.606	0.368	0.402	0.312	0.755	1.05	0.642	0.183	0.044	0.002	0.01	0.002	0.219	0.028	1.598	0.007	0.029	0.008	0.009	0	1.458	0.016	0.005	0.009	0.007	0.27	0.048	0.005	0.009	0.09	2.027	1.063	0.058	0.091	0.121	0.64	0.132	0.104	0.143	0.643	0.233	0.691	0.323	1.87	0.477	0.419	1.234	0.13	0.169	0	0.003	0.774	0.022	0.055	0.021	0.72	0.002	0.077	0.033	0.141	0.012	0.219	0.008	0.011	0.008	0.475	0.002	0.004	0.032
ASV_44	-1.269	11.678	0.0107754182302508	0.0466934789977533	Depleted	0.173	0.406	1.63	0.086	0.029	0.015	0.378	0.066	0.323	1.004	0.006	0.126	0.251	0.125	0.514	0.088	0.411	0.023	0.097	0.031	0.008	0.134	0.004	0.039	0.768	0.008	0.046	0.003	0.017	0.006	0.041	0.216	0.081	0.039	0.015	0.016	0.045	0.074	0.026	0.003	0.008	0.198	0.262	0.012	5.79	0.183	0.044	0.889	0.694	0.55	4.62	0.049	0.076	0.513	0.11	1.411	0.069	0.174	0.17	0.051	0.017	0.027	0.046	0.01	0.155	0.085	0.006	0.041	0.011	0.036	0.014	0.036	0	0.007	0.036	0.035	0.03	0.139	0.012	0.055	0.008	0.017	0.003	0.001
ASV_149	1.295	10.777	0.0121656484897839	0.0513998648693368	Enriched	0.154	0.09	0.022	0.056	0.084	0.157	0.495	3.212	0.224	0.083	0.015	0.014	0.068	0.084	0.176	0.052	0.094	0.436	0.217	0.162	0.093	0.031	0.165	0.002	0.237	0	0.003	0.018	0.005	0.011	0.034	0.005	0.002	0.008	0.054	0.01	0.002	0.009	0.034	0.001	0.056	0.015	0.001	0.008	0.009	0.117	0.046	0.784	0.151	0.199	0.12	0.058	0.013	0.024	0.098	0.135	0.037	0.181	0.109	0.114	0.103	0.222	0.053	0.008	0	0.009	0.003	0.011	0.002	0.001	0.027	0.017	0.002	0	0.018	0.143	0.088	0.012	0.017	0.015	0.626	0.008	0	0.012
ASV_20	1.199	13.862	0.0127999078625873	0.0514915487318501	Enriched	1.363	0.62	0.026	0.686	1.29	0.067	0.128	0.002	0.684	0.542	0.151	0.598	0.231	0.063	0.182	0.343	0.42	0.1	0.673	0.302	0.085	0.143	0.326	1.008	0.035	0.015	7.293	0.038	0.291	0.225	13.575	0.046	12.326	0.072	0.031	0.078	2.076	0.933	1.191	0.096	0.566	7.609	2.461	0.221	0.027	0.264	0.184	0.326	0.082	0.391	0.432	0.217	0.677	0.131	0.523	0.326	0.632	0.36	0.101	0.414	1.413	0.429	0.187	0.024	0.131	0.903	0.06	0.717	0.065	0.593	0.468	0.479	0.299	3.205	0.097	0.261	0.149	0.056	1.101	0.702	7.685	0.374	0.14	0.175
ASV_107	-1.301	9.631	0.0133024926924715	0.0514915487318501	Depleted	0.049	0.092	0.253	0.002	0.017	0.006	0.029	0.002	0.074	0.068	0.017	0.004	0.028	0.248	0.238	0.289	0.158	0.025	0.192	0.157	0.034	0.002	0	0.002	0.002	0.001	0.007	0.02	0.028	0.008	0	0	0.008	0.005	0.009	0.035	0	0.004	0.001	0	0.063	0.008	0.002	0.003	0.447	0.001	0.016	0.04	0.062	0.035	0.063	0.013	0.025	0.107	0.317	0.085	0.419	0.08	0.825	0.142	0.229	0.161	0.04	0	0	0	0.055	0.001	0.008	0	0.005	0	0.004	0.262	0.004	0.006	0	0	0.011	0.011	0.015	0.01	0.008	0.17
ASV_11	1.065	13.936	0.0133295895389576	0.0514915487318501	Enriched	1.78	0.707	0.243	1.05	0.607	0.75	0.321	0.451	0.111	0.63	0.887	0.525	1.807	0.117	0.158	0.157	0.123	0.05	0.127	0.138	0.526	0.595	0.801	0.207	0.408	0.193	0.282	1.601	3.94	0.358	0.824	4.003	0.036	2.66	0.85	0.874	0.152	1.499	42.835	0.484	1.299	0.414	0.871	0.799	0.133	0.328	0.47	0.2	0.486	0.132	0.643	0.292	0.939	0.893	0.115	0.201	0.043	0.115	0.032	0.049	1.56	0.174	0.715	0.806	1.454	0.214	0.56	0.702	0.502	0.95	0.24	6.423	0.086	0.027	0.113	0.821	0.811	1.555	1.492	1.943	0.419	1.305	0.2	0.136
ASV_87	-1.206	12.835	0.0134060836934994	0.0514915487318501	Depleted	0.343	0.592	0.098	0.08	0.235	0.42	0.016	0.061	0.029	0.049	0.782	0.115	0.113	1.133	0.327	0.284	0.045	0.118	0.067	0.524	0.032	0.048	0.947	1.045	0.162	0.083	0.993	0.381	0.186	2.674	0.02	1.036	0.067	0.067	0.426	0.046	0.007	0.07	0.053	0.266	0.264	0.175	0.098	0.753	0.086	0.031	0.144	0.026	0.05	0.049	0.173	0.328	0.158	0.066	0.444	0.384	0.104	0.019	0.047	0.056	0.302	0.172	0.048	6.24	0.044	0.009	0.086	0.408	10.301	0.144	2.798	0.12	0.029	0.055	0.119	0.051	0.027	0.079	0.172	0.096	0.035	0.081	0.087	0.026
ASV_140	-1.369	10.777	0.0138331894305728	0.0519513114170402	Depleted	0.106	0.299	0.065	0.021	0.044	0.018	0.128	0	0.081	0.815	0.029	0.012	0.035	0.553	1.277	0.049	0.527	0.025	0.182	0.091	0.04	0.002	0.003	0.039	0.07	0.004	0.003	0.007	0.156	0.003	0.007	0.009	0.002	0.02	0.015	0.017	0	0.004	0.004	0.102	0.004	0.001	0	0	0.023	0.018	0.036	0.11	0.074	0.051	0.614	0.036	0.032	0.018	0.463	0.005	0.185	0.337	8.258	0.917	0.17	0.126	0.022	0.007	0.014	0	0.017	0.008	0.006	0.003	0.014	0.018	0	0.002	0.006	0	0.075	0.043	0.076	0.024	0.148	0.004	0.004	0.001
ASV_881	-1.352	11.818	0.015316760127346	0.0562724448156842	Depleted	0.235	0.493	0.164	0.024	0.073	0.086	0.2	0.007	0.169	0.051	0.084	0.097	0.188	1.239	1.01	2.165	0.645	0.218	1.469	0.793	0.191	0.368	0	0.005	0.024	0.153	0	0.005	0.014	0.008	0.096	0.226	0	0.005	0.035	0	0.004	0.02	0.025	0.017	0.001	0.003	0	0	0.993	0.045	0.085	0.835	0.436	0.11	0.173	0.452	0.072	0.11	2.444	0.598	7.676	0.403	0.949	0.484	0.627	0.676	1.317	0.005	0.015	0.156	0.006	0	0.003	0.003	0.013	0.032	0.026	0.004	0.002	0.002	0.002	0.717	0.045	0.013	0.15	0	0.02	0.007
ASV_127	1.463	10.459	0.0180809687992997	0.0646644194052447	Enriched	0.124	0.056	0.282	0.018	0.024	0.004	0.034	0.087	0.048	0.051	0.004	0	0	0	0.002	0	0.013	0.093	0.017	0.026	0.025	0.004	0.018	0.066	0.013	0.024	0.096	0.023	3.19	0.058	0.098	0.37	0	0.225	0.004	0.002	0.001	0.012	0.055	0.089	0.091	0.019	0	0.005	0.142	0.006	0.023	0.035	0.064	0.108	0.073	0	0	0	0.007	0	0	0.016	0	0.009	0.048	0.015	0.02	0.005	0.029	0.067	0.043	0.134	0.02	0.061	0.071	1.081	0.002	0	0.02	0.009	0	0.002	0.032	0.048	0.015	0.021	0	0
ASV_166	-2.314	11.368	0.018366225629892	0.0646644194052447	Depleted	0.112	0.424	0	0.003	0.017	0.003	0	0	0	0	0.067	0.081	0.01	0.049	0.644	2.616	0.125	0.288	0.471	0.281	0.006	0	0	0	0	0.001	0.002	0.003	0.003	0.003	0.023	0.001	0	0.005	0	0	0	0	0	0.004	0	0.002	0	0	0	0.01	0.003	0.002	0.01	0	0	0.763	0.003	0.107	1.01	0.466	11.962	0.085	0.052	1.558	0.377	0.508	0.002	0	0	0	0	0	0	0.022	0	0.017	0	0	0	0	0	0	0	0	0.01	0	0	0
ASV_75	1.098	11.533	0.0214161984297807	0.0738640313190394	Enriched	0.307	0.154	2.574	1.693	1.196	0.252	1.95	0.39	0.162	0.311	0.143	0.041	0.391	0.033	0.106	0.064	0.5	0.02	0.145	0.195	0.106	0.109	0.32	0.147	0.875	0.041	0.067	0.008	0.017	0.011	0.769	0.018	0.006	0.02	0.054	0.009	0.006	0.057	0.044	0.003	0.011	0.007	0.028	0.005	0.091	1.317	0.23	0.715	0.089	0.083	0.249	0.232	0.013	0.003	0.448	0.106	0.104	1.001	0.141	0.033	0.185	0.096	0.117	0.021	0.007	0.049	0.006	0.014	0.015	0.026	0.066	0.307	0	0	0.115	0.044	0.016	0.015	0.009	0.047	0.055	0.002	0.027	0.061
ASV_46	0.949	11.494	0.0226708720859768	0.0766275476506016	Enriched	0.333	0.176	0.248	0.417	0.27	0.416	0.213	0.652	0.58	1.041	0.132	0.49	0.163	0.515	0.431	1.198	0.1	0.558	0.414	0.707	3.875	0.128	0.311	0.12	0.097	0.001	0.007	0.083	0.042	0.103	0.041	0.069	0.018	0.012	0.004	0.422	0.012	0.014	0.004	0.036	0.024	0.006	0.001	0.007	0.126	0.142	0.104	0.079	0.322	0.048	0.288	0.181	0.69	0.161	0.36	0.214	0.61	0.181	0.237	0.235	0.558	0.854	0.288	0.25	0.003	0.009	0.152	0.018	0.024	0.015	0.051	0.015	0.136	0.042	0.008	0.007	0.02	0.037	0.101	0.078	0.361	0.012	0.012	0.019
ASV_174	-1.276	10.937	0.0234789398875329	0.0778027615880992	Depleted	0.106	0.204	0.161	0.027	0.048	0.051	0.117	0.007	0.135	0.038	0.44	0.15	0.739	0.188	0.147	0.085	0.022	0.325	0.05	0.243	0.025	0.014	0.036	0.129	0.746	0	0.096	0.105	0.089	0.116	0.014	0.003	0	0.065	0	0.001	0	0	0.002	0.024	0.006	0.007	0	0.001	0.006	0.056	0.062	0.109	0.086	0.895	0.016	0.495	0.047	0.036	0.305	0.024	0.043	0.092	0.049	0.773	0.134	0.075	0.007	0.025	4.234	0.146	0	0.064	0.042	0.014	0.018	0.106	0	0	0	0.002	0	0.041	0.013	0.011	0.134	0.002	0	0.007
ASV_70	-1.361	10.819	0.027132151042431	0.0881794908879006	Depleted	0.097	0.282	0.085	0.003	0.009	0.007	1.42	0.049	0.345	0.146	0.34	0.043	0.058	0.376	0.113	0.021	0.02	0.395	0.302	0.076	0.011	0.027	0.004	0.02	0	0.079	0.005	0.007	0	0.002	0.011	0.1	0	0.002	0.001	0.001	0.001	0.001	0	0	0	0.005	0.004	0.003	0.347	0.001	0.007	4.502	0.765	0.564	2.256	1.426	0.101	0.102	0.07	0.262	0.051	0.024	0.047	0.282	0.061	0.088	0.121	0.007	0	0.003	0.003	0	0.006	0.033	0.011	0.03	0	0	0.002	0.001	0.02	0	0.062	0.001	0.009	0.004	0.003	0
ASV_81	-1.003	12.267	0.030259378676238	0.0959119190081117	Depleted	0.221	0.38	0.064	0.099	0.167	0.097	0.061	0.116	0.045	0.097	0.029	0.03	0.241	0.06	0.106	0.075	0.031	0.016	0.095	0.098	0.013	0.017	0.183	0.112	0.094	0.579	0.587	0.858	0.302	0.34	0.016	0.895	0.014	0.125	0.123	0.07	0.025	0.308	0.075	0.137	0.464	0.442	0.194	1.804	0.006	0.008	0.145	0.116	0.173	0.086	0.19	0.006	0.18	0.081	0.101	0.122	0.016	0.026	0.035	0.019	0.071	0.036	0.196	0.169	0.65	0.031	0.992	0.418	1.06	0.124	0.111	0.336	3.86	0.042	0.085	0.012	0.017	4.125	0.159	0.239	0.019	0.819	0.216	0.106
ASV_129	-1.18	11.925	0.0308405987372106	0.0959119190081117	Depleted	0.162	0.267	0.016	0.033	0.101	0.024	0.02	0.066	0.039	0.092	0.027	0.087	0.07	0.103	0.087	0.031	0.051	0.027	0.065	0.198	0.002	0.014	0.03	0.042	0.011	0	0.11	0.011	0.025	0.166	0.018	0.03	0.03	0.012	0.016	2.693	0.008	0.024	0.053	0.022	0.152	1.856	0.005	0.319	0.069	0.039	0.033	0.158	0.032	0.137	0.435	0.068	0.164	0.084	0.096	0.087	0.03	0.049	0.02	0.033	0.023	0.031	0.002	0.754	0.003	0.009	0.058	0.106	0.032	0.072	0.119	0.438	0.004	0.005	0.113	0.016	0.025	0.056	0.062	0.039	0.097	7.08	0.003	0.009
ASV_33	1.155	12.902	0.0312139381387346	0.0959119190081117	Enriched	0.797	0.431	0.057	0.862	0.6	1.907	0.605	0.053	0.212	5.883	0.218	0.079	0.321	0.683	0.531	0.201	4.36	0.313	0.397	0.162	1.273	11.966	0.001	0.005	0.004	0	0.096	0.007	0.014	0.003	0.077	0.052	1.735	0.048	0.301	0.091	0.03	0.082	0.061	0.11	0.028	0.031	0.017	0.003	0.04	0.587	1.195	0.293	0.102	0.172	1.406	0.239	1.515	0.197	1.012	1.109	0.106	1.601	0.692	0.312	0.189	0.142	2.153	0.008	0.003	0.003	0	0.035	0.011	0.026	0.251	0.156	0	0.002	0.02	0.166	0.432	0.027	1.457	1.369	0.018	0.167	0.037	0.004
ASV_72	1.207	12.624	0.0319382248510648	0.0963849999969633	Enriched	0.602	0.237	0	0.082	0.07	0.456	0.265	0.299	0.115	0.912	0.407	0.059	0.088	0.076	0.143	0.028	0.484	0.209	0.012	0.007	0.696	0.039	0.469	15.766	0.167	0.006	1	0.078	0.145	0.327	0	0.003	0.016	0.036	0.127	0.604	0.352	0.41	0.055	0.048	0.447	0.787	0.012	0.001	0.001	0.032	0.153	0.456	0.075	0.13	0.491	0.122	0.06	0.054	0.146	0.034	0.014	0.355	0.158	0.002	0.061	0.019	0.057	0.055	0.102	0.345	0.043	0.07	0.026	0.082	1.46	0.002	0	0.015	0.061	3.755	0.745	0.023	0.038	0.172	0.033	0.017	0.017	0
ASV_52	-1.072	13.228	0.0391114044234213	0.115961883290495	Depleted	0.422	0.659	0.419	0.021	0.04	0.001	0.101	0.077	0.084	0.094	0.069	0.525	0.008	0.011	0.02	0.08	0.047	0.016	0.065	0.372	0.023	0.244	0.131	1.268	0.208	0.48	0.331	1.898	0.097	3.646	0.205	3.611	0.002	0.104	0.356	0.305	0.165	0.254	0.513	0.934	0.073	0.137	0.198	0.491	0.433	0.039	0.038	0.179	0.111	0.037	0.146	0.134	0.233	0.009	0.06	0.008	0.053	0.014	0.074	0.037	0.027	0.126	0.161	0.063	1.235	0.067	0.867	0.087	0.136	0.094	0.579	0.109	2.26	0.053	0.097	0.524	0.059	0.964	0.339	0.191	0.379	0.019	4.575	11.753
ASV_24	1.982	11.902	0.0456440312627578	0.131790507308856	Enriched	0.436	0.094	0.003	0	0	0	0	0	0	0.014	0	0.002	0.008	0.003	0	0	0.011	0	0	0.002	0	0	0	0	0.004	0	12.141	0	0	0.005	0.005	0	0	0.016	0.003	0.001	0.012	0.067	0.362	0.639	0.243	4.791	0	0	0.014	0.001	0.002	0.002	0	0	0.002	0	0.23	0.012	0.007	0	0	0.007	0.002	0.002	0	0.006	0	0	0.134	0.003	0.041	0.746	0.011	0	0.002	0.014	0	0	0	0.151	0.003	0.002	1.158	0.265	0.217	0.703	0.023	0
ASV_104	1.085	11.434	0.0461561440544016	0.131790507308856	Enriched	0.294	0.175	0.2	0.07	0.191	0.103	0.074	0.014	0.075	0.031	7.247	0.593	0.877	0.035	0.089	0.064	0.018	0.275	0.045	0.179	0.032	0.004	0.048	0.01	0.031	0.015	0.002	0.091	0.08	1.311	0.007	0	0.002	0.281	0.003	0.008	0.017	0.014	0.008	0.165	0.038	0.008	0.004	0.012	0.012	0.574	0.116	0.068	0.042	1.161	0.025	2.2	0.126	0.027	0.019	0.032	0.004	0.024	0.052	0.785	0.994	0.123	0.015	0.022	0.008	0.009	0.027	0.022	0.149	0.025	0.148	0.033	0	0.002	0.028	0.002	0	0.006	0.033	0.029	0.006	0.019	0.007	0.011
ASV_90	-0.904	12.181	0.0467895292220789	0.131790507308856	Depleted	0.237	0.387	1.117	0.011	0.02	0.004	0.074	0.019	0.343	0.246	0.017	0.038	0.193	0.025	0.065	0.052	0.058	0.043	0.16	0.145	0.047	0.188	0.04	0.144	0.312	0.056	1.429	0.011	0.177	0.033	0.36	1.385	0.052	0.069	0.07	0.018	0.021	0.327	0.245	0.713	0.113	1.334	0.055	0.138	0.947	0.014	0.026	0.365	0.126	0.049	0.204	0.043	0.088	0.134	0.096	0.066	0.148	0.014	0.049	0.091	0.075	0.04	0.128	0.031	0.628	0.214	0.144	0.153	0.033	0.172	0.042	0.198	1.875	0.166	4.974	0.355	0.011	0.653	0.319	0.137	0.367	0.019	2.274	0.025
ASV_16	1.41	13.518	0.050315536203652	0.13939878062979	NotSig	1.168	0.554	0.423	8.612	6.077	0.852	0.169	1.031	0.145	0.197	0.059	0.348	1.128	0.991	0.756	0.642	0.902	0.458	2.107	3.63	0.095	0.343	0.004	0.542	0.004	0	0.003	0.002	0.013	0.002	0.009	0	19.29	0.117	0.092	0	0	0.002	0	0	0	0	0.001	0.006	0.341	4.865	1.079	0.163	0.842	0.089	0.158	0.247	0.18	2.021	0.484	1.831	0.118	0.753	0.637	0.433	0.952	6.36	0.187	0.005	0.002	0.027	0.003	0.008	0.003	0.006	0	0.002	0	0.06	0.186	0.082	0	0	0.001	0	0.001	0.006	0.012	0
ASV_870	-0.855	10.838	0.0533099893061099	0.144537563604649	NotSig	0.142	0.23	0.039	0.005	0.015	0.008	0.083	0.007	0.133	0.186	0.031	0.093	0.133	0.536	0.735	1.273	0.292	0.077	0.574	0.481	0.07	0.012	0.006	0.029	0.044	0	0.04	0.046	0.269	0.156	0.018	0.005	0.004	0.018	0.031	0.054	0.008	0.062	0.021	0.032	0.303	0.002	0.005	0.012	0.017	0.007	0.015	0.095	0.496	0.033	0.214	0.107	0.145	0.773	0.755	0.209	1.984	0.202	1.705	0.393	0.52	0.454	0.141	0.001	0.005	0.006	0.152	0.011	0.045	0.021	0.011	0.006	0.051	0.172	0	0.006	0.008	0.021	0.134	0.172	0.049	0.029	0.009	0.017
ASV_40	-0.79	12.118	0.053880866905875	0.144537563604649	NotSig	0.254	0.479	1.199	0.045	0.117	0.111	0.6	0.359	0.28	0.579	0.042	0.002	0.413	0.074	0.323	0.126	0.188	0.064	0.232	0.229	0.055	0.211	0.012	0.325	0.68	0.004	0.897	0.003	0.044	0.094	0.551	0.116	0.532	0.021	0.035	0.201	0.135	0.407	0.411	0.004	0.022	0.249	0.665	0.015	1.392	0.781	0.602	1.346	0.978	0.871	3.233	0.068	0.066	2.49	0.221	1.44	0.315	0.224	0.131	0.156	0.099	0.082	0.268	0.012	0.141	0.098	0.014	0.062	0.015	0.01	0.051	0.068	0.029	0.084	0.317	0.116	0.659	0.029	0.265	0.363	0.059	0.087	1.859	0.049
ASV_114	1.374	10.977	0.0549992813041311	0.145232477193721	NotSig	0.136	0.068	0.016	0.002	0.004	0	0.004	0.019	0.048	0.009	0.021	0.022	0.018	0	0	0.01	0.004	0.091	0.015	0.024	0.025	0.004	0.012	0.075	0.004	4.608	0.017	0.007	0.002	0	0	0	0.004	0.034	0	0.002	0.566	0.039	0	0	0.001	0	0.004	0.005	0	0.004	0.002	0.012	0.007	0.151	0.013	0.032	0.016	0.027	0	0.008	0	0.021	0.002	0.021	0.004	0.042	0.011	1.085	0.549	0.061	0.01	0.001	0.002	0.003	0.069	0.192	0.064	0.002	0	0.002	0.005	0.015	0.026	0.001	0.03	0	0.194	0.055
ASV_48	0.935	11.457	0.0558865639891371	0.145305066371756	NotSig	0.248	0.167	0.054	0.174	0.09	0.243	0.294	0.16	0.996	0.2	0.809	0.16	0.145	0.005	0.011	0.101	0.143	0.529	0.384	0.322	0.066	0.149	0.083	0.056	0.002	0.006	0.047	0.036	0.038	0.003	0.064	0	0.018	0.027	0.016	4.763	0.018	0.125	0.026	0.008	0.004	0.012	0.018	0.015	0.124	0.133	0.119	0.2	0.178	0.184	0.125	1.411	0.006	0.033	0.029	0.034	0.018	0.111	0.111	0.147	0.66	0.448	0.064	0.041	0.002	0.775	0.091	0.009	0.002	0.003	0.003	0.024	0	0.077	0.168	0.02	0.852	0.035	0.089	0.241	0.033	0.012	0.043	0.035
ASV_9	0.79	14.554	0.0593414294317427	0.151950023847947	NotSig	2.173	1.186	0.74	1.402	1	1.309	0.652	0.84	0.384	0.582	0.499	1.663	0.807	0.577	0.355	0.49	0.616	0.545	0.604	0.876	0.498	0.14	9.594	25.887	1.744	0.784	3.041	10.42	0.819	2.853	0.963	12.256	0.133	0.189	0.95	0.16	0.139	0.217	0.941	0.048	0.958	1.632	0.93	2.048	1.956	0.311	0.397	1.183	0.54	0.99	1.227	0.345	0.765	0.672	0.573	0.214	0.102	0.325	0.17	0.317	1.172	0.87	0.244	2.515	0.345	6.706	0.756	0.391	0.678	0.793	10.564	1.633	0.253	5.162	1.715	0.131	0.114	0.24	0.448	0.257	0.524	0.333	1.323	0.169
ASV_116	0.967	11.505	0.0631536515844129	0.159298016683071	NotSig	0.364	0.183	0.037	0.556	0.213	0.85	0.117	0.121	0.077	0.099	0.323	0.273	0.053	0.06	0.496	2.621	0.35	3.49	1.708	1.61	1.298	0.035	0.003	0.024	0.004	0.244	0.003	0.008	0.003	0.002	0.002	0.001	0.022	0.012	0.004	0.364	0.004	0.101	0.013	0	0.013	0.023	0.033	0.01	0.04	0.091	1.6	0.039	0.122	0.065	0.024	0.079	0.063	0.015	0.206	0.127	0.224	0.29	0.21	1.176	1.082	1.354	0.123	0.02	0	0.021	0.06	0.006	0.012	0.007	0.014	0.077	0.002	0.005	0.006	0.008	0.047	0.002	0.03	0.005	0.04	0.004	0.005	0.022
ASV_4	-0.723	15.066	0.0651024625249671	0.16003266569115	NotSig	2.363	3.931	2.036	0.527	0.615	0.209	2.593	1.391	8.563	2.191	1.098	1.357	3.962	4.773	5.014	10.057	3.893	1.747	9.03	7.481	1.529	0.506	0.147	0.511	2.354	0.079	0.132	0.511	6.101	2.393	0.64	0.161	0.062	0.293	0.096	6.335	0.274	8.547	0.901	0.418	0.171	0.1	0.43	0.009	1.298	0.647	0.42	2.021	9.834	2.24	2.713	3.615	9.63	20.217	5.28	1.429	11.057	3.319	10.926	6.044	9.995	10.439	4.525	0.081	0.143	12.143	3.926	0.154	0.352	0.403	0.323	0.367	0.442	0.913	0.085	5.777	2.421	0.313	3.41	6.42	2.024	1.477	0.152	0.242
ASV_157	1.275	9.451	0.0653387806668008	0.16003266569115	NotSig	0.054	0.032	0.042	0.003	0.002	0	0	0.014	0.004	0.028	0.184	0.01	0.013	0.003	0.011	0.003	0.002	0	0.007	0.017	0.206	0.229	0.001	0.002	0.004	0.914	0.005	0	0	0.002	0.002	0.003	0	0.515	0	0	0.036	0.005	0	0	0	0	0.001	0	0.105	0.001	0.005	0.004	0.01	0.016	0.025	0.026	0.006	0.039	0.01	0.011	0	0.009	0.002	0	0.354	0.015	0.196	0.009	0.121	0.006	0	0.002	0	0	0.01	0.209	0.015	0	0	0.001	0	0.004	0.001	0.006	0.001	0	0.005	0.056
ASV_91	-1.241	11.856	0.0767230922818771	0.18523146565196	NotSig	0.147	0.256	0.006	0	0	0.003	0	0.005	0.14	0	0.103	0.531	0.01	0.046	0.093	0.054	0.033	0.095	1.127	0.055	0	0.004	0.553	0.015	0.029	2.641	0.002	0.054	0.216	0.058	0.002	0.243	0	0.015	0	0.001	0	0.001	0.002	0.015	0.005	0.013	0.001	0.007	0.013	0.003	0.029	0.004	0.03	0.057	0.002	0.279	0.425	0.069	0.017	0.069	0.008	0.009	0.025	0.1	0.075	0.322	0.024	0.043	0.01	0.018	0.046	0.017	0.728	6.894	0.104	0.691	0	0	0	0	0.005	0.002	0.106	0.004	0.004	0	0.001	0.004
ASV_144	0.934	10.182	0.0849996357936583	0.202323076748285	NotSig	0.123	0.072	0.002	0.006	0.006	0.191	0.146	0.141	0.047	0.731	0.004	0.002	0.479	0.049	0.225	0.157	0.362	0.186	0.04	0.045	0.668	1.225	0	0.003	0.29	0	0.002	0	0.006	0	0.046	0	0.026	0.011	0.007	0	0.012	0.014	0.015	0.001	0.001	0.001	0	0	0.146	0.011	0.096	0.114	0.089	0.048	0.09	0.006	0.047	0.322	0.058	0.119	0.169	0.075	0.294	0.293	0.063	0.056	0.378	0	0.044	0.052	0.001	0.004	0.002	0.006	0	0.039	0.004	0.005	0.004	0.007	0.003	0.002	0.046	0.041	0.055	0.002	0.089	0.004
ASV_71	0.858	10.256	0.0908588818472177	0.210601991447004	NotSig	0.106	0.084	0.028	0.003	0.011	0.01	0.005	0.208	0.018	0.038	0.044	0.022	0.085	0.131	0.21	0.052	0.031	0.016	0.015	0.081	0.013	0.056	0.004	0.008	0.002	0.053	0.002	0.002	0	0	0.025	0.593	0.01	0.081	2.178	0.027	0.016	0.145	0.019	0.007	0.011	0.019	0.009	0.181	0.006	0.013	0.007	0.021	0.357	0.035	0.158	0.188	0.035	0.087	0.257	1.519	0.051	0.024	0.067	0.058	0.01	0.036	0.002	0.013	0.005	0.031	0	0	0.005	0.007	0.006	0.03	0	0.009	0.01	0.078	0.009	0.035	0.079	0.048	0.005	0.043	0.013	0.016
