ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077
ASV_57	-2.975	13.077	0.000244091485954618	0.00317318931741004	Depleted	0.145	1.051	0.002	0.003	0.004	0	0.038	0.003	0.02	0.165	0.002	0	0.03	0.044	0.063	0.072	0.002	0	0.002	0.174	0	0.002	0.168	0.005	0.002	0.039	0.192	0	0.366	0.022	0.018	0.006	0.643	0.18	0.196	0	0	0.016	0.062	0.035	0.052	2.822	0.016	0.63	0	0	0	0.035	0.03	0.1	0.136	0.013	0.019	0.012	0.331	0.09	0.053	0	0	0.012	0.004	0.002	0	0.533	0	0.003	0.056	0.043	0.002	0.05	0.238	0.006	0	0.119	39.791	0.199	0	0	0.05	0.015	0.03	0.054	0.013	0.015
ASV_199	2.708	10.406	0.000439297686441706	0.00530295064347489	Enriched	0.143	0.02	0	0	0	0	0.002	0	0.009	0	0.002	0.036	0.008	0.016	0	0.003	0	0	0	0.007	0.002	0.002	0.001	0.183	0.033	0.001	0.015	0.002	0.002	0	0	0	0.062	0.036	4.795	0.007	0.01	0.22	0.024	0	0.018	0.048	0.031	0.432	0	0	0	0	0	0.01	0.003	0	0.035	0.006	0.014	0	0.002	0	0.025	0	0	0.008	0.013	0.004	0.019	0.04	0.001	0.05	0.005	0.003	0.053	0.002	0.002	0.007	0.024	0.033	0.006	0.085	0.025	0.096	0.028	0.023	0.064	0.135
ASV_58	1.628	11.699	0.000524436025961613	0.00582093177705016	Enriched	0.359	0.145	0.056	0.156	0.161	0.322	0.335	0.168	0.249	0.123	0.038	0.089	0.965	0.874	0.147	0.162	0.388	0.647	0.229	0.288	0.407	7.921	0.018	0.005	0.018	0.001	0.03	0.046	0.006	0.239	0.027	0.084	0.012	0.016	0.013	0.467	0.012	0.021	0.018	0.066	0.052	0.031	0.005	0.171	0.026	0.182	0.103	0.345	0.121	0.06	0.106	0.083	0.164	0.463	0.353	0.524	0.077	0.341	0.222	0.163	0.642	0.224	0.257	0.025	0	0.003	0.018	0.014	0.027	0.035	0.434	0.005	0.02	0.004	0.01	0.29	0.067	0.006	0.095	0.019	0.142	0.012	0.02	0.082
ASV_177	-2.236	11.712	0.000551094132738477	0.00582093177705016	Depleted	0.074	0.327	0.043	0.339	0.169	0.064	0.018	0.01	0.004	0.012	0.017	0.018	0.003	0	0.063	0.015	0.029	0.027	0.04	0.019	0.136	0.008	0.012	0.044	0.007	0.004	0.02	0.026	0.106	0.05	1.124	0.036	0.002	0.009	0.003	0.106	0.227	0.021	0	0	0.005	0.002	0.002	0.262	0.028	0.19	0.056	0.009	0.012	0.008	0	0.006	0.016	0	0.019	0.016	0.008	0.026	0.015	0.072	0.038	0.048	0.007	0.03	0	0.177	1.136	0.018	0.047	4.319	0.458	6.173	0.002	0	0.036	0.043	0.006	0.004	0.011	0.014	0.001	0	0.019	0.005
ASV_35	-2.205	14.178	0.000598311220232667	0.00594791742466592	Depleted	0.461	1.443	0.169	0.023	0.134	0.173	0.13	0.017	0.104	0.67	0.019	0.032	0.035	0.057	0.048	0.052	0.02	0.011	0.077	0.091	0	0.01	0.195	0.269	4.908	0.508	0.078	5.079	1.977	3.225	0.294	0.023	0.008	0.575	0.001	0.019	0.004	0.046	0.062	0.034	0.011	0.035	0.064	0.067	0.073	0.018	0.292	0.063	0.074	0.49	0.363	0.032	0.022	0.021	0.055	0.151	0.037	0.047	0.005	0.016	0.025	0.071	0.033	0.072	0.926	0.134	0.33	0.217	10.728	31.222	1.381	3.982	0.002	0.007	0.164	0.007	0.003	0.271	0.066	0.024	0.159	0.015	0.134	5.997
ASV_61	2.714	12.303	0.00090594427844684	0.008505810169862	Enriched	0.562	0.135	0	0.091	0.048	1.782	0.503	0	0.635	0.145	1.098	0.087	0.013	0.005	0	0.003	0	0.263	2.239	0.438	0.002	0.409	0	0	0	0	0.002	0.007	0.016	0	0.077	0.001	15.661	0.029	0.018	0	0.001	0.005	0.002	0	0.003	0.007	0	0.009	0	0.094	0.153	0.635	0.414	0.463	0.16	0.571	0	0.048	0.002	0.408	0.002	0.002	0.002	0.242	1.384	0.374	0.112	0	0	0	0	0.004	0.005	0.007	0.002	0.118	0	0.015	0.036	0.026	0	0	0.007	0.013	0.003	0.087	0.001	0
ASV_134	1.443	10.789	0.000979613904310462	0.00860151897382132	Enriched	0.187	0.074	0.019	0.039	0.05	0.153	0.056	0.012	0.045	0.059	0.019	0.053	1.496	0.174	0.102	0.088	0.067	0.293	0.272	0.121	0.316	0.035	0.003	1.255	0.011	0	0.005	0.069	1.127	0.235	0.084	0.061	0.004	0.016	0.004	0.582	0.007	0.036	0.029	0.043	0.048	0.013	0.02	0.749	0.005	0.057	0.023	0.068	0.06	0.048	0.076	0.009	0.101	0.403	0.067	0.077	0.051	0.068	0.052	0.491	0.168	0.098	0.048	0.013	0.017	0.021	0.036	0.008	0.058	0.317	0.162	0.103	0.035	0.064	0.008	0.009	0.005	0.014	0.033	0.014	0.009	0.025	0.023	0.011
ASV_64	3.454	12.122	0.00101793123950548	0.00860151897382132	Enriched	0.403	0.057	0.011	1.594	0.593	0.039	0.106	13.198	0.086	0.014	0.006	0	0.008	0	0.011	0.049	0.15	0.007	0.14	0	0.002	0.194	0	0.674	0.002	0	0.007	0	0	0	0	0	0.006	0.004	0	0	0	0.009	0	0	0	0.001	0	0	0	0.696	0.093	0.117	0.61	0.051	0.013	0	0	0	0	0.106	0.012	0.118	0.23	0.005	0.017	0.004	0.158	0	0.002	0.024	0	0	0	0	0	0	0.002	0	0	0.008	0	0	0.003	0.009	0	0	0	0
ASV_54	-1.72	13.501	0.00111518808359008	0.00897460886317734	Depleted	0.41	0.906	0.065	0.352	0.387	0.053	0.05	0.017	0.061	0.123	0.143	1.626	0.09	0.144	0.102	0.317	0.011	0.034	0.115	0.262	0.197	0.07	0.98	0.149	1.417	0.004	0.037	2.454	0.755	2.541	0.153	1.295	0.018	0.084	0.012	0.017	0.478	0.193	0.014	0.334	1.622	0.198	0.047	0.179	0.072	0.166	0.122	0.026	0.065	0.48	0.078	0.111	0.772	0.06	0.06	0.384	0.047	0.094	0.027	0.035	0.12	0.318	0.954	0.143	0.212	0.217	0.021	0.075	10.24	9.934	1.464	1.34	0.07	0.018	0.036	0.021	0.003	0.114	0.106	0.146	0.601	0.083	0.156	7.259
ASV_142	-2.373	11.303	0.00124891405015086	0.00959393065797707	Depleted	0.054	0.217	0.003	0	0	0	0.002	0.003	0	0.099	0	0	0.013	0.019	0.069	0.034	0	0	0.007	0.002	0	0.017	0.015	0.025	0.013	0	0.391	0.01	0.014	0.146	0.025	0.003	0.06	0.125	0.018	0	0.005	0.037	0.029	0.372	0.098	0.604	0	0.003	0	0	0	0	0.002	0.002	0.062	0	0.003	0.003	0.041	0.405	0.01	0	0.005	0.005	0.008	0	0.062	0.003	0.007	0.034	0.006	0.198	0.012	0.006	0.027	0.516	0.818	0.016	0.038	0.022	0	0.01	0.385	0.473	0.071	4.758	0.662	0.004
ASV_36	1.398	12.524	0.00145800197971461	0.0107131449813813	Enriched	0.68	0.3	0.219	0.617	0.721	1.327	0.364	1.124	0.372	0.254	0.237	0.192	0.564	2.271	0.451	0.536	0.208	6.931	0.741	1.029	0.817	6.277	0.045	0.02	0.031	0.021	0.051	0.168	0.031	0.25	0.155	1.451	0.03	0.028	0.117	0.492	0.017	0.03	0.006	0.064	0.068	0.085	0.004	0.151	0.132	0.64	0.325	0.342	0.327	0.111	0.16	0.868	0.091	0.373	0.796	0.614	0.144	0.421	0.467	1.378	1.139	0.856	0.336	0.05	0.003	0.012	0.046	0.011	0.042	0.014	0.805	0.038	0.092	0.016	0.113	0.252	0.131	0.008	0.495	0.021	0.252	0.01	0.04	0.009
ASV_203	-1.387	9.65	0.00152765895805693	0.0107572651629842	Depleted	0.031	0.092	0.019	0.017	0.009	0.012	0.027	0	0.034	0.085	0.04	0.034	0.023	0.044	0.028	0.021	0.009	0.007	0.017	0.029	0.055	0.029	0.004	0.039	0.136	0.213	0.012	0.003	0.016	0.014	0.027	0.019	0.012	0.088	0.004	0.005	0.01	0.049	0.014	0.001	0.01	0.013	0.085	0.003	0.046	0.024	0.093	0.018	0.025	0.094	0.044	0.015	0.057	0.075	0.012	0.058	0.004	0.019	0.015	0.019	0.088	0.023	0.064	0.022	0.207	0.015	0.027	0.034	0.008	0.057	0.01	2.146	0.048	0	0	0.013	0	0.014	0.164	0.02	0.018	0.015	0.051	0.007
ASV_76	1.192	11.98	0.00208302783949583	0.0140812681949918	Enriched	0.401	0.182	0.071	0.048	0.117	0.208	0.112	0.262	0.19	0.071	0.038	0.065	0.534	0.506	0.277	0.258	0.21	1.282	0.347	0.455	0.206	0.054	0.502	3.238	0.046	0.021	0.029	0.075	0.675	0.518	0.112	0.987	0.044	0.054	0.022	2.995	0.011	0.08	0.141	0.041	0.193	0.369	1.061	0.313	0.128	0.046	0.029	0.114	0.235	0.116	0.117	0.053	0.072	0.245	0.156	0.193	0.175	0.162	0.544	1.12	0.291	0.305	0.209	0.076	0.022	0.067	0.253	0.037	0.023	0.294	0.41	0.239	0.064	0.375	0.024	0.473	0.097	0.064	0.061	0.047	0.158	0.134	0.041	0.017
