ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077
ASV_183	-0.379	10.005	0.726111382187135	0.818085490597505	NotSig	0.071	0.142	0	0	0.717	0.581	0.001	0	0	0	0.008	0	0	0	0	0	0.001	0.531	0.005	0	0	0	0	0	0	0	0	0	0	0.009	0.004	0.008	0.004	0	0	0	0.134	0.053	0.975	0.076	0.464	1.503	0.002	1.902	0.446	0.117	0.157	0.002	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0.007	0.022	0.008	0.029	0.001	0.003	0.011	0
ASV_89	0.237	12.808	0.74429420059824	0.833018012590083	NotSig	0.228	0.32	0.087	0.088	0.047	0.013	0.092	0.055	0.006	0.025	0.005	0.116	0.001	0.004	0.001	3.476	0.005	0.001	0.023	0.515	0.059	0.596	0.333	0.309	0	0.01	0.004	0.064	0.062	0.005	0.009	0.001	0.043	0.053	0.099	0.022	0.002	0.099	0.09	0.074	0.015	0.013	0.092	0.016	0.027	0.038	0.021	0.01	0.052	0.014	0.178	0.044	0.049	0.029	0.048	0.083	0.219	0.63	0.002	0.027	0.375	0.189	10.337	0.304	0.005	0	0.011	0.028	0.014	0.019
ASV_881	0.228	11.064	0.761151160286199	0.841808180869948	NotSig	0.257	0.235	0.072	0.067	6.162	0.289	0.004	0.017	0	0.008	0.032	0.006	0	0.001	0	0	0	0.006	0.014	0.005	0.001	0.001	0.001	0.003	0	0	0	0	0.164	0.024	0.073	0.086	0.2	0.007	0.169	0.051	0.084	0.097	0.188	1.239	1.01	2.165	0.645	0.218	1.469	0.793	0.191	0.368	0	0.005	0.024	0.153	0	0.005	0.014	0.008	0.096	0.226	0	0.005	0.035	0	0.004	0.02	0.025	0.017	0.001	0.003	0	0
ASV_12	-0.205	12.181	0.762110364929598	0.841808180869948	NotSig	0.467	0.514	0.08	0.742	10.008	0.447	0.018	0.552	0.004	0.215	0.024	0	0	0	0.004	0.022	0	0.004	0	0.008	0.004	0.006	0.001	0.001	0	0	0	0	0.057	0.124	0.088	2.682	0.229	0.228	2.001	0.051	0.111	0.66	0.596	2.875	0.631	4.34	1.264	1.051	1.157	0.793	0.284	0.186	0.009	0.039	0.022	0.01	0.121	0.116	0.042	0.006	0.43	0.034	0.113	0.061	0.137	0.212	0.013	0.046	0.316	0.034	0.01	0.074	0.293	0.021
ASV_146	-0.163	9.485	0.767833383468735	0.842622349391014	NotSig	0.047	0.077	0.012	0.39	0.097	0.081	0.004	0.005	0.002	0.289	0.098	0	0.028	0.026	0.028	0.013	0	0.084	0.045	0.004	0	0.004	0	0.003	0.001	0	0	0	0.042	0.05	0.079	0.104	0.063	0.046	0.095	0.075	0.013	0.087	0.576	0.133	0.154	0.392	0.116	0.266	0.182	0.155	0.115	0.076	0	0.041	0.103	0.001	0.002	0.003	0.011	0.003	0.018	0.01	0.02	0.008	0.003	0.033	0.013	0.086	0.02	0.004	0	0.005	0.025	0.003
ASV_235	-0.129	9.767	0.801206115097916	0.873573119042244	NotSig	0.05	0.074	0.026	0.068	0.108	0.182	0.001	0.01	0	0.19	0.068	0	0.137	0.004	0.016	0.081	0.032	0.011	0.034	0.045	0.023	0.128	0.025	0.019	0	0.008	0.048	0.034	0.202	0.024	0.017	0.046	0.148	0.15	0.086	0.088	0.008	0.004	0.308	0.044	0.173	0.054	0.179	0.054	0.135	0.176	0.036	0.157	0	0.005	0.169	0	0.157	0.003	0.003	0.013	0.112	0.017	0.175	0.02	0.009	0.007	0.012	0.215	0.068	0.001	0	0.005	0.018	0.001
ASV_11	-0.122	14.49	0.822381064063001	0.887576776545443	NotSig	1.425	1.78	0.682	0.63	0.1	0.135	1.008	1.328	0.14	0.007	0.146	1.019	5.672	5.276	1.264	0.005	0.119	0.264	0.038	0.638	0.116	0.428	0.502	1.394	4.821	6.548	4.563	0.2	0.243	1.05	0.607	0.75	0.321	0.451	0.111	0.63	0.887	0.525	1.807	0.117	0.158	0.157	0.123	0.05	0.127	0.138	0.526	0.595	0.801	0.207	0.408	0.193	0.282	1.601	3.94	0.358	0.824	4.003	0.036	2.66	0.85	0.874	0.152	1.499	42.835	0.484	1.299	0.414	0.871	0.799
ASV_112	-0.152	11.795	0.824553573477127	0.887576776545443	NotSig	0.213	0.24	0.233	0.047	0.006	0.006	0.592	0.024	0.014	0.001	0.183	0.003	0	0.019	0.047	0.017	1.672	0.004	0.038	1.17	0.017	0.867	0.013	0.008	0.183	0.04	0.217	0.116	0.054	0.02	0.066	0.003	0.045	0.053	0.014	0.083	0	0.002	0.063	0.008	0.017	0.013	0.002	0	0.005	0.029	0.006	0.004	0.006	0.007	0.055	0.02	3.031	0	0.002	0.03	0.007	0.013	0.163	0.03	0.02	0.026	1.412	0.375	3.947	0.004	0.008	0.067	0.359	0.03
ASV_13	0.101	14.187	0.858785399993485	0.918574256955057	NotSig	0.718	1.249	0.399	0.299	0.291	0.271	0.36	0.48	0.031	0.018	3.043	0.186	0.001	3.761	0.01	6.057	0.228	0.335	0.213	1.378	0.053	0.167	0.021	0.073	0.13	0.002	0.103	0.766	0.521	0.106	0.253	0.022	0.344	0.311	0.863	0.604	0.023	0.049	0.238	0.095	0.191	0.188	0.036	0.093	0.446	0.584	0.185	0.719	0.261	0.41	0.584	0.598	4.279	2.266	1.388	4.252	2.21	5.841	0.484	0.216	0.085	0.236	7.415	8.422	3.839	0.685	0.26	1.09	1.194	0.591
ASV_166	0.145	9.763	0.8825529966371	0.929897216859004	NotSig	0.085	0.112	0.002	0	1.988	0.017	0	0.002	0	0	0	0	0	0	0	0	0	0.001	0.01	0.015	0.08	0.039	0.017	0.024	0	0	0	0.003	0	0.003	0.017	0.003	0	0	0	0	0.067	0.081	0.01	0.049	0.644	2.616	0.125	0.288	0.471	0.281	0.006	0	0	0	0	0.001	0.002	0.003	0.003	0.003	0.023	0.001	0	0.005	0	0	0	0	0	0.004	0	0.002	0	0
ASV_138	-0.096	11.633	0.883368032927155	0.929897216859004	NotSig	0.276	0.346	0.005	3.418	0.468	0.096	0.114	0.228	0.028	0	0.02	0	0	0.325	0.007	0.028	0.029	0	0	0.004	0.001	0.004	0	0	0.486	0.922	0.457	0.542	0.22	0.008	0.015	0.049	0.196	0	1.208	0.031	3.793	0.411	0.268	0.354	0.668	1.041	0.078	2.426	1.229	0.95	0.125	0.004	0.013	0.127	0.36	0.004	0.059	0.08	0.153	0.095	0.036	0.008	0.016	0.135	0.003	0.001	0.001	0.041	0.076	0.232	0.018	0	0.005	0.009
ASV_2	0.085	16.352	0.88587841369408	0.929897216859004	NotSig	3.769	5.533	8.236	5.475	4.824	5.822	0.191	1.129	0.053	14.134	22.539	0.001	0.019	0.008	0.184	23.014	7.219	0.685	1.718	1.999	0.052	0.479	0.036	0.07	0	0.001	0.074	0.029	5.372	3.302	2.029	0.981	7.106	0.527	12.699	5.322	2.301	14.609	4.207	1.459	1.838	3.407	12.425	0.924	9.272	6.347	0.725	2.963	1.941	0.642	6.771	2.442	3.395	0.263	0.777	2.915	13.737	2.188	9.378	0.518	0.165	10.789	3.831	9.331	2.899	0.31	1.837	7.28	52.21	0.965
ASV_407	-0.099	10.279	0.909440438577218	0.941674560015272	NotSig	0.075	0.097	0	0.003	0.003	0.139	0.133	0.23	0	0.001	0.013	0	1.087	0.001	0.221	0.001	0.003	0.001	0	0.089	0.009	0.003	0	0.007	0	0	0	0	0	0	0.002	0.006	0.004	0	0	0	0.013	0.036	0	0	0.004	0.015	0.04	0.018	0.012	0.014	0	0.004	0.851	0.357	0.004	0.004	0.003	1.531	0.07	0.243	0	0	0.036	0.016	0.001	0.001	0	0	0	0.007	0.038	0.002	0.01	0.716
ASV_98	0.134	9.225	0.910252294069911	0.941674560015272	NotSig	0.037	0.071	0.149	0.029	0.097	0.004	0.641	0.017	0	0.001	0	0.008	0	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.02	0	0.022	0.012	0	0	0.145	0.011	2.248	0.126	0	0	0	0	0	0.078	0.119	0.003	0	0	0.204	0	0.005	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0
ASV_86	-0.08	10.366	0.916188390790545	0.941674560015272	NotSig	0.088	0.098	0	0	0.102	1.107	0.486	0.122	0.001	0.008	0.004	0.158	0	0.03	0.246	0.001	0.003	0.011	0	0	0	0.007	0	0	0	0	0	0	0	0.023	0.044	0.189	0	0	0	0	0.019	0	0.008	0.079	0.286	0.09	0.248	0.016	0.095	0	0.013	0.12	0.155	0.237	0.832	0.001	0.057	0.227	0.025	0.038	0.002	0.037	0.002	0.039	0	0.154	0.162	0.176	0.012	0.021	0.023	0.613	0.054	0.006
ASV_53	0.059	9.739	0.919386404748638	0.941674560015272	NotSig	0.053	0.083	0.017	0.055	0.208	0.028	0.031	0.151	0.004	0	0.005	0.013	0	0	0	0.001	0	0.006	0.027	0.036	0.117	0.131	0.057	0.042	0	0.076	0	0.368	0.023	0.024	0.165	0.006	0.02	0.003	0.072	0.197	0.197	0.067	0.449	0.294	0.108	0.165	0.042	0.025	0.616	0.079	0	0.014	0.054	0.288	0.009	0.018	0.145	0.007	0.002	0	0.009	0.003	0.004	0.204	0.019	0.001	0.001	0.011	0.015	0.099	0.001	0.023	0.001	0.001
ASV_34	0.041	12.727	0.939009359863782	0.955979408536019	NotSig	0.434	0.418	0.247	0.503	0.061	0.085	0.136	0.575	0.076	0.001	0.066	0.094	0.069	0.015	0.757	0	0.509	0.955	0.05	0.944	0.237	0.249	0.353	1.093	2.409	0.045	0.602	1.15	0.115	0.124	0.092	0.133	0.049	0.054	0.278	0.314	0.034	0.199	0.241	0.052	0.189	0.116	0.054	0.02	0.057	0.229	0.019	0.027	1.566	1.197	0.123	0.718	0.096	0.722	0.038	0.175	0.025	0.869	0.064	0.149	0.045	3.028	0.027	0.122	0.098	0.245	0.186	4.733	0.034	0.92
ASV_81	0.033	11.59	0.946562853954835	0.957898936038127	NotSig	0.179	0.221	0.214	0.075	0.039	0.058	0.051	0.29	0.045	0	0.156	0.05	0.102	0.32	0.923	0.003	0.004	0.003	0.008	0.017	0.027	0.156	0.118	0.22	0.943	0.231	0.446	0.15	0.064	0.099	0.167	0.097	0.061	0.116	0.045	0.097	0.029	0.03	0.241	0.06	0.106	0.075	0.031	0.016	0.095	0.098	0.013	0.017	0.183	0.112	0.094	0.579	0.587	0.858	0.302	0.34	0.016	0.895	0.014	0.125	0.123	0.07	0.025	0.308	0.075	0.137	0.464	0.442	0.194	1.804
ASV_3	-0.026	15.507	0.96439147182746	0.970131897255004	NotSig	3.216	4.003	3.285	5.389	1.277	2.272	0.12	26.412	0.068	1.318	0.073	0.027	19.546	0.024	3.496	2.695	5.479	10.227	0.584	0.187	0.045	0.261	0.006	0.107	0	0.201	0.498	0.032	23.584	8.93	15.547	6.946	4.535	0.201	3.247	15.993	18.973	5.892	2.944	2.048	4.879	1.631	3.59	0.906	0.913	1.793	2.121	3.122	0.025	1.021	0.156	0.011	0.106	0.185	2.022	0.094	29.312	0.639	0.179	0.089	1.787	1.143	0.025	0.157	1.445	0.124	0.305	0.107	0.487	0.915
ASV_209	0.023	11.37	0.971428303717371	0.971428303717371	NotSig	0.186	0.189	0.014	0.031	0.21	0.073	0.031	0.357	0.02	0	0.016	0.239	0	0	0	0	0	0	0.063	0.024	0.024	0.051	0.217	1.322	0.142	0.09	1.721	0.196	0.081	0.102	0.246	0.143	0.014	0	0.014	0.035	0.021	0	0.1	0.082	0.26	0.217	0.009	0.002	0.05	0.369	0.017	0.019	0.001	0.163	0.108	1.222	0.074	0.036	0.742	0.011	0.121	0.49	0.018	0.07	0.077	0.008	0	0.024	0.035	0.758	1.244	0.042	0.005	0.894
