ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077
ASV_141	-0.522	11.005	0.379037839954996	0.500448398065581	NotSig	0.086	0.17	0.017	0.062	0.781	0.036	0.006	0.055	0.01	0	0.024	0.003	0.001	0.387	0	0.047	0	0.014	0.031	0.004	0.445	0.01	0.034	0.14	0	0.002	0.061	0.062	0.154	0.003	0.02	0.079	0.018	0.066	0.086	0.025	0.128	0.014	0.363	0.406	0.121	0.26	0.109	0.411	0.167	0.033	0.178	0.068	0.037	0.012	0.037	0.024	0.066	0.098	0.028	1.228	0.066	0.203	0.002	0	0.092	0.218	0.001	0.004	0.107	0.024	0.056	0.024	0.821	1.3
ASV_23	-0.423	13.547	0.396615586904011	0.519597164238588	NotSig	0.644	1.031	1.67	0.781	0.097	0.167	0.083	2.383	0.02	0	0.136	0.288	0.105	0.664	0.098	0	1.095	4.034	0.082	0.218	0.294	0.352	0.242	1.664	0.94	0.411	0.267	0.65	0.592	0.418	0.938	0.992	0.148	0.493	0.409	0.33	0.434	0.751	0.569	0.112	0.173	0.18	0.138	0.613	0.267	0.393	1.813	0.196	13.127	0.269	1.815	0.843	0.683	3.831	0.402	2.986	0.781	3.66	0.105	0.113	0.901	0.113	0.056	0.181	0.248	0.098	0.421	0.766	1.053	0.88
ASV_870	-0.528	10.133	0.407079621546718	0.529203508010734	NotSig	0.085	0.142	0.026	0.05	1.603	0.152	0.016	0.084	0	0.001	0.006	0	0.005	0.001	0	0	0	0.023	0.059	0	0.003	0.003	0	0	0	0	0	0.19	0.039	0.005	0.015	0.008	0.083	0.007	0.133	0.186	0.031	0.093	0.133	0.536	0.735	1.273	0.292	0.077	0.574	0.481	0.07	0.012	0.006	0.029	0.044	0	0.04	0.046	0.269	0.156	0.018	0.005	0.004	0.018	0.031	0.054	0.008	0.062	0.021	0.032	0.303	0.002	0.005	0.012
ASV_43	0.388	12.756	0.429982194460867	0.554709853922798	NotSig	0.37	0.475	0.341	0.797	0.321	0.464	0.06	0.23	0.004	0.2	1.819	0.007	1.137	0.192	0.378	1.262	0.186	0.163	1.371	0.147	0.009	0.191	0.014	0.023	0.108	0.004	0.032	0.151	0.622	0.126	0.295	0.307	0.541	3.127	0.722	0.767	0.157	0.053	0.824	0.558	0.501	0.572	0.509	1.076	0.247	0.369	1.476	0.157	0.027	0.291	0.663	0.017	0.211	0.047	0.1	0.08	0.849	0.098	0.474	0.107	0.085	0.203	1.083	1.894	0.249	0.022	0.038	0.223	0.172	0.026
ASV_220	-0.366	10.015	0.439492204797841	0.562683201597236	NotSig	0.066	0.098	0.125	0.479	0.097	0.152	0.035	0.01	0.002	0.109	0.152	0	0.077	0.004	0.01	0.001	0.127	0.024	0.02	0.121	0.004	0.038	0.015	0.004	0.005	0.005	0.051	0.053	0.14	0.071	0.103	0.067	0.229	0.196	0.621	0.055	0.029	0.01	0.241	0.063	0.186	0.054	0.147	0.098	0.287	0.138	0.076	0.244	0.004	0.01	0.138	0.001	0.39	0.015	0.005	0.006	0.046	0.008	0.077	0.016	0.025	0.007	0.032	0.124	0.122	0.001	0.008	0.008	0.02	0.003
ASV_104	0.474	11.87	0.488778470531034	0.621079409922893	NotSig	0.447	0.294	0.072	0.193	0.008	0.038	0.064	0.098	0.002	0	0.002	0	0.068	0.108	0	0.009	0.004	0	0	0.29	0.003	0.026	0.003	0.004	9.844	0.025	0.469	0.289	0.2	0.07	0.191	0.103	0.074	0.014	0.075	0.031	7.247	0.593	0.877	0.035	0.089	0.064	0.018	0.275	0.045	0.179	0.032	0.004	0.048	0.01	0.031	0.015	0.002	0.091	0.08	1.311	0.007	0	0.002	0.281	0.003	0.008	0.017	0.014	0.008	0.165	0.038	0.008	0.004	0.012
ASV_64	0.783	12.983	0.510184363106758	0.643441472873449	NotSig	0.879	0.403	1.447	0.081	0.008	1.567	0.012	0	0	19.713	0.006	0	0	0	0	0	0.004	0	0	0.003	0	0.001	0	0	0	0	0	0	0.011	1.594	0.593	0.039	0.106	13.198	0.086	0.014	0.006	0	0.008	0	0.011	0.049	0.15	0.007	0.14	0	0.002	0.194	0	0.674	0.002	0	0.007	0	0	0	0	0	0.006	0.004	0	0	0	0.009	0	0	0	0.001	0	0
ASV_99	0.453	11.282	0.522816734255871	0.64905834678261	NotSig	0.188	0.152	0.086	0.057	0.039	0.169	0.047	0.067	0.079	0.008	0.047	0.126	0	3.728	0.001	0.001	0	0.006	0	0	0	0.001	0	0	0.011	0	0.006	0.412	0.079	0	0	0	0.031	0	0.029	0.211	0.034	0.071	0.09	0.038	0.028	0.034	0.011	0.02	0.155	0.136	0.083	0.07	0.031	0.027	0.031	0.051	0.221	0.415	0.009	0.3	0	0.001	0.014	3.164	0.133	0.037	0.059	0.166	0.016	0.039	0.115	0.368	0.036	0.036
ASV_27	0.354	13.217	0.523578516047115	0.64905834678261	NotSig	0.499	0.634	0.19	0.247	0.061	0.088	0.318	0.686	0.016	0.001	0.273	0.243	0.108	0.071	5.304	0.136	0.319	0.113	0.029	0.192	0.033	0.058	0.02	0.295	1.194	2.036	0.925	0.029	0.174	0.082	0.169	0.336	0.034	0.005	0.115	0.229	0.578	0.04	0.426	0.057	0.111	0.046	0.02	0.02	0.115	0.195	0.059	0.064	1.975	0.393	0.171	0.252	0.165	6.125	1.553	0.164	0.221	0.276	0.028	0.428	0.007	1.423	0.064	0.187	0.229	2.828	4.613	1.668	0.346	0.629
ASV_39	0.403	13.396	0.526159724906613	0.64905834678261	NotSig	1.087	0.871	0.286	0.541	0.402	0.182	0.144	0.096	0.029	0.001	0.026	0.062	0.031	0.457	0.218	0	0	0	0.031	4.713	0.019	0.042	0.045	0.053	20.043	0.046	0.482	0.315	0.206	0.491	1.453	6.35	0.598	0.102	0.185	0.115	8.962	1.335	2.173	0.074	1.246	0.572	0.038	1.604	0.529	1.381	0.076	0.002	0.076	0.017	0.075	0.003	0.01	0.408	0.063	1.898	0.016	0.029	0.03	4.471	0.012	0.009	0.013	0.106	0.019	0.502	1.152	0.014	0.14	0.028
ASV_97	0.265	11.914	0.56167545629016	0.687848928355341	NotSig	0.271	0.308	0.438	0.14	0.114	0.485	0.013	0.468	0.01	0.003	0.036	0.021	0.755	0.073	0.016	0	0.016	0.06	0.029	0.049	0.524	0.265	0.217	1.726	0.333	0.443	0.319	0.502	0.047	0.355	0.218	0.505	0.059	0.068	0.092	0.099	0.291	0.12	0.326	0.869	0.228	0.204	0.194	0.229	0.192	0.591	0.221	0.058	1.056	0.08	0.14	0.149	0.12	1.786	0.159	1.027	0.064	1.808	0.008	0.048	0.282	0.049	0.005	0.062	0.145	0.187	0.307	0.162	0.09	0.219
ASV_103	0.278	11.237	0.606566194061625	0.737479761125285	NotSig	0.195	0.159	0.036	0.057	0.072	0.028	0.019	0.276	0.04	0	0.055	0.001	0.257	0.069	0	0.004	0.502	0.054	0.014	0.04	0.047	0.023	0.064	0.443	0.818	0.673	1.122	0.348	0	0.015	0.105	0.191	0.023	0.009	0.048	0.02	0.31	0.168	0.095	0.068	0.106	0.093	0.045	0.005	0.132	0.217	0.023	0.01	0.724	0.117	0.022	0.063	0.02	0.078	0.013	0.172	0.002	0.001	0.012	0.033	0.013	0.043	0.757	0.099	0.04	0.274	2.053	0.181	0.058	0.234
