ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070
ASV_40	0.463	12.33	0.607822851933986	0.821776495814749	NotSig	0.489	0.35	0.939	0.387	0.616	0.323	0.853	0.49	0.665	0.025	0.102	0.038	0.114	0.038	0.246	0.546	0.184	1.527	0.107
ASV_83	-0.499	12.017	0.631659247849795	0.846823036036372	NotSig	0.259	0.322	0.154	0.364	0.44	0.074	0.059	0.519	0.711	0.004	0	0.177	0.248	0.004	0.418	0.121	0.072	0.102	1.433
ASV_13	0.455	12.729	0.637177447536339	0.846823036036372	NotSig	0.639	0.408	2.982	0.389	0.086	0.133	0.239	0.315	0.114	0.853	0.635	0.223	0.287	2.278	0.058	0.094	0.156	0.1	0.07
ASV_98	0.666	9.17	0.641380761021631	0.846823036036372	NotSig	0.054	0.034	0.1	0.091	0	0	0.001	0.092	0.002	0.009	0.194	0	0.252	0	0	0	0	0.02	0.004
ASV_26	-0.435	12.918	0.654955841604894	0.851726851794996	NotSig	0.46	0.708	0.241	0.191	0.157	0.267	0.267	0.18	0.124	0.131	2.579	2.394	1.475	1.193	0.279	0.121	0.05	0.082	0.073
ASV_189	-0.383	11.389	0.655174501380766	0.851726851794996	NotSig	0.205	0.24	0.163	0.24	0.09	0.609	0.151	0.236	0.112	0.21	0.035	1.086	0.365	0.1	0.136	0.07	0.042	0.039	0.085
ASV_96	0.625	9.11	0.679549155473108	0.864579336689584	NotSig	0.038	0.033	0	0.002	0	0	0	0	0	0.338	0.001	0.008	0.01	0	0.082	0.095	0	0.027	0.044
ASV_63	-0.391	12.224	0.683883880977483	0.864579336689584	NotSig	0.424	0.429	0.077	0.184	0.156	1.339	1.173	0.676	0.033	0.166	0.012	0.012	0.313	0.006	0.24	1.629	0.744	0.137	0.353
ASV_122	-0.418	9.225	0.690005142514254	0.864579336689584	NotSig	0.042	0.041	0.276	0.007	0.03	0.003	0.035	0.005	0.002	0.003	0.016	0.003	0.031	0.081	0.004	0.012	0.124	0.012	0.06
ASV_65	0.397	12.423	0.694417548128086	0.864579336689584	NotSig	0.518	0.373	2.201	0.604	0.012	0.099	0.338	0.053	0.007	0.809	0.543	0.219	0.65	1.338	0.035	0.61	0.079	0.039	0.014
ASV_4	0.423	16.412	0.694877815219152	0.864579336689584	NotSig	5.573	5.316	0.637	1.428	35.871	4.085	1.174	2.034	4.505	0.311	0.108	0.11	0.649	0.27	14.329	9.281	8.531	1.918	7.443
ASV_8	-0.366	12.361	0.695756152602269	0.864579336689584	NotSig	0.489	0.479	0.81	2.169	0.046	0.064	0.743	0.099	0.026	0.297	0.146	0.524	2.412	0.353	0.117	0.152	0.131	0.066	0.076
ASV_147	-0.416	11.553	0.710489770770413	0.868009856133785	NotSig	0.169	0.191	0.015	0.142	0.88	0.046	0.163	0.25	0.007	0.015	0.001	0.035	0.079	0.002	0.016	0.012	1.194	0.025	0.166
ASV_79	-0.365	12.306	0.71077634329693	0.868009856133785	NotSig	0.33	0.54	0.094	0.163	0.148	0.528	0.39	0.197	1.437	0.007	0.008	0.042	0.071	0.102	0.585	2.954	0.234	0.256	0.075
ASV_64	0.476	7.142	0.713925266287551	0.868009856133785	NotSig	0.013	0.007	0.041	0.028	0.001	0	0	0.048	0	0	0	0.002	0.036	0.004	0.001	0.001	0	0	0.01
ASV_48	0.413	13.919	0.727175913925219	0.877805210381158	NotSig	1.764	1.107	0.447	10.844	2.133	0.596	1.181	0.089	0.508	0.057	0.022	0.084	8.29	0.002	0.277	0.136	0.004	0.006	0.057
ASV_81	0.373	11.772	0.743141391359937	0.890715568367583	NotSig	0.325	0.22	1.536	0.31	0.01	0.009	0.185	0.048	0	0.53	0.297	0.113	0.313	1.25	0.006	0.03	0.044	0.004	0.001
ASV_44	-0.319	12.368	0.753665024086293	0.896967528666081	NotSig	0.402	0.48	1.35	0.126	0.119	0.03	0.239	0.883	0.843	0.012	0.015	0.154	0.073	0.052	0.692	0.092	0.022	2.697	0.059
ASV_2	-0.253	16.244	0.79243993677362	0.932417859611352	NotSig	5.651	5.449	2.275	4.014	6.094	3.257	7.295	11.431	16.075	0.33	0.085	0.892	1.393	1.396	6.243	3.136	20.259	6.866	3.409
ASV_200	0.222	10.468	0.79448622357417	0.932417859611352	NotSig	0.15	0.101	0.08	0.138	0.065	0.075	0.673	0.122	0.049	0.104	0.042	0.009	0.156	0.035	0.163	0.251	0.147	0.033	0.012
ASV_12	-0.263	13.06	0.807010474133748	0.932849102411247	NotSig	0.7	0.95	0.011	0.046	0.708	0.74	1.849	1.868	1.046	0.022	0.013	0.042	0.03	0.012	0.924	6.088	0.06	0.34	0.102
ASV_881	-0.254	12.045	0.809196245006425	0.932849102411247	NotSig	0.381	0.302	0.089	0.004	0.064	0.445	0.059	2.265	0.472	0.021	0.011	0.178	0.001	0.027	0.414	0.066	0.134	0.367	1.232
ASV_69	-0.25	10.647	0.811413124582564	0.932849102411247	NotSig	0.14	0.135	0.47	0.513	0.005	0.022	0.052	0.012	0	0.065	0.119	0.062	0.492	0.418	0.007	0.07	0.009	0.006	0.015
ASV_111	0.247	11.241	0.8177218788499	0.933749983281305	NotSig	0.185	0.175	0.128	0.063	0.708	0.358	0.377	0.002	0.012	0.009	0.008	0.068	0.021	0.008	0.989	0.231	0.066	0.006	0.015
ASV_120	0.26	9.101	0.831644715508525	0.943274878664031	NotSig	0.047	0.033	0	0.002	0.004	0.075	0.041	0.14	0.002	0.069	0.093	0.006	0	0.236	0.006	0	0.001	0.018	0.001
ASV_114	-0.199	8.393	0.856310336806636	0.952019901697343	NotSig	0.027	0.027	0.12	0.077	0	0.019	0.008	0.005	0	0.013	0.005	0.014	0.126	0.008	0.004	0.027	0.003	0.039	0
ASV_86	0.204	9.856	0.860125724371226	0.952019901697343	NotSig	0.075	0.069	0	0	0.026	0.118	0.121	0.104	0.002	0.289	0.015	0.017	0	0.136	0.131	0.195	0	0.043	0.031
ASV_94	0.176	11.907	0.863368424433379	0.952019901697343	NotSig	0.265	0.262	0.131	0.14	0.023	0.042	0.036	0.031	0.007	0.606	1.371	0.226	0.224	1.333	0.053	0.09	0.069	0.055	0.048
ASV_146	-0.167	11.199	0.870075647596702	0.952019901697343	NotSig	0.168	0.228	0.031	0.067	0.524	0.371	0.353	0.122	0.043	0.001	0.001	0.039	0.059	0.006	0.238	1.214	0.169	0.09	0.009
ASV_20	-0.155	12.01	0.872600042047604	0.952019901697343	NotSig	0.332	0.332	0.054	0.012	0.101	0.577	0.492	0.829	0.897	0.012	0.018	0.05	0.012	0.056	0.57	0.607	0.431	0.738	0.193
ASV_149	-0.147	10.221	0.874452738618784	0.952019901697343	NotSig	0.11	0.103	0.335	0.287	0.047	0.122	0.089	0.091	0.015	0.001	0.005	0.017	0.154	0.033	0.081	0.221	0.003	0.244	0.074
ASV_135	0.164	10.65	0.884982178577849	0.952019901697343	NotSig	0.206	0.105	0.021	1.342	0.011	0.006	0.012	0.457	0	0.006	0	0.119	0.095	0.002	0.071	0.09	0.006	0.104	0.354
ASV_18	0.126	11.625	0.899675389558786	0.952019901697343	NotSig	0.347	0.245	0.164	2.046	0.01	0.039	0.309	0.046	0.003	0.401	0.101	0.413	1.216	0.069	0.023	0.119	0.036	0.023	0.06
ASV_62	-0.129	11.304	0.904231872179132	0.952019901697343	NotSig	0.191	0.203	0.319	0.506	0.002	0.015	0.028	0.01	0.01	0.128	0.698	0.074	0.771	0.696	0.017	0.015	0.004	0.043	0.006
ASV_137	-0.137	8.218	0.904318630974304	0.952019901697343	NotSig	0.024	0.023	0.095	0.016	0.007	0.067	0.021	0.003	0	0.003	0	0	0.05	0.059	0.006	0.055	0.001	0	0.01
ASV_105	0.147	7.037	0.905936720991685	0.952019901697343	NotSig	0.007	0.007	0	0	0.002	0.007	0.005	0.003	0	0.028	0.016	0.05	0	0	0.001	0.003	0.001	0	0.002
ASV_235	0.103	10.077	0.910098972652751	0.952019901697343	NotSig	0.083	0.089	0.061	0.074	0.13	0.125	0.119	0.039	0.188	0.006	0.005	0.008	0.056	0.042	0.089	0.377	0.067	0.063	0.007
ASV_119	0.105	10.142	0.917693549082619	0.952019901697343	NotSig	0.101	0.088	0.664	0.033	0.006	0.001	0.083	0.026	0.016	0.05	0.034	0.237	0.049	0.002	0.013	0.106	0.021	0.27	0.009
ASV_90	0.095	10.337	0.918220378560159	0.952019901697343	NotSig	0.094	0.086	0.141	0.025	0.05	0.02	0.068	0.074	0.013	0.066	0.388	0.041	0.058	0.257	0.008	0.01	0.028	0.143	0.143
ASV_104	-0.078	10.557	0.944396845584742	0.968121905992456	NotSig	0.118	0.12	0.113	0.245	0.013	0.016	0.006	0.217	0	0.443	0.011	0.708	0.134	0.021	0.007	0.013	0	0.004	0.074
