ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070
ASV_107	-1.093	9.177	0.363091775664043	0.693111265757384	NotSig	0.022	0.061	0.015	0	0.113	0.026	0.013	0.014	0.015	0.001	0	0.002	0.006	0.008	0.329	0.098	0	0.002	0.044
ASV_5	0.876	14.913	0.367732063477298	0.693111265757384	NotSig	2.944	1.484	0.969	1.983	10.497	0.879	8.526	2.118	1.158	0.186	0.178	0.472	1.008	0.069	2.834	1.384	3.481	1.375	1.252
ASV_36	0.868	12.587	0.369112508391506	0.693111265757384	NotSig	0.821	0.325	0.174	0.168	0.18	2.814	2.445	1.366	0.125	0.103	0.016	0.075	0.465	0.002	0.306	0.659	0.403	0.328	0.36
ASV_25	-0.811	13.527	0.381241382466216	0.708019710294402	NotSig	0.745	1.014	1.036	0.056	0.494	0.962	0.501	2.173	0.624	0.744	0.113	0.288	0.074	3.873	0.476	0.206	1.723	0.559	0.912
ASV_27	0.971	12.908	0.386881263784787	0.710684060648141	NotSig	0.686	0.413	0.287	0.78	0.007	0.045	0.149	0.12	0.012	0.759	4.017	1.542	1.377	0.144	0.017	0.069	0.003	0.051	0.106
ASV_141	0.798	10.107	0.401113145455073	0.718806426844925	NotSig	0.113	0.06	0.1	0.012	0.242	0.103	0.394	0.103	0.056	0.006	0.001	0.011	0.016	0.065	0.155	0.058	0.015	0.133	0.03
ASV_210	0.865	9.125	0.409192346556721	0.718806426844925	NotSig	0.049	0.027	0.005	0.009	0.004	0.17	0.005	0.017	0.012	0.132	0.09	0.015	0.009	0.151	0.016	0.006	0.003	0.004	0.009
ASV_37	-0.82	13.026	0.409461108374441	0.718806426844925	NotSig	0.57	0.847	0.43	0.082	0.32	1.071	0.487	2.078	0.612	0.004	0.044	0.223	0.049	0.105	4.573	0.298	0.073	1.076	0.379
ASV_127	-0.966	10.028	0.414104794445865	0.718806426844925	NotSig	0.066	0.11	0.327	0.191	0.002	0	0.008	0.007	0.002	0.016	0.044	0.112	0.282	0.337	0.004	0.124	0	0.021	0
ASV_169	0.86	8.227	0.41950307268321	0.718806426844925	NotSig	0.025	0.016	0.01	0.012	0.062	0.038	0.012	0.048	0.04	0.001	0	0.047	0	0.004	0.008	0.052	0.001	0.018	0.001
ASV_159	0.8	10.557	0.419976501167209	0.718806426844925	NotSig	0.14	0.086	0.35	0.137	0.018	0.045	0.026	0.067	0.025	0.029	0.568	0.045	0.34	0.182	0.031	0.066	0.003	0.02	0.001
ASV_16	0.863	11.935	0.421075954187264	0.718806426844925	NotSig	0.496	0.214	0.251	0.235	0.492	0.196	0.186	3.011	0.078	0.003	0.011	0.005	0.1	0.031	0.048	0.004	0.018	1.344	0.165
