ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083
ASV_128	-10.289	11.212	1.65529920458919e-09	2.79745565575574e-07	Depleted	0	0.658	0	0	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.177	0.021	0.002	0.003	0	0	0.008	0.007	0	0	0	0	0
ASV_24	-6.289	9.08	7.20628499394935e-07	6.0893108198872e-05	Depleted	0.001	0.1	0	0	0.003	0.004	0	0.002	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0.014	0	0.003	0.108	0.032	0.087	0.001	0.146	0.999	0.003	0
ASV_114	6.667	13.873	1.4311607352329e-06	8.06220547514535e-05	Enriched	0.817	0.016	0.13	0.01	0.003	0.013	0.006	0.002	3.545	0.001	0.013	0.599	0.086	0.006	0.003	0	0.001	0.003	0.057	4.702	1.015	0.613	3.768	1.785	0	3.205	1.196	0.482	0.106	0.002	0.002	0.006	0.003	0.005	0.001	0.066	0.002	0.016	0.008	0.005	0.001	0.003
ASV_169	-6.265	12.275	2.04131137643179e-06	8.62454056542432e-05	Depleted	0.024	0.774	0.005	0.026	0.125	0.361	0	0.086	0	0.004	0.002	0	0.003	0	0	0	0	0.011	0	0	0	0	0.001	0	0	0	0	0	0.013	0.066	0	3.802	0.062	0.23	0	0	6.481	0.002	0.003	0.011	0	0.17
ASV_71	6.349	14.864	1.41393549880275e-05	0.00047791019859533	Enriched	1.7	0.059	0.043	0.002	0.163	0.026	0.032	0	0	0.003	0.013	1.756	0	0.001	0	0.023	0.001	0.295	0.329	0.768	20.013	1.328	13.113	5.809	0	0.283	0.194	0.001	0.327	0.109	0.089	0.024	0.05	0.032	0.001	0.007	0.014	0.08	0.02	0.005	0.035	0.033
ASV_98	-6.933	14.495	2.6166866140175e-05	0.000727955490902558	Depleted	0.037	2.396	0.149	0.029	0.097	0.004	0.641	0.017	0	0.001	0	0.008	0	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.007	0.118	0.002	0	0	0.147	32.584	0	0	0	0	0	0.662
ASV_44	-3.215	11.283	3.01520025817628e-05	0.000727955490902558	Depleted	0.054	0.321	0.507	0.127	0.1	0.141	0.012	0.01	0.002	0.025	0.016	0.011	0.001	0.001	0.034	0.04	0.14	0.01	0.007	0.033	0.006	0.039	0.045	0.032	0	0	0	0.074	0.286	0.299	0.094	0.026	0.037	0.048	0.173	0	2.168	0.269	0.807	0.029	0.015	0.242
ASV_33	-3.221	11.666	6.43068249199018e-05	0.00135848167643293	Depleted	0.092	0.677	0.231	0.135	0.485	0.94	0.003	0.151	0	0.134	0.034	0	0.018	0.004	0	0.001	0.023	0.067	0.011	0.005	0.001	0.015	0.022	0.005	0	0.061	0.012	0.024	0.173	1.323	0.143	0.359	0.175	2.054	0.021	0.005	0.167	0.053	0.006	0.031	0.007	4.964
ASV_117	4.479	13.454	9.30773580163803e-05	0.0015977327275257	Enriched	0.827	0.089	0.041	0.039	0.31	0.062	0.128	0.103	1.116	0.001	0.014	0.057	0.099	0.475	8.103	0.008	1.234	0.157	0.003	0.229	0	0.032	0.001	0.04	8.641	0.023	0.328	0.249	0.147	0.002	0.473	0.432	0.009	0.011	0.023	0.039	0.037	0.023	0.008	0.001	0.039	0
ASV_91	4.762	11.547	0.000102924260884396	0.0015977327275257	Enriched	0.261	0.014	0.007	0.058	0.008	0.908	0.023	0.094	0.001	0.004	0.006	0.119	0.004	0	0	0.001	0	0.004	0.068	0.061	0.439	0.089	0.409	4.386	0.003	0.047	0.002	0.036	0.037	0.015	0.019	0.039	0.028	0.003	0.008	0.039	0	0	0	0	0.004	0.001
ASV_85	3.49	12.974	0.000103994437886288	0.0015977327275257	Enriched	0.553	0.101	0.192	0.531	0.036	0.026	0.026	0.235	0.01	0.071	7.009	0.024	0.376	0.037	0.225	0.104	0.807	2.677	0.05	0.259	0.427	0.229	0.185	0.123	0.034	0.138	0.512	0.038	0.226	0.051	0.278	0.13	0.037	0.021	0.015	0.038	0.007	0.149	0.098	0.284	0.05	0.028
ASV_82	-3.718	9.511	0.000113829969157842	0.00160310539897295	Depleted	0.016	0.185	0.057	0.042	0.111	0.15	0.004	0	0	0.022	0.004	0	0	0	0	0	0	0.017	0	0	0	0.003	0	0.003	0	0	0.001	0	0.987	0.012	0.125	0.377	0.106	0.032	0.008	0.003	0.004	0.005	0.014	0.015	0.001	0.903
ASV_148	-6.367	11.88	0.000147958276036025	0.00192345758846832	Depleted	0.01	0.324	0.002	0	0	0.002	0.001	0.216	0	0	0.038	0	0.001	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.009	0	0	0	0	0.044	4.475	0.004
ASV_112	-3.491	13.702	0.000181137723012308	0.00218659108493429	Depleted	0.213	1.044	0.233	0.047	0.006	0.006	0.592	0.024	0.014	0.001	0.183	0.003	0	0.019	0.047	0.017	1.672	0.004	0.038	1.17	0.017	0.867	0.013	0.008	0.183	0.04	0.217	0.116	0.018	0.015	0.019	0.02	0.009	0	0.269	0.008	0.096	0.097	0.055	0.205	13.631	0.168
ASV_80	10.215	12.035	0.000229299691923215	0.00255081492444837	Enriched	0.489	0	0.003	0.006	0	0.002	0.006	0	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0	0	0.001	0	0	0	0
