ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077
ASV_109	-3.34	12.706	3.70545184590641e-07	4.2010932964148e-05	Depleted	0.075	0.902	0.002	0.001	0.046	0.04	0.003	0.014	0.005	0.008	0.007	0.069	0.007	0.017	0.014	0.021	0.004	0.006	0.019	0.129	0.006	0.021	0.177	0.418	0.214	0.014	0.042	0.095	0.027	0.108	0.012	0.015	0.085	0.198	0.159	0.627	0.304	0.143	0.174	0	0.001	0	0.471	0.001	0	0	0.001	0	0	0.019	0.001	0.014	0.005	0.018	0.017	0.025	0.022	0	0.016	0.003	0.004	0.002	0.053	0.025	0.017	0.026	0.009	0.014	0.02	0.036	0.013	0.004	0.201	1.68	0.015	0.014	28.377	0.087	0.031	0.111	0.05	3.335	0.004	0.007	0.016	0.003	0	0.006	0.105	0.085	0.271	3.126	0.014	0.019
ASV_203	2.42	10.641	6.26005262826608e-07	4.2010932964148e-05	Enriched	0.178	0.031	0.008	0.011	0.013	0.019	0	0.14	0.04	0.073	0.039	0.024	0.02	0.007	0.028	0.053	0.045	0.191	0.023	0.037	0.02	0.023	0.001	0.017	0.021	0.091	0.006	0.076	0.027	0	0.002	0.025	0.301	0.007	0.04	0.034	0.356	0.03	0.005	1.597	0.007	0.192	0.007	0.024	0.003	0.008	0.688	1.564	0.068	0.273	1.012	1.626	0.019	0.017	0.009	0.012	0.027	0	0.034	0.085	0.04	0.034	0.023	0.044	0.028	0.021	0.009	0.007	0.017	0.029	0.055	0.029	0.004	0.039	0.136	0.213	0.012	0.003	0.016	0.014	0.027	0.019	0.012	0.088	0.004	0.005	0.01	0.049	0.014	0.001	0.01	0.013	0.085	0.003
ASV_95	-3.374	12.274	7.45756206464165e-07	4.2010932964148e-05	Depleted	0.088	0.399	0.058	0.761	0.035	0.1	0.052	0.274	0.109	0.401	0.783	0.117	0.144	0.413	0.228	0.192	0.039	0.041	0	0.02	0	0.004	0.001	0.002	0.005	0.003	0.02	0.056	0.027	0.037	0.027	0.304	0.002	0.007	0.027	0.1	0.003	0.001	0.004	0	0	0	0	0	0	0	0	0.003	0	0.001	0.001	0.005	0.04	0.023	0.042	0.216	0.081	0.071	0.242	0.045	0.013	0.061	3.774	0.754	0.124	0.835	0.4	0.15	0.085	0.088	0.038	0.027	0	0.029	0.002	0	0.135	0	0	0	0.057	0.008	9.201	0.041	0.02	0	0.004	0.019	0.014	0.001	0.006	0.014	0.08	0
ASV_67	3.214	12.391	1.08798382269701e-06	4.59673165089488e-05	Enriched	0.657	0.086	0	0	0.07	0.071	0	0.002	0.002	0.065	2.228	1.479	0.049	0.017	0.041	0.005	0.015	0.14	0.19	0.002	0.002	0.095	0.071	0.054	0.02	1.913	0.009	0.032	0.018	0.002	0	0.004	0.031	0.053	0.264	0.566	0.58	4.153	0.071	7.702	0.003	0.003	0.008	0.732	0	0.003	0.813	7.357	0.001	0.002	3.89	0.003	0	0.017	0.018	0.208	0.022	0	0.002	0.003	0.01	0	0.065	0.305	0.137	0.134	0.038	0.052	0.007	0.193	0.017	0.027	0.027	0.005	0.022	0.004	0.192	0.026	0.016	0.48	0	0.01	0	0.002	0.001	0.008	0.017	0.005	0.029	0.007	0.047	0.27	0.084	1.104
ASV_3	-1.9	14.97	1.57908752496113e-05	0.000533731583436862	Depleted	1.116	4.003	2.176	0.527	1.796	1.744	0.138	1.067	2.544	1.837	6.339	3.204	0.503	0.773	1.912	1.443	1.198	1.203	0.014	4.268	0.057	1.441	0.082	0.24	1.356	0.077	0.718	0.583	1.252	0.045	1.774	0.668	2.356	0.311	0.367	0.144	0.151	0.49	1.625	0.021	1.156	2.714	1.746	0.016	0	1.027	0.001	0.003	0.931	0.407	0.194	1.173	23.584	8.93	15.547	6.946	4.535	0.201	3.247	15.993	18.973	5.892	2.944	2.048	4.879	1.631	3.59	0.906	0.913	1.793	2.121	3.122	0.025	1.021	0.156	0.011	0.106	0.185	2.022	0.094	29.312	0.639	0.179	0.089	1.787	1.143	0.025	0.157	1.445	0.124	0.305	0.107	0.487	0.915
ASV_112	-2.352	11.259	3.31303124717069e-05	0.000933170467953078	Depleted	0.054	0.24	0.026	0.021	0.003	0.016	0.026	0.002	0.021	0.024	0.002	0.184	0.002	0.005	0.012	0	0.03	0.002	0.023	0.037	0.003	0.041	0.031	0.087	0.09	0.08	0.239	0.014	0.002	0.068	0.012	0.021	0.045	0.07	0.067	0.02	0.067	0.101	0.135	0.003	0.283	0	0.375	0.008	0	0.003	0.012	0.09	0	0.004	0	0.299	0.054	0.02	0.066	0.003	0.045	0.053	0.014	0.083	0	0.002	0.063	0.008	0.017	0.013	0.002	0	0.005	0.029	0.006	0.004	0.006	0.007	0.055	0.02	3.031	0	0.002	0.03	0.007	0.013	0.163	0.03	0.02	0.026	1.412	0.375	3.947	0.004	0.008	0.067	0.359	0.03
ASV_105	3.405	11.471	7.16958391631948e-05	0.00173094240265427	Enriched	0.321	0.032	0	0.012	0.019	0.007	0	0.002	0.003	0.09	0.016	0.055	0.009	0.024	0.182	0.05	0	0.01	1.805	0.009	0	0.005	0.034	0	0.006	0.1	0.002	0	0.023	0.009	0.021	0	0.007	0.027	0.042	1.437	0	0.003	0.001	0.027	0	0	0	0	0.002	0.02	0.012	0	0.141	0	0.005	11.842	0	0.002	0.006	0.028	0	0	0	0	0.015	0.036	0	0.014	0.293	0.049	0.029	0	0.012	0.014	0	0.041	0.013	0	0	0	0.101	0	0	0	0	0	0.002	0.504	0.015	0	0	0.011	0.022	0.006	0.019	0.11	0.001	0.002
ASV_66	-2.993	11.597	0.000166090184920332	0.00292711237949084	Depleted	0.055	0.331	0.056	0	0	0.614	0	0.109	0.022	0	0	0.008	0.007	0	0	0	0.139	0.195	0.238	0.073	0.026	0.108	0	0	0.002	0.023	0.002	0	0.028	0.014	0.017	0	0.018	0.461	0.159	0.009	0.131	0.12	0.092	0.027	0.001	0	0	0.004	0	0	0	0.015	0.003	0	0.007	0.001	0	0	0	0	0.041	0	0.025	0	0.092	0	0	0.008	0.002	0	0.011	0	0	0	0.174	0.165	0.577	0.002	0	0.018	0.002	0.002	0.005	0.005	0.002	0	0.03	11.162	0.007	0.001	0.032	0.277	0.02	1.072	0.024	0.016	0.041	0.072
ASV_53	2.428	11.577	0.000167905835349626	0.00292711237949084	Enriched	0.311	0.083	0.035	0.406	0.004	0.019	0.003	0.405	0.018	0.03	0.035	0.032	0.002	0.069	0.062	0.075	0.017	0.002	0.059	0.18	0.347	0.103	10.447	0	0	0.011	0	0	2.212	0.005	0.003	0.004	0.003	0.097	0.021	0.019	0	0.072	0.004	0.048	0.031	0.004	0	0	0	0.128	0.073	0	0.458	0	0.011	0	0.023	0.024	0.165	0.006	0.02	0.003	0.072	0.197	0.197	0.067	0.449	0.294	0.108	0.165	0.042	0.025	0.616	0.079	0	0.014	0.054	0.288	0.009	0.018	0.145	0.007	0.002	0	0.009	0.003	0.004	0.204	0.019	0.001	0.001	0.011	0.015	0.099	0.001	0.023	0.001	0.001
ASV_76	-1.384	11.748	0.000173201915946204	0.00292711237949084	Depleted	0.16	0.401	0.167	0.211	0.139	0.074	0.34	0.274	0.125	0.114	0.14	0.547	0.213	0.79	0.339	0.308	0.207	0.179	0.023	0.189	0.031	0.18	0.187	0.051	0.028	0.044	0.005	0.198	0.376	0.038	0.026	0.046	0.28	0.058	0.159	0.074	0.404	0.133	0.099	0.025	0.326	0.012	0.107	0.297	0.216	0.007	0	0.004	0.011	0.012	0.204	0	0.071	0.048	0.117	0.208	0.112	0.262	0.19	0.071	0.038	0.065	0.534	0.506	0.277	0.258	0.21	1.282	0.347	0.455	0.206	0.054	0.502	3.238	0.046	0.021	0.029	0.075	0.675	0.518	0.112	0.987	0.044	0.054	0.022	2.995	0.011	0.08	0.141	0.041	0.193	0.369	1.061	0.313
