ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077
ASV_134	-1.683	10.476	0.00019479927232858	0.00299282518395728	Depleted	0.062	0.187	0.015	0.109	0.052	0.248	0.044	0.111	0.042	0.024	0.097	0.267	0.09	0.38	0.242	0.107	0.058	0.047	0.01	0.334	0.009	0.037	0.025	0.032	0.018	0.024	0.013	0.002	0.185	0.009	0.002	0.08	0.067	0.034	0.034	0.001	0.032	0.161	0.046	0	0	0.003	0.003	0.004	0	0	0	0	0.014	0	0.007	0	0.019	0.039	0.05	0.153	0.056	0.012	0.045	0.059	0.019	0.053	1.496	0.174	0.102	0.088	0.067	0.293	0.272	0.121	0.316	0.035	0.003	1.255	0.011	0	0.005	0.069	1.127	0.235	0.084	0.061	0.004	0.016	0.004	0.582	0.007	0.036	0.029	0.043	0.048	0.013	0.02	0.749
ASV_21	-2.12	12.57	0.000247332538305958	0.00348326658114224	Depleted	0.213	0.834	0.135	3.34	0.904	0.402	0.094	0.15	1.324	0.059	0.221	0.349	0.242	0.235	0.161	0.251	0.379	0.579	0.22	0.239	0.002	0.015	0.012	0.024	0.007	0.029	0.001	0.002	0.523	0.007	0.014	0.205	0.03	0.014	0.042	0.026	0.273	0.105	0.035	0	0.001	0	0	0	0	0	0	0	0.004	0	0	0	0.096	9.327	7.176	2.49	0.359	0.082	0.691	2.729	0.054	0.138	0.398	1.838	0.544	1.606	0.368	0.402	0.312	0.755	1.05	0.642	0.183	0.044	0.002	0.01	0.002	0.219	0.028	1.598	0.007	0.029	0.008	0.009	0	1.458	0.016	0.005	0.009	0.007	0.27	0.048	0.005	0.009
ASV_37	-2.185	13.056	0.000277259252143943	0.00360437027787126	Depleted	0.275	0.52	0.712	0.206	0.089	1.461	0.328	1.018	0.779	0.332	0.865	0.366	0.079	1.383	0.735	1.041	0.184	0.238	0.007	0.029	0.009	0.039	0.003	0.012	0.035	0	0.007	0.834	0.347	0.089	0.108	1.411	0.111	0.005	0.122	0.007	0.01	0.018	0.016	0	0.645	0	0	0	0	0	0.001	0.004	0.003	0.039	0.027	0	0.217	0.021	0.055	0.039	0.18	0.126	0.264	0.16	0.193	0.059	0.286	0.496	0.707	0.647	0.567	0.683	0.803	0.569	0.019	0.05	0.004	0.024	0.02	0.234	0.019	0.003	0.016	0.005	0.036	0.005	0.077	0.071	15.008	0.01	0.016	0.021	0.027	0.013	0.011	0.008	0.002	0.065
ASV_57	3.065	13.518	0.000356786874472647	0.00412394692792913	Enriched	0.84	0.145	0.003	0	0.019	0.001	0	0.005	0.058	0.116	0.444	1.376	0	0.002	0	0.014	0.004	0.002	0.091	0.123	0	0.297	0.043	0.003	0.013	0.003	0.016	0	0.295	0.283	37.824	0.001	0.023	0.442	0.079	0.016	0.013	0.221	0.119	0.006	0	0	0.001	0.001	0	0.005	0	0	0.035	0	0	0	0.002	0.003	0.004	0	0.038	0.003	0.02	0.165	0.002	0	0.03	0.044	0.063	0.072	0.002	0	0.002	0.174	0	0.002	0.168	0.005	0.002	0.039	0.192	0	0.366	0.022	0.018	0.006	0.643	0.18	0.196	0	0	0.016	0.062	0.035	0.052	2.822	0.016	0.63
ASV_16	-2.707	13.751	0.000366030792419745	0.00412394692792913	Depleted	0.388	1.168	0.368	5.919	0.816	0.338	1.646	0.134	0.701	0.509	0.654	0.758	0.557	0.607	2.582	1.699	0.013	0.064	0.003	0.158	0.002	0.011	0.021	0.002	0.017	0	0.002	0	0.169	0.126	0.164	1.331	0	0.007	0.002	0.001	0	0.001	0	0.001	0	0	0	0	0	0	0	0	0.019	0	0.004	0.001	0.423	8.612	6.077	0.852	0.169	1.031	0.145	0.197	0.059	0.348	1.128	0.991	0.756	0.642	0.902	0.458	2.107	3.63	0.095	0.343	0.004	0.542	0.004	0	0.003	0.002	0.013	0.002	0.009	0	19.29	0.117	0.092	0	0	0.002	0	0	0	0	0.001	0.006
ASV_87	1.816	13.325	0.000455521869675534	0.00447778089748602	Enriched	0.741	0.343	0.027	0.175	0.058	0.018	0.06	0.041	0.072	0.26	0.129	2.364	0.038	0.074	0.108	0.158	0.034	0.035	0.059	0.092	0.066	0.088	0.054	0.282	0.195	0.089	0.031	0.076	0.518	12.25	0.375	0.01	0.057	0.473	0.234	0.067	0.813	3.188	0.166	0.013	0.881	0.001	7.561	0.053	0.153	0.001	0.024	0	0.003	0.788	4.58	0.181	0.098	0.08	0.235	0.42	0.016	0.061	0.029	0.049	0.782	0.115	0.113	1.133	0.327	0.284	0.045	0.118	0.067	0.524	0.032	0.048	0.947	1.045	0.162	0.083	0.993	0.381	0.186	2.674	0.02	1.036	0.067	0.067	0.426	0.046	0.007	0.07	0.053	0.266	0.264	0.175	0.098	0.753
ASV_188	1.887	11.6	0.000473341570086013	0.00447778089748602	Enriched	0.251	0.109	0.009	0.006	0.086	0.253	0.011	0.044	0.141	0.787	0.035	0.103	0.011	0.019	0.083	0.034	0.047	0.008	0.017	0.386	0.011	0.305	0.001	0.032	0.111	0.204	1.441	0.117	0.003	0.002	0.005	0.06	0.002	0.01	0.311	0.011	0	0.008	0.046	0.151	0.077	0.334	0.873	0	0.478	0.136	0.005	2.167	3.423	0.011	0.001	0.121	0.002	0.009	0.002	0.012	0.016	0.003	0.007	0.012	0.031	0.535	0.018	0.035	0.009	0.067	0.018	0.007	0.007	0.071	0.015	0.025	0.007	0.044	2.264	0.01	0.013	0.003	0.008	0.038	0.264	0.038	0.042	0.034	0.055	0.027	0.221	0.357	0.033	0.003	0.005	0.028	0.177	0.017
ASV_151	-2.397	10.962	0.000476923409199694	0.00447778089748602	Depleted	0.063	0.287	0.005	0.246	0.186	0.177	0.033	0.232	0.082	0.242	0.067	0.075	0.211	0.301	0.502	0.263	0.13	0.164	0.002	0.004	0.002	0.014	0.001	0.002	0	0.001	0	0.002	0.037	0	0	0.039	0.003	0	0.002	0.002	0.004	0.09	0.024	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.025	0.203	0.141	1.97	0.164	0.068	0.465	0.022	0.046	0.099	1.744	0.093	0.074	0.162	0.06	1.632	0.095	0.305	0.327	4.262	0	0.002	0	0.01	0	0.02	0.002	0.003	0.014	0.042	0	0.004	0.003	0.001	0	0.001	0	0	0	0	0	0.017
ASV_94	1.54	12.308	0.000659918022780184	0.00586979714999216	Enriched	0.353	0.182	0.126	0.057	0.02	0.025	0.05	0.293	0.029	0.118	0.216	0.198	0.011	0.033	0.046	0.018	0.16	0.246	0.255	0.274	0.427	0.193	0.052	2.048	0.079	0.858	0.083	0.133	0.077	3.861	0.021	0.181	0.303	0.282	0.607	0.861	0.055	0.047	1.202	0.017	0.359	2.101	0.021	0.01	0.027	0.015	0.107	0.001	0.458	0.827	0.135	0.001	0.248	0.068	0.073	0.035	0.058	0.056	0.083	0.123	0.015	0.01	0.822	0.139	0.043	0.049	0.083	0.014	0.229	0.102	0.1	0.081	0.246	0.249	0.103	0.007	0.128	1.034	0.194	0.621	0.002	0.507	0.056	0.497	0.177	0.084	0.067	0.132	0.386	0.062	0.419	0.171	0.018	0.049
ASV_96	3.685	12.519	0.000910841062385662	0.00769660697715884	Enriched	0.507	0.08	0	0	0	0.001	0	0	0	0	0	0	0.002	0	0	0	0	0	0.005	0.31	24.25	0.309	0	0.039	0.001	0.104	0	0	0.002	0	0	0.001	0.003	0	0.144	0	0.001	0.112	0	0.014	0	0	0	0.001	0	0	0.009	0.004	0.001	0.001	0.005	0.013	0.002	0.002	0	0.011	0	0	0	0.003	0	0.002	0.003	0	0.002	0	0	0.002	0	0.002	0	0	0.004	0.332	2.508	0.013	0.025	0.201	0.002	0.019	0	0.001	0	0.005	0	0.049	0.063	0.067	0	0.038	0.006	0.001	0	0.014
ASV_149	-1.766	10.299	0.00100269383639246	0.00792897022479579	Depleted	0.048	0.154	0.056	0.199	0.019	0.025	0.408	0.139	0.201	0.01	0.048	0.032	0.462	0.159	0.097	0.126	0.075	0.021	0	0.007	0.032	0.024	0.001	0.003	0.001	0	0	0.002	0.012	0.005	0.002	0.06	0.004	0.041	0.04	0.007	0	0.018	0.009	0	0	0	0.011	0	0.003	0	0	0	0.018	0.006	0	0	0.022	0.056	0.084	0.157	0.495	3.212	0.224	0.083	0.015	0.014	0.068	0.084	0.176	0.052	0.094	0.436	0.217	0.162	0.093	0.031	0.165	0.002	0.237	0	0.003	0.018	0.005	0.011	0.034	0.005	0.002	0.008	0.054	0.01	0.002	0.009	0.034	0.001	0.056	0.015	0.001	0.008
ASV_86	2.271	11.803	0.00104878353052057	0.00792897022479579	Enriched	0.295	0.098	0	0	0.046	0.007	0.01	0.002	0	0.004	0.186	0.077	0.175	0.021	0.405	0.032	0.026	0.008	1.576	0.147	6.564	0.118	0.025	0.092	0.022	2.703	0.013	0	0	0	0	0	0.017	0.046	0.745	0.054	0.058	0.346	0.03	0.063	0	0	0	0	0	0.003	0.351	0.566	0.192	0.037	0	0	0	0.023	0.044	0.189	0	0	0	0	0.019	0	0.008	0.079	0.286	0.09	0.248	0.016	0.095	0	0.013	0.12	0.155	0.237	0.832	0.001	0.057	0.227	0.025	0.038	0.002	0.037	0.002	0.039	0	0.154	0.162	0.176	0.012	0.021	0.023	0.613	0.054	0.006
ASV_38	1.671	14.215	0.00107909062230949	0.00792897022479579	Enriched	1.647	0.467	0.289	0.141	0.017	0.032	0.327	0.27	0.079	1.219	0.168	0.19	0.04	0.074	0.094	0.073	0.056	0.045	13.459	0.136	0.549	0.139	0.369	3.491	0.145	0.236	0.108	2.761	0.225	0.014	0.228	0.055	1.391	0.258	0.144	3.529	0.109	0.111	0.505	3.91	1.182	5.182	0.489	0.034	0.21	0.559	16.464	2.825	5.31	13.164	0.945	0.979	0.191	0.009	0.037	0.046	0.065	0.301	0.208	0.037	0.071	0.071	0.454	0.106	0.056	0.044	0.02	0.025	0.354	0.164	0.074	0.05	0.301	0.555	0.16	1.47	0.197	0.142	0.042	0.504	0.052	0.043	0.004	3.208	0.458	0.159	5.657	0.425	0.138	0.654	0.39	0.087	0.453	2.118
ASV_41	1.589	12.275	0.00174723530803685	0.0117401495566429	Enriched	0.459	0.172	0.056	0.4	0.295	6.332	0.299	0.415	4.109	0.686	0.451	0.101	0.126	0.147	0.822	0.311	0.101	0.021	0.021	0.086	0.02	0.042	0.006	0.134	0.4	0.111	0.713	0.196	0.119	0.003	0.003	0.181	0.074	0.133	0.747	0.122	0.022	0.026	0.03	0	0.011	0.003	0	0.007	0	0.743	0.009	0.497	3.417	0.005	0.004	0.383	0.037	0.089	0.161	0.098	0.405	0.019	0.165	0.035	0.046	0.916	0.145	0.256	0.035	0.121	0.031	0.107	0.057	0.191	0.017	0.054	0.028	0.061	1.841	0.004	0.121	0.002	0.009	0.005	0.533	0.017	0.637	0.016	0.012	0.001	0.176	0.268	0.208	0.036	0.115	0.099	0.023	0.034
ASV_61	-2.908	13.042	0.00176582572061002	0.0117401495566429	Depleted	0.198	0.562	0.356	0	1.12	0.046	0	0.508	0.675	0.114	0	0	0.002	0.308	5.563	0.479	0.002	0.002	0	0	0	0	0	0.01	0.08	0	0.045	0.002	0.03	0.028	0.026	0.004	0	0.007	0.013	0.481	0	0	0.004	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0.091	0.048	1.782	0.503	0	0.635	0.145	1.098	0.087	0.013	0.005	0	0.003	0	0.263	2.239	0.438	0.002	0.409	0	0	0	0	0.002	0.007	0.016	0	0.077	0.001	15.661	0.029	0.018	0	0.001	0.005	0.002	0	0.003	0.007	0	0.009
ASV_51	1.537	13.016	0.00180617685486813	0.0117401495566429	Enriched	0.687	0.307	0.012	0.023	0.046	0.108	0.021	0.388	0.059	0.149	0.285	0.075	0.083	0.047	0.108	0.237	0.169	0.503	1.739	0.061	0.97	0.122	0.47	0.155	0.095	10.258	0.023	0.12	0.139	0.009	0.003	0	0.99	0.449	0.24	0.285	2.627	0.61	0.249	6.409	0.029	0.007	0.008	0.54	0	0.036	1.467	0.807	0.163	0.801	0.758	1.391	0.014	0.059	0.094	0.197	0.013	0.01	0.102	0.131	0.513	0.397	0.16	0.117	0.256	0.09	0.058	0.073	0.047	0.014	0.125	0.324	2.54	0.142	0.184	1.265	0.093	0.082	0.072	1.023	0.018	0.02	0.018	0.078	0.001	0.08	0.216	0.176	0.111	0.253	2.286	0.123	0.73	0.571
ASV_17	1.408	12.842	0.00224566314500653	0.0140561878335594	Enriched	0.796	0.29	0.059	0.674	1.347	5.542	0.231	0.677	1.353	1.67	2.288	0.224	1.093	0.422	1.06	1.215	0.126	0.138	0.03	0.286	0.011	0.069	0.007	0.061	0.411	0.237	0.384	0.802	0.447	0.133	0.014	12.964	0.048	0.039	0.995	0.448	0.012	0.046	0.022	0.01	0.184	0.344	0.29	0.018	0.262	0.082	0.009	0.295	2.024	0.004	0	0.694	0.039	0.121	0.149	0.128	0.841	0.036	0.178	0.103	0.134	1.722	1.684	0.52	0.134	0.258	0.451	0.15	0.214	0.457	0.108	0.378	0.013	0.156	1.224	0.011	0.749	0.003	0.011	0.016	0.23	0.097	0.911	0.039	0.194	0.016	0.022	0.082	0.335	0.004	0.022	0.027	0.113	0.088
ASV_47	1.879	10.922	0.00245663107677627	0.0147782101065335	Enriched	0.258	0.077	0.295	1.093	0.089	1.151	0.363	1.433	1.57	0.323	0.163	0.067	0.076	0.168	0.152	0.274	0.637	0.322	0	0.004	0.006	0.013	0	0.002	0.001	0	0	0.005	0.25	0.009	0	4.301	0.007	0	0.029	0.016	0	0.016	0.019	0.004	0	0	0.024	0	0	0	0	0.005	0	0.001	0.023	0	0.048	0.017	0.053	0.012	0.344	0.061	0.217	0.031	0.082	0.138	0.063	0.939	0.052	0.039	0.078	0.098	0.379	0.205	0.187	0.058	0.004	0.002	0	0.003	0	0.002	0.002	0	0.002	0.008	0.012	0.011	0.004	0.008	0.011	0.014	0.005	0.001	0.004	0.01	0.034	0.005
ASV_69	-1.602	13.226	0.00253590587626907	0.0147782101065335	Depleted	0.334	0.749	0.021	0.014	0.033	0.009	0.039	0.067	0.05	0.043	0.021	0.378	0.013	0.069	0.025	0.027	0.03	0.041	0.023	0.176	0.181	0.182	0.733	1.71	0.37	0.04	0.065	0.074	0.149	0.417	0.075	0.053	0.145	0.458	0.699	0.095	0.56	0.545	0.237	0.025	0.023	2.664	2.529	0.039	0.003	0.004	3.512	0	0.004	0.016	0.005	0.001	0.019	0.108	0.174	0.047	0.049	0.048	0.291	0.119	0.029	0.022	0.04	0.06	0.065	0.031	0.009	0.039	0.04	0.071	0.068	0.008	0.149	0.068	0.075	12.444	0.26	0.549	1.463	0.455	0.027	0.6	0.006	0.18	0.48	0.139	2.92	1.008	0.176	0.074	8.54	0.172	0.065	0.292
ASV_58	-1.425	11.599	0.00287146034445917	0.0161758932737867	Depleted	0.157	0.359	0.021	0.596	0.543	0.375	0.161	0.175	0.053	0.187	0.186	0.232	0.258	0.183	0.91	0.224	0.302	0.287	0.01	0.05	0	0.036	0.009	0.012	0.011	0.01	0.002	0.02	0.594	0.01	0.01	0.267	0.211	0.135	0.061	0.036	0.06	0.683	0.189	0	0.381	0.015	0.001	0.003	0.297	0	0	0	0.037	0	0.018	0	0.056	0.156	0.161	0.322	0.335	0.168	0.249	0.123	0.038	0.089	0.965	0.874	0.147	0.162	0.388	0.647	0.229	0.288	0.407	7.921	0.018	0.005	0.018	0.001	0.03	0.046	0.006	0.239	0.027	0.084	0.012	0.016	0.013	0.467	0.012	0.021	0.018	0.066	0.052	0.031	0.005	0.171
ASV_55	1.242	12.762	0.00319832934279593	0.017436053513952	Enriched	0.607	0.275	1.393	1.83	0.081	0.078	0.781	0.153	0.098	1.506	0.366	0.414	0.083	1.499	0.392	0.361	0.282	0.673	0.105	0.099	0.023	0.114	0.007	0.075	0.438	0.026	0.15	0.01	1.516	0.119	4.463	0.068	0.438	0.396	0.659	0.036	0.099	0.226	0.104	0.287	0.189	0.086	0.688	0	0.081	1.633	0.047	0.877	1.577	5.377	0.093	0.236	0.533	0.018	0.013	0.014	0.065	0.112	0.106	0.065	0.063	0.172	0.266	0.67	0.26	0.217	0.19	0.247	0.666	0.512	0.214	0.822	0.034	0.014	0.171	0.084	0.604	0.008	0.209	0.027	0.105	0.088	0.099	0.152	0.473	0.249	0.079	0.206	1.74	0.294	0.205	0.079	0.687	0.711
ASV_176	1.668	9.891	0.00370510259640364	0.0195675730872567	Enriched	0.103	0.03	0.008	0.017	0	0.003	0.003	0.005	0.003	0.016	0.009	0.004	0	0.012	0.007	0.027	0	0	0.021	0.055	0.04	0.363	0.019	0.02	0.086	0.007	0.076	0.003	0.012	0.003	0.075	0.004	0.012	0.017	2.186	0.007	0.004	0.035	0.027	0	0.011	0.446	0.286	0	1.096	0.09	0.001	0.001	0.014	0.011	0	0	0	0.002	0.04	0	0.013	0.014	0.005	0.008	0	0	0.005	0.022	0	0.005	0	0.016	0.012	0.098	0	0	0.025	0.051	0.099	0	0.145	0.042	0.041	0.013	0.107	0.038	0.067	0.025	0.015	0.001	0.024	0.056	0.013	0.011	0.196	0.012	0.011	0.014
