ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078
ASV_88	2.256	12.423	0.00168940505360462	0.0236314027255812	Enriched	0.305	0.126	0.014	0.003	0.003	0.035	0.01	0.144	0.036	0.053	0.267	0.291	0.218	0.11	0.054	0.051	0.196	0.004	0.003	0.009	0.017	0.095	0.001	0.026	0.004	0.018	0.001	0.001	0	0.021	0.003	0.051	0.018	0.016	0.05	0.017	0.001	0.003	0.009	0.062	9.97	0.087	0.005	0.221	0.055	0.209	0.111	0.79	0.225	1.533	0.4	0.149	0.086	0	0.001	0.032	0.007	0.014	0.009	0.001	0.005	0	0.189	0.106	0.006	0.006	0.005	0.001	0.012	0.018	0.026	0.009	0.003	0.007	0.002	0.071
ASV_129	-1.64	11.258	0.00190627866865813	0.0236314027255812	Depleted	0.103	0.287	0.224	0.693	0.535	0.094	0.01	0.313	0.007	0.186	0.415	0.082	0.087	0.276	0.211	0.058	0.046	0.088	0.015	0.006	0.019	0.038	0.007	0.032	0.097	0.012	0.001	0.015	0.002	0.037	0.013	0.019	0.013	0.07	0.094	0.016	0.032	0.014	0.104	0.009	0.023	0.877	4.43	0.062	0.309	0.408	0.143	0.223	0.083	0.933	1.804	0.103	0.061	0.001	0.011	0.012	0	0.033	0.017	0.006	0.063	0.008	0.023	0.019	0	0	0.008	0.054	0.01	0.088	0.017	0.077	0.021	0.01	0.102	0.03
ASV_112	1.476	10.189	0.00195763099501856	0.0236314027255812	Enriched	0.111	0.047	0.031	0.167	0.019	0.044	0.008	0.019	0.007	0.278	0.087	0.061	1.673	0.049	0.018	0.023	0.011	0.122	0.013	0.021	0.386	0.048	0.003	0.009	0.007	0.017	0.012	0.031	0.102	0.043	0.031	0.007	0.06	0.016	0.008	0.003	0.005	0.091	0.089	0.181	0.513	0.011	0.035	0.007	0.028	0.176	0.106	0.071	0.284	0.041	0.005	0.018	0.006	0.027	0.005	0.001	0.008	0.021	0.021	0.007	0.001	0.005	0.034	0.018	0.094	0.053	0.073	0.016	0.355	0.019	0.012	0.011	0.015	0.022	0.02	0.023
ASV_21	1.871	13.981	0.00241180607449113	0.0271730151059334	Enriched	1.803	0.528	1.297	19.499	19.178	1.019	0.36	0.057	0.084	1.453	0.002	0.016	0	0.004	0.007	0.055	0	0.689	0.253	1.076	0.047	0.095	0.141	0.325	0.064	0.109	0.176	0.731	1.198	0.507	0.272	0.058	0.148	0.14	0.016	0.114	0.422	0.861	1.792	17.995	0.045	0.673	1.798	0.329	0.015	0.201	0	0.009	0.002	0.01	0.005	0.015	0.002	0.293	0.487	0.622	0.152	0.036	0.064	0.31	0.36	0.185	0.118	0.117	0.933	1.041	0.11	0.118	0.024	0.047	0.092	0.129	0.983	3.227	4.019	1.948
ASV_80	3.77	8.2	0.00354418980317992	0.0374355047960879	Enriched	0.023	0.002	0	0.003	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0.003	0.821	0	0.001	0	0.046	0.003	0	0	0	0.002	0	0	0	0	0.001	0	0	0	0	0.009	0	0	0	0.003	0	0	0	0.002	0	0	0	0	0	0	0	0.01	0.001	0.019	0.017	0	0	0.008	0.004	0	0	0	0	0	0	0	0	0	0	0.008
ASV_16	-1.65	13.806	0.00688206735370231	0.0681647550602563	Depleted	0.538	1.389	0.204	0.38	2.61	0.367	0.021	0.161	0.017	0.284	0	0.039	0.006	0.004	0.007	0.016	0.064	1.141	3.389	3.09	0.109	0.095	0.233	0.172	0.001	0.168	1.072	0.168	0.431	0.272	0.116	0.053	0.067	0.965	0.216	4.683	0.244	0.023	0.087	0.008	0.003	0.119	0.286	0.004	0.221	0.176	0	0.061	0.012	0.008	0.002	0.018	0.004	9.382	21.058	0.293	0.288	0.174	0.037	0.436	0.014	0.189	0.466	0.376	3.237	6.168	0.739	0.107	0.024	0.22	0.898	0.26	2.45	0.03	0.016	0.829
ASV_105	2.145	9.143	0.00743949217067925	0.0681647550602563	Enriched	0.053	0.014	0	0	0	0.041	0.03	0	0.04	0	0	0	0	0	0.002	0.002	0	0	0	0.041	0	0	0.001	0.065	0.015	0.004	0	0	0.002	0.262	0.001	0.009	0.007	0.045	1.363	0.033	0.035	0.01	0.01	0.016	0.014	0	0	0.028	0	0	0	0	0.002	0.002	0.005	0	0.008	0	0	0.005	0	0	0.007	0.001	0.09	0.021	0	0.006	0.001	0	0.003	0.031	0.049	0.068	0.036	0.085	0.008	0.008	0.003	0.015
ASV_146	1.299	11.867	0.00766349317245485	0.0681647550602563	Enriched	0.348	0.151	0.037	0.06	0.019	0.132	0.043	0.022	0.079	0.048	0.012	0.025	0.157	0.023	0.011	0.062	0.009	0.407	0.455	3.193	0.866	0.485	0.089	0.218	0.125	0.211	4.342	0.303	0.12	0.156	0.176	0.065	0.141	0.398	0.121	0.268	0.032	0.299	0.34	0.016	0.003	0.029	0.038	0.011	0.017	0.068	0.035	0.033	0.428	0.012	0	0	0.006	0.254	0.148	0.285	0.345	0.163	0.295	0.065	0.071	0.103	0.562	0.27	0.183	0.071	0.05	0.079	0.902	0.127	0.063	0.139	0.021	0.144	0.256	0.016
ASV_92	-2.005	11.853	0.00891397599907304	0.0718403184125729	Depleted	0.108	0.46	0.005	0.011	0.098	0.015	0	0	0	0	0	0.005	0.003	0.002	0	0.03	0.002	0.007	0.006	0.021	0.005	0.003	0.069	0.843	0.15	0.329	0.025	0.045	0	0.046	0.033	0.202	0.175	0.125	1.644	0.054	0.063	0.167	0.034	0	0	0.005	0.008	0	0	0.003	0	0	0.017	0.002	0	0.003	0	0.001	0.01	0.079	0.1	0.032	0.093	0.1	7.751	0.129	0.029	0.051	0.049	0.002	0.018	0.004	0.049	7.234	0.116	0.101	0.002	0.12	0.006	0
ASV_104	-1.371	11.404	0.0089269034713848	0.0718403184125729	Depleted	0.136	0.251	0.005	0.022	0.01	0.32	0.302	0.069	0.445	0.088	0.071	0.266	0.035	0.273	0.027	0.021	0.042	0.013	0.015	0.16	0.009	0.009	0.003	0.041	0.228	0.003	0.003	0.088	1.579	0.497	0.142	0.098	0.087	0.164	0.008	0.001	0.047	0.014	0.033	0.065	0.003	0.129	0.102	0.181	0.138	0.513	0.053	0.075	0.104	1.611	0.366	0.033	0.024	0.005	0.143	0.099	0.008	0.006	0.01	0.013	0.017	0.007	0.001	0.004	0.049	4.397	0.028	0.333	0.027	0.109	0.001	0.011	0.043	0.051	0.019	0.071
ASV_61	1.619	11.104	0.0108772782132566	0.0822856193784731	Enriched	0.261	0.09	0.012	0.005	0.029	0.31	0.345	0	0.157	0.012	0.01	0.009	0.035	0.117	0.002	0	0	0.233	0.007	0.275	0.014	0.004	0.06	1.737	2.002	0.048	0.001	0.193	0	0.055	0	0.146	0.065	0.057	0.499	1.291	0.017	2.281	0.151	0	0	0.008	0.002	0.094	0	0	0.024	0.061	0.175	0.125	0	0	0.012	0.179	0.007	0.008	0.008	0.001	0.086	0.047	0.055	0.072	0.036	0.078	0.013	0	0.05	0.001	0.025	0.255	0.311	0.021	0.067	1.276	0.063	0
ASV_135	-1.77	11.784	0.0111986345899697	0.0822856193784731	Depleted	0.17	0.353	0.005	0.011	0.012	2.454	0.616	0.007	0.2	0.038	0	0.009	0.003	0.002	0	0.035	0	0.007	0.279	0	0.072	0.093	0.168	0.012	0.001	0.003	0.001	0.041	0.035	0.134	0.594	1.289	0.128	0.137	0.024	0.006	0.086	0.081	0.041	0.002	0	0.003	0.006	2.74	0.004	0.047	0.005	0.007	0.073	0.053	0.005	0	0	0	0.036	0.005	0	8.536	0.002	0.015	0.023	0	0.004	0.201	0.004	0.021	0.013	0.121	0.069	0.055	0.015	0.111	0.11	0.03	0.045	0.004
ASV_113	1.257	12.397	0.0136406432044334	0.0960528625645516	Enriched	0.426	0.233	0.087	0.974	0.195	0.468	0.181	2.937	0.081	0.177	0.599	0.225	0.244	0.994	1.285	0.386	1.221	0.047	0.086	0.086	0.013	0.091	0.025	0.043	0.014	0.117	0.028	0.113	0.035	0.055	0.013	0.023	0.081	0.072	0.048	0.021	0.037	0.162	0.013	0.307	5.045	0.158	0.278	0.2	2.119	0.464	0.281	0.12	0.487	0.277	0.348	0.211	0.896	0.021	0.024	0.029	0.014	0.062	0.173	0.047	0.023	0.017	0.15	0.549	0.029	0.039	0.008	0.007	0.024	0.047	0.019	0.021	0.034	0.145	0.014	0.813
ASV_100	1.195	10.965	0.0164780636331168	0.11139171015987	Enriched	0.219	0.078	0.107	0.147	0.007	0.097	1.134	0.063	0.481	1.214	0.002	0.339	0.023	0.1	0.282	0.125	2.678	0.015	0.043	0.029	0.008	0.252	0.018	0.012	0.003	0.03	0.042	0.015	0.01	0.015	0.031	0.321	0.533	0.06	0.01	0.017	0.07	0.006	0.004	0.126	0.054	0.053	0.058	0.08	0.077	0.635	0.016	0.063	0.045	0.012	0.177	0.16	0.584	0.012	0.04	0.016	0.01	0.124	0.016	0.036	0.008	0.004	0.02	0.078	0.003	0.018	0.008	0.033	0.035	0.024	0.007	0.034	0.003	0.014	0.013	0.212
ASV_67	-1.849	13.396	0.0192137570326232	0.122152831607282	Depleted	0.329	0.886	0	0	0	0.095	0.053	0	0.01	0.002	0.002	0	0.003	1.223	0.48	0.623	6.246	0.007	0.447	0.01	0.003	0.017	0.051	0.246	0.148	0.031	0.038	0.042	0	0.461	0.013	0.049	0.022	0.078	2.125	0.01	0.11	0.019	0.126	0.014	0.032	0	0	0.383	0	0.026	0.003	0	0.291	0	0.977	0.419	25.767	0.01	0.014	0.012	0.003	0.054	0.208	0.014	0.13	0.005	0.019	1.459	0.01	0.005	0	0.011	0.061	0.591	0.006	0.491	0.005	0.011	0.027	0.004
ASV_96	2.747	12.253	0.0195507287498456	0.122152831607282	Enriched	0.618	0.078	0.002	0.008	0.002	0.025	0.003	0	0.002	0.002	0	0	0.006	0	0.002	0.002	0	0	0.061	0	0.084	13.151	0.022	0.001	0	0	0.119	0	0	0	0	2.097	8.485	0	0	0	0	0.019	0	0.002	0	0.069	0.002	0.009	0	0.004	0.003	0.005	0.005	0	0	0	0	0	0.075	0.001	0	2.368	0.002	0.038	0	0	0.002	0.052	0	0	0	0	0.029	0.04	0	0.001	0	0.034	0	0
ASV_148	-2.952	13.124	0.0214092057688552	0.122152831607282	Depleted	0.136	0.94	0	0	0	0.01	0.003	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.003	0	0	0	1.444	0.442	0.263	0.005	0.007	0.661	0.003	0.004	0.001	0	0.004	2.173	0.262	0	0	0.092	0	0.001	0	0	0	0	0	0	0	0.003	0	0.025	0.001	0	0	0	0	0.004	0	0	0.004	17.733	0.261	0.181	0.002	0	0.003	0.004	0.02	0.001	0	14.567
ASV_85	0.969	12.163	0.0214937036994467	0.122152831607282	Enriched	0.561	0.216	0.334	7.577	1.042	0.772	4.523	0.317	0.279	0.367	0.053	0.161	0.047	0.774	0.309	0.734	1.067	0.131	0.166	0.123	0.217	0.104	0.045	0.074	0.039	0.076	0.372	0.301	0.251	0.168	0.131	0.177	0.04	0.47	0.084	0.017	0.081	0.239	0.027	0.19	0.005	0.343	1.198	0.763	0.175	0.441	0.409	0.101	0.052	0.242	0.091	0.27	1.021	0.066	0.086	0.072	0.053	0.106	0.064	0.051	0.17	0.021	0.128	0.208	0.043	0.129	0.008	0.067	0.504	0.052	0.058	0.063	0.08	0.255	0.023	0.135
ASV_86	1.582	12.442	0.021683934604843	0.122152831607282	Enriched	0.626	0.167	0	0	0	0.06	0.074	0.003	0.005	0	0	0	0	0.17	0.087	0.102	0.044	1.321	0.143	0.04	0.369	11.881	0.09	0.287	0.242	0.198	0.206	0.021	0.065	0.104	0.348	5.969	2.108	0.045	0.148	0.004	0.085	0.086	0.08	0.012	0.022	0	0	0.23	0	0	0	0	0.234	0	0.162	0.077	1.135	0.032	0.062	0.024	0.019	0.89	0.128	0.068	0.172	0.133	0.071	0.188	0.02	0.023	0.158	1.12	0.082	0.223	0.015	0.175	0.33	0.023	0.016	0.022
ASV_42	-0.977	12.326	0.029901772355735	0.163012888003846	Depleted	0.332	0.466	0.014	0.015	0.015	0.092	0.09	0.039	0.238	0.029	0.041	0.027	0.381	0.081	0.195	0.065	0.68	0.325	0.455	0.06	0.415	0.088	0.136	0.556	0.169	0.09	0.179	0.038	0.107	0.308	0.257	1.398	1.799	2.896	0.946	0.161	0.282	0.155	0.093	0.014	0.002	0.042	0.005	1.478	0.04	0.028	0.101	0.099	0.305	1.311	2.385	0.103	0.11	0.256	0.067	0.134	0.037	0.645	0.141	0.168	0.325	0.031	0.069	0.121	0.014	1.313	0.058	1.396	3.59	0.527	0.454	0.655	0.151	0.041	0.023	0.098
ASV_47	-1.278	12.528	0.0324858585206625	0.171565940312249	Depleted	0.291	0.683	0.016	0.014	0.05	0.004	0	0.058	0.003	0.003	0	0.002	0.006	0.004	0.011	0	0	0.911	2.054	0.63	0.322	0.12	0.076	0.097	0.049	0.25	1.457	0.745	0.09	0.25	0.745	0.267	0.166	0.298	0.024	0.208	0.047	2.249	0.13	0.003	0.002	0.018	0.038	0.004	0.537	0.017	0.037	0	0.035	0.006	0.012	0	0.004	0.132	0.124	3.279	0.066	0.127	0.397	0.11	0.107	0.04	11.624	0.355	0.787	0.28	2.038	0.239	0.086	0.103	1.899	0.087	0.154	0.968	0.156	0.036
ASV_137	1.065	9.532	0.0394148402131919	0.193864034947361	Enriched	0.075	0.036	0.009	0.015	0	0.012	0.002	0.022	0.005	0.062	0.128	0.109	1.699	0.091	0.052	0.074	0.046	0.01	0.001	0.009	0.079	0.055	0.006	0.015	0.022	0.113	0.036	0.018	0	0.009	0.009	0.009	0.065	0.002	0.02	0	0.007	0.058	0.029	0	0.009	0.001	0.009	0.009	0.006	0.018	0.239	0.15	0.191	0.051	0.017	0.139	0.031	0.006	0.004	0.018	0.003	0.032	0.078	0.013	0.017	0.013	0.031	0.012	0.009	0.003	0.003	0.012	0.02	0.032	0.011	0.043	0	0.031	0	0.001
ASV_91	-1.273	9.378	0.0406327338897975	0.193864034947361	Depleted	0.041	0.062	0.012	0.002	0.012	0.06	0.03	0.051	0.383	0.029	0	0.002	0	0.002	0.325	0.005	0.002	0	0	0	0	0.029	0.009	0.149	0.006	0	0	0.01	0.012	0	0.003	0.058	0.087	0.045	0	0	0.03	0.167	0.056	0.003	0.003	0.009	0.016	0.273	0.021	0.011	0.008	0.007	0.002	0	0.221	0.015	0.002	0.006	0	0.075	0.004	0.003	0.037	0.025	0.053	0.004	0.001	0.003	0.001	0.006	0	0.014	0.045	0.003	0	0	1.004	0.237	0.027	0.026
ASV_149	-0.969	11.266	0.0410962711118149	0.193864034947361	Depleted	0.149	0.231	0.058	0.04	0.076	0.048	0.601	0.365	0.095	0.124	0.008	0.018	0.047	0.006	0.009	0.236	0.024	0.025	0.328	0.025	0.061	0.137	0.494	0.096	0.07	0.034	0.056	0.471	0.027	0.055	0.314	0.725	0.114	0.074	0.062	0.02	0.055	0.313	0.483	0.002	0.003	0.022	0.046	0.125	0.204	0.096	0.005	0.007	0.109	0.004	0.015	0.008	0.002	0.065	0.067	0.049	0.035	4.2	0.044	1.133	0.205	0.01	0.035	0.3	0.026	0.003	0.018	0.254	0.035	0.065	0.102	0.127	0.038	0.516	0.106	0.004
ASV_123	-0.936	9.94	0.0412964808171893	0.193864034947361	Depleted	0.057	0.112	0.035	0.031	0.077	0.004	0	0.483	0.093	0.07	0.006	0.136	0.003	0.038	0.004	0.018	0.018	0.024	0.39	0.042	0.014	0.003	0.123	0.022	0.013	0.068	0.03	0.055	0.012	0.018	0.016	0	0.002	0.113	0.027	0.023	0.028	0.106	0.077	0.002	0.006	0.046	0.028	0	0.332	0.062	0.027	0.209	0.014	0.008	0.007	0.003	0.002	0.129	0.044	0.134	0.011	0.109	0.004	0.011	0.009	0.056	0.128	1.41	0.049	0.006	0.063	0.02	0.008	0.019	0.04	0.619	0.082	0.207	0.028	0.005
ASV_60	-1.133	12.438	0.0436127552939497	0.198367864072648	Depleted	0.29	0.638	0.336	1.71	0.769	0.241	0.014	0.017	0.422	0.104	0.03	0.227	0.084	0.114	0.007	0.058	0.004	0.03	0.024	0.012	0.483	2.394	0.016	0.172	0.179	0.021	0.025	0.01	0.037	0.137	0.193	0.736	1.918	0.082	0.265	0.017	0.244	0.022	0.023	0.084	0.032	15.905	1.328	0.019	0.072	1.284	0.061	0.045	1.369	0.062	0.108	0.041	0.027	0.006	0.01	0.213	0.001	0.401	0.016	0.018	0.062	0.005	0.069	0.078	0.004	0.018	0	0.444	0.082	0.248	0.012	0.185	0.01	0.03	0.016	0.08
ASV_117	0.989	10.116	0.0446034250577551	0.198367864072648	Enriched	0.115	0.05	0.007	0.036	0.05	1.713	0.262	0.053	0.043	0.018	0.091	0.111	0.006	0.013	0.011	0.018	0	0.134	0.068	0.009	0.077	0.058	0.003	0.004	0.152	0.005	0.005	0.01	0.045	0.012	0.087	0.369	0.184	0.181	0.004	0.03	0.004	0.012	0.053	0.012	0.535	0.017	0.255	0.531	0.083	0.011	0.024	0.103	0.014	0.068	0.007	0.003	0	0.006	0.017	0.004	0.003	0.025	0.027	0.01	0.012	0.004	0.005	0.01	0.003	0.045	0.08	0.094	0.137	0.028	0.043	0.014	0.008	0.016	0.013	0.028
ASV_74	-0.984	12.217	0.0478834283620649	0.207494856235614	NotSig	0.337	0.457	0.325	0.228	0.271	0.043	0.018	0.027	0.179	0.097	0.063	0.016	0.006	0.017	0.036	0.002	0.004	2.929	0.065	0.403	0.184	0.142	0.085	0.091	0.073	0.312	0.071	1.645	0.889	3.015	0.222	0.218	0.146	0.121	0.016	0.415	0.058	0.39	0.246	0.045	0.012	0.289	0.115	0.006	0.036	0.172	0.111	0	0.139	0.01	0.012	0.003	0	0.054	0.403	0.248	0.057	0.065	0.194	0.118	0.112	0.559	0.859	0.144	0.265	0.171	7.278	0.357	0.114	0.029	2.299	0.034	0.34	0.471	0.914	0.012
ASV_142	1.339	10.384	0.0493377540697928	0.208452010944874	NotSig	0.136	0.059	0.047	0.096	0.044	0	0	0	0	0.008	0.524	0.391	1.961	0.392	0.004	0.005	0	0.052	0.529	0.028	0	0	0.022	0.146	0.883	0.004	0.001	0.004	0	0.058	0.004	0.007	0.016	0.002	0.007	0.007	0	0.009	0.05	0	0.008	0.073	0.041	0	0.002	0.001	0.316	0.345	0.716	0.203	0.02	0.003	0.004	0.018	0.009	0.012	0.007	0.019	0.016	0.015	0.045	0.007	0.002	0.018	0	0.002	0.013	0	0.004	0.128	0.021	0.003	0.003	0.001	0.013	0
