ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078
ASV_53	-4.456	13.487	1.09529810731459e-10	1.85105380136165e-08	Depleted	0.091	1.63	0.128	0.175	0.175	0.087	0.032	0.033	0.902	0.023	0.217	0.325	0.186	0.356	0.105	0.074	0.064	0.003	0.01	0.051	0.014	0.026	0.004	0.044	0.003	0.008	0.001	0.003	0.01	0.009	0.007	0.026	0.007	0.027	0.031	0.158	0.037	0.004	0.003	0.14	0.055	10.899	6.434	2.579	0.006	0.406	0.313	13.22	0.449	13.906	7.2	0.79	0.133	0.001	0	0.101	0.008	0.021	0.096	0.006	0.01	0.005	0.007	0.049	0.025	0.013	0	0.071	0.004	0.016	0.008	0.067	0.018	0	0.013	0.166
ASV_95	-3.107	12.967	1.69527246197366e-06	0.000143250523036775	Depleted	0.136	0.528	0.063	0.039	0.037	0.007	0.037	0.007	0.005	0.021	0.002	0.014	0.009	0.004	0.007	0.021	0.002	0.273	0.104	0.226	0.01	0.055	0.077	1.16	0.063	0.846	0.077	0.06	0.167	0.235	0.318	0.042	0.06	0.045	0.685	0.442	0.023	0.023	0.023	0.012	0.015	0.042	0.03	0.002	0.008	0.03	0.016	0.007	0.005	0	0.007	0.023	0.002	0.114	0.108	0.148	12.903	0.003	0.799	0.103	0.148	0.606	0.052	0.095	1.45	0.188	0.96	0.08	0.035	0.26	0.186	0.053	0.008	0.011	0.003	0.005
ASV_56	2.495	12.017	4.3038770309884e-05	0.00215296565136006	Enriched	0.54	0.1	0.096	0.048	0.013	0.399	0.256	0.033	14.025	0.191	0.302	0.055	0.02	0.053	0.099	0.021	0.007	0.013	0.081	0.026	0.118	0.022	0.025	0.037	0.032	0.025	0.015	0.862	0.02	0.183	0.006	0.023	0.054	0.029	0.004	0.006	0	0.27	0.029	0.162	3.413	0.263	0.069	0.383	0.017	0.434	0.64	0.033	0.078	0.027	0.071	0.008	0.006	0.006	0.02	0.03	0.003	0	0.006	0.028	0.012	0.022	0.035	0.012	0.003	0.003	0.11	0.003	0.161	0	0.037	0.011	0.248	0.586	0.055	0.097
ASV_210	2.428	10.927	5.16748327879285e-05	0.00215296565136006	Enriched	0.128	0.043	0.016	0.008	0.005	0.026	0.006	0.009	0.016	0.03	0.022	0.057	0.087	0.025	0.018	0.069	0.004	0.269	0.055	0.01	0.11	0.052	0.001	0.029	0.141	0.03	0.001	0.007	0.005	0.095	0.006	0.383	0.078	0.006	0.003	0	0.021	0	0.021	0.048	3.222	0.013	0.05	0.022	0.004	0.006	0.027	0.038	0.121	0.016	0.049	0.044	0.016	0.019	0.016	0.012	0.008	0.039	0.024	0.01	0.015	0.018	0.011	0.003	0.001	0.019	0.278	0.018	0.461	0.019	0.003	0.007	0.008	0.003	0.013	0.08
ASV_166	-3.965	11.319	6.36972086201201e-05	0.00215296565136006	Depleted	0.029	0.344	0	0	0	0.001	0.002	0	0.003	0	0.004	0	0.003	0	0	0	0.002	0.003	0.01	0.343	0.003	0	0.039	0.01	0.011	0	0	0	0.112	0.354	0.105	0	0	0.018	0.012	0.057	0.009	0.017	0.023	0	0.003	0	0	0	0	0	0	0	0	0.014	0	0	0	0.004	0.286	0.01	0.003	0.001	0.014	0.006	0.001	0.004	0	0.013	0	0.053	11.033	0.101	0	0.004	0.414	0.007	0.044	0.007	0.009	0
ASV_58	-2.164	12.943	0.000125211356855488	0.00352678655142958	Depleted	0.269	0.832	0.491	0.282	0.052	0.065	0.709	0.017	0.019	0.109	0.012	0.007	0.026	0	0.011	0.058	0	1.491	1.022	0.322	0.156	0.211	0.143	0.628	0.08	0.079	0.357	0.657	0.378	0.027	0.066	0.262	0.043	0.113	0.038	0.127	0.469	0.78	1.017	0.181	0	0.044	0.124	0.036	0.025	0.017	0.005	0.014	0.028	0.008	0.007	0.075	0.002	20.7	0.752	0.241	0.147	0.63	0.395	0.252	0.301	0.047	0.544	0.447	0.386	0.343	0.018	0.203	0.018	0.258	0.037	1.927	0.056	0.125	0.894	0.009
ASV_84	-2.438	12.256	0.000196099770394316	0.00473440874237705	Depleted	0.135	0.607	0.114	0.184	0.131	0	0	0	0.053	0.086	0.045	0.007	0	0.002	0.004	0.009	0.002	0.237	0.009	0.032	0.072	0.152	0.063	0.009	0.052	0.039	0.036	0.468	0.01	0.043	0.043	0.123	0.125	0.564	0.057	1.284	0.106	0.112	0.968	0.002	0.006	0.197	0.088	0	0.002	0.054	0.069	0.005	0.012	0	0.002	0.003	0.002	0.031	0.057	0.155	0.046	0.05	0.016	0.011	0.081	0.036	0.102	0.019	0.039	0.006	0.115	0.033	0.02	0.097	15.277	0.176	0.041	0.056	4.358	0.001
ASV_37	-1.889	12.873	0.000286613218605855	0.00605470424304869	Depleted	0.296	0.882	0.073	0.077	0.18	0.018	0.006	0.166	0.116	0.082	0.19	0.005	0	0.004	0.049	0.028	0.07	0.318	0.364	4.514	0.437	0.301	0.123	0.222	0.036	0.134	0.156	0.163	0.396	0.812	0.191	0.177	0.251	0.205	0.09	0.921	0.105	0.455	0.09	0.003	0.018	0.158	0.091	0.006	0.456	0.195	0.035	0.009	0.014	0.014	0.052	0.033	0.073	0.066	0.268	1.992	0.157	0.286	0.148	0.074	0.124	0.171	4.269	0.956	1.172	0.14	16.398	0.349	0.098	0.093	2.281	0.081	0.126	0.394	0.097	0.009
ASV_71	-2.055	10.791	0.000403368749094111	0.00757436873298942	Depleted	0.066	0.284	0.054	0.06	0.064	0.026	0.029	1.034	0.029	0.006	0.006	0.005	0	0.004	0.009	0.009	0.004	0.016	0.355	0.072	0.006	0.013	0.031	0.132	0.021	0.025	0.013	0.109	0	0.064	0.003	0.046	0.043	0.047	0.041	0.02	0.021	0.135	0.021	0.006	0.002	0.071	0.061	0.011	7.598	0.006	0.003	0.005	0.002	0.008	0.005	0	0	0.018	0.017	0.236	0.011	0.066	0.021	0.006	0.257	0.013	0.159	1.044	0.033	0.008	0	0.011	0.024	0.025	0.014	0.125	0.005	0.056	0.003	0.001
ASV_108	-1.892	10.579	0.000574899203483582	0.00971579653887254	Depleted	0.057	0.189	0.016	0.031	0.008	0.004	0.01	0.003	0.271	0.012	0	0.002	0.006	0.002	0	0	0	0.039	0.047	0.122	0.098	0.087	0.06	0.084	0.011	0.136	0.052	0.098	0.042	0.207	0.218	0.044	0.065	0.049	0.054	0.014	0.086	0.019	0.241	0	0	0.015	0.016	0.002	0.002	0.025	0	0.012	0.019	0.002	0	0	0	0.04	0.524	2.106	0.061	0.075	0.293	0.053	0.067	0.034	0.053	0.316	0.987	0.085	0.02	0.094	1.333	0.013	0.015	0.155	0.038	0.018	0.141	0.004
ASV_36	-1.519	12.9	0.00127776577758954	0.0196311287647848	Depleted	0.367	0.795	0.405	0.451	0.244	0.244	0.355	0.452	0.152	0.132	0.014	0.009	0.015	0.051	0.018	0.058	0.037	0.816	0.549	0.83	0.155	0.178	0.128	1.95	0.122	0.101	0.21	0.167	0.219	0.168	0.702	0.434	0.307	0.306	0.158	0.117	2.234	0.786	1.015	0.044	0.002	0.087	0.566	0.219	0.26	0.039	0.008	0	0.052	0.08	0.012	0.026	0.024	8.412	5.6	0.72	0.186	0.083	0.738	0.423	1.056	0.081	0.761	0.335	0.205	0.132	1.09	0.454	0.059	1.994	0.078	0.982	0.525	1.521	1.011	0.001
