group	variable	value
HS00P019	methanol_oxidation	221
HS00P025	methanol_oxidation	0
HS00P029	methanol_oxidation	0
HS00P034	methanol_oxidation	0
HS00P036	methanol_oxidation	0
HS00P040	methanol_oxidation	0
HS00P041	methanol_oxidation	0
HS00P042	methanol_oxidation	0
HS00P044	methanol_oxidation	0
HS00P045	methanol_oxidation	0
HS00P046	methanol_oxidation	0
HS00P047	methanol_oxidation	0
HS00P048	methanol_oxidation	0
HS00P050	methanol_oxidation	0
HS00P051	methanol_oxidation	0
HS00P055	methanol_oxidation	0
HS00P056	methanol_oxidation	0
HS00P057	methanol_oxidation	0
HS00P058	methanol_oxidation	0
HS00P059	methanol_oxidation	0
HS00P061	methanol_oxidation	0
HS00P063	methanol_oxidation	0
HS00P064	methanol_oxidation	0
HS00P068	methanol_oxidation	0
HS00P071	methanol_oxidation	0
HS00P072	methanol_oxidation	0
HS00P073	methanol_oxidation	0
HS00P074	methanol_oxidation	0
HS00P075	methanol_oxidation	0
HS00P077	methanol_oxidation	0
HS00P082	methanol_oxidation	0
HS00P109	methanol_oxidation	0
HS00P110	methanol_oxidation	0
HS00P118	methanol_oxidation	0
HS00P137	methanol_oxidation	0
HS00P142	methanol_oxidation	0
HS00P167	methanol_oxidation	0
HS00P176	methanol_oxidation	0
HS00P179	methanol_oxidation	0
HS00P192	methanol_oxidation	0
HS00P198	methanol_oxidation	0
HS00P201	methanol_oxidation	0
HS00P93	methanol_oxidation	0
HS00P96	methanol_oxidation	0
HS03P003	methanol_oxidation	0
HS03P004	methanol_oxidation	0
HS03P005	methanol_oxidation	5
HS03P010	methanol_oxidation	0
HS03P011	methanol_oxidation	0
HS03P012	methanol_oxidation	0
HS03P014	methanol_oxidation	158
HS03P019	methanol_oxidation	1
HS03P024	methanol_oxidation	0
HS03P025	methanol_oxidation	0
HS03P026	methanol_oxidation	0
HS03P029	methanol_oxidation	0
HS03P031	methanol_oxidation	0
HS03P034	methanol_oxidation	0
HS03P035	methanol_oxidation	0
HS03P040	methanol_oxidation	0
HS03P041	methanol_oxidation	0
HS03P042	methanol_oxidation	0
HS03P044	methanol_oxidation	0
HS03P045	methanol_oxidation	0
HS03P046	methanol_oxidation	0
HS03P047	methanol_oxidation	0
HS03P048	methanol_oxidation	0
HS03P050	methanol_oxidation	0
HS03P051	methanol_oxidation	0
HS03P055	methanol_oxidation	0
HS03P056	methanol_oxidation	0
HS03P057	methanol_oxidation	0
HS03P058	methanol_oxidation	0
HS03P059	methanol_oxidation	0
HS03P061	methanol_oxidation	0
HS03P063	methanol_oxidation	0
HS03P064	methanol_oxidation	0
HS03P066	methanol_oxidation	0
HS03P067	methanol_oxidation	0
HS03P068	methanol_oxidation	0
HS03P071	methanol_oxidation	0
HS03P072	methanol_oxidation	0
HS03P073	methanol_oxidation	0
HS03P074	methanol_oxidation	0
HS03P075	methanol_oxidation	0
HS03P077	methanol_oxidation	0
HS07P004	methanol_oxidation	0
HS07P010	methanol_oxidation	0
HS07P011	methanol_oxidation	1
HS07P012	methanol_oxidation	0
HS07P014	methanol_oxidation	0
HS07P019	methanol_oxidation	1
HS07P024	methanol_oxidation	0
HS07P025	methanol_oxidation	0
HS07P026	methanol_oxidation	0
HS07P029	methanol_oxidation	0
HS07P031	methanol_oxidation	0
HS07P034	methanol_oxidation	0
HS07P035	methanol_oxidation	0
HS07P036	methanol_oxidation	0
HS07P040	methanol_oxidation	0
HS07P041	methanol_oxidation	0
HS07P042	methanol_oxidation	0
HS07P045	methanol_oxidation	0
HS07P046	methanol_oxidation	0
HS07P047	methanol_oxidation	0
HS07P048	methanol_oxidation	0
HS07P050	methanol_oxidation	0
