E	S	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	0.0261305533086052	0.0103851824123023	0.0166843502362041	4.97846709282822
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	0.0117503504207514	0.00689056184906695	0.00882484832779017	2.52368514053043
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Fretibacterium	0.0110328889925635	0.00677790295876832	0.00847136806951649	2.8360640922117
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.0127206397161382	0.00342054733676379	0.00715300819755024	2.43633143893966
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	0.0111491419391057	0.00431932820900201	0.00701240111684082	3.00161829147201
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	0.0089553821750394	0.00509785371664979	0.00663197028524713	1.98214841968228
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella	0.00934004264608317	0.00393843318222543	0.00605996542021672	2.13645838016819
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Unassigned	0.00916508365602252	0.00365445256257477	0.00590015693892891	2.18698212861121
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	0.00772930075314269	0.00303423706976722	0.00499543439716747	1.90353178665525
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.00579512138024181	0.00244914661712248	0.00382961590740655	1.72511421472104
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	0.00424084955951956	0.0031282529876217	0.00358446469414569	1.61358418097388
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium	0.00588172208323674	0.00194701563674628	0.0035714010317685	1.46146334964169
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.00324528577220222	0.00367497351537264	0.00351536147760261	1.46645098381855
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria	0.00393176626165585	0.00294391878816885	0.00336275410519956	1.46557101893091
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	0.00379520922430219	0.00279901124244362	0.00324611869909237	1.42208284277823
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	0.0030249978649537	0.00286182791824532	0.00289048961787466	1.43567498101199
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0.00505637512121096	0.00133937576109457	0.00284948145157881	1.52982404989299
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus	0.00454614970831168	0.00156655598010895	0.00272908257287193	1.53261437768545
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	0.000935671880683121	0.00399316586974624	0.00271824583040855	1.32427614340761
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0.00118370730728165	0.00373164126565966	0.00270918376919259	1.41459873611713
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0.00229735295263981	0.00272968980149407	0.00253628707731712	1.46753672358921
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	0.00384711422697801	0.00152454374601197	0.00252189796151308	1.42973164426896
