E	S	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.000585968175704833	0.00169655145582848	0.00123950243840888	1.38899118330289
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcaceae_incertae_sedis	0.000596922899379896	0.00164512969577862	0.0011810871662157	0.981204426713969
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Agathobacter	-0.000399692996541173	0.00224213837108207	0.00115259428205036	0.714244421055872
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister	0.000696472090616145	0.00146342093870909	0.00113067567257841	1.12116527756242
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas	0.00148982578338242	0.000847954641211529	0.00111194587239478	0.70454354167812
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania	-0.00108115718986299	0.00255422091847686	0.000982228898367474	0.54890374588297
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Metaprevotella	0.00120964871673094	0.000821861401013487	0.000962506213914149	0.611858937833457
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium	-0.0005977806831446	0.00196878326718303	0.0008660407421662	0.516384425748915
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium	0.00122266505113569	0.000517290821308132	0.000788708102219331	0.811096337191216
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	0.000973367978080499	0.000629022501551734	0.000750388174913096	1.3273347928628
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	0.00201199983295769	-0.000171487672005302	0.000743559741645102	1.16483313051631
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	-0.000262368810939886	0.00148792037949555	0.000710603327405448	0.628162762122437
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	0.000198899944494584	0.00104923419859712	0.00069627929513941	0.781462255654287
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	0.000589085356296327	0.000809425635262974	0.000684905479404976	1.28092579972155
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	0.00131157415476512	0.00021235567296341	0.000661745761840303	1.06518073820946
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	-0.000405854132858487	0.00143194151314019	0.00063926329756068	0.858132621358451
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Kingella	0.000879412545925975	0.000443439303725453	0.000611096117749044	1.08938407690709
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	0.00219227942822513	-0.000541062817295129	0.000589947233421679	0.973578124838374
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	0.000631346689527933	0.000593301441187251	0.00058000586690681	0.990710887193617
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales|Metamycoplasmataceae|Metamycoplasma	0.00120527700222374	0.000175191893699479	0.000576195752726999	0.729890524326923
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	-0.000106829017525329	0.00112648831957556	0.000572042322985668	0.665714907398465
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia	0.000210240881235407	0.000812891533858097	0.000566150774109483	0.506025262479393
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0.00222411441543762	-0.000660279777637629	0.000544304351655322	1.01466128794294
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella	0.00139063982330996	-2.04176709868406e-05	0.000534393461994781	0.585099218420775
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	-0.000534700115581552	0.00123670627106325	0.000494092243323353	0.577907818722965
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lacrimispora	0.000968815343402459	0.000148059267016334	0.000492899637643428	0.510053896109186
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonomonadaceae|Dysgonomonas	0.000543499522479781	0.000443007186540677	0.000489446335202177	0.496190913908423
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Centipeda	0.000780413812070298	0.000295178436737739	0.000470994437609329	0.878352865695603
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	-0.000417684513453364	0.00109227549346604	0.000469494690970698	0.496723263782545
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	-1.47322311188497e-05	0.000814474054717248	0.000457190259423928	1.09445735577905
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Shuttleworthia	0.000780171165799581	0.000240862280303253	0.000448261859483959	0.483294275514817
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	7.8861031092465e-05	0.000703894372348535	0.000420809066801979	0.364093232180255
