D	I	MeanDecreaseAccuracy	MeanDecreaseGini
ASV_577	0.00855238095238095	0.00686349206349206	0.00684538239538239	0.266461929721465
ASV_82	0.00801904761904762	0.00549960317460318	0.00576085858585859	0.355690325328266
ASV_61	0.00584285714285714	0.00703809523809524	0.00553470418470418	0.235513863326216
ASV_95	0.00443571428571429	0.00382380952380952	0.00359494949494949	0.164388648984315
ASV_325	0.00390238095238095	0.00375	0.00344444444444444	0.184851481650444
ASV_6	0.00303333333333333	0.00471190476190476	0.00332546897546898	0.129914467362703
ASV_44	0.0028	0.00396904761904762	0.00325692640692641	0.106389338379199
ASV_108	0.00265238095238095	0.00340952380952381	0.00278763736263736	0.143880552115583
ASV_1133	0.00226666666666667	0.002675	0.00263189033189033	0.136921640219086
ASV_116	0.0031	0.00251666666666667	0.00255122655122655	0.12594158575171
ASV_235	0.00193571428571429	0.00329285714285714	0.00234368686868687	0.102955178270302
ASV_63	0.00276666666666667	0.0023	0.00231886724386724	0.107978333719944
ASV_257	0.00245238095238095	0.00231666666666667	0.00223744588744589	0.144962810871619
ASV_12	0.00390952380952381	0.00155	0.00215425685425685	0.198942457841436
ASV_276	0.00134285714285714	0.00211666666666667	0.00204130591630592	0.129299474778747
ASV_30	0.00251666666666667	0.00159404761904762	0.00193149350649351	0.152594818475298
ASV_33	4.28571428571429e-05	0.00311666666666667	0.00149722222222222	0.137912182554288
ASV_161	0.00376666666666667	0.00050952380952381	0.00143787878787879	0.14042673826002
ASV_181	0.00115	0.00209166666666667	0.00135530303030303	0.101561187309423
ASV_121	0.00176666666666667	0.00125833333333333	0.00129765512265512	0.0636455784205475
ASV_299	0.000983333333333333	0.00163333333333333	0.00125284992784993	0.0768980045290107
ASV_152	0.000816666666666667	0.00179285714285714	0.00123455988455988	0.108283136852827
ASV_1	0.00095	0.0013	0.00118106060606061	0.0571702240896359
ASV_832	0.00117619047619048	0.001275	0.00116515151515152	0.089912265189231
ASV_433	0.000733333333333333	0.00130833333333333	0.000937326562326562	0.0461356525930209
ASV_160	0.000976190476190476	0.000683333333333333	0.000915873015873016	0.0372662513956632
ASV_298	0.00133333333333333	0.000866666666666667	0.000884920634920635	0.052169916033399
ASV_115	0.000383333333333333	0.00134285714285714	0.000805555555555556	0.0923311909676151
ASV_58	4e-04	0.00134285714285714	0.000794444444444444	0.0441427713892575
ASV_584	0.000783333333333333	0.000916666666666667	0.000771464646464646	0.0494926614252621
ASV_75	7e-04	0.000890476190476191	0.000738564213564213	0.126671137555255
ASV_451	0.00180952380952381	0.000192857142857143	0.000730555555555556	0.0346764119214119
ASV_460	0.000966666666666667	0.000383333333333333	0.000659126984126984	0.0361635746228315
ASV_2	0.000933333333333333	0.000973809523809524	0.000656168831168831	0.115722385947386
ASV_49	0.000466666666666667	0.000833333333333333	0.000651767676767677	0.0510102840296958
ASV_164	0.000833333333333333	0.000566666666666667	0.000642857142857143	0.0308682242594007
