D	I	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga	5e-05	-0.000242857142857143	7.44949494949496e-05	0.240099897378163
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Williamwhitmaniaceae|Williamwhitmania	-0.000416666666666667	0.000458333333333333	2.54329004329004e-05	0.0173657331110582
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1|Clostridium_sensu_stricto	0.00025	-0.000166666666666667	2.5e-05	0.0267063319686849
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	-0.000133333333333333	-0.000103968253968254	1.76767676767681e-06	0.0642122789955143
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	0	0	0	0.00446374269005847
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Syntrophococcus	0	0	0	0.00301785714285714
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemania	0	0	0	0.00439005847953216
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	-0.000783333333333333	0.000123809523809524	-1.8037518037518e-05	0.111274943563488
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania	-0.000583333333333333	3.92857142857143e-05	-8.49206349206349e-05	0.0393161106952901
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Paludibacteraceae|Paludibacter	-0.00025	2.22222222222222e-05	-1e-04	0.0264641771094403
Bacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	0	-0.00025	-1e-04	0.00690095238095238
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	0.000283333333333333	-0.000147222222222222	-0.000117929292929293	0.0380018871324753
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	-5e-04	-0.000216666666666667	-0.000141666666666667	0.0839610359454785
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	2e-04	-0.000533333333333333	-0.000167929292929293	0.047533217207629
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lacrimispora	-0.000166666666666667	-0.000483333333333333	-0.000175396825396825	0.0650092557889305
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Streptobacillus	-0.000333333333333333	-0.000166666666666667	-0.000222222222222222	0.0179178534571722
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	-0.000935714285714285	-0.00025952380952381	-0.00028489565989566	0.0716501113351733
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella	0.000166666666666667	-0.000783333333333333	-0.00033459595959596	0.0407910548190088
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	-0.000333333333333333	-0.000369047619047619	-0.000347727272727273	0.120174641576174
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas	-0.00025	-0.000485714285714286	-0.000363636363636364	0.0146473114779508
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	-0.00103333333333333	0.000378571428571429	-0.000367784992784993	0.0898713544728404
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	-0.00075	-0.000233333333333333	-0.000368614718614719	0.0624922584484659
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfobulbus	-0.000783333333333333	0	-0.000382575757575758	0.0202091660523859
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Metaprevotella	-1e-04	-0.000392857142857143	-0.000433333333333333	0.0306798490072019
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	-0.00266666666666667	0.000122619047619048	-0.000436544011544011	0.0724493858789989
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	0.000166666666666667	-0.000592857142857143	-0.00048023088023088	0.222964998255958
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	-0.000523809523809524	-0.00038452380952381	-0.000505663780663781	0.124724655327473
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	-0.000966666666666667	-0.000519047619047619	-0.000520670995670996	0.153882675973837
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Unassigned	-0.000333333333333333	-0.00101785714285714	-0.000597222222222222	0.0408496437171359
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales|Metamycoplasmataceae|Metamycoplasma	-0.000333333333333333	-9e-04	-0.000634859584859585	0.0755467793592716
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Catonella	-0.00192619047619048	0.00053452380952381	-0.000642857142857143	0.0923670966993102
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	-0.00146666666666667	-0.000130952380952381	-0.000685786435786436	0.0589415901745314
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	-0.00131666666666667	-0.000485714285714286	-0.000730483405483406	0.0778696959095256
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	-0.00168333333333333	-5.83333333333333e-05	-0.000771212121212121	0.0529015227892163
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	-0.00141666666666667	-0.000796428571428571	-0.000793686868686869	0.0786919829929271
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Unassigned	-0.000285714285714286	-0.00135952380952381	-0.00080450937950938	0.0718072127545657
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	-0.000983333333333333	-0.00103452380952381	-0.000847330447330447	0.0977534520587772
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia	-0.00115714285714286	-0.000833333333333333	-0.000885353535353535	0.0826961903834039
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Enhydrobacter	0.00019047619047619	-0.00176666666666667	-0.000921067821067821	0.0554518788727611
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	-0.00145	0.000183333333333333	-0.000925505050505051	0.173252814995462
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas	-0.000916666666666667	-0.000733333333333333	-0.00094520202020202	0.0734840927218635
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium	-0.00166666666666667	-2.38095238095238e-05	-0.00103257575757576	0.0926231016712905
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	-0.0017	-0.00101428571428571	-0.00107734487734488	0.148106960277425
Bacteria|SR1|Unassigned|Unassigned|Unassigned|SR1_genera_incertae_sedis	-0.00173333333333333	-0.000354761904761905	-0.00109166666666667	0.120902867084756
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum	-0.00188333333333333	-0.000726190476190476	-0.00111240981240981	0.129501427332557
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Schwartzia	-0.00171666666666667	-0.000827380952380952	-0.00114805194805195	0.075906945608571
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera	-0.000566666666666667	-0.00183333333333333	-0.00126071428571429	0.0449708297034922
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcaceae_incertae_sedis	-0.00206666666666667	-0.00105	-0.00134083694083694	0.0805938645582144
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoanaerobacter	-0.00123333333333333	-0.00136031746031746	-0.00135883838383838	0.106593526342938
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	-0.00235	-0.00128452380952381	-0.00156204906204906	0.0795876824362428
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema	-0.00271666666666667	-0.00131309523809524	-0.00173603896103896	0.0827298109750586
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	-0.0019	-0.00201666666666667	-0.00187247474747475	0.0930284049284046
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	-0.00274285714285714	-0.00131428571428571	-0.00188452380952381	0.0856458659709741
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_1|Peptococcus	-0.00236666666666667	-0.0028547619047619	-0.00248192640692641	0.114101811447926
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	-0.00325	-0.00250952380952381	-0.00282766955266955	0.13167969464488
