D	I	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	0.0119547619047619	0.0115797619047619	0.0102388528138528	0.565203901720316
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae	0.0118023809523809	0.0097547619047619	0.00977546897546897	0.630820213926679
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	0.0104583333333333	0.0089813492063492	0.00869540459540459	0.546379659423898
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	0.00503333333333333	0.00641111111111111	0.00530460372960373	0.347941360275431
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	0.00276666666666667	0.00388809523809524	0.00315995670995671	0.549664516988
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.00285	0.00263571428571429	0.00262334054834055	0.339568590822587
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	-0.000625	0.00341468253968254	0.00211456043956044	0.351684271636516
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0.00101666666666667	0.00356507936507937	0.00208369408369408	0.356456715751606
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae	0.000909523809523809	0.00268928571428571	0.0019228354978355	0.421724787064761
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae	0.001425	0.00169722222222222	0.00169327616827617	0.239545435062835
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.0013	0.00144166666666667	0.00144801587301587	0.0956385163443368
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI	0.00155952380952381	0.000608333333333333	0.00116347818847819	0.489553658055872
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae	0.000816666666666666	0.00121785714285714	0.00110408757908758	0.384557981659685
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae	0.000173809523809524	0.00127023809523809	0.000913961038961039	0.206890598778586
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	-0.00114880952380952	0.00318928571428572	0.000783946608946609	0.184151254083632
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1	0.00133333333333333	0.000382142857142857	0.000682936507936508	0.0898428930477847
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	-0.000816666666666667	0.00100833333333333	0.000565981240981241	0.17183729903911
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	-0.000983333333333333	0.00116547619047619	0.000555988455988456	0.114035534824652
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae	0.00100714285714286	-0.000552380952380952	0.00042449494949495	0.190082688170177
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae	0.00119285714285714	-1.5873015873016e-05	0.000346872571872572	0.291241122924204
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	2e-04	0.000366666666666667	0.000305555555555556	0.0169147368421053
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae	-0.00105833333333333	0.00126785714285714	0.000240079365079365	0.178501139476279
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	-0.0013	0.000884523809523809	0.000158283383283383	0.161917937822411
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae	0.000852380952380952	0.000138095238095239	0.00013059163059163	0.292562527140902
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned	-0.00191785714285714	0.00131071428571429	0.000129365079365079	0.198150348253398
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII	0.000583333333333333	2.02380952380953e-05	9.12587412587413e-05	0.166545115000239
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae	-0.000866666666666667	0.000666666666666667	1.11111111111111e-05	0.0290062748070643
