"z","module","p","roles","label","role_7"
-0.544003188280177,"6",0,"Peripherals","","ultra peripheral"
0.857496551017907,"6",0.569444444444444,"Peripherals","","peripheral"
-0.193628253455656,"6",0.37037037037037,"Peripherals","","peripheral"
-1.59512799275374,"6",0.142011834319527,"Peripherals","","peripheral"
0.156746681368865,"6",0,"Peripherals","","ultra peripheral"
-0.894378123104698,"6",0.18,"Peripherals","","peripheral"
1.55824642066695,"6",0.345679012345679,"Peripherals","","peripheral"
0.156746681368865,"6",0.375,"Peripherals","","peripheral"
-1.24475305792922,"6",0.244897959183674,"Peripherals","","peripheral"
0.857496551017907,"6",0.0798611111111112,"Peripherals","","peripheral"
-0.193628253455656,"6",0.459183673469388,"Peripherals","","peripheral"
0.156746681368865,"6",0.24,"Peripherals","","peripheral"
0.857496551017907,"6",0.0798611111111112,"Peripherals","","peripheral"
-0.193628253455656,"6",0.144970414201183,"Peripherals","","peripheral"
0.507121616193386,"6",0.24,"Peripherals","","peripheral"
0.507121616193386,"6",0.207612456747405,"Peripherals","","peripheral"
-1.59512799275374,"6",0.354570637119114,"Peripherals","","peripheral"
2.25899629031599,"6",0.0867768595041323,"Peripherals","","peripheral"
2.25899629031599,"6",0.37037037037037,"Peripherals","","peripheral"
2.25899629031599,"6",0.265,"Peripherals","","peripheral"
0.156746681368865,"6",0.0798611111111112,"Peripherals","","peripheral"
0.857496551017907,"6",0.090702947845805,"Peripherals","","peripheral"
0.507121616193386,"6",0.56,"Peripherals","","peripheral"
0.507121616193386,"6",0.0798611111111112,"Peripherals","","peripheral"
-0.544003188280177,"6",0.13265306122449,"Peripherals","","peripheral"
-0.193628253455656,"6",0.090702947845805,"Peripherals","","peripheral"
-0.894378123104698,"6",0.0798611111111112,"Peripherals","","peripheral"
-1.24475305792922,"6",0,"Peripherals","","ultra peripheral"
-0.193628253455656,"6",0.144970414201183,"Peripherals","","peripheral"
-0.193628253455656,"6",0.165289256198347,"Peripherals","","peripheral"
-0.193628253455656,"6",0,"Peripherals","","ultra peripheral"
-0.193628253455656,"6",0,"Peripherals","","ultra peripheral"
-0.894378123104698,"6",0,"Peripherals","","ultra peripheral"
-0.894378123104698,"6",0,"Peripherals","","ultra peripheral"
-1.59512799275374,"6",0.578512396694215,"Peripherals","","peripheral"
-0.544003188280177,"6",0.13265306122449,"Peripherals","","peripheral"
-0.193628253455656,"6",0.391111111111111,"Peripherals","","peripheral"
-0.193628253455656,"6",0.556213017751479,"Peripherals","","peripheral"
