OTU	Group
ASV_1	D
ASV_1	H
ASV_1	I
ASV_2	D
ASV_2	H
ASV_2	I
ASV_4	D
ASV_4	H
ASV_4	I
ASV_3	D
ASV_3	H
ASV_3	I
ASV_5	D
ASV_5	H
ASV_5	I
ASV_11	D
ASV_11	H
ASV_11	I
ASV_7	D
ASV_7	H
ASV_7	I
ASV_6	D
ASV_6	H
ASV_6	I
ASV_8	D
ASV_8	H
ASV_8	I
ASV_9	D
ASV_9	H
ASV_9	I
ASV_14	D
ASV_14	H
ASV_14	I
ASV_13	D
ASV_13	H
ASV_13	I
ASV_15	D
ASV_15	H
ASV_15	I
ASV_18	D
ASV_18	H
ASV_18	I
ASV_12	D
ASV_12	H
ASV_12	I
ASV_22	D
ASV_22	H
ASV_22	I
ASV_25	D
ASV_25	H
ASV_25	I
ASV_23	D
ASV_23	H
ASV_23	I
ASV_17	D
ASV_17	H
ASV_17	I
ASV_20	D
ASV_20	H
ASV_20	I
ASV_38	D
ASV_38	H
ASV_38	I
ASV_16	D
ASV_16	H
ASV_16	I
ASV_26	D
ASV_26	H
ASV_26	I
ASV_10	D
ASV_10	H
ASV_10	I
ASV_27	D
ASV_27	H
ASV_27	I
ASV_21	D
ASV_21	H
ASV_21	I
ASV_65	D
ASV_65	H
ASV_65	I
ASV_40	D
ASV_40	H
ASV_40	I
ASV_54	D
ASV_54	H
ASV_54	I
ASV_35	D
ASV_35	H
ASV_35	I
ASV_31	D
ASV_31	H
ASV_31	I
ASV_33	D
ASV_33	H
ASV_33	I
ASV_37	D
ASV_37	H
ASV_37	I
ASV_51	D
ASV_51	H
ASV_51	I
ASV_87	D
ASV_87	H
ASV_87	I
ASV_39	D
ASV_39	H
ASV_39	I
ASV_67	D
ASV_67	H
ASV_67	I
ASV_55	D
ASV_55	H
ASV_55	I
ASV_52	D
ASV_52	H
ASV_52	I
ASV_36	D
ASV_36	H
ASV_36	I
ASV_29	D
ASV_29	H
ASV_29	I
ASV_57	D
ASV_57	H
ASV_57	I
ASV_43	D
ASV_43	H
ASV_43	I
ASV_46	D
ASV_46	H
ASV_46	I
ASV_59	D
ASV_59	H
ASV_59	I
ASV_30	D
ASV_30	H
ASV_30	I
ASV_138	D
ASV_138	H
ASV_138	I
ASV_42	D
ASV_42	H
ASV_42	I
ASV_72	D
ASV_72	H
ASV_72	I
ASV_60	D
ASV_60	H
ASV_60	I
ASV_41	D
ASV_41	H
ASV_41	I
ASV_48	D
ASV_48	H
ASV_48	I
ASV_24	H
ASV_24	I
ASV_32	D
ASV_32	H
ASV_32	I
ASV_113	D
ASV_113	H
ASV_113	I
ASV_34	D
ASV_34	H
ASV_34	I
ASV_69	D
ASV_69	H
ASV_69	I
ASV_62	D
ASV_62	H
ASV_62	I
ASV_49	D
ASV_49	H
ASV_49	I
ASV_28	D
ASV_28	H
ASV_50	D
ASV_50	H
ASV_50	I
ASV_58	D
ASV_58	H
ASV_58	I
ASV_81	D
ASV_81	H
ASV_81	I
ASV_56	D
ASV_56	H
ASV_56	I
ASV_47	D
ASV_47	H
ASV_47	I
ASV_44	D
ASV_44	H
ASV_44	I
ASV_71	D
ASV_71	H
ASV_71	I
ASV_73	D
ASV_73	H
ASV_73	I
ASV_94	D
ASV_94	H
ASV_94	I
ASV_53	H
ASV_53	I
ASV_66	D
ASV_66	H
ASV_66	I
ASV_74	D
ASV_74	H
ASV_74	I
ASV_63	D
ASV_63	H
ASV_63	I
ASV_90	D
ASV_90	H
ASV_90	I
ASV_119	D
ASV_119	H
ASV_119	I
ASV_881	D
ASV_881	H
ASV_881	I
ASV_86	D
ASV_86	H
ASV_86	I
ASV_88	D
ASV_88	H
ASV_88	I
ASV_79	D
ASV_79	H
ASV_79	I
ASV_77	D
ASV_77	H
ASV_77	I
ASV_124	D
ASV_124	H
ASV_124	I
ASV_99	D
ASV_99	H
ASV_99	I
ASV_85	D
ASV_85	H
ASV_85	I
ASV_75	D
ASV_75	H
ASV_75	I
ASV_84	D
ASV_84	H
ASV_84	I
ASV_106	D
ASV_106	H
ASV_106	I
ASV_76	D
ASV_76	H
ASV_76	I
ASV_78	D
ASV_78	H
ASV_78	I
ASV_83	D
ASV_83	H
ASV_83	I
ASV_64	D
ASV_64	H
ASV_97	D
ASV_97	H
ASV_97	I
ASV_89	D
ASV_89	H
ASV_89	I
ASV_70	D
ASV_70	H
ASV_70	I
ASV_100	D
ASV_100	H
ASV_100	I
ASV_93	D
ASV_93	H
ASV_93	I
ASV_118	D
ASV_118	H
ASV_118	I
ASV_98	D
ASV_98	I
ASV_61	H
ASV_61	I
ASV_117	D
ASV_117	H
ASV_117	I
ASV_104	D
ASV_104	H
ASV_105	D
ASV_105	I
ASV_136	D
ASV_136	I
ASV_174	D
ASV_174	H
ASV_174	I
ASV_112	D
ASV_112	H
ASV_112	I
ASV_111	D
ASV_111	H
ASV_111	I
ASV_126	D
ASV_126	H
ASV_126	I
ASV_96	H
ASV_96	I
ASV_130	D
ASV_130	H
ASV_130	I
ASV_137	H
ASV_107	D
ASV_109	D
ASV_109	H
ASV_189	D
ASV_189	H
ASV_189	I
ASV_92	H
ASV_92	I
ASV_82	H
ASV_82	I
ASV_95	H
ASV_95	I
ASV_110	D
ASV_110	H
ASV_80	D
ASV_114	D
ASV_114	H
ASV_199	D
ASV_199	H
ASV_199	I
ASV_159	D
ASV_159	H
ASV_159	I
ASV_116	H
ASV_116	I
ASV_122	D
ASV_122	H
ASV_122	I
ASV_120	D
ASV_120	H
ASV_91	D
ASV_91	H
ASV_91	I
ASV_152	D
ASV_152	H
ASV_152	I
ASV_129	D
ASV_129	H
ASV_176	D
ASV_176	I
ASV_200	D
ASV_200	H
ASV_200	I
ASV_103	D
ASV_103	H
ASV_103	I
ASV_154	D
ASV_154	H
ASV_154	I
ASV_148	H
ASV_209	D
ASV_209	H
ASV_115	D
ASV_115	H
ASV_115	I
ASV_188	D
ASV_188	H
ASV_203	D
ASV_146	D
ASV_146	H
ASV_146	I
ASV_142	H
ASV_142	I
ASV_143	H
ASV_143	I
ASV_108	H
ASV_108	I
ASV_123	D
ASV_125	D
ASV_125	H
ASV_407	D
ASV_141	H
ASV_141	I
ASV_127	D
ASV_127	H
ASV_127	I
ASV_140	D
ASV_140	H
ASV_140	I
ASV_135	H
ASV_135	I
ASV_147	H
ASV_147	I
ASV_158	D
ASV_158	H
ASV_220	D
ASV_220	H
ASV_220	I
ASV_197	D
ASV_134	D
ASV_134	H
ASV_207	D
ASV_207	I
ASV_101	H
ASV_101	I
ASV_145	H
ASV_167	H
ASV_167	I
ASV_149	H
ASV_870	D
ASV_870	H
ASV_870	I
ASV_210	D
ASV_210	H
ASV_157	D
ASV_157	H
ASV_319	D
ASV_319	H
ASV_144	H
ASV_144	I
ASV_121	H
ASV_121	I
ASV_311	H
ASV_311	I
ASV_166	H
ASV_166	I
ASV_177	H
ASV_177	I
ASV_208	D
ASV_150	D
ASV_150	I
ASV_133	H
ASV_187	D
ASV_212	H
ASV_235	H
ASV_235	I
ASV_165	I
ASV_221	D
ASV_221	I
ASV_151	H
ASV_169	I
ASV_139	D
ASV_193	D
ASV_193	I
ASV_202	I
ASV_186	D
ASV_163	H
ASV_247	H
ASV_294	D
ASV_182	I
ASV_128	I
ASV_161	I
ASV_278	D
ASV_245	I
ASV_131	I
ASV_206	H
ASV_180	H
ASV_156	H
ASV_284	I
ASV_181	D
ASV_181	I
ASV_185	D
ASV_211	D
ASV_225	H
ASV_179	D
ASV_179	I
ASV_281	H
ASV_230	H
ASV_192	I
ASV_132	H
ASV_196	H
ASV_229	D
ASV_195	I
ASV_201	H
ASV_226	D
ASV_231	D
ASV_171	H
ASV_194	D
ASV_183	I
ASV_172	D
ASV_301	I
ASV_433	D
ASV_577	I
ASV_342	D
ASV_204	D
ASV_282	D
ASV_286	D
ASV_190	I
ASV_358	D
ASV_368	D
ASV_178	I
ASV_426	D
ASV_363	D
ASV_234	I
ASV_334	D
ASV_216	H
ASV_1119	D
ASV_472	D
ASV_303	D
ASV_273	D
ASV_488	I
ASV_237	H
ASV_264	D
ASV_265	I
ASV_456	D
ASV_242	I
ASV_233	D
ASV_270	D
