Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
DE03P016	0.061	0.011	506.9	0.980	0.755	68.2	110.1	10000.0	505.0	0.277	0.0195	4.70	6.78	2.04
DE03P017	0.110	0.00727	439.1	0.965	0.705	40.5	72.7	10000.0	437.0	0.306	0.0353	4.29	6.18	1.86
DE03P049	0.362	0.00256	330.7	0.849	0.560	10.4	25.6	10000.0	328.0	0.331	0.151	3.24	4.68	1.41
DE03P054	0.397	0.00287	406.6	0.832	0.559	9.94	28.7	10000.0	405.0	0.323	0.168	3.36	4.84	1.46
DE03P060	0.081	0.00937	497.0	0.972	0.732	52.2	93.7	10000.0	495.0	0.284	0.0276	4.54	6.55	1.97
DE03P065	0.116	0.00787	500.1	0.966	0.703	42.3	78.7	10000.0	498.0	0.315	0.034	4.37	6.30	1.90
DE03P076	0.417	0.0018	308.4	0.796	0.505	7.26	18.0	10000.0	305.0	0.366	0.204	2.89	4.17	1.26
DE03P081	0.310	0.00284	343.9	0.870	0.574	11.8	28.4	10000.0	341.0	0.336	0.130	3.35	4.83	1.45
DE03P083	0.219	0.00248	287.9	0.909	0.568	14.4	24.8	10000.0	285.0	0.381	0.0911	3.21	4.63	1.39
DE07P016	0.0686	0.00865	511.8	0.972	0.715	49.5	86.5	10000.0	510.0	0.292	0.0275	4.46	6.43	1.94
DE07P049	0.157	0.00364	306.2	0.932	0.629	20.2	36.4	10000.0	302.0	0.337	0.0676	3.59	5.19	1.56
DE07P054	0.135	0.00529	392.7	0.946	0.665	26.4	52.9	10000.0	391.0	0.258	0.0543	3.97	5.73	1.72
DE07P060	0.222	0.00467	443.2	0.911	0.632	18.5	46.7	10000.0	440.0	0.331	0.0885	3.84	5.55	1.67
DE07P065	0.0917	0.011	551.7	0.974	0.745	58.1	110.3	10000.0	550.0	0.256	0.0258	4.70	6.79	2.04
DE07P076	0.166	0.0047	359.7	0.932	0.655	22.1	47.0	10000.0	356.0	0.289	0.0681	3.85	5.55	1.67
DE08P017	0.0961	0.0115	591.1	0.972	0.744	57.3	115.2	10000.0	590.0	0.245	0.0277	4.75	6.85	2.06
DE10P016	0.136	0.0053	330.1	0.950	0.686	28.9	53.0	10000.0	327.0	0.256	0.0501	3.97	5.73	1.72
DG00P016	0.118	0.00833	455.3	0.965	0.723	43.6	83.3	10000.0	453.0	0.293	0.0353	4.42	6.38	1.92
DG00P017	0.172	0.00882	517.4	0.959	0.717	41.7	88.2	10000.0	515.0	0.291	0.0408	4.48	6.46	1.95
DG00P049	0.357	0.00281	350.6	0.856	0.570	11.2	28.1	10000.0	349.0	0.303	0.144	3.34	4.81	1.45
DG00P054	0.157	0.00664	434.7	0.955	0.692	33.6	66.4	10000.0	431.0	0.303	0.0451	4.20	6.05	1.82
DG00P060	0.189	0.00485	398.1	0.933	0.649	22.6	48.5	10000.0	396.0	0.312	0.0674	3.88	5.60	1.69
DG00P076	0.0795	0.0092	488.1	0.972	0.731	50.5	92.0	10000.0	485.0	0.296	0.0284	4.52	6.52	1.96
DG00P081	0.0905	0.00646	360.9	0.965	0.709	38.9	64.6	10000.0	358.0	0.284	0.0345	4.17	6.01	1.81
DG00P083	0.265	0.00296	311.8	0.897	0.591	14.4	29.6	10000.0	310.0	0.338	0.103	3.39	4.89	1.47
DS00P030	0.133	0.00682	460.9	0.959	0.689	35.5	68.2	10000.0	459.0	0.300	0.0412	4.22	6.09	1.83
DS00P037	0.111	0.00836	510.3	0.964	0.710	42.1	83.6	10000.0	508.0	0.289	0.0358	4.43	6.38	1.92
DS00P049	0.115	0.00437	340.5	0.951	0.649	26.4	43.7	10000.0	337.0	0.343	0.049	3.78	5.45	1.64
DS00P054	0.253	0.00405	377.2	0.914	0.625	18.3	40.5	10000.0	374.0	0.328	0.0863	3.70	5.34	1.61
DS00P060	0.138	0.00484	319.0	0.956	0.674	30.5	48.4	10000.0	316.0	0.369	0.0439	3.88	5.60	1.68
DS00P065	0.250	0.00363	316.9	0.914	0.626	17.7	36.3	10000.0	312.0	0.300	0.0856	3.59	5.18	1.56
DS00P076	0.153	0.00388	309.9	0.941	0.639	23.1	38.8	10000.0	307.0	0.360	0.0585	3.66	5.28	1.59
DS00P119	0.130	0.00991	343.3	0.973	0.788	57.6	99.1	10000.0	341.0	0.181	0.0273	4.60	6.63	2.00
DS00P138	0.0987	0.00982	374.6	0.974	0.775	57.1	98.2	10000.0	373.0	0.184	0.0261	4.59	6.62	1.99
DS00P140	0.183	0.00412	213.0	0.941	0.696	24.1	41.2	10000.0	209.0	0.229	0.059	3.72	5.36	1.61
DS00P166	0.0621	0.00883	303.3	0.979	0.785	61.6	88.3	10000.0	302.0	0.191	0.0206	4.48	6.46	1.95
DS00P172	0.265	0.00368	219.9	0.915	0.669	18.9	36.8	10000.0	218.0	0.274	0.085	3.60	5.20	1.57
DS00P180	0.0592	0.0132	345.0	0.986	0.837	94.0	132.1	10000.0	343.0	0.174	0.014	4.88	7.05	2.12
DS00P191	0.107	0.00741	352.4	0.968	0.735	43.8	74.1	10000.0	351.0	0.210	0.0319	4.31	6.21	1.87
DS00P193	0.0824	0.0103	362.7	0.979	0.787	65.9	102.7	10000.0	361.0	0.207	0.021	4.63	6.68	2.01
DS00P194	0.0453	0.0124	375.0	0.986	0.814	88.5	124.1	10000.0	374.0	0.181	0.0143	4.82	6.95	2.09
DS00P196	0.0557	0.00709	280.9	0.976	0.757	50.5	70.9	10000.0	279.0	0.232	0.0243	4.26	6.15	1.85
DS03P016	0.140	0.00854	501.3	0.963	0.716	42.8	85.4	10000.0	500.0	0.275	0.0367	4.45	6.42	1.93
DS03P017	0.104	0.00999	529.1	0.972	0.735	53.4	99.9	10000.0	527.0	0.288	0.0278	4.60	6.64	2.00
DS03P030	0.106	0.00726	462.2	0.962	0.699	37.9	72.6	10000.0	461.0	0.275	0.0381	4.28	6.18	1.86
