OTU	Group
ASV_146	pre
ASV_142	post
ASV_142	pre
ASV_143	med
ASV_143	post
ASV_143	pre
ASV_108	post
ASV_108	pre
ASV_123	med
ASV_123	post
ASV_123	pre
ASV_125	post
ASV_125	pre
ASV_407	post
ASV_141	med
ASV_141	post
ASV_127	med
ASV_127	post
ASV_127	pre
ASV_140	med
ASV_140	post
ASV_140	pre
ASV_135	med
ASV_135	post
ASV_135	pre
ASV_147	med
ASV_147	post
ASV_147	pre
ASV_158	med
ASV_158	post
ASV_220	med
ASV_220	post
ASV_220	pre
ASV_197	med
ASV_197	pre
ASV_134	med
ASV_207	med
ASV_207	pre
ASV_101	med
ASV_145	pre
ASV_167	med
ASV_167	post
ASV_167	pre
ASV_149	med
ASV_149	post
ASV_870	med
ASV_870	post
ASV_870	pre
ASV_210	med
ASV_210	post
ASV_157	pre
ASV_319	pre
ASV_144	med
ASV_144	pre
ASV_121	post
ASV_121	pre
ASV_311	med
ASV_311	post
ASV_166	post
ASV_177	post
ASV_208	post
ASV_150	post
ASV_133	post
ASV_187	pre
ASV_212	pre
ASV_235	med
ASV_235	post
ASV_165	pre
ASV_151	med
ASV_169	med
ASV_169	post
ASV_139	med
ASV_193	med
ASV_202	med
ASV_163	post
ASV_247	med
ASV_294	pre
ASV_182	med
ASV_128	med
ASV_161	post
ASV_278	pre
ASV_168	pre
ASV_245	med
ASV_131	med
ASV_131	pre
ASV_206	med
ASV_180	post
ASV_156	pre
ASV_284	post
ASV_217	pre
ASV_181	post
ASV_211	med
ASV_225	pre
ASV_179	post
ASV_281	post
ASV_230	post
ASV_192	pre
ASV_132	pre
ASV_160	med
ASV_201	med
ASV_153	med
ASV_226	med
ASV_171	pre
ASV_194	pre
ASV_183	post
ASV_172	med
ASV_433	pre
ASV_333	pre
ASV_342	post
ASV_204	med
ASV_223	post
ASV_483	pre
ASV_358	pre
ASV_334	med
ASV_216	med
ASV_237	post
ASV_350	pre
ASV_615	pre
ASV_215	post
ASV_260	pre
ASV_238	pre
ASV_248	med
ASV_308	med
ASV_372	post
ASV_263	pre
