OTUID	variable	value
HS03P063	ASV_67	2
HS03P064	ASV_67	1
HS03P066	ASV_67	7
HS03P067	ASV_67	14
HS03P068	ASV_67	4
HS03P071	ASV_67	25
HS03P072	ASV_67	5
HS03P073	ASV_67	37
HS03P074	ASV_67	233
HS03P075	ASV_67	68
HS03P077	ASV_67	950
HS07P004	ASV_67	9
HS07P010	ASV_67	108
HS07P011	ASV_67	1
HS07P012	ASV_67	1
HS07P014	ASV_67	1
HS07P019	ASV_67	1
HS07P024	ASV_67	6
HS07P025	ASV_67	14
HS07P026	ASV_67	12
HS07P029	ASV_67	414
HS07P031	ASV_67	65
HS07P034	ASV_67	33
HS07P035	ASV_67	16
HS07P036	ASV_67	42
HS07P040	ASV_67	33
HS07P041	ASV_67	11
HS07P042	ASV_67	5
HS07P045	ASV_67	39
HS07P046	ASV_67	81
HS07P047	ASV_67	116
HS07P048	ASV_67	0
HS07P050	ASV_67	71
HS07P051	ASV_67	136
HS07P055	ASV_67	18
HS07P056	ASV_67	13
HS07P057	ASV_67	242
HS07P058	ASV_67	5
HS07P059	ASV_67	3
HS07P061	ASV_67	0
HS07P063	ASV_67	1
HS07P064	ASV_67	4
HS07P066	ASV_67	0
HS07P068	ASV_67	27
HS07P071	ASV_67	2348
HS07P072	ASV_67	57
HS07P073	ASV_67	29
HS07P074	ASV_67	14
HS07P075	ASV_67	126
HS07P077	ASV_67	33
HS10P003	ASV_67	0
IE03P013	ASV_67	31
IE03P020	ASV_67	5
IE03P027	ASV_67	279
IE03P052	ASV_67	40
IE03P053	ASV_67	11
IE03P062	ASV_67	14
IE03P069	ASV_67	1
IE03P070	ASV_67	1
IE07P013	ASV_67	10
IE07P020	ASV_67	2
IE07P027	ASV_67	308
IE07P052	ASV_67	8
IE07P053	ASV_67	0
IE07P062	ASV_67	6
IE07P069	ASV_67	11
IE07P070	ASV_67	0
IG00P013	ASV_67	43
IG00P020	ASV_67	0
IG00P052	ASV_67	8
IG00P053	ASV_67	1
IG00P062	ASV_67	4
IG00P069	ASV_67	3
IG00P070	ASV_67	2
IS00P013	ASV_67	0
IS00P020	ASV_67	2
IS00P027	ASV_67	11
IS00P033	ASV_67	33
IS00P038	ASV_67	15
IS00P039	ASV_67	15
IS00P043	ASV_67	29
IS00P052	ASV_67	242
IS00P053	ASV_67	145
IS00P062	ASV_67	1
IS00P069	ASV_67	27
IS00P070	ASV_67	5
IS00P081	ASV_67	0
IS00P083	ASV_67	34
IS03P020	ASV_67	0
IS03P027	ASV_67	22
IS03P033	ASV_67	32
IS03P038	ASV_67	69
IS03P039	ASV_67	20
IS03P043	ASV_67	44
IS03P052	ASV_67	81
IS03P053	ASV_67	8535
IS03P062	ASV_67	17
IS03P069	ASV_67	26
IS03P070	ASV_67	5
IS03P081	ASV_67	62
IS03P082	ASV_67	16
IS03P083	ASV_67	104
IS07P013	ASV_67	0
IS07P020	ASV_67	1
IS07P027	ASV_67	18
IS07P033	ASV_67	53
IS07P038	ASV_67	14
IS07P039	ASV_67	0
IS07P043	ASV_67	2
IS07P052	ASV_67	151
IS07P053	ASV_67	550
IS07P062	ASV_67	4
IS07P069	ASV_67	143
IS07P070	ASV_67	4
DE03P016	ASV_1008	18
DE03P017	ASV_1008	12
DE03P049	ASV_1008	0
DE03P054	ASV_1008	1
DE03P060	ASV_1008	0
DE03P065	ASV_1008	4
DE03P076	ASV_1008	0
DE03P081	ASV_1008	69
DE03P083	ASV_1008	5
DE07P016	ASV_1008	15
DE07P049	ASV_1008	0
DE07P054	ASV_1008	3
DE07P060	ASV_1008	0
DE07P065	ASV_1008	1
DE07P076	ASV_1008	0
DE08P017	ASV_1008	49
DE10P016	ASV_1008	0
DG00P016	ASV_1008	20
DG00P017	ASV_1008	36
DG00P049	ASV_1008	0
DG00P054	ASV_1008	0
DG00P060	ASV_1008	0
DG00P076	ASV_1008	0
DG00P081	ASV_1008	4
DG00P083	ASV_1008	5
DS00P030	ASV_1008	0
DS00P037	ASV_1008	1
DS00P049	ASV_1008	6
DS00P054	ASV_1008	1
DS00P060	ASV_1008	70
DS00P065	ASV_1008	0
DS00P076	ASV_1008	12
DS00P119	ASV_1008	0
DS00P138	ASV_1008	0
DS00P140	ASV_1008	0
DS00P166	ASV_1008	0
DS00P172	ASV_1008	0
DS00P180	ASV_1008	1
DS00P191	ASV_1008	0
DS00P193	ASV_1008	1
DS00P194	ASV_1008	1
DS00P196	ASV_1008	0
DS03P016	ASV_1008	19
DS03P017	ASV_1008	2
DS03P030	ASV_1008	0
DS03P037	ASV_1008	1
DS03P049	ASV_1008	5
DS03P054	ASV_1008	0
DS03P060	ASV_1008	2
DS03P065	ASV_1008	0
DS03P076	ASV_1008	0
DS03P237	ASV_1008	0
DS03P239	ASV_1008	0
DS03P245	ASV_1008	0
DS03P272	ASV_1008	0
DS03P279	ASV_1008	0
DS03P288	ASV_1008	0
DS03P295	ASV_1008	0
DS03P298	ASV_1008	0
DS03P312	ASV_1008	0
DS03P313	ASV_1008	62
DS04P138	ASV_1008	8
DS04P194	ASV_1008	0
DS04P86	ASV_1008	0
DS05P114	ASV_1008	126
DS05P196	ASV_1008	0
DS06P140	ASV_1008	1
DS06P180	ASV_1008	0
DS07P016	ASV_1008	0
DS07P037	ASV_1008	1
DS07P049	ASV_1008	7
DS07P054	ASV_1008	8
DS07P060	ASV_1008	3
DS07P065	ASV_1008	0
DS07P076	ASV_1008	0
DS07P172	ASV_1008	0
DS07P193	ASV_1008	2
DS08P017	ASV_1008	9
DS08P191	ASV_1008	0
DS10P016	ASV_1008	1
DS10P049	ASV_1008	0
DS10P054	ASV_1008	63
DS10P166	ASV_1008	0
HE02P026	ASV_1008	9
HE03P003	ASV_1008	15
HE03P004	ASV_1008	9
HE03P005	ASV_1008	4
HE03P010	ASV_1008	0
HE03P011	ASV_1008	0
HE03P012	ASV_1008	0
HE03P014	ASV_1008	0
HE03P019	ASV_1008	88
HE03P021	ASV_1008	1
HE03P022	ASV_1008	9
HE03P023	ASV_1008	5
HE03P024	ASV_1008	4
HE03P025	ASV_1008	11
HE03P028	ASV_1008	0
HE03P046	ASV_1008	0
HE03P047	ASV_1008	0
HE03P048	ASV_1008	0
HE03P050	ASV_1008	3
HE03P051	ASV_1008	0
HE03P055	ASV_1008	0
HE03P056	ASV_1008	0
HE03P057	ASV_1008	0
HE03P058	ASV_1008	0
HE03P059	ASV_1008	0
HE03P061	ASV_1008	0
HE03P063	ASV_1008	0
HE03P064	ASV_1008	7
HE03P066	ASV_1008	4
HE03P067	ASV_1008	1
HE03P068	ASV_1008	0
HE03P071	ASV_1008	0
HE03P072	ASV_1008	0
HE03P073	ASV_1008	0
HE03P074	ASV_1008	0
HE03P075	ASV_1008	0
HE03P077	ASV_1008	0
HE03P078	ASV_1008	5
HE03P082	ASV_1008	2
HE05P026	ASV_1008	4
HE07P004	ASV_1008	5
HE07P010	ASV_1008	1
HE07P012	ASV_1008	0
HE07P019	ASV_1008	330
HE07P021	ASV_1008	3
HE07P022	ASV_1008	25
HE07P023	ASV_1008	5
HE07P024	ASV_1008	0
HE07P025	ASV_1008	3
HE07P028	ASV_1008	0
HE07P046	ASV_1008	0
HE07P047	ASV_1008	0
HE07P048	ASV_1008	0
HE07P051	ASV_1008	0
HE07P055	ASV_1008	0
HE07P056	ASV_1008	0
HE07P057	ASV_1008	3
HE07P058	ASV_1008	1
HE07P059	ASV_1008	0
HE07P061	ASV_1008	0
HE07P063	ASV_1008	1
HE07P064	ASV_1008	0
HE07P066	ASV_1008	13
HE07P068	ASV_1008	0
HE07P071	ASV_1008	0
HE07P072	ASV_1008	0
HE07P073	ASV_1008	0
HE07P074	ASV_1008	3
HE07P075	ASV_1008	0
HE07P077	ASV_1008	0
HE07P078	ASV_1008	7
HE10P003	ASV_1008	58
HE10P049	ASV_1008	0
HE10P054	ASV_1008	0
HG00P003	ASV_1008	12
HG00P010	ASV_1008	0
HG00P011	ASV_1008	1
HG00P012	ASV_1008	0
HG00P014	ASV_1008	7
HG00P021	ASV_1008	0
HG00P022	ASV_1008	18
HG00P023	ASV_1008	10
HG00P024	ASV_1008	1
HG00P025	ASV_1008	16
HG00P026	ASV_1008	7
HG00P028	ASV_1008	2
HG00P046	ASV_1008	0
HG00P047	ASV_1008	0
HG00P048	ASV_1008	0
HG00P050	ASV_1008	0
HG00P051	ASV_1008	1
HG00P055	ASV_1008	1
HG00P056	ASV_1008	1
HG00P058	ASV_1008	1
HG00P059	ASV_1008	0
HG00P061	ASV_1008	0
HG00P063	ASV_1008	3
HG00P064	ASV_1008	9
HG00P066	ASV_1008	3
HG00P071	ASV_1008	0
HG00P072	ASV_1008	0
HG00P073	ASV_1008	0
HG00P074	ASV_1008	0
HG00P075	ASV_1008	0
HG00P077	ASV_1008	0
HG00P078	ASV_1008	0
HG00P082	ASV_1008	17
HS00P003	ASV_1008	2
HS00P004	ASV_1008	0
HS00P010	ASV_1008	0
HS00P011	ASV_1008	0
HS00P012	ASV_1008	0
HS00P014	ASV_1008	3
HS00P019	ASV_1008	5
HS00P025	ASV_1008	3
HS00P029	ASV_1008	0
HS00P031	ASV_1008	0
HS00P034	ASV_1008	3
HS00P036	ASV_1008	0
HS00P040	ASV_1008	1
HS00P041	ASV_1008	2
HS00P042	ASV_1008	1
HS00P044	ASV_1008	1
HS00P045	ASV_1008	0
HS00P046	ASV_1008	35
HS00P047	ASV_1008	1
HS00P048	ASV_1008	0
HS00P050	ASV_1008	13
HS00P051	ASV_1008	0
HS00P055	ASV_1008	2
HS00P056	ASV_1008	0
HS00P057	ASV_1008	1
HS00P058	ASV_1008	1
HS00P059	ASV_1008	2
HS00P061	ASV_1008	0
HS00P063	ASV_1008	2
HS00P064	ASV_1008	0
HS00P068	ASV_1008	0
HS00P071	ASV_1008	0
HS00P072	ASV_1008	1
HS00P073	ASV_1008	0
HS00P074	ASV_1008	3
HS00P075	ASV_1008	0
HS00P077	ASV_1008	0
HS00P082	ASV_1008	2
HS00P109	ASV_1008	20
HS00P110	ASV_1008	0
HS00P118	ASV_1008	0
HS00P137	ASV_1008	0
HS00P142	ASV_1008	0
HS00P167	ASV_1008	0
HS00P176	ASV_1008	0
HS00P179	ASV_1008	0
HS00P192	ASV_1008	0
HS00P198	ASV_1008	0
HS00P201	ASV_1008	0
HS00P93	ASV_1008	0
HS00P96	ASV_1008	0
HS03P003	ASV_1008	1
HS03P004	ASV_1008	0
HS03P005	ASV_1008	0
HS03P010	ASV_1008	1
HS03P011	ASV_1008	2
HS03P012	ASV_1008	0
HS03P014	ASV_1008	8
HS03P019	ASV_1008	26
HS03P024	ASV_1008	0
HS03P025	ASV_1008	1
HS03P026	ASV_1008	37
HS03P029	ASV_1008	0
HS03P031	ASV_1008	0
HS03P034	ASV_1008	0
HS03P035	ASV_1008	2
HS03P040	ASV_1008	1
HS03P041	ASV_1008	0
HS03P042	ASV_1008	0
HS03P044	ASV_1008	2
HS03P045	ASV_1008	0
HS03P046	ASV_1008	105
HS03P047	ASV_1008	0
HS03P048	ASV_1008	1
HS03P050	ASV_1008	0
HS03P051	ASV_1008	0
HS03P055	ASV_1008	3
HS03P056	ASV_1008	1
HS03P057	ASV_1008	4
HS03P058	ASV_1008	0
HS03P059	ASV_1008	46
HS03P061	ASV_1008	0
HS03P063	ASV_1008	6
HS03P064	ASV_1008	0
HS03P066	ASV_1008	0
HS03P067	ASV_1008	1
HS03P068	ASV_1008	3
HS03P071	ASV_1008	0
HS03P072	ASV_1008	0
HS03P073	ASV_1008	0
HS03P074	ASV_1008	0
HS03P075	ASV_1008	0
HS03P077	ASV_1008	0
HS07P004	ASV_1008	1
HS07P010	ASV_1008	0
HS07P011	ASV_1008	3
HS07P012	ASV_1008	0
HS07P014	ASV_1008	35
HS07P019	ASV_1008	62
HS07P024	ASV_1008	0
HS07P025	ASV_1008	0
HS07P026	ASV_1008	0
HS07P029	ASV_1008	1
HS07P031	ASV_1008	3
HS07P034	ASV_1008	1
HS07P035	ASV_1008	2
HS07P036	ASV_1008	0
HS07P040	ASV_1008	0
HS07P041	ASV_1008	0
HS07P042	ASV_1008	0
HS07P045	ASV_1008	4
HS07P046	ASV_1008	118
HS07P047	ASV_1008	2
HS07P048	ASV_1008	0
HS07P050	ASV_1008	0
HS07P051	ASV_1008	7
HS07P055	ASV_1008	2
HS07P056	ASV_1008	2
HS07P057	ASV_1008	6
HS07P058	ASV_1008	0
HS07P059	ASV_1008	1
HS07P061	ASV_1008	0
HS07P063	ASV_1008	0
HS07P064	ASV_1008	0
HS07P066	ASV_1008	0
HS07P068	ASV_1008	0
HS07P071	ASV_1008	0
HS07P072	ASV_1008	1
HS07P073	ASV_1008	0
HS07P074	ASV_1008	0
HS07P075	ASV_1008	0
HS07P077	ASV_1008	0
HS10P003	ASV_1008	0
IE03P013	ASV_1008	0
IE03P020	ASV_1008	35
IE03P027	ASV_1008	8
IE03P052	ASV_1008	0
IE03P053	ASV_1008	0
IE03P062	ASV_1008	0
IE03P069	ASV_1008	0
IE03P070	ASV_1008	9
IE07P013	ASV_1008	3
IE07P020	ASV_1008	14
IE07P027	ASV_1008	34
IE07P052	ASV_1008	0
IE07P053	ASV_1008	0
IE07P062	ASV_1008	1
IE07P069	ASV_1008	0
IE07P070	ASV_1008	0
IG00P013	ASV_1008	0
IG00P020	ASV_1008	32
IG00P052	ASV_1008	0
IG00P053	ASV_1008	0
IG00P062	ASV_1008	1
IG00P069	ASV_1008	0
IG00P070	ASV_1008	3
IS00P013	ASV_1008	1
IS00P020	ASV_1008	0
IS00P027	ASV_1008	0
IS00P033	ASV_1008	1
IS00P038	ASV_1008	0
IS00P039	ASV_1008	0
IS00P043	ASV_1008	1
IS00P052	ASV_1008	0
IS00P053	ASV_1008	0
IS00P062	ASV_1008	0
IS00P069	ASV_1008	0
IS00P070	ASV_1008	0
IS00P081	ASV_1008	4
IS00P083	ASV_1008	21
IS03P020	ASV_1008	5
IS03P027	ASV_1008	2
IS03P033	ASV_1008	0
IS03P038	ASV_1008	0
IS03P039	ASV_1008	4
IS03P043	ASV_1008	0
IS03P052	ASV_1008	8
IS03P053	ASV_1008	0
IS03P062	ASV_1008	0
IS03P069	ASV_1008	6
IS03P070	ASV_1008	0
IS03P081	ASV_1008	4
IS03P082	ASV_1008	0
IS03P083	ASV_1008	0
IS07P013	ASV_1008	2
IS07P020	ASV_1008	1
IS07P027	ASV_1008	20
IS07P033	ASV_1008	0
IS07P038	ASV_1008	1
IS07P039	ASV_1008	1
IS07P043	ASV_1008	1
IS07P052	ASV_1008	1
IS07P053	ASV_1008	4
IS07P062	ASV_1008	0
IS07P069	ASV_1008	2
IS07P070	ASV_1008	0
DE03P016	ASV_1214	2
DE03P017	ASV_1214	1
DE03P049	ASV_1214	0
DE03P054	ASV_1214	1
DE03P060	ASV_1214	0
DE03P065	ASV_1214	0
DE03P076	ASV_1214	0
DE03P081	ASV_1214	0
DE03P083	ASV_1214	0
DE07P016	ASV_1214	0
DE07P049	ASV_1214	0
DE07P054	ASV_1214	1
DE07P060	ASV_1214	0
DE07P065	ASV_1214	0
DE07P076	ASV_1214	0
DE08P017	ASV_1214	13
DE10P016	ASV_1214	0
DG00P016	ASV_1214	5
DG00P017	ASV_1214	65
DG00P049	ASV_1214	0
DG00P054	ASV_1214	0
DG00P060	ASV_1214	0
DG00P076	ASV_1214	0
DG00P081	ASV_1214	0
DG00P083	ASV_1214	0
DS00P030	ASV_1214	0
DS00P037	ASV_1214	0
DS00P049	ASV_1214	0
DS00P054	ASV_1214	1
DS00P060	ASV_1214	11
DS00P065	ASV_1214	0
DS00P076	ASV_1214	10
DS00P119	ASV_1214	0
DS00P138	ASV_1214	5
DS00P140	ASV_1214	0
DS00P166	ASV_1214	0
DS00P172	ASV_1214	12
DS00P180	ASV_1214	2
DS00P191	ASV_1214	2
DS00P193	ASV_1214	156
DS00P194	ASV_1214	0
DS00P196	ASV_1214	0
DS03P016	ASV_1214	2
DS03P017	ASV_1214	0
DS03P030	ASV_1214	0
DS03P037	ASV_1214	7
DS03P049	ASV_1214	0
DS03P054	ASV_1214	0
DS03P060	ASV_1214	542
DS03P065	ASV_1214	0
DS03P076	ASV_1214	4
DS03P237	ASV_1214	0
DS03P239	ASV_1214	0
DS03P245	ASV_1214	0
DS03P272	ASV_1214	0
DS03P279	ASV_1214	0
DS03P288	ASV_1214	0
DS03P295	ASV_1214	0
DS03P298	ASV_1214	9
DS03P312	ASV_1214	1
DS03P313	ASV_1214	0
DS04P138	ASV_1214	2
DS04P194	ASV_1214	0
DS04P86	ASV_1214	8
DS05P114	ASV_1214	0
DS05P196	ASV_1214	0
DS06P140	ASV_1214	3
DS06P180	ASV_1214	1
DS07P016	ASV_1214	0
DS07P037	ASV_1214	0
DS07P049	ASV_1214	0
DS07P054	ASV_1214	3
DS07P060	ASV_1214	3
DS07P065	ASV_1214	0
DS07P076	ASV_1214	2
DS07P172	ASV_1214	0
DS07P193	ASV_1214	0
DS08P017	ASV_1214	0
DS08P191	ASV_1214	1
DS10P016	ASV_1214	0
DS10P049	ASV_1214	0
DS10P054	ASV_1214	91
DS10P166	ASV_1214	1
HE02P026	ASV_1214	0
HE03P003	ASV_1214	1
HE03P004	ASV_1214	3
HE03P005	ASV_1214	1
HE03P010	ASV_1214	0
HE03P011	ASV_1214	0
HE03P012	ASV_1214	0
HE03P014	ASV_1214	0
HE03P019	ASV_1214	2
HE03P021	ASV_1214	0
HE03P022	ASV_1214	0
HE03P023	ASV_1214	0
HE03P024	ASV_1214	0
HE03P025	ASV_1214	0
HE03P028	ASV_1214	0
HE03P046	ASV_1214	0
HE03P047	ASV_1214	0
HE03P048	ASV_1214	0
HE03P050	ASV_1214	0
HE03P051	ASV_1214	1
HE03P055	ASV_1214	0
HE03P056	ASV_1214	0
HE03P057	ASV_1214	0
HE03P058	ASV_1214	0
HE03P059	ASV_1214	0
HE03P061	ASV_1214	0
HE03P063	ASV_1214	1
HE03P064	ASV_1214	0
HE03P066	ASV_1214	0
HE03P067	ASV_1214	10
HE03P068	ASV_1214	0
HE03P071	ASV_1214	0
HE03P072	ASV_1214	2
HE03P073	ASV_1214	0
HE03P074	ASV_1214	0
HE03P075	ASV_1214	1
HE03P077	ASV_1214	0
HE03P078	ASV_1214	0
HE03P082	ASV_1214	0
HE05P026	ASV_1214	0
HE07P004	ASV_1214	2
HE07P010	ASV_1214	0
HE07P012	ASV_1214	0
HE07P019	ASV_1214	0
HE07P021	ASV_1214	1
HE07P022	ASV_1214	0
HE07P023	ASV_1214	1
HE07P024	ASV_1214	0
HE07P025	ASV_1214	1
HE07P028	ASV_1214	0
HE07P046	ASV_1214	0
HE07P047	ASV_1214	1
HE07P048	ASV_1214	0
HE07P051	ASV_1214	1
HE07P055	ASV_1214	0
HE07P056	ASV_1214	0
HE07P057	ASV_1214	0
HE07P058	ASV_1214	0
HE07P059	ASV_1214	2
HE07P061	ASV_1214	0
HE07P063	ASV_1214	7
HE07P064	ASV_1214	0
HE07P066	ASV_1214	0
HE07P068	ASV_1214	0
HE07P071	ASV_1214	0
HE07P072	ASV_1214	0
HE07P073	ASV_1214	0
HE07P074	ASV_1214	1
HE07P075	ASV_1214	1
HE07P077	ASV_1214	0
HE07P078	ASV_1214	0
HE10P003	ASV_1214	3
HE10P049	ASV_1214	1
HE10P054	ASV_1214	0
HG00P003	ASV_1214	16
HG00P010	ASV_1214	0
HG00P011	ASV_1214	0
HG00P012	ASV_1214	0
HG00P014	ASV_1214	4
HG00P021	ASV_1214	6
HG00P022	ASV_1214	5
HG00P023	ASV_1214	0
HG00P024	ASV_1214	0
HG00P025	ASV_1214	0
HG00P026	ASV_1214	0
HG00P028	ASV_1214	3
HG00P046	ASV_1214	0
HG00P047	ASV_1214	0
HG00P048	ASV_1214	0
HG00P050	ASV_1214	0
HG00P051	ASV_1214	1
HG00P055	ASV_1214	0
HG00P056	ASV_1214	0
HG00P058	ASV_1214	4
HG00P059	ASV_1214	0
HG00P061	ASV_1214	0
HG00P063	ASV_1214	2
HG00P064	ASV_1214	0
HG00P066	ASV_1214	0
HG00P071	ASV_1214	0
HG00P072	ASV_1214	0
HG00P073	ASV_1214	0
HG00P074	ASV_1214	0
HG00P075	ASV_1214	2
HG00P077	ASV_1214	0
HG00P078	ASV_1214	1
HG00P082	ASV_1214	0
HS00P003	ASV_1214	0
HS00P004	ASV_1214	0
HS00P010	ASV_1214	0
HS00P011	ASV_1214	0
HS00P012	ASV_1214	0
HS00P014	ASV_1214	2
HS00P019	ASV_1214	0
HS00P025	ASV_1214	0
HS00P029	ASV_1214	6
HS00P031	ASV_1214	0
HS00P034	ASV_1214	1
HS00P036	ASV_1214	0
HS00P040	ASV_1214	0
HS00P041	ASV_1214	0
HS00P042	ASV_1214	0
HS00P044	ASV_1214	4
HS00P045	ASV_1214	7
HS00P046	ASV_1214	0
HS00P047	ASV_1214	0
HS00P048	ASV_1214	0
HS00P050	ASV_1214	1
HS00P051	ASV_1214	1
HS00P055	ASV_1214	6
HS00P056	ASV_1214	8
HS00P057	ASV_1214	21
HS00P058	ASV_1214	2
HS00P059	ASV_1214	0
HS00P061	ASV_1214	0
HS00P063	ASV_1214	0
HS00P064	ASV_1214	0
HS00P068	ASV_1214	0
HS00P071	ASV_1214	6
HS00P072	ASV_1214	3
HS00P073	ASV_1214	5
HS00P074	ASV_1214	52
HS00P075	ASV_1214	0
HS00P077	ASV_1214	0
HS00P082	ASV_1214	1
HS00P109	ASV_1214	9
HS00P110	ASV_1214	0
HS00P118	ASV_1214	0
HS00P137	ASV_1214	0
HS00P142	ASV_1214	7
HS00P167	ASV_1214	26
HS00P176	ASV_1214	130
HS00P179	ASV_1214	0
HS00P192	ASV_1214	46
HS00P198	ASV_1214	0
HS00P201	ASV_1214	12
HS00P93	ASV_1214	31
HS00P96	ASV_1214	0
HS03P003	ASV_1214	0
HS03P004	ASV_1214	0
HS03P005	ASV_1214	1
HS03P010	ASV_1214	0
HS03P011	ASV_1214	0
HS03P012	ASV_1214	0
HS03P014	ASV_1214	0
HS03P019	ASV_1214	3
HS03P024	ASV_1214	0
HS03P025	ASV_1214	0
HS03P026	ASV_1214	12
HS03P029	ASV_1214	0
HS03P031	ASV_1214	0
HS03P034	ASV_1214	0
HS03P035	ASV_1214	0
HS03P040	ASV_1214	0
HS03P041	ASV_1214	4
HS03P042	ASV_1214	1
HS03P044	ASV_1214	2
HS03P045	ASV_1214	4
HS03P046	ASV_1214	0
HS03P047	ASV_1214	0
HS03P048	ASV_1214	2
HS03P050	ASV_1214	2
HS03P051	ASV_1214	1
HS03P055	ASV_1214	4
HS03P056	ASV_1214	0
HS03P057	ASV_1214	2
HS03P058	ASV_1214	0
HS03P059	ASV_1214	0
HS03P061	ASV_1214	0
HS03P063	ASV_1214	75
HS03P064	ASV_1214	0
HS03P066	ASV_1214	8
HS03P067	ASV_1214	0
HS03P068	ASV_1214	1
HS03P071	ASV_1214	1
HS03P072	ASV_1214	10
HS03P073	ASV_1214	3
HS03P074	ASV_1214	2
HS03P075	ASV_1214	0
HS03P077	ASV_1214	0
HS07P004	ASV_1214	0
HS07P010	ASV_1214	1
HS07P011	ASV_1214	0
HS07P012	ASV_1214	1
HS07P014	ASV_1214	0
HS07P019	ASV_1214	1
HS07P024	ASV_1214	0
HS07P025	ASV_1214	0
HS07P026	ASV_1214	0
HS07P029	ASV_1214	0
HS07P031	ASV_1214	2
HS07P034	ASV_1214	0
HS07P035	ASV_1214	0
HS07P036	ASV_1214	0
HS07P040	ASV_1214	0
HS07P041	ASV_1214	0
HS07P042	ASV_1214	0
HS07P045	ASV_1214	162
HS07P046	ASV_1214	0
HS07P047	ASV_1214	7
HS07P048	ASV_1214	0
HS07P050	ASV_1214	0
HS07P051	ASV_1214	13
HS07P055	ASV_1214	2
HS07P056	ASV_1214	0
HS07P057	ASV_1214	1
HS07P058	ASV_1214	0
HS07P059	ASV_1214	5
HS07P061	ASV_1214	0
HS07P063	ASV_1214	0
HS07P064	ASV_1214	1
HS07P066	ASV_1214	1
HS07P068	ASV_1214	1
HS07P071	ASV_1214	53
HS07P072	ASV_1214	0
HS07P073	ASV_1214	3
HS07P074	ASV_1214	1
HS07P075	ASV_1214	5
HS07P077	ASV_1214	1
HS10P003	ASV_1214	1
IE03P013	ASV_1214	0
IE03P020	ASV_1214	9
IE03P027	ASV_1214	2
IE03P052	ASV_1214	0
IE03P053	ASV_1214	0
IE03P062	ASV_1214	0
IE03P069	ASV_1214	0
IE03P070	ASV_1214	0
IE07P013	ASV_1214	0
IE07P020	ASV_1214	2
IE07P027	ASV_1214	0
IE07P052	ASV_1214	1
IE07P053	ASV_1214	0
IE07P062	ASV_1214	0
IE07P069	ASV_1214	1
IE07P070	ASV_1214	0
IG00P013	ASV_1214	3
IG00P020	ASV_1214	4
IG00P052	ASV_1214	8
IG00P053	ASV_1214	0
IG00P062	ASV_1214	0
IG00P069	ASV_1214	0
IG00P070	ASV_1214	0
IS00P013	ASV_1214	6
IS00P020	ASV_1214	0
IS00P027	ASV_1214	0
IS00P033	ASV_1214	6
IS00P038	ASV_1214	0
IS00P039	ASV_1214	0
IS00P043	ASV_1214	0
IS00P052	ASV_1214	0
IS00P053	ASV_1214	0
IS00P062	ASV_1214	0
IS00P069	ASV_1214	4
IS00P070	ASV_1214	1
IS00P081	ASV_1214	0
IS00P083	ASV_1214	0
IS03P020	ASV_1214	9
IS03P027	ASV_1214	0
IS03P033	ASV_1214	1
IS03P038	ASV_1214	0
IS03P039	ASV_1214	0
IS03P043	ASV_1214	2
IS03P052	ASV_1214	1
IS03P053	ASV_1214	2
IS03P062	ASV_1214	0
IS03P069	ASV_1214	5
IS03P070	ASV_1214	2
IS03P081	ASV_1214	4
IS03P082	ASV_1214	0
IS03P083	ASV_1214	2
IS07P013	ASV_1214	0
IS07P020	ASV_1214	2
IS07P027	ASV_1214	0
IS07P033	ASV_1214	0
IS07P038	ASV_1214	0
IS07P039	ASV_1214	0
IS07P043	ASV_1214	3
IS07P052	ASV_1214	0
IS07P053	ASV_1214	0
IS07P062	ASV_1214	1
IS07P069	ASV_1214	6
IS07P070	ASV_1214	20
DE03P016	ASV_317	16
DE03P017	ASV_317	19
DE03P049	ASV_317	0
DE03P054	ASV_317	0
DE03P060	ASV_317	1
DE03P065	ASV_317	8
DE03P076	ASV_317	0
DE03P081	ASV_317	531
DE03P083	ASV_317	3
DE07P016	ASV_317	24
DE07P049	ASV_317	0
DE07P054	ASV_317	1
DE07P060	ASV_317	0
DE07P065	ASV_317	1
DE07P076	ASV_317	2
DE08P017	ASV_317	34
DE10P016	ASV_317	0
DG00P016	ASV_317	32
DG00P017	ASV_317	294
DG00P049	ASV_317	0
DG00P054	ASV_317	0
DG00P060	ASV_317	0
DG00P076	ASV_317	0
DG00P081	ASV_317	3
DG00P083	ASV_317	6
DS00P030	ASV_317	0
DS00P037	ASV_317	0
DS00P049	ASV_317	1
DS00P054	ASV_317	18
DS00P060	ASV_317	0
DS00P065	ASV_317	0
DS00P076	ASV_317	2
DS00P119	ASV_317	0
DS00P138	ASV_317	0
DS00P140	ASV_317	0
DS00P166	ASV_317	0
DS00P172	ASV_317	0
DS00P180	ASV_317	0
DS00P191	ASV_317	0
DS00P193	ASV_317	0
DS00P194	ASV_317	0
DS00P196	ASV_317	0
DS03P016	ASV_317	13
DS03P017	ASV_317	3
DS03P030	ASV_317	0
DS03P037	ASV_317	0
DS03P049	ASV_317	25
DS03P054	ASV_317	0
DS03P060	ASV_317	0
DS03P065	ASV_317	0
DS03P076	ASV_317	18
DS03P237	ASV_317	0
DS03P239	ASV_317	0
DS03P245	ASV_317	0
DS03P272	ASV_317	0
DS03P279	ASV_317	0
DS03P288	ASV_317	0
DS03P295	ASV_317	0
