OTUID	variable	value
HS00P019	ASV_11	101
HS00P025	ASV_11	172
HS00P029	ASV_11	99
HS00P031	ASV_11	0
HS00P034	ASV_11	220
HS00P036	ASV_11	7
HS00P040	ASV_11	44
HS00P041	ASV_11	36
HS00P042	ASV_11	51
HS00P044	ASV_11	249
HS00P045	ASV_11	337
HS00P046	ASV_11	191
HS00P047	ASV_11	92
HS00P048	ASV_11	360
HS00P050	ASV_11	216
HS00P051	ASV_11	202
HS00P055	ASV_11	312
HS00P056	ASV_11	2035
HS00P057	ASV_11	46
HS00P058	ASV_11	230
HS00P059	ASV_11	513
HS00P061	ASV_11	209
HS00P063	ASV_11	1366
HS00P064	ASV_11	385
HS00P068	ASV_11	963
HS00P071	ASV_11	30258
HS00P072	ASV_11	877
HS00P073	ASV_11	1237
HS00P074	ASV_11	510
HS00P075	ASV_11	1123
HS00P077	ASV_11	1306
HS00P082	ASV_11	797
HS00P109	ASV_11	706
HS00P110	ASV_11	2580
HS00P118	ASV_11	1785
HS00P137	ASV_11	760
HS00P142	ASV_11	444
HS00P167	ASV_11	1897
HS00P176	ASV_11	6259
HS00P179	ASV_11	113
HS00P192	ASV_11	2582
HS00P198	ASV_11	1789
HS00P201	ASV_11	3482
HS00P93	ASV_11	788
HS00P96	ASV_11	7
HS03P003	ASV_11	157
HS03P004	ASV_11	693
HS03P005	ASV_11	331
HS03P010	ASV_11	541
HS03P011	ASV_11	178
HS03P012	ASV_11	265
HS03P014	ASV_11	62
HS03P019	ASV_11	409
HS03P024	ASV_11	423
HS03P025	ASV_11	266
HS03P026	ASV_11	721
HS03P029	ASV_11	43
HS03P031	ASV_11	73
HS03P034	ASV_11	61
HS03P035	ASV_11	55
HS03P040	ASV_11	22
HS03P041	ASV_11	51
HS03P042	ASV_11	58
HS03P044	ASV_11	248
HS03P045	ASV_11	307
HS03P046	ASV_11	538
HS03P047	ASV_11	122
HS03P048	ASV_11	186
HS03P050	ASV_11	137
HS03P051	ASV_11	167
HS03P055	ASV_11	980
HS03P056	ASV_11	2521
HS03P057	ASV_11	229
HS03P058	ASV_11	362
HS03P059	ASV_11	3150
HS03P061	ASV_11	18
HS03P063	ASV_11	2279
HS03P064	ASV_11	582
HS03P066	ASV_11	766
HS03P067	ASV_11	125
HS03P068	ASV_11	1202
HS03P071	ASV_11	36433
HS03P072	ASV_11	346
HS03P073	ASV_11	1025
HS03P074	ASV_11	357
HS03P075	ASV_11	708
HS03P077	ASV_11	687
HS07P004	ASV_11	235
HS07P010	ASV_11	288
HS07P011	ASV_11	114
HS07P012	ASV_11	290
HS07P014	ASV_11	83
HS07P019	ASV_11	406
HS07P024	ASV_11	137
HS07P025	ASV_11	298
HS07P026	ASV_11	299
HS07P029	ASV_11	48
HS07P031	ASV_11	76
HS07P034	ASV_11	21
HS07P035	ASV_11	49
HS07P036	ASV_11	13
HS07P040	ASV_11	21
HS07P041	ASV_11	744
HS07P042	ASV_11	83
HS07P045	ASV_11	325
HS07P046	ASV_11	615
HS07P047	ASV_11	856
HS07P048	ASV_11	70
HS07P050	ASV_11	399
HS07P051	ASV_11	634
HS07P055	ASV_11	331
HS07P056	ASV_11	684
HS07P057	ASV_11	149
HS07P058	ASV_11	4241
HS07P059	ASV_11	39
HS07P061	ASV_11	15
HS07P063	ASV_11	57
HS07P064	ASV_11	713
HS07P066	ASV_11	518
HS07P068	ASV_11	805
HS07P071	ASV_11	1126
HS07P072	ASV_11	1545
HS07P073	ASV_11	334
HS07P074	ASV_11	674
HS07P075	ASV_11	150
HS07P077	ASV_11	109
HS10P003	ASV_11	104
IE03P013	ASV_11	582
IE03P020	ASV_11	1016
IE03P027	ASV_11	904
IE03P052	ASV_11	177
IE03P053	ASV_11	1408
IE03P062	ASV_11	140
IE03P069	ASV_11	385
IE03P070	ASV_11	26
IE07P013	ASV_11	480
IE07P020	ASV_11	608
IE07P027	ASV_11	1163
IE07P052	ASV_11	106
IE07P053	ASV_11	338
IE07P062	ASV_11	111
IE07P069	ASV_11	20
IE07P070	ASV_11	19
IG00P013	ASV_11	2232
IG00P020	ASV_11	531
IG00P052	ASV_11	578
IG00P053	ASV_11	39
IG00P062	ASV_11	339
IG00P069	ASV_11	213
IG00P070	ASV_11	32
IS00P013	ASV_11	154
IS00P020	ASV_11	684
IS00P027	ASV_11	50
IS00P033	ASV_11	102
IS00P038	ASV_11	29
IS00P039	ASV_11	26
IS00P043	ASV_11	20
IS00P052	ASV_11	322
IS00P053	ASV_11	3167
IS00P062	ASV_11	46
IS00P069	ASV_11	2416
IS00P070	ASV_11	13783
IS00P081	ASV_11	451
IS00P083	ASV_11	15
IS03P020	ASV_11	401
IS03P027	ASV_11	71
IS03P033	ASV_11	537
IS03P038	ASV_11	62
IS03P039	ASV_11	22
IS03P043	ASV_11	224
IS03P052	ASV_11	159
IS03P053	ASV_11	107
IS03P062	ASV_11	218
IS03P069	ASV_11	1080
IS03P070	ASV_11	346
IS03P081	ASV_11	722
IS03P082	ASV_11	321
IS03P083	ASV_11	397
IS07P013	ASV_11	134
IS07P020	ASV_11	249
IS07P027	ASV_11	257
IS07P033	ASV_11	57
IS07P038	ASV_11	53
IS07P039	ASV_11	35
IS07P043	ASV_11	287
IS07P052	ASV_11	771
IS07P053	ASV_11	1408
IS07P062	ASV_11	1363
IS07P069	ASV_11	3744
IS07P070	ASV_11	21051
DE03P016	ASV_281	0
DE03P017	ASV_281	0
DE03P049	ASV_281	0
DE03P054	ASV_281	11
DE03P060	ASV_281	7
DE03P065	ASV_281	3
DE03P076	ASV_281	0
DE03P081	ASV_281	105
DE03P083	ASV_281	13
DE07P016	ASV_281	0
DE07P049	ASV_281	0
DE07P054	ASV_281	6
DE07P060	ASV_281	8
DE07P065	ASV_281	14
DE07P076	ASV_281	0
DE08P017	ASV_281	0
DE10P016	ASV_281	3
DG00P016	ASV_281	0
DG00P017	ASV_281	0
DG00P049	ASV_281	21
DG00P054	ASV_281	3
DG00P060	ASV_281	11
DG00P076	ASV_281	23
DG00P081	ASV_281	97
DG00P083	ASV_281	34
DS00P030	ASV_281	0
DS00P037	ASV_281	0
DS00P049	ASV_281	26
DS00P054	ASV_281	0
DS00P060	ASV_281	1
DS00P065	ASV_281	0
DS00P076	ASV_281	1
DS00P119	ASV_281	138
DS00P138	ASV_281	198
DS00P140	ASV_281	235
DS00P166	ASV_281	0
DS00P172	ASV_281	0
DS00P180	ASV_281	10
DS00P191	ASV_281	0
DS00P193	ASV_281	0
DS00P194	ASV_281	0
DS00P196	ASV_281	0
DS03P016	ASV_281	0
DS03P017	ASV_281	1
DS03P030	ASV_281	1
DS03P037	ASV_281	0
DS03P049	ASV_281	131
DS03P054	ASV_281	36
DS03P060	ASV_281	32
DS03P065	ASV_281	0
DS03P076	ASV_281	0
DS03P237	ASV_281	0
DS03P239	ASV_281	1
DS03P245	ASV_281	0
DS03P272	ASV_281	0
DS03P279	ASV_281	0
DS03P288	ASV_281	0
DS03P295	ASV_281	1
DS03P298	ASV_281	38
DS03P312	ASV_281	19
DS03P313	ASV_281	0
DS04P138	ASV_281	0
DS04P194	ASV_281	0
DS04P86	ASV_281	0
DS05P114	ASV_281	2
DS05P196	ASV_281	0
DS06P140	ASV_281	13
DS06P180	ASV_281	1
DS07P016	ASV_281	0
DS07P037	ASV_281	1
DS07P049	ASV_281	63
DS07P054	ASV_281	29
DS07P060	ASV_281	44
DS07P065	ASV_281	0
DS07P076	ASV_281	1
DS07P172	ASV_281	117
DS07P193	ASV_281	4
DS08P017	ASV_281	1
DS08P191	ASV_281	0
DS10P016	ASV_281	0
DS10P049	ASV_281	98
DS10P054	ASV_281	2
DS10P166	ASV_281	0
HE02P026	ASV_281	0
HE03P003	ASV_281	0
HE03P004	ASV_281	0
HE03P005	ASV_281	0
HE03P010	ASV_281	54
HE03P011	ASV_281	6
HE03P012	ASV_281	0
HE03P014	ASV_281	4
HE03P019	ASV_281	0
HE03P021	ASV_281	0
HE03P022	ASV_281	0
HE03P023	ASV_281	0
HE03P024	ASV_281	2
HE03P025	ASV_281	0
HE03P028	ASV_281	0
HE03P046	ASV_281	1
HE03P047	ASV_281	1
HE03P048	ASV_281	1
HE03P050	ASV_281	0
HE03P051	ASV_281	38
HE03P055	ASV_281	3
HE03P056	ASV_281	20
HE03P057	ASV_281	256
HE03P058	ASV_281	0
HE03P059	ASV_281	6
HE03P061	ASV_281	406
HE03P063	ASV_281	1
HE03P064	ASV_281	26
HE03P066	ASV_281	3
HE03P067	ASV_281	1194
HE03P068	ASV_281	331
HE03P071	ASV_281	5
HE03P072	ASV_281	6
HE03P073	ASV_281	3
HE03P074	ASV_281	2
HE03P075	ASV_281	112
HE03P077	ASV_281	2
HE03P078	ASV_281	21
HE03P082	ASV_281	16
HE05P026	ASV_281	0
HE07P004	ASV_281	0
HE07P010	ASV_281	209
HE07P012	ASV_281	0
HE07P019	ASV_281	0
HE07P021	ASV_281	0
HE07P022	ASV_281	0
HE07P023	ASV_281	0
HE07P024	ASV_281	1
HE07P025	ASV_281	0
HE07P028	ASV_281	0
HE07P046	ASV_281	0
HE07P047	ASV_281	2
HE07P048	ASV_281	3
HE07P051	ASV_281	2
HE07P055	ASV_281	8
HE07P056	ASV_281	38
HE07P057	ASV_281	5
HE07P058	ASV_281	0
HE07P059	ASV_281	2
HE07P061	ASV_281	1
HE07P063	ASV_281	0
HE07P064	ASV_281	1
HE07P066	ASV_281	1
HE07P068	ASV_281	7
HE07P071	ASV_281	64
HE07P072	ASV_281	0
HE07P073	ASV_281	0
HE07P074	ASV_281	0
HE07P075	ASV_281	47
HE07P077	ASV_281	2
HE07P078	ASV_281	21
HE10P003	ASV_281	3
HE10P049	ASV_281	0
HE10P054	ASV_281	1
HG00P003	ASV_281	0
HG00P010	ASV_281	11
HG00P011	ASV_281	10
HG00P012	ASV_281	0
HG00P014	ASV_281	13
HG00P021	ASV_281	0
HG00P022	ASV_281	0
HG00P023	ASV_281	0
HG00P024	ASV_281	2
HG00P025	ASV_281	0
HG00P026	ASV_281	0
HG00P028	ASV_281	0
HG00P046	ASV_281	0
HG00P047	ASV_281	3
HG00P048	ASV_281	0
HG00P050	ASV_281	0
HG00P051	ASV_281	3
HG00P055	ASV_281	16
HG00P056	ASV_281	13
HG00P058	ASV_281	0
HG00P059	ASV_281	0
HG00P061	ASV_281	18
HG00P063	ASV_281	44
HG00P064	ASV_281	39
HG00P066	ASV_281	0
HG00P071	ASV_281	0
HG00P072	ASV_281	18
HG00P073	ASV_281	5
HG00P074	ASV_281	1
HG00P075	ASV_281	2
HG00P077	ASV_281	0
HG00P078	ASV_281	3
HG00P082	ASV_281	1033
HS00P003	ASV_281	1
HS00P004	ASV_281	1
HS00P010	ASV_281	8
HS00P011	ASV_281	1
HS00P012	ASV_281	0
HS00P014	ASV_281	1
HS00P019	ASV_281	0
HS00P025	ASV_281	0
HS00P029	ASV_281	3
HS00P031	ASV_281	0
HS00P034	ASV_281	3
HS00P036	ASV_281	0
HS00P040	ASV_281	0
HS00P041	ASV_281	0
HS00P042	ASV_281	1
HS00P044	ASV_281	0
HS00P045	ASV_281	7
HS00P046	ASV_281	29
HS00P047	ASV_281	64
HS00P048	ASV_281	125
HS00P050	ASV_281	108
HS00P051	ASV_281	0
HS00P055	ASV_281	174
HS00P056	ASV_281	18
HS00P057	ASV_281	27
HS00P058	ASV_281	4
HS00P059	ASV_281	0
HS00P061	ASV_281	89
HS00P063	ASV_281	1
HS00P064	ASV_281	0
HS00P068	ASV_281	1
HS00P071	ASV_281	43
HS00P072	ASV_281	37
HS00P073	ASV_281	66
HS00P074	ASV_281	354
HS00P075	ASV_281	2
HS00P077	ASV_281	50
HS00P082	ASV_281	5
HS00P109	ASV_281	0
HS00P110	ASV_281	47
HS00P118	ASV_281	0
HS00P137	ASV_281	0
HS00P142	ASV_281	0
HS00P167	ASV_281	2
HS00P176	ASV_281	0
HS00P179	ASV_281	1
HS00P192	ASV_281	270
HS00P198	ASV_281	57
HS00P201	ASV_281	1502
HS00P93	ASV_281	61
