OTUID	Group_dayE	Analysis
ASV_1039	DSpre	connectors
ASV_226	DSpre	connectors
ASV_128	DSpre	connectors
ASV_1223	DSpre	connectors
ASV_572	DSmed	connectors
ASV_1144	DSmed	connectors
ASV_1134	DSmed	connectors
ASV_862	DSmed	connectors
ASV_281	DSmed	connectors
ASV_104	DSmed	connectors
ASV_138	DSmed	connectors
ASV_307	DSmed	connectors
ASV_67	DSmed	connectors
ASV_1008	DSmed	connectors
ASV_1214	DSmed	connectors
ASV_317	DSmed	connectors
ASV_267	DSmed	connectors
ASV_1187	DSmed	connectors
ASV_490	DSmed	connectors
ASV_786	DSmed	connectors
ASV_1208	DSmed	connectors
ASV_532	DSmed	connectors
ASV_1044	DSmed	connectors
ASV_1116	DSmed	connectors
ASV_297	DSmed	connectors
ASV_1240	DSmed	connectors
ASV_459	DSmed	connectors
ASV_455	DSmed	connectors
ASV_554	DSmed	connectors
ASV_785	DSmed	connectors
ASV_1220	DSmed	connectors
ASV_327	DSmed	connectors
ASV_27	DSmed	connectors
ASV_122	DSmed	connectors
ASV_1011	DSmed	connectors
ASV_813	DSmed	connectors
ASV_723	DSmed	connectors
ASV_270	DSmed	connectors
ASV_11	DSmed	connectors
ASV_14	DSmed	connectors
ASV_291	DSmed	connectors
ASV_843	DSmed	connectors
ASV_940	DSmed	connectors
ASV_422	DSmed	connectors
ASV_495	DSmed	connectors
ASV_392	DSmed	connectors
ASV_897	DSmed	connectors
ASV_1217	DSmed	connectors
ASV_620	DSpost	connectors
ASV_855	DSpost	connectors
ASV_307	DSpost	connectors
ASV_56	DSpost	connectors
ASV_72	DSpost	connectors
ASV_731	DSpost	connectors
ASV_427	DSpost	connectors
ASV_791	DSpost	connectors
ASV_964	DSpost	connectors
ASV_836	DSpost	connectors
ASV_451	DSpost	connectors
ASV_32	DSpost	connectors
ASV_321	DSpost	connectors
ASV_363	DSpost	connectors
