ID	DSpost	DSpre	DSmed	HSpost	HSmed	HSpre
centralization.degree	-1.39615744048189	-1.37897731731535	-1.50891324554453	-1.50219479011945	-1.34151324908606	-1.57713658828516
centralization.closeness	0.204248005740852	0.220029125340377	0.213457313607778	0.180022619847375	0.134872626826714	0.0767777864199302
num.vertices(n)	2.99078269180314	2.98181860717066	2.9604707775343	2.89320675305985	2.89652621748956	2.87390159786446
num.edges(L)	4.20455406013524	4.17172645365323	3.99681802187952	3.68654689906301	3.71449740864981	3.53769319436739
num.pos.edges	4.20455406013524	4.17172645365323	3.99681802187952	3.68654689906301	3.71449740864981	3.53769319436739
average.degree(Average K)	1.51480136394836	1.49093784219086	1.33737723997814	1.09437014151251	1.11900118669349	0.964821592181517
Connectance(edge_density)	-1.47553748590153	-1.49042766467203	-1.62261759012209	-1.7982808796789	-1.77697354804305	-1.90849902032415
RM(relative.modularity)	0.850131442780748	0.816437610893217	0.712280802805737	0.533979625551256	0.54734628285889	0.411562872455069
centralization.betweenness	-1.28180504960343	-1.15444427493226	-0.790908486914455	-0.669074748441198	-0.81941464977241	-1.39191620916441
average.path.length	0.63838054862663	0.710367676599555	0.844985462685057	1.1288639836175	0.888597092014635	0.810825173269116
diameter	1.03389013027822	1.12803780891946	1.32455440828489	1.53392385208221	1.33669109133145	1.28078977911814
mean.clustering.coefficient(Average.CC)	-0.124176107985325	-0.103230310770057	-0.0992114022006059	-0.0966540061938877	-0.0940101805904641	-0.100386794662512
no.clusters	0.698970004336019	0.602059991327962	1.04139268515823	1.46239799789896	1.55630250076729	1.65321251377534
