DS	HS	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	-0.00131713564213564	0.00228309933960089	0.000948918256862425	0.142491569673906
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Unassigned	6.32978132978132e-05	0.00155254949299067	0.000944172327270153	0.149514814276721
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	2.5097125097125e-05	0.00142520001927897	0.000871969326969327	0.112334406446679
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	-0.00145689033189033	0.00265775599099902	0.000854127231598395	0.204219960941282
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Lancefieldella	-0.00201941946941947	0.00250087726600884	0.00084324702367431	0.268918718000108
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.000775743700743701	0.000665459317084704	0.00082333410441317	0.172985184289423
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella	0.000426406926406926	0.0011652749598183	0.000806878239479439	0.12939359111745
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	-0.00140728715728716	0.00212672565652442	0.000774316541917741	0.133395729929416
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	-0.00023042513042513	0.00187890381462363	0.00076726527207037	0.187094671579451
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella	-0.0015233016983017	0.00200648321836402	0.000693910377120237	0.421521571610189
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned|Unassigned	0.000111013986013986	0.00112431498240322	0.000691032188423493	0.0803819067742391
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Unassigned	0.00023974358974359	0.000974852409372533	0.000675953743775885	0.112428711196125
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	-6.1940836940837e-05	0.00124832291891115	0.000667851308278595	0.156505806453474
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	-0.00152107892107892	0.00196524118726131	0.000659580805256782	0.347687779340692
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoanaerobacter	-0.000213311688311688	0.00145399008885851	0.000656516499769873	0.109943753860087
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	-0.00126009546009546	0.00195670862934795	0.00064542236845835	0.257072622828098
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	7.62626262626265e-05	0.00102034348520417	0.000644266598517171	0.427130603765419
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	-0.000417929292929293	0.00133567865742788	0.000639240678805896	0.105256249500622
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcaceae_incertae_sedis	-0.000315151515151515	0.00122294761911635	0.000623778639873093	0.198559855513622
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	-0.000827725052725053	0.00137344231425534	0.000615313471602969	0.296162586053762
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium	-0.00110721500721501	0.00177608258465036	0.000615056913177046	0.236622357492591
Bacteria|SR1|Unassigned|Unassigned|Unassigned|SR1_genera_incertae_sedis	-0.00072506105006105	0.00126367907118681	0.00059386931908671	0.422145297049494
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Fretibacterium	-0.000371439671439671	0.001208736524913	0.000565812000613547	0.199575155771485
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	-0.000502453102453102	0.0011895195877394	0.000555008110461831	0.170074175090862
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Unassigned	-0.00078975468975469	0.00132421891833657	0.000487880563028795	0.232144853372343
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	-0.000614502164502164	0.0010101335540964	0.000483050591476379	0.122578194872157
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister	-0.000513855588855589	0.00107590526088978	0.00042443057903086	0.24707096946531
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	-0.00059996114996115	0.00111492869875223	0.000422992007992008	0.118536212886838
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	-0.0012781746031746	0.00132280578898226	0.000405318463548954	0.234452043413829
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	-0.000593265068265068	0.000959899147979643	0.000373104998989951	0.0908877012928031
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	-0.00125756188256188	0.0015680551616613	0.000358341635043284	0.138036559785823
Bacteria|Bacteroidetes|Saprospiria|Saprospirales|Saprospiraceae|Phaeodactylibacter	-0.000458827283827284	0.000825132710426828	0.000338170713249787	0.156228298320425
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales|Rhodocyclaceae|Propionivibrio	-0.000575407925407925	0.00100798886356162	0.00033547314157154	0.0751634822737924
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	-0.00140004717504717	0.00120624581386965	0.000321458293219912	0.374129692952424
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Unassigned	-0.000530891330891331	0.000728658798202142	0.000315345498968441	0.0840317531409843
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae|Methylophilus	-0.00136932234432234	0.00149720110041317	0.000308317371814341	0.137618663945165
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Shuttleworthia	-0.000383066933066933	0.000834542183598248	0.000307789329524744	0.162100728931148
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	0.000210364635364635	0.000731620993385699	0.000278354334876074	0.178352361774959
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	-0.00126397213897214	0.00138125315946523	0.000262212016381116	0.0910340316142723
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	-0.00114837384837385	0.000893540936187995	0.000257951671849723	0.199019845581266
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Moraxella	-0.000781873681873682	0.000998426335670581	0.000257887845434878	0.16159615028266
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas	-0.000592063492063492	0.000761025086025086	0.000246887894713982	0.104416171268979
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola	-0.000192324342324342	0.000587091503267974	0.000241987840023822	0.115228989728955
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Arachnia	0.000152777777777778	0.000276269928901508	0.000237911943129334	0.0601408970867335
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.000305652680652681	0.000221504127966976	0.000228700839799238	0.0916463384409894
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Nioella	-0.000385873848373848	0.00060415783047362	0.000227046929693107	0.181825058851379
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	-0.000865909090909091	0.000884925690924143	0.00019872116611247	0.0689632445441269
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Agathobacter	-0.000202905427905428	0.000483361328214269	0.000182620519577041	0.133153611439413
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	-0.0019999888999889	0.00150893464550585	0.000169952178422943	0.273234611018415
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfobulbus	-0.000978409090909091	0.000980644600497542	0.000164448956840261	0.0870121313134525
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum	-0.000572533022533023	0.000520647348008029	-1.62189662189666e-06	0.0872548982294903
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium	0.00017972582972583	-8.64962651727358e-05	-8.49176588307025e-06	0.176264362396028
