D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Caviibacter	0.00022984126984127	9.06662581073673e-05	7.53495839469532e-05	0.152278375423143
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	-0.000828571428571429	0.000413333030357866	7.21432082826385e-05	0.131097805148058
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Arachnia	-1.24603174603175e-05	0.000117989633943329	6.30689424017713e-05	0.121383893569288
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	0.000360800865800866	-4.63766845320217e-05	6.24586798752576e-05	0.233624482109489
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Streptobacillus	-6.66666666666667e-05	8.20289855072464e-05	5.85874270656879e-05	0.0904985770886795
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Unassigned	-0.000473174603174603	0.000150585198464657	4.95319555051417e-05	0.364540499979681
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	-0.00125555555555556	0.000331133251247937	4.14679555357936e-05	0.166114546050195
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Metaprevotella	-0.000129047619047619	5.86352829354579e-05	2.43220586968319e-05	0.110005906350399
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas	-6.16666666666667e-05	4.03572657133029e-05	2.06399848985661e-05	0.0323530941136158
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae|Methylophilus	0	0	0	0.00359328227328227
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella	0	5.3018415604228e-06	-1.38777878078145e-21	0.0134278179337003
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax	0	-1e-05	-8.33333333333333e-06	0.000688888888888889
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	-0.000943730158730159	0.000179771347204716	-2.66919752272912e-05	0.197343394385929
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Sporanaerobacter	0.000200238095238095	-8.85362820425413e-05	-3.34613042833945e-05	0.0609408485142823
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	-0.000316349206349206	3.4746592416871e-05	-3.87086600152962e-05	0.0479951895627367
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Limosilactobacillus	-9.95238095238095e-05	-2.20027076466705e-05	-4.55810916772015e-05	0.0671254732156855
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	-0.00131484126984127	0.000287652285837035	-5.21522584877521e-05	0.233870536524452
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	-0.0011415873015873	0.000208896677409128	-5.62118684379003e-05	0.208660299015293
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	-0.000567936507936508	7.98952985165127e-05	-6.30810646602749e-05	0.105868317780006
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Enhydrobacter	-0.000215	-4.80449140231749e-05	-7.97978977544195e-05	0.0130275004903182
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	-0.000902936507936508	0.000108961727344013	-0.000104794816961944	0.248767093608469
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	-0.000400238095238095	-3.85483535623527e-05	-0.000118051890759543	0.0909184215788375
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Johnsonella	0.00212047619047619	-0.000761606044354732	-0.000128207353317512	0.288759878574921
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Catonella	-0.000921428571428571	9.06670680092405e-05	-0.000139225293312881	0.194385380652665
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Kingella	-0.00129642857142857	0.000123997632473268	-0.000147962854481751	0.184774401502186
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	-0.000689047619047619	-1.23038454493563e-05	-0.000150981349984349	0.0853357460362995
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium	-0.000445238095238095	-6.7168530389758e-05	-0.000152556662423939	0.102129249408854
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	-0.000897222222222223	2.50739355692242e-05	-0.000158277478313381	0.273249189909349
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Lancefieldella	-0.000986269841269842	6.11216323647337e-05	-0.000166626531240008	0.160407925355203
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia	-0.000295873015873016	-0.000134612896264532	-0.000170264289842448	0.130698466128356
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	-0.000367388167388167	-0.000109960560894065	-0.000174259974933069	0.200837611606782
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera	0.000294126984126984	-0.000315333578918651	-0.00018896091618242	0.199078747813612
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Williamwhitmaniaceae|Williamwhitmania	-0.000458809523809524	-0.000123388634630053	-0.000190795833795834	0.0619075863314707
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	0.000223174603174604	-0.000239387714138959	-0.000207521022157878	0.284596272010768
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	-0.00105365079365079	-3.82351365972985e-05	-0.000227600146180519	0.219654131484667
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium	-0.00106238095238095	-5.91597519305152e-05	-0.000230935010975661	0.154674559082415
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Eikenella	-0.00241134920634921	0.000356227538110026	-0.000234446093227154	0.200256920679046
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	-0.000884126984126984	-0.000147841132539208	-0.00024864454423227	0.265830969751936
