feature	ko05340	ko00564	ko00680	ko00562	ko00563	ko03030	ko00561	ko00440	ko00250	ko00740	ko04111	ko04940	ko00010	ko05412	ko00195	ko03450	ko00760	ko00920	ko00311	ko00310	ko04146	ko00600	ko04141	ko04142	ko00604	ko04260	ko03040	ko04110	ko05142	ko00513	ko04973	ko00510	ko05110	ko04974	ko04976	ko00450	ko01051	ko00565	ko00524	ko00300	ko05222	ko00514	ko05416	ko00260	ko00190	ko03440	ko00750	ko00950	ko00592	ko00591	ko00590	ko00061	ko03070	ko00253	ko03060	ko00380	ko00500	ko05120	ko05322	ko04964	ko04962	ko00625	ko00624	ko00627	ko00626	ko00621	ko00620	ko00623	ko00622	ko00270	ko00940	ko00941	ko01053	ko00100	ko00945	ko05016	ko00071	ko00072	ko05219	ko05215	ko05211	ko05210	ko01055	ko04910	ko00531	ko00360	ko00633	ko00630	ko00363	ko00364	ko05130	ko04115	ko00121	ko04914	ko00430	ko02010	ko00130	ko03050	ko00361	ko00040	ko00730	ko00362	ko01040	ko00603	ko03018	ko00281	ko00280	ko03013	ko04626	ko05200	ko00601	ko03015	ko00312	ko05020	ko05143	ko00523	ko00520	ko00521	ko05146	ko05145	ko05144	ko00052	ko00053	ko00051	ko00401	ko00400	ko04020	ko00350	ko00480	ko00643	ko00642	ko00640	ko00720	ko00960	ko02020	ko00120	ko00965	ko03008	ko05414	ko00290	ko04614	ko03410	ko05010	ko05012	ko00980	ko00410	ko00983	ko05150	ko00791	ko00790	ko05131	ko00020	ko00710	ko02060	ko00340	ko00785	ko00550	ko00650	ko02030	ko03320	ko04612	ko04621	ko04622	ko00910	ko00460	ko00830	ko00780	ko00511	ko00970	ko00030	ko04972	ko00232	ko00230	ko04122	ko00540	ko05014	ko00660	ko03020	ko04512	ko00982	ko03010	ko00140	ko05100	ko00860	ko05410	ko00330	ko04080	ko04514	ko00908	ko04930	ko03430	ko00906	ko00900	ko00901	ko00903	ko00471	ko00472	ko00473	ko05111	ko04510	ko04810	ko04210	ko00240	ko04011	ko00944	ko04113	ko04070	ko03420	ko00770	ko02040	ko00670	ko04920	ko04144	ko00930	ko04112	ko04075
HS03P050	41410.9	452454.31	663731.91	58879.9	151	545324.04	228773.84	32079.7	569952.35	205569.09	10	43478.17	645237.34	3	240773.94	57.4	335733.12	173357.39	362.46	80632.12	128871.94	64005.02	51300.25	32272.44	21633.6	2401.5	118	10	5528.49	97	19656.05	26328.76	409	20993.9	4	264905.65	62721.26	9130	34530.15	328480.22	884.5	15	884.5	494808.2	684415.3	800540.14	134936.31	49329.34	3084.91	29109.27	41961.91	345755.77	545386.84	71496.47	487526.09	92301.47	433706.51	67530.01	24	19340.15	15.2	55770.27	11.42	119957.89	75044.19	7622.18	608617.5	80608.07	4564.36	577231.75	34802.49	10330.37	14559.15	0	9422.37	21463.02	156001.89	21471.8	77.34	32895.14	8960.57	884.5	46009.53	56103.99	27033.2	91723.87	31305.82	239147.19	28907.41	15.12	0	884.5	1921.34	32895.14	88063.48	2159464.62	130517.78	243.5	222.49	152206.86	244936.67	122237.41	67097.97	33887.63	376145.91	6742.19	142137.15	51604.1	122639.52	42740.21	0	8	202.43	3710.8	5528.49	133161.89	818859.05	220521.83	3582.64	884.5	0	313569.43	35965.24	435363.39	81711.39	491750.16	0	160952.45	177449.85	25888.66	62075.77	311936.45	557173.67	71053.81	707143.39	1921.34	0	41032.73	3	309261.98	0	291001.31	44513.41	3286	2696.75	102798.07	208578.56	2186.02	277.92	273143.1	0	407123.28	486035.46	173530.63	274269.65	31483.52	618787.29	369117.58	241262.82	107552.69	32895.14	37601.31	183.81	498238.55	117586.79	6297.76	129541.33	91614.45	937307.21	488744.87	0	0	1727362.08	196070.69	406460.66	8053.44	114304.25	411787.83	3	2696.75	1996742.43	6144.64	163.74	731630.94	3	516455.52	0	3	52932.53	42340.85	689261.42	1823.5	426459.77	0	67341.99	139048.96	2961	92321	70689.06	3	3	23029.45	1444828.39	34200.09	2	13653.6	66061.26	329313.32	339681.4	294128.72	431270.71	83092.64	0.2	237.2	421836.08	0
HS03P051	53519.44	638383.87	902696.33	88376.79	7	736729.66	292463.97	42822.63	781252.06	272813.16	3	51661.02	893396.45	72	384026.2	23.8	414213.93	302185.47	4880.7	112389.91	166346.35	40623.27	30156.81	24186.57	13213.37	26831	7271	3	1842.47	11	8937.47	16362.61	1015	8249.9	15	359094.83	77899.47	81.25	38868.21	515301.54	484	18	484	703875.49	1018889.75	1058192.47	185751.73	78874.47	10820.4	49057.6	45597.33	493342.51	924282.3	146926.32	639091.76	145314.17	580347.12	84142.95	438	36631.08	0.4	86873.15	556.67	170653.45	113725.72	34952.99	1009237.39	98714.23	15633.72	922557.85	32163.14	22334.64	16840.89	0	21223.91	68053.97	223344.35	32801.59	1276.4	26761.11	19681.75	484	61614.24	67307.22	17661.17	151765.94	37432.55	322228.03	49646.27	120	0	484	431.92	26761.11	122526.11	3256379.83	185986.05	1649.17	1141.97	157868.81	347058.79	197812.25	79378.78	19221.77	493286.61	11975.15	234964.83	59163.99	134867.43	46926.86	0	7268	3548.7	12393.59	1842.47	171995.05	1102966.88	281706.88	1034.75	484	2	413160.55	55531.53	530407.9	137720.88	713118.61	0	250868.19	287090.07	73346.13	69624.76	519628.93	702618.68	106555.37	782115.64	431.92	0	61565.5	72	497876.6	0	412204.5	84026.71	27315	38219.94	135390.75	253579.3	17706.9	567.5	334746.36	0	514883.72	609754.06	443996.5	382986.44	35049.97	782271.92	597199.98	80378.98	125451.13	26761.11	30259.61	904.25	749349.34	164248.03	25690.84	203608.19	60614.33	1246884.99	684049.47	0	3	2326455.57	320203.8	689499.25	27660.09	183019.17	440341.99	72	38225.94	2548917.65	840	1022.02	1069677.26	72	695513.25	1	72	51730.54	48222.39	911063.21	7834.25	534633.01	0	71301.02	176075.22	6499.33	135783.98	50765.42	72	72	6833.1	1869786.54	66604.54	3	2317.82	128375.26	407813.61	461946.46	45822.79	560390.83	86458.44	6.8	1581	503929.28	0
HS03P055	56618.31	407722.56	608312.15	66395.5	2	588836.87	173750.82	29659.24	670641.22	219880.72	3	49003.38	647232.41	1	320584.07	18.6	395303.36	148686.55	409.29	60803.84	129402.09	61371.47	62773.62	46768.63	29656.73	1151	118	3	135.98	7	29192.48	38298.3	44	53729.1	3	246832.9	55621.04	6.25	40735.54	373781.74	221	46	221	555826.77	867856.04	884736.88	160515.27	42731.38	589.65	17125.48	68857.38	312390.28	496844.61	28227.5	487338.42	87010.15	506951.4	94958.8	223	10365.59	2.8	27936.46	10.33	81250.23	51924.79	8800.77	542139.01	100073.37	5624.01	584213.67	33385.78	10499.18	29044.53	8	7145.51	14893.58	123552.37	13380.17	18.8	35571.58	6469.48	221	45581.65	42673.67	45408.33	67636.89	13786.96	218180.8	17129.81	18	0	221	2424.78	35571.58	96521.6	1478148.09	190562.21	23.33	359.73	163214.56	315670.56	93644.12	53508.61	41342.83	392138.32	5213.65	129795.94	43465.91	99956.7	42262.06	0	115	79.03	544.78	135.98	155347.84	856608.47	257403.78	2779.75	221	0	293491.51	50403.88	532908.4	62037.77	500542.58	0	113403.07	181525.58	15687.36	42825.79	267037.76	673198.29	55882.74	441461.91	2425.78	0	42634.03	1	332973.54	2	368884.26	43834.58	1372	2806.79	154133.97	281761.36	8881.16	387	348547.76	0	566311.55	527949.45	112822.73	261607.05	31385.62	692958.46	356039.2	72596.87	94285.75	35571.58	67252.08	56.25	539445.87	146400.05	10958.44	100632.39	116423.93	1016649.11	479248.91	0	0	1910898.17	115060.56	514817.76	3049.28	140803.89	555617.91	1	2810.79	2210924.17	2800	1382.76	591251.04	2	475188.28	16	1	68774.77	40180.91	778288.31	343.75	480533.31	0	44076.6	143156.9	3073.67	98302.68	72177.39	1	1	53178.8	1674982.67	20752.79	5.2	115.98	53752.15	379559.46	407383.67	65087.33	512641.62	82045.42	1.46	117	475281.62	0.2
HS03P056	58961.95	507806.75	713886.16	72132.12	10	681278.11	209451.52	17004.71	865524.24	275626.91	8	52461	799676.07	6	376770.39	52.74	430165.99	227495.51	523.12	66495.9	177580.55	170823.93	73878.64	141584.68	84284.34	6390.51	1309	8	360.89	0	35758.24	41524.51	98	63186.9	14	294353.59	62679.84	34.5	60240.43	486367	100	432	100	658672.24	1054662.29	1005064.93	219409.16	86132.47	2461.26	20403.02	83854.5	405082.96	576517.4	41167.15	577572.59	80937	745998.92	94732	1959.14	10454.95	0.2	32982.3	37.9	98638.07	47927.62	7115.98	648781.6	119727.83	5142.04	820354.57	97817.54	8538.99	33879.36	34	6164.65	36086.14	148969.23	11063.86	47.81	42323.55	7431.71	100	49628.74	52480.75	140451.32	132765.76	14375.42	290807.5	20428.62	133.62	0.33	100	586.3	42323.55	123319.95	1615113.28	233259.76	95.16	618.27	353115.15	302259.09	89119.07	83711.27	117561.91	450465.36	7311.47	139797.01	57763	119824.39	49855.26	0	1300	277.93	950.08	369.06	177485.95	1166280.74	305062.83	8173.14	100	8	468386.07	67140.55	704546.33	128159.62	657001.37	0	171681.01	224548.48	21972.92	33683.7	312509.27	771732.9	120876.8	511752.22	591.3	0.17	51024.26	6	414278.16	15	402126.69	58410.47	6490.51	9137.89	174462.25	331693.05	11936.05	264.43	375932.33	4.99	598560.77	658987.59	123391.36	253896.55	28907.78	793015.85	393220.57	86425.93	127460.48	42323.55	57449.38	188.97	612731.51	248519.47	36769.76	104793.3	307922.74	1144645.38	618048.96	0	4	2187984.97	138843.03	543043.82	3500.87	122354.4	638435.81	6	9156.06	2532978.37	8123.78	1041.58	703583.1	10	601812.19	0	6	79384.32	47571.89	862736.43	2962.5	532931.78	0.17	35094.59	159022.96	2540	112157.72	88056.2	6	6	68117.64	1901406.61	27171.73	84.33	257.36	70218.15	434365.83	528758.41	71366.88	589269.21	107398.74	1.46	173.5	528436.79	0
HS03P057	51957.46	517985.31	749662.76	68116.44	9	682551.53	227296.5	25537.1	770769.56	297432.49	13	60981.77	760702.3	3	356413.89	23.2	434572.32	249466.95	1175.19	89957.21	146689.86	97426.36	55984.73	60086.34	45377.79	1072.6	89.2	13	510.83	2	23551.14	43289.11	72	44953.7	9	342669.98	73582.68	1	42157.02	469313.51	284	334	284	662052.48	912481.63	1005354.71	184018.59	73412.38	848.2	29435.42	67545.61	381512.31	617069.75	52310.79	585676.69	104316.27	579130.56	94258.16	142.2	20214.11	0.6	38013.27	22.33	141272.44	77456.07	11394.51	721873.93	101830.92	4696.52	816115.51	33478.65	22804.5	27414.5	16	13296.83	27125.94	155120.15	23911.3	63.6	38288.45	10398.7	284	54814.59	48803.64	56136.64	115602.36	31408.15	282022.9	29465.75	35	0	284	1033.34	38288.45	120294.32	2367612.98	195373.16	89.33	313.93	156163.47	341847.96	154898.04	67084.03	63276.46	465945.37	10065.2	195242.63	56090.34	124049.34	48971.15	0	63.2	202.19	2139.5	510.83	169564.62	1040823.69	275846.88	5419.5	284	0	386562.66	67258.74	574321.46	105475.03	622273.98	0	181445.73	216611.93	29044.5	63663.82	357980.03	731992.23	94594.88	613865.95	1033.34	0	50234.2	3	459889.89	0	389102.61	50731.23	1356.6	2289.13	170118.35	288494.95	9060.4	132	402008.43	0	553147.47	627297.74	208476.9	320317.76	36538.05	778446.22	497156.31	99761	109551.72	38288.45	58400.95	108	640224.24	149787.23	5942.43	173351.58	150021.4	1173867.07	580889.23	0	3	2213067.16	199344.67	638727.14	7936.2	165492.51	517910.2	3	2292.13	2541729.56	5558	2107.71	983889.76	3	621172.61	0	3	70297.02	45299.27	873407.93	847.2	554876.25	0	64504.49	177587.59	6593.33	123055.47	80967.4	3	3	41519.7	1854674.62	43053.95	44	476.33	72252.85	410490.64	486857.86	76421.85	572454.94	88095.63	1.94	61	529621.9	0
HS03P058	49287.03	523312.82	617577.74	88700.9	12	558841.01	210169.89	49436.61	629875.95	192415.6	1	36637.23	680506.75	234	278621.18	16.66	351900.14	310297.54	2449.92	67034.21	144518.67	32162.33	11236.31	14914.56	10122.45	48284.09	12966.2	1	577.72	0	7030.1	9433.04	290.33	8532.01	44	270808.29	42727.98	16.99	25244.59	457658.05	211.32	49	211.32	574935.16	939453.32	790195	151938.72	54360.5	16300.57	12991.96	40498.69	467255.11	747253.66	109742.74	503053.19	112413.47	392020.58	59648.77	15644.2	17969.59	0	50267.56	378.31	70178.73	60791.13	21685.77	792933.13	133538.08	16362.29	680328.42	5030.86	2352.45	16289.51	16	1746.45	87251.85	129628.72	8217.54	309.88	6990.09	26654.01	211.32	33157.43	62969.41	12578.21	119324.13	40166.87	337323.39	13374.01	231.88	0.67	211.32	516.84	6990.09	99829	2033757.92	231096.35	636	1313.77	103477.82	258248.95	49715.93	95843.26	14704.06	401582.98	18114.63	157348.78	59538.38	104174.59	33855.42	0	12911.2	1331.71	7652.72	578.72	105332.64	730113.48	201818.09	1915.05	211.32	3	236212.65	39131.66	315914.07	127073.52	650746.92	0	170482.92	352466.94	35840.87	8485.36	362973.13	667137.68	86428.48	619207.69	518.84	1	59331.96	234	507613.21	5	364630.2	100249.76	48495.41	74466.27	121279.31	182889.79	11482.78	737.64	266848.99	8.71	585089.32	467053.23	232036.72	254874.61	57139.99	599922.67	390897.92	36507.79	90841.66	6990.09	11492.43	899.22	609429.47	133491.42	20382.45	138548.93	47575.21	883844.61	539198	0	0	1782080.59	223506.44	564022.51	18826.29	200876.72	317666.55	234	74474.6	1809594	1637.06	767.27	537456.94	236	610923.54	0	234	39345.46	35029.59	667490.24	16172.03	363755.22	1	9591.75	110912.63	2354	87510.55	70092.23	234	234	9073.24	1415615.72	33094.53	96.67	636.75	125922.01	324254.73	420798.01	14278.56	406752.42	63532.77	6.08	371.65	383344.71	0
HS03P059	56498.69	663901.63	1015849.48	78566.96	15	850254.23	331414.15	43958.7	972320.94	403562.63	1	74035.77	1020273.96	13	453034.63	104.06	498670.93	376838.21	1151.6	124650.04	189055.55	107433.54	54826.93	71524.41	45196.41	5806.99	691	1	2173.75	0	19201.06	48457.99	509.33	34671.5	62	473085.87	106564.45	30.99	51213.44	637684.29	936.32	778	936.32	848815.46	1124152.67	1247312.44	214990.16	98090.82	2769.41	41786.46	67736.81	534955	878983.79	88370.64	769493.92	142246.38	726591.85	113464.19	1012	33281.21	2.2	64741.67	113.66	186709.12	113730.25	25659.74	1032839.7	118144.12	12372.6	1148815.44	64403.13	29427.55	29286.42	7	18946.55	46863.71	220115.56	42508.35	193.86	39735.75	18748.08	936.32	68856.82	67792.84	60998.91	169609.71	61546.98	399912.08	41901.12	419.64	0	936.32	1613.34	39735.75	149488.42	3494028.08	230935.57	311	969.98	216650.2	409030.65	243928.71	91748.19	65413.49	585389.75	7725.03	285769.3	60233.39	162128.21	59420.15	0	511	373.44	2870	2173.75	207339.01	1324534.01	324720.05	8538.83	936.32	0	513272.21	97871.9	699199.86	155284.6	865043.79	0	267194.47	273955.16	44982.61	93517.27	507415.65	904748.66	134499.71	861771.96	1613.34	0	63567.19	13	697213.06	0	479821.15	68501.87	6743.31	10478.23	201646.91	318644.69	5552.12	744.99	471737.64	0	670472.3	780876.82	387128.81	498739.58	45526.13	947376.75	680055.44	131156.61	139998.8	39735.75	47854.75	180	845713.54	205033.57	14426.84	234808.76	161805.46	1484964.53	778119.44	0	0	2746898.88	277443.82	857309.55	12897.32	245280.17	610863.11	13	10490.56	3134048.17	2683.5	159.4	1521077.24	13	894535.05	0	13	77019.19	58858.73	1087764.49	3059.33	699151.82	0	94406.43	227083.25	12560.99	158091.91	82784.77	13	13	33763.82	2273188.31	66583.78	2	386.25	101108.31	501510.37	652773.15	104797.58	713763.84	109612.6	1.52	506.64	650967.14	0
HS03P061	60370.61	599027.75	735519.44	112188.36	6	619969.91	228922.14	63866.55	731653.78	206056.27	0	42656.58	780901.31	321	316651.94	12	376779.06	341999.85	2495.55	84756.25	181035.36	23329.66	5707.35	9104.94	5258.6	72871	166	0	2859.36	0	3689.51	6399.84	218	3231.43	21	291487.62	43800.5	100.5	29223.56	544767.51	1000	26	1000	675543.4	1151394.84	887554.84	181139.18	60170.07	25387.6	7388.96	27075.67	550960.02	797009.38	138402.53	580057.49	163103.66	404797.6	63858.48	23305	26283.43	0	72276.17	2505.81	80209.21	89103.95	36639.23	939974.23	169036.61	13986.85	784079.55	4249.82	486.37	22662.4	1	2806.7	120332.04	146544.39	8851.31	902.95	3624.54	35862.63	1000	38635.33	76269.92	6607.06	148241.95	39998.96	406403.48	9943.07	988.62	0.33	1000	482.5	3624.54	110836.95	2266860.49	250549.87	3107.16	2445.44	118819.01	277785.57	53154.91	118135.73	8439.12	472065.54	26834.17	158194.92	50758.47	77130.77	40487.17	0	165	1610.14	7944.45	2859.36	132958.54	758095.59	249733.27	1320	1000	1	248829.11	44315.35	301532.02	137456.61	743018.53	0	225242.09	372832.34	50253.21	3006.49	394662.13	787641.36	101784.81	751573.29	482.5	0	74930.96	321	608780.28	0	415723.34	139760.13	73871	77352.28	127622.53	168749.17	18824.45	1810.48	296716.96	4.29	719785.88	520555.16	253086.85	315259.95	75169.93	682710.35	439131.96	40181.18	84588.65	3624.54	5512.87	953.95	637167.02	163401.68	49107.61	152056.96	30155.38	994140.32	603983.03	0	0	2004981.93	257468.99	609310.54	38753.57	240939.01	346993.15	321	77397.28	2112886.29	746.95	213.34	533768.08	321	739890.81	0	321	41353.32	39027.29	729804.28	24785	396903.82	0	7283.87	123873.78	1075.34	91346.93	81368.97	321	321	4502.35	1573973.02	36086.73	0.66	3120.83	153248.01	316540.1	495730.14	24942.84	458327.47	67718.55	12.4	1535.14	432374.6	0
HS03P063	76110.24	636208.51	1047897.92	110572.16	75	950229.28	292474.45	34832.16	1122440.96	368644.17	46	73924.49	1117099.47	35	449398.74	911.14	680322.07	268796.2	3353.82	120686.91	230140.61	155067.6	101583.93	92815.33	61646.69	5714.01	129	46	3315.19	3	44758.14	54666.99	881.17	75415.97	37	413489.99	106822.5	2287.88	75327.86	724755.91	1997.18	76	1997.18	921611.1	1290308.03	1378886	280991.55	89799.04	4440.89	39192.38	91259.64	507390.95	829490.75	58442.55	824494.92	132679.08	935842.79	126694.3	412.43	15916.75	5.4	75179.13	1690.83	147586.32	82288.48	19327.54	926528.8	163201.79	15792.94	1013151.23	76088.03	11890.02	33827.18	16	7945.19	43704.83	231313.79	33320.41	1727.09	59316.49	12560.01	1997.18	71033.32	81539.54	87893.94	173361.12	23111.45	435720.68	40992.94	6269.76	0.33	1997.18	1530.18	59316.49	153527.05	2631425.09	263646.67	784.84	6185.11	307356.84	410397.18	161242.25	113303.99	91544.14	653223.33	30114.17	256891.39	87024.82	178701.48	73873.68	1.6	122	691.37	2594.6	3452.19	247056.75	1530868.59	417433.19	6500.72	1997.18	0	650746.41	116203.23	940530.26	151555	883439.07	21	227698.9	286247.34	24953.55	45843.45	483260.13	1063855.11	138378.44	922002.13	1539.68	11.5	72453.5	35	533986.77	156.5	541969.35	79514.16	7690.19	15137.87	219732.72	432780.03	21514.57	3522.44	552831.79	11.44	792578.17	893461.07	375740.28	453318.56	66963.27	1090547.14	619761.05	221414.93	173181.97	59316.49	71976.66	1033.84	808025.65	251062.7	28128.12	200445.95	258572.44	1603642.26	885044.62	21	2	3075545.78	225497.05	662405.2	7094.3	166456.45	798547.66	14	15587.54	3579551.46	3398.4	956.27	1010514.21	52	882762.16	1539	14	105509.12	63421.23	1167886.39	1558.92	741214.98	11.5	48282.79	224021.51	3961.67	161646.05	119683.1	14	14	60670.73	2641698.75	40844.41	30.4	2875.67	95688.32	579380.62	665283.53	245776.37	795389.3	138992.31	8.06	5461.5	750932.13	0.4
HS03P064	91214.51	591282.21	1111643.76	89806.16	3	881919.24	265783.73	78828.91	1023095.19	389767.3	0	64959.27	1200703.01	8	476796.48	14	433515.19	524596.36	862.31	113397.69	213796.74	62530.92	34545.78	36761.03	20728.19	33203	1290	0	7704.46	0.5	34672.08	32059.85	7906	18192.9	61	542271.21	131731.95	88.12	51295.08	869048.59	809	16	809	877979.16	1288977.18	1230300.93	199720.08	69526.61	14560.36	25316.59	25900.86	603761.64	1020630.93	190224.58	829810.45	106559.73	859443.93	101127.54	2481	24466.14	0	89946.13	207.58	91833.92	81387.21	47610.4	1186742.57	122913.44	29091.93	1055828.19	30448.93	4440.47	35924.39	0	3496.81	102297.33	169525.53	33262.38	1255.12	22888.91	13329.05	809	52467.02	126905.51	26718.09	174874.56	24265.91	449709.3	26004.17	190.96	0	809	217.2	22888.91	127301.8	2831503.22	228495.04	5782.84	1344.14	203751.35	336107.47	90812.81	120843.34	29531.53	530542.98	11221.47	214919.39	59943.05	136405.15	37026.96	0	1261	393.37	8801.99	7704.46	197658.47	1430193.12	316833.72	6436.5	809	0	662745.86	129134	766532.2	183950.88	1003247.16	0	231487.79	213040.68	15486.71	16309.44	493689.55	894378.15	161124.68	773212.42	217.2	0	67576.19	8	810802.1	0	550626.49	100400.31	34012	37272.15	160278.35	319089.37	4549.17	12127.98	406894.95	0	691396.46	781727.3	758189.14	627886.39	57217.42	931301.87	563498.76	120122.25	104818.48	22888.91	25223.58	888.79	805039.64	182783.64	35283.05	158790.58	94195.09	1456765.74	818487.99	0	0	2745080.45	320834.76	697179.01	23601.61	252333.55	538119.8	8	37355.15	3044315.37	3425.12	564.85	1389362.19	8	1071371.68	0	8	67188.01	60444.43	1064707.95	2865	584951.49	0	20920.68	197288.45	9478	156897.37	79777.03	8	8	12335.02	2336037.26	65557.41	1.2	5692.59	122964.99	497795.57	661151.22	112981.92	673103.76	86271.4	3.8	4021.1	681904.77	0.2
HS03P066	103397.49	1018549.78	1488276.72	125097.94	4	1194566.25	407760.43	38847.78	1353375.44	502975.35	4	102571.88	1446719.23	2	621013.54	523.06	768942.35	484345.74	1956.62	152893.87	294745.37	248496.8	90816.35	156603	117169.03	7984.99	1021	4	2149.61	2.5	32639.72	62735.22	382.33	69668.51	137	567951.66	117048	85.86	80812.34	857224.15	1195.32	2624	1195.32	1221088.65	1588845.88	1747718.7	355168.85	126958.62	4841.06	48143.7	121590.16	750911.19	1119382.09	138192.19	1056675.48	197080.98	1173325.57	153561.16	1749	26695.74	1.2	73685.58	1778.61	236669.98	105455.75	18084.91	1381579.58	169190.28	14472.93	1418641.96	70268.85	39132.52	40884.78	27	20658.02	68950.2	282089.9	37826.57	225.47	67379.75	21230.52	1195.32	98166.97	120890.96	140243.94	221272.64	52852.14	531089.7	48434.76	931	0.67	1195.32	6297.26	67379.75	217197.36	4423618.32	303378.11	520	2479.26	344017.37	641819.39	203194.14	145954.01	167956.93	822208.59	12931.02	311058.15	113609.72	232468.37	89805.59	0	1010	654.12	10509.69	2160.11	305131.39	2053935.24	494272.35	12971.15	1195.32	1	794536.01	98313.87	1021318.23	208816.9	1160270.11	1	317235.17	462989.37	57822.76	84667.04	639892.05	1248569.52	182677.93	1260041.48	6300.26	0	96253.06	2	916569.47	7.5	705131.94	97021.51	9179.31	13830	265835.47	517178.44	20305.61	2341.18	648170.03	8.71	912291.98	1087060.85	421854.79	499990.76	70443.01	1383079.99	834028.91	281157.02	213955.57	67379.75	89163.92	331.69	1119570.14	297929.03	12492.91	284703.08	373952.16	2017510.19	1071652.42	1	0	3924053.56	418308.09	1008651.05	29104.45	317658.29	911964.63	1	13867.33	4426877.68	12389.45	3173.56	1535727.84	2	1088371.18	3	1	116797.29	83170.34	1509206.28	7557.08	953568.48	0	86747.05	294638.79	3384.99	209254.81	154936.86	1	1	79302.36	3280097.76	75920.54	4.67	1957	154107.54	705977.8	878326.97	258893.63	981795.33	154733.57	2.12	1808.93	912546.52	0
HS03P067	73734.35	637712.14	1048152.49	119499.53	8	953285.66	307838.47	61672.46	1094062.67	376900.98	11	67975.53	1204325.66	145	500134.29	15.24	575154.23	403898.22	3790.18	113246.09	244823.37	134193.36	59186.89	105347.26	60807.24	7211.01	45	11	5763.71	108.5	44291.79	46815.51	229	50809.53	100	493999.26	107334.53	270.75	58024.44	806738.34	1219	10	1219	933175.42	1270520.24	1354561.48	243060.03	88383.43	4968.49	23611.57	68554.56	568347.96	885696.5	104898.99	854354.88	120671.53	888090.46	113198.95	987	18441.24	2.2	68610.52	213.82	86688.77	60863.16	32394.85	1075766.9	156965.32	18347.07	1191377.79	82388.29	4594.15	47987.77	0	4555.01	65231.18	193669	31966.47	2876.15	34032.39	24049.66	1219	54827.89	89801.8	88918.5	164788.17	52241.25	441599.27	24450.01	748.32	1.33	1219	3858.91	34032.39	150036.06	2801483.94	305006.96	3531.99	4261.59	273875.54	384221.36	126546.26	116273.79	84808.01	635837.08	12301.77	258309.52	70103.74	158399.89	59301.05	0	32	2643.34	5018.2	5766.38	191271.72	1555240.85	337964.57	4081.25	1219	0	674269.05	123335.96	842925.28	176493.25	997157.94	0	206498.11	303440.1	12823.79	19036.38	510900.69	1021361.93	148797.28	830033.93	3858.91	0.17	75650.82	145	715311.1	1	571290.35	77930.25	8430.01	21255.73	203219.91	419750.99	19081.8	1412.49	507686.57	17.29	806100.94	850405.27	545467.14	485278.36	65734.47	1074311.61	601132.37	108826.07	146730.85	34032.39	38430.56	3486.04	869355.98	253758.82	26810.75	204702.69	233222.33	1593123.16	890095.6	0	0	3114217.63	280144.96	784345.87	17072.83	254022.8	676824.81	145	21288.4	3461460.27	3552.12	1403.85	1222276.41	145	995604.45	278	145	89157.01	62453.12	1156071.1	2086.25	693254.13	0.17	21429.35	214509.43	11789.16	170771.8	95105.77	145	145	39510.35	2667569.67	52894.26	9.66	5051.96	108284.71	554521.08	724497.38	83534.36	765708.57	122657.81	25.2	562	719793.16	0
HS03P068	66872.77	704586.53	1075042.58	139184.89	39	875574.94	367597.93	70313.49	960457.47	338973.45	5	71224.8	1129662.27	253	466396.98	10111.06	518425.55	413951.33	12824.86	176311.06	255101.04	127715.44	56679.84	70439.34	44860.94	18648.49	369	5	2912.53	7.5	20984.82	33829.95	5180	27940.37	75	470500.11	86463.08	15081.37	41362.41	740894.75	20392	67	20392	938945.22	1314874.72	1231056.91	221604.67	78287.24	13103.57	31354.07	74303.9	621044.72	973380.22	118974.88	812515.7	236328.81	755948.54	93581.31	545	30232.95	2.2	100909.03	10578.03	197930.88	81017.51	52104.69	1176545.63	202406.2	33854.57	1171984.9	44211.06	5382.95	39853.23	5	4389.22	99141.65	328829.85	100454.03	12094.17	27346.26	30996.65	20392	47586.17	84427.95	58893.78	265569.93	85779.93	628824.49	41971.5	41008.75	36.67	20392	4068.88	27346.26	149752.63	3774097.85	366274.95	3522.33	45196.22	258893.03	425288.21	356685.8	161862.7	71523.86	618923.13	86336.63	415754.95	68101.31	164876.11	78734.91	102.2	181	6037.14	14879.66	2945.86	147915.8	1453397.55	271617.76	14374.35	20392	22	618076.96	171210.01	741811.21	173828.34	973189.04	38	308036.93	401909.82	47559	33193.64	672091.6	1061894.98	150962.5	1476106.01	4070.88	5.33	76365.67	253	767448.68	34	561102.14	99856.56	39002.49	67741.06	227763.68	370308.14	42016.29	19259.37	469686.44	476.71	810498.8	745096.89	528309.06	455539.2	66361.56	970051.92	810639.8	285675.56	188008.85	27346.26	38579.1	4277.89	1035858.97	208594.78	28409.44	213427.91	186690.84	1441094.52	859725.34	38	11	2978594.37	369235.42	741970.62	52603.45	308297.83	602930.52	215	72787.39	3080955.66	8501.74	1584.53	1079337.25	257	978417.94	86	215	70684.31	67706.86	1060228.15	6252.75	657581.11	5.33	55033.89	199069.61	16075.67	166581.36	107546.95	215	215	51787.14	2375925.88	54181.12	97.6	3767.67	116889.84	496668.8	718434.82	280155.24	681213.36	121733.36	252.54	41535.61	656295.27	2.6
