D	I	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas	0	-0.00025	-8.18181818181818e-05	0.0131210526315789
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Centipeda	-0.00059047619047619	0.000407142857142857	-0.000104437229437229	0.098957384780682
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia	0.000119047619047619	-0.000233333333333333	-0.000122655122655123	0.0837920724700136
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Streptobacillus	-2e-04	0	-0.000125	0.016233961128311
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia	0.000164285714285714	-0.00122380952380952	-0.000180555555555556	0.0856045110118639
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Williamwhitmaniaceae|Williamwhitmania	-0.000125	-0.000333333333333333	-0.000181818181818182	0.012653173374613
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	0.000416666666666667	-0.0012	-0.000198412698412698	0.0761313123151358
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	-0.000801190476190476	0.001	-0.000202417027417027	0.168003098870514
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	-0.000198809523809524	-8.33333333333333e-05	-0.00023961038961039	0.10413003075356
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium	-0.000166666666666667	-0.000366666666666667	-0.000306818181818182	0.0236599817279384
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0.000992857142857143	-0.00218333333333333	-0.000345887445887446	0.149071972832809
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister	0.00120952380952381	-0.00243333333333333	-0.000379689754689755	0.0927471500034193
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	0.00115119047619048	-0.00296666666666667	-0.000406385281385281	0.114728478968572
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga	-0.000382142857142857	-0.000266666666666667	-0.000412626262626263	0.0920277639285379
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Paludibacteraceae|Paludibacter	-0.000392857142857143	-0.00045	-0.000416666666666667	0.0293435993830731
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Unassigned	-0.000323809523809524	-0.000616666666666667	-0.000429292929292929	0.0450075258075258
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	-7.5e-05	-0.00105	-0.000472438672438673	0.0550748739134962
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	-0.000573809523809524	-0.000683333333333333	-0.000616594516594516	0.152678652290262
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Catonella	-0.000875	-0.000333333333333333	-0.000682178932178932	0.10217736485221
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	-0.000833333333333333	-0.000533333333333333	-0.000682478632478633	0.0376736899323587
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	-9e-04	-0.00116666666666667	-0.000705952380952381	0.0989644789850672
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema	-0.00106428571428571	-6e-04	-0.000720634920634921	0.137222268984885
