ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_11	-0.927	13.026	0.183183212612925	0.452413771322063	NotSig	0.585	1.28	0.422	1.033	0.423	4.006	0.638	2.477	0.642	0.939	0.218	1.195	1.22	1.39	0.061	0.063	0.049	0.049	0.461	0.63	0.107	0.053	0.082	1.341	0.865	0.095	0.05	0.023	0.015	0.069	0.059	0.291	0.073	0.067	0.135	0.041	1.201	6.631	1.62	0.677	0.075	0.312	0.124	0.38	0.425
ASV_44	1.17	12.433	0.187018358174308	0.452413771322063	NotSig	0.396	0.271	0.501	0.31	0.024	0.026	0.211	0.135	0.268	0.05	0.07	0.047	0.064	0.008	0.512	0.073	0.04	0.072	0.34	0.321	0.057	0.039	0.39	0.075	0.597	0.969	0.658	6.559	0.173	0.086	0.069	0.317	0.29	0.259	0.144	0.08	0.012	0.544	0	0.195	0.147	0.038	0.26	0.728	0.259
ASV_107	-1.022	8.714	0.187390319482511	0.452413771322063	NotSig	0.021	0.053	0.008	0.005	0.002	0.008	0.003	0.011	0.002	0.002	0	0.005	0.005	0.002	0.01	0.093	0.055	0.015	0.007	0.065	0.04	0.014	0.009	0.017	0.001	0.004	0.002	0	0.001	0.004	0.003	0.048	0.003	0.011	0.041	0.25	0.001	0.014	0.058	0.005	0.116	0.072	0.133	0.01	0.014
ASV_103	1.119	11.028	0.197516955852275	0.469738928583946	NotSig	0.159	0.099	0.09	0.223	0.621	0.055	0.054	0.818	0.136	0.225	0.625	0.525	0.134	0.202	0.008	0.014	0.011	0.004	0.135	0.012	0.167	0.025	0.009	0.036	0.031	0.006	0.185	0.008	0.122	0.047	0.007	0.022	0.007	0.128	0.041	0.038	0.789	0.068	0.236	0.321	0.003	0.037	0.038	0.089	0
ASV_58	1.478	13.786	0.201222326083862	0.469738928583946	NotSig	0.832	0.459	0.044	0.124	0.036	0.025	0.017	0.005	0.014	0.028	0.008	0.007	0.075	0.002	20.7	0.752	0.241	0.147	0.63	0.395	0.252	0.301	0.047	0.544	0.447	0.386	0.343	0.018	0.203	0.018	0.258	0.037	1.927	0.056	0.125	0.894	0.009	0.059	0.005	0.041	0.846	2.015	0.551	0.089	0.067
ASV_136	-1.122	9.353	0.202904980985965	0.469738928583946	NotSig	0.042	0.106	0	0	0	0.002	0.022	0.199	0.038	0.014	0.006	0	0	0.01	0.017	0.012	0.012	0.005	0	0.022	0	0.044	0.009	0.111	0.006	0.14	0.092	0.01	0.091	0.004	0.108	0.012	0.464	0.007	0.001	0.006	0.016	0.739	0.019	0.023	0	0.011	0.005	0.021	0.034
ASV_69	-1.119	11.602	0.207082460888461	0.472931566083107	NotSig	0.194	0.492	0.375	0.112	0.365	0.833	2.154	0.061	0.059	0.246	0.238	0.145	0.162	1.112	0.003	0.004	0.099	0.008	0.043	0.011	0.17	0.019	0.007	0.006	0.029	0	0.018	0	0	0.057	0.021	0.008	0.014	0.005	0.045	0.011	0.353	0.962	2.373	0.523	0.011	0.015	0.006	0.003	0.044
ASV_90	1.07	11.126	0.213350707971213	0.4807502619618	NotSig	0.211	0.103	0.197	0.063	0.009	0.047	0.116	0.066	0.832	0.184	0.039	0.162	4.359	0.086	0.012	0.027	0.043	0.007	0.011	0.03	0.054	0.085	0.021	0.045	0.031	0.009	0.034	0.033	0.012	0.124	0.211	0.037	0.054	0.056	0.027	0.234	0.016	0.125	0.369	0.044	0.015	0.026	0.024	0.068	0.157
ASV_138	1.29	12.023	0.221179447679904	0.487087162433287	NotSig	0.364	0.205	0.062	0.163	0.051	0	0.093	0.045	0.261	0.296	0.469	0.032	0.044	0.018	0.004	0.007	0.005	0.031	0.048	0.016	0.011	0.012	0.03	0.077	0.009	0.014	0.13	0.02	0.137	0.133	0.049	0.69	0.095	9.079	0.307	0.22	0.077	0.006	0	0.131	0.051	0.082	0.01	1.081	0.281
ASV_130	-0.938	11.78	0.222481372650298	0.487087162433287	NotSig	0.214	0.525	0.032	0.024	0.064	0.032	0.029	0.027	0	0.031	0.006	0	0.003	0	0.075	0.229	0.485	0.317	0.262	0.174	0.146	0.092	0.433	1.519	0.345	0.351	0.058	0.677	0.366	0.353	0.097	0.767	0.091	0.008	0.316	0.092	0.005	0.197	2.602	0.11	0.185	0.068	0.424	0.503	0.108
