ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_3	0.512	15.538	0.539535705222082	0.795439300423628	NotSig	4.166	2.869	3.355	10.011	1.059	0.262	5.876	29.363	3.5	2.787	27.362	0.604	0.448	0.712	0.097	0.804	1.315	0.209	0.08	0.225	4.291	0.187	0.714	0.158	0.309	2.515	5.339	0.216	0.883	0.302	0.501	5.816	3.99	24.796	6.259	0.633	0.831	2.514	0.173	1.161	1.11	0.321	0.75	1.679	15.246
ASV_38	0.48	11.654	0.540500354821672	0.795439300423628	NotSig	0.272	0.228	0.041	0.031	0.101	3.529	0.286	0.212	0.538	0.622	0.138	0.518	0.458	0.88	0.019	0.029	0.051	0.014	0.064	0.056	0.01	0.035	0.005	0.107	0.198	0.038	0.045	0.033	0.034	0.157	0.14	0.788	0.08	0.036	0.096	0.008	0.123	0.449	0.701	0.273	0.015	0.065	0.105	0.174	0.044
ASV_124	0.537	11.275	0.541275263601877	0.795439300423628	NotSig	0.231	0.175	0.305	0.362	0.309	0.008	2.006	1.354	0.08	0.461	0.203	1.899	0.049	0.045	0.01	0.019	0.058	0.014	0.14	0.021	0.044	0.05	0.016	0.036	0.032	0.008	0.013	0.063	0.008	0.022	0.152	0.004	0.004	0.046	0.063	0.011	0.183	0.158	0.015	0.813	0.019	0.02	0.032	0.345	0
ASV_152	-0.405	10.955	0.546932081541365	0.79682346362492	NotSig	0.141	0.204	0.025	0.011	0	0.009	0.026	0.135	0.094	0.208	0.018	0.015	0.069	0.012	0.264	0.288	0.134	0.167	0.326	0.235	0.181	0.145	0.046	0.361	0.607	0.059	0.023	0.123	0.02	0.418	0.128	0.523	0.125	0.015	0.068	0.069	0.005	0.137	0.045	0.014	0.438	0.143	0.642	0.075	0.136
ASV_200	0.365	10.816	0.559826027823927	0.808637595745672	NotSig	0.136	0.12	0.185	0.132	0.039	0.221	0.064	0.085	0.059	0.163	0.411	0.079	0.069	0.043	0.022	0.071	0.25	0.082	0.073	0.249	0.128	0.232	0.195	0.16	0.272	0.086	0.034	0	0.102	0.029	0.025	0.026	0.114	0.043	0.227	0.707	0.084	0.119	0.018	0.044	0.146	0.318	0.154	0.031	0.134
ASV_66	0.734	9.45	0.566206645488595	0.810923077013327	NotSig	0.054	0.04	0.044	0.003	0.758	0	0.004	0.117	0	0.019	0.002	0	0	0.014	0.021	0.176	0.005	0.004	0	0.178	0.024	0.01	0.008	0.076	0.008	0	0.003	0.005	0.337	0	0	0	0.003	0	0	0.002	0.082	0.002	0	0.002	0	0.291	0.01	0.017	0
ASV_25	0.404	13.217	0.588012278924559	0.834904733619207	NotSig	0.668	0.723	0.189	0.148	0.015	0.028	0.227	0.17	0.284	0.27	0.029	0.133	0.679	0.055	0.207	0.752	0.243	0.075	0.095	1.329	0.235	0.214	2.899	1.255	0.389	0.945	0.526	0.97	0.11	0.79	0.49	3.386	0.276	0.547	0.791	4.504	0.124	0.16	1.308	0.175	0.092	1.055	0.958	0.927	1.107
ASV_111	-0.512	11.588	0.592831763516597	0.834904733619207	NotSig	0.232	0.334	0.017	0.269	0.095	0.055	0	0.183	0.016	0.014	0.002	0.022	0.021	0.006	0.088	0.112	0.261	0.085	0.04	4.932	0.802	0.219	0.516	0.081	0.06	0.118	0.008	0	0.012	0.004	0.006	0.017	0.013	0.013	0.016	0.014	0.007	0.027	0.05	0.002	0.43	1.84	0.311	0	0.008
ASV_166	0.901	12.377	0.602561429194744	0.841594062263734	NotSig	0.344	0.359	0	0	0	0	0	0	0	0	0.014	0	0	0	0.004	0.286	0.01	0.003	0.001	0.014	0.006	0.001	0.004	0	0.013	0	0.053	11.033	0.101	0	0.004	0.414	0.007	0.044	0.007	0.009	0	0.002	0	0	0.004	0.018	0.019	2.202	0.624
ASV_94	0.385	10.994	0.608203088367289	0.842510835525179	NotSig	0.176	0.152	1.239	0.61	0.593	0.447	0.258	0.088	0.581	0.177	0.025	0.309	0.54	0.149	0.014	0.012	0.07	0.015	0.05	0.011	0.022	0.025	0.009	0.109	0.069	0.008	0.143	0.14	0.037	0.073	0.072	0.012	0.003	0.049	0.1	0.019	0.088	0.163	0.07	0.719	0.011	0.029	0.024	0.192	0.013
ASV_93	0.428	12.087	0.618939790457972	0.849431736845315	NotSig	0.328	0.293	0.033	0.041	0.006	0.07	0.055	0.003	0.028	0.035	0.006	0	0.049	0.002	0.069	0.378	0.307	0.046	0.062	1.359	0.131	0.186	0.86	0.128	0.256	0.475	0.304	0.123	0.349	0.747	0.799	0.567	1.39	0.094	0.356	2.159	0.016	0.108	0	0.029	0.261	1.132	0.276	0.222	0.319
ASV_235	0.309	10.426	0.623251688572894	0.849431736845315	NotSig	0.111	0.094	0.021	0.041	0.006	0.019	0.022	0.332	0.418	0.173	0.047	0.022	0.373	0.006	0.186	0.054	0.146	0.059	0.095	0.167	0.242	0.194	0.115	0.158	0.198	0.133	0.13	0.025	0.005	0.075	0.047	0.05	0.129	0.046	0.044	0.089	0.013	0.071	0.019	0.009	0.167	0.102	0.243	0.027	0.111
ASV_55	0.385	12.605	0.629483733042739	0.851062007073783	NotSig	0.455	0.353	0.059	0.017	0.037	0.145	0.021	0.104	1.314	0.165	0.076	0.214	0.484	0.024	0.167	0.57	3.161	0.124	0.062	0.627	0.081	0.16	0.902	0.978	0.276	0.176	0.042	0.125	0.258	0.429	0.105	0.034	0.111	0.085	0.196	4.55	0.036	0.176	0.129	0.024	1.105	0.349	0.381	0.256	0.402
ASV_117	0.361	9.317	0.64330177645832	0.862207265448609	NotSig	0.05	0.054	0.017	0.255	0.531	0.083	0.011	0.024	0.103	0.014	0.068	0.007	0.003	0	0.006	0.017	0.004	0.003	0.025	0.027	0.01	0.012	0.004	0.005	0.01	0.003	0.045	0.08	0.094	0.137	0.028	0.043	0.014	0.008	0.016	0.013	0.028	0.021	0.045	0.02	0.007	0.087	0.005	0.243	0.003
ASV_127	0.614	10.247	0.647930903621144	0.862207265448609	NotSig	0.118	0.076	0.186	0.137	0.047	1.993	0.245	0.361	0.266	0.735	0.095	0.005	0	0.008	0	0.001	0.012	0	0	0.004	0.001	0.005	0	0.001	0	0	0	0.003	0	0	0.006	0.001	0.001	0.025	0	0.002	0	0.286	0.11	0.179	0	0.005	0.006	0	0.021
ASV_174	-0.43	9.835	0.653064493473367	0.862249214039055	NotSig	0.075	0.125	0.083	0.108	0.185	0.045	0.118	0.451	0.581	0.128	0.384	0.125	0.134	0.018	0.003	0.001	0	0	0.032	0.006	0.007	0.004	0.001	0	0	0	0.005	0	0.003	0.024	0.01	0.004	0.001	0.008	0.12	0.013	0.026	0.039	0.002	0.285	0.001	0.02	0	0.619	0.034
ASV_65	-0.369	12.626	0.663926217914891	0.865914320597326	NotSig	0.559	0.727	0.133	0.24	0.161	3.925	0.715	0.637	0.444	7.303	0.339	0.294	0.409	1.364	0.014	0.019	0.018	0.007	0.159	0.179	0.074	0.034	0.023	1.673	0.319	0.038	0.035	0.03	0.031	0.006	0.103	0.088	0.047	0.007	0.029	0.008	0.651	3.498	1.508	0.544	0.015	0.069	0.07	0.103	0.008
ASV_56	-0.33	10.228	0.669310690753639	0.865914320597326	NotSig	0.1	0.135	0.263	0.069	0.383	0.017	0.434	0.64	0.033	0.078	0.027	0.071	0.008	0.006	0.006	0.02	0.03	0.003	0	0.006	0.028	0.012	0.022	0.035	0.012	0.003	0.003	0.11	0.003	0.161	0	0.037	0.011	0.248	0.586	0.055	0.097	0.096	0.015	0.232	0.008	0.064	0.038	0.335	0.292
ASV_78	-0.324	11.508	0.671211692297335	0.865914320597326	NotSig	0.206	0.435	0.044	0.033	0.039	0.196	0.073	0.074	0.242	0.009	0.012	0.01	0.023	0.004	0.967	0.188	0.041	0.106	1.036	0.117	0.071	0.587	0.056	0.135	0.239	0.081	0.011	0.03	0.181	0.306	0.959	0.219	0.855	0.048	0.196	0.013	0.008	0.291	0.002	0.075	0.063	0.089	2.899	0.041	0.019
ASV_64	-0.493	8.281	0.688170495859875	0.871896741702244	NotSig	0.02	0.035	0.008	0.031	0	0.262	0.035	0.003	0	0.005	0.002	0	0	0	0	0.001	0	0.004	0.004	0	0.001	0	0	0.006	0	0	0.006	0.008	0.314	0.004	0.001	0	0	0	0.003	0.003	0.007	0.211	0.029	0.018	0	0	0.002	0.021	0
ASV_159	-0.298	10.317	0.692798700285812	0.871896741702244	NotSig	0.104	0.129	0.012	0.057	0.032	0.025	0.064	0.247	0.677	0.059	0.103	0.059	1.385	0.043	0.017	0.011	0.006	0.008	0.051	0.04	0.033	0.032	0.005	0.024	0.112	0	0.003	0.218	0.008	0.039	0.052	0.096	0.028	0.005	0.077	0.009	0.011	0.254	0.5	0.062	0.062	0.059	0.016	0.068	0.012
ASV_157	-0.393	7.742	0.700696222995994	0.871896741702244	NotSig	0.015	0.02	0.02	0.036	0.002	0.1	0.014	0.08	0.068	0.078	0.07	0.01	0.003	0.004	0	0.002	0	0	0	0	0.001	0	0	0.005	0.008	0	0	0.01	0	0.002	0.007	0.004	0	0.002	0.005	0	0.004	0.041	0	0.11	0	0	0.008	0.003	0.001
ASV_131	-0.47	7.938	0.711674604971293	0.871896741702244	NotSig	0.018	0.029	0	0	0	0	0	0	0	0	0.002	0	0	0	0.006	0.02	0.001	0	0.035	0.004	0.078	0.001	0	0.049	0.275	0.045	0	0	0.011	0.094	0	0.001	0.003	0	0.001	0.002	0	0	0	0	0	0.003	0.103	0.051	0.076
ASV_12	0.318	14.112	0.712349973994599	0.871896741702244	NotSig	1.302	1.281	0.137	0.193	0.009	0.179	0.085	1.471	0.125	1.735	0.148	0.142	0.01	0.004	1.137	1.525	1.966	0.239	0.225	0.809	0.388	1.364	7.423	0.292	0.698	2.052	1.679	0.183	4.677	0.929	0.906	0.348	0.709	6.804	6.442	0.253	0.284	0.011	0	0.078	1.467	0.622	2.573	1.727	3.767
ASV_113	-0.281	11.689	0.715674726103583	0.871896741702244	NotSig	0.233	0.361	0.158	0.278	0.2	2.119	0.464	0.281	0.12	0.487	0.277	0.348	0.211	0.896	0.021	0.024	0.029	0.014	0.062	0.173	0.047	0.023	0.017	0.15	0.549	0.029	0.039	0.008	0.007	0.024	0.047	0.019	0.021	0.034	0.145	0.014	0.813	1.792	0.654	0.21	0.019	0.086	0.043	0.075	0.01
ASV_27	0.302	12.168	0.716156391370972	0.871896741702244	NotSig	0.417	0.358	1.954	4.351	1.218	0.004	1.472	1.335	0.456	0.234	0.454	0.069	0.221	0.329	0.004	0.007	0.064	0.008	0.059	0.021	0.047	0.115	0.01	0.07	0.112	0.034	0.006	0.02	0.058	0.037	0.133	0.171	0.027	0.08	1.081	0.031	0.311	0.408	0.228	1.149	0.011	0.211	0.097	0.38	0.384
ASV_151	-0.312	10.529	0.717122172169301	0.871896741702244	NotSig	0.086	0.116	0.008	0.088	0.082	0.002	0.008	0	0.024	0.009	0.021	0.005	0.085	0.006	0.978	0.158	0.15	0.019	0.017	0.04	0.013	0.017	0	0.114	0.026	0.094	0.183	0.133	0.341	0.006	0.034	0.015	0.182	0.013	0.116	0.016	0	0.012	0.005	0.014	0.471	0.135	0.151	0.109	0.032
ASV_89	-0.229	10.248	0.732783100876377	0.884573886057912	NotSig	0.09	0.112	0.049	0.061	0.039	0.251	0.05	0.029	0.033	0.043	0.027	0.005	0.003	0.016	0.001	0.03	0.099	0.015	0.169	0.123	0.046	0.088	0.09	0.111	0.62	0.279	0.043	0.271	0.065	0.104	0.027	0.091	0.051	0.044	0.063	0.113	0.005	0.045	0	0.042	0.118	0.01	0.086	0.181	0.41
ASV_43	0.206	12.614	0.751654057509581	0.897166144850586	NotSig	0.472	0.512	0.222	0.178	0.015	0.271	0.155	0.342	0.2	0.773	0.107	0.029	0.147	0.016	0.487	0.779	0.154	0.609	0.501	1.382	1.008	0.174	0.262	0.913	0.32	0.253	0.122	2.303	0.122	2.384	0.226	0.333	0.489	0.471	0.419	0.306	0.042	0.28	0.201	0.101	0.623	0.651	1.36	0.527	0.351
ASV_203	0.231	9.108	0.756728210381571	0.897166144850586	NotSig	0.046	0.044	0.088	0.055	0.159	0	0.333	0.008	0.005	0.095	0.002	0.066	0.01	0.169	0.016	0.007	0.004	0.001	0.09	0.03	0.006	0.021	0.013	0.085	0.089	0.013	0.008	0.025	0.015	0.012	0.044	0.008	0.092	0.01	0.01	0.002	0.004	0.059	0	0.145	0.009	0.017	0.016	0.089	0.018
ASV_156	0.362	6.455	0.762024208090214	0.897166144850586	NotSig	0.003	0.004	0	0.002	0	0.008	0	0	0	0.009	0	0	0.003	0	0.004	0.007	0.001	0.035	0.001	0.004	0.001	0	0	0.004	0	0	0	0.005	0	0.012	0	0	0	0	0	0	0	0.008	0.013	0	0	0.001	0.006	0	0.003
ASV_76	-0.17	11.621	0.764449259517659	0.897166144850586	NotSig	0.221	0.248	0.077	0.101	0.131	0.238	0.233	0.491	0.209	0.253	0.111	0.255	0.247	1.064	0.049	0.081	0.289	0.126	0.073	0.409	0.118	0.188	0.267	0.077	0.185	0.233	0.069	0.075	0.405	0.051	0.093	0.102	0.336	0.064	0.12	0.782	0.131	0.142	0.324	0.125	0.711	0.151	0.157	0.215	0.156
ASV_183	0.563	10.423	0.772543773855855	0.900413088149238	NotSig	0.091	0.088	0	0	0	0	0	0	0.009	0	0	0.002	0.003	0.004	0.025	0.001	0	0	0	1.545	0.082	0.053	1.368	0.01	0.014	0.08	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0.694	0.01	0	0
ASV_141	0.192	10.781	0.793242669648399	0.901478169744125	NotSig	0.135	0.139	0.219	0.058	0.002	0.109	0.23	0.058	0.026	0.005	0.01	0.005	0.077	0.112	0.044	0.18	0.125	0.06	0.09	0.056	0.042	0.026	0.074	0.795	0.297	0.095	0.003	0.128	0.018	0.012	0.022	0.124	0.081	0.036	0.256	1.247	0.004	0.029	0.113	0.011	0.198	0.121	0.235	0.294	0.11
ASV_24	0.421	12.18	0.794699840567381	0.901478169744125	NotSig	0.409	0.341	0.003	0	0	0	0	0	0	0.002	0	0.015	0	0	0.063	0	0.061	0.001	0	0.524	0.174	1.054	0.156	0.018	0	0.003	0.005	0	0	0.335	11.308	0.193	0.312	0.008	0.077	0.002	0	0	0	0	0.011	2.392	0.292	0.021	0.009
ASV_169	0.231	10.49	0.803574692283921	0.901478169744125	NotSig	0.093	0.09	0.021	0.006	0.015	0	0.007	0.369	0.028	0.17	0.041	0.007	0	0.002	1.26	0.045	0.15	0.02	0.044	0.1	0.011	0.021	0.079	0	0.056	0.018	0.077	0.003	0.027	0.01	0.031	0.026	0.053	0.346	0.177	0.008	0.013	0.003	0.002	0.003	0.155	0.103	0.057	0.017	0.379
ASV_177	-0.24	10.011	0.803765161637769	0.901478169744125	NotSig	0.061	0.095	0.005	0.006	0.013	0.006	0.003	0.364	0.024	0.054	0.025	0.052	0.005	0.018	0	0.027	0.002	0.003	0.004	0.004	0.004	0.005	0	0.004	0.001	0.005	0.472	0.003	0.073	0.278	0.015	0.004	0.027	0.033	0.011	0.088	0.491	0.003	0.005	0.006	0	0.015	0.008	0.116	0.605
ASV_59	0.194	11.682	0.804423924696524	0.901478169744125	NotSig	0.297	0.274	0.048	0.036	1.104	0.452	0.094	0.186	4.416	0.475	0.162	0.721	0.831	0.159	0.043	0.041	0.059	0.014	0.095	0.062	0.033	0.052	0.014	0.19	0.18	0.011	0.09	0.203	0.098	0.033	0.072	0.017	0.004	0.049	0.155	0.019	0.171	0.143	0.547	0.333	0.004	0.875	0.11	0.174	0.003
ASV_209	-0.174	9.769	0.805462743380846	0.901478169744125	NotSig	0.068	0.08	0.022	0.168	0.168	0	0.007	0.021	0.052	0.492	0.01	0.238	0.085	0.186	0.022	0.036	0.089	0.016	0.04	0.051	0.078	0.019	0.001	0.069	0.108	0.005	0.003	0.015	0.007	0.002	0.069	0.004	0.04	0.079	0.077	0.017	0.074	0.006	0.061	0.053	0.016	0.294	0.006	0.038	0.163
ASV_134	0.14	10.196	0.829649598251983	0.920733214052721	NotSig	0.089	0.098	0.021	0.028	0.028	0.011	0.057	0.013	0.054	0.043	0.008	0.027	0.293	0.045	0.073	0.037	0.087	0.034	0.05	0.424	0.026	0.032	0.042	0.332	0.239	0.174	0.06	0.008	0.122	0.014	0.024	0.048	0.063	0.031	0.045	0.517	0.022	0.027	0.036	0.03	0.019	0.298	0.13	0.065	0.176
ASV_63	-0.167	12.555	0.835822817590281	0.920733214052721	NotSig	0.386	0.449	0.087	0.203	0.047	0.202	0.055	0.037	0.009	0.031	0.023	0.002	0.023	0.008	0.359	4.797	0.114	0.111	0.443	0.253	0.243	0.4	0.059	0.101	0.215	0.364	1.267	0.236	1.094	0.061	0.46	0.047	1.006	0.251	0.706	0.186	0.011	0.149	0.102	0.08	1.575	1.105	0.222	0.256	0.104
ASV_74	-0.184	12.817	0.839011331148633	0.920733214052721	NotSig	0.457	0.971	0.289	0.115	0.006	0.036	0.172	0.111	0	0.139	0.01	0.012	0.003	0	0.054	0.403	0.248	0.057	0.065	0.194	0.118	0.112	0.559	0.859	0.144	0.265	0.171	7.278	0.357	0.114	0.029	2.299	0.034	0.34	0.471	0.914	0.012	0.14	0.126	0.119	0.205	0.126	0.189	6.535	0.331
ASV_81	-0.192	12.645	0.849378392650189	0.926096441018593	NotSig	0.341	0.658	0.04	0.068	0.771	1.704	0.291	0.183	0.411	0.478	0.045	0.461	0.649	1.933	0.006	0.014	0.035	0.015	0.037	0.011	0.014	0.034	0.008	0.019	0.126	0.024	0.473	0.013	0.007	0.024	0.034	0	0.021	0	0.042	0.003	3.935	2.645	2.156	0.348	0.009	0.015	0.029	0.048	0.013
ASV_137	0.108	8.648	0.875439991374618	0.948393323989169	NotSig	0.036	0.031	0.001	0.009	0.009	0.006	0.018	0.239	0.15	0.191	0.051	0.017	0.139	0.031	0.006	0.004	0.018	0.003	0.032	0.078	0.013	0.017	0.013	0.031	0.012	0.009	0.003	0.003	0.012	0.02	0.032	0.011	0.043	0	0.031	0	0.001	0.059	0.036	0.035	0.027	0.024	0.056	0.003	0.008
ASV_142	0.125	9.275	0.899990557792752	0.96877964501258	NotSig	0.059	0.049	0.073	0.041	0	0.002	0.001	0.316	0.345	0.716	0.203	0.02	0.003	0.004	0.018	0.009	0.012	0.007	0.019	0.016	0.015	0.045	0.007	0.002	0.018	0	0.002	0.013	0	0.004	0.128	0.021	0.003	0.003	0.001	0.013	0	0	0	0.139	0	0.236	0.003	0.007	0.008
ASV_36	0.084	13.668	0.926669023481144	0.980359194502082	NotSig	0.795	0.879	0.087	0.566	0.219	0.26	0.039	0.008	0	0.052	0.08	0.012	0.026	0.024	8.412	5.6	0.72	0.186	0.083	0.738	0.423	1.056	0.081	0.761	0.335	0.205	0.132	1.09	0.454	0.059	1.994	0.078	0.982	0.525	1.521	1.011	0.001	0.178	0.071	0.074	2.655	2.761	0.44	0.53	0.323
ASV_32	0.062	12.271	0.926945391349854	0.980359194502082	NotSig	0.351	0.419	0.119	0.083	0.065	0.33	0.514	0.26	0.449	0.08	0.173	0.096	0.183	0.045	0.039	0.026	0.665	0.147	0.14	1.454	0.072	0.137	0.597	0.195	0.326	2.246	0.877	0.125	0.618	0.222	0.059	0.213	0.421	0.958	0.257	0.092	0.013	0.827	0.011	0.611	0.529	0.167	0.3	0.725	0.181
ASV_77	-0.079	12.457	0.928150716688362	0.980359194502082	NotSig	0.415	0.409	0.094	0.08	0	0.062	0.187	0.003	0.035	0.038	0	0.005	0.036	0	0.107	0.408	1.444	0.109	0.08	2.427	0.086	0.259	0.963	0.17	0.193	0.603	0.338	0.045	0.219	1.806	2.406	0.374	0.559	0.018	0.267	1.079	0.016	0.096	0.011	0.051	1.283	1.013	0.319	0.164	0.334
ASV_189	-0.043	11.403	0.93627622995315	0.982799272435294	NotSig	0.205	0.258	0.318	0.395	0.152	0.251	1.365	0.292	0.099	0.13	0.101	0.108	0.121	0.125	0.062	0.259	0.16	0.035	0.032	0.419	0.107	0.088	0.06	0.065	0.054	0.086	0.119	0.143	0.198	0.1	0.145	0.392	0.139	0.107	0.276	0.41	0.266	0.142	0.218	0.407	0.09	0.406	0.138	0.448	0.215
ASV_82	0.067	10.979	0.943636014235279	0.984148004123	NotSig	0.177	0.216	0.133	0.115	0.026	0	0.042	0	0.002	0	0.043	0.002	0	0	0.013	0.055	0.045	0.255	0.145	0.455	0.125	0.084	0.026	0.077	1.703	0.056	0.021	0.018	0.186	0.075	0.059	0.313	2.045	0.02	0.053	0.014	0	0.089	0	0.033	0.039	0.252	1.058	0.103	0.158
ASV_37	-0.059	13.693	0.949207838296148	0.984148004123	NotSig	0.882	1.54	0.158	0.091	0.006	0.456	0.195	0.035	0.009	0.014	0.014	0.052	0.033	0.073	0.066	0.268	1.992	0.157	0.286	0.148	0.074	0.124	0.171	4.269	0.956	1.172	0.14	16.398	0.349	0.098	0.093	2.281	0.081	0.126	0.394	0.097	0.009	0.706	0.026	0.137	0.833	0.169	0.7	8.963	0.782
ASV_210	-0.04	9.247	0.959538586504292	0.985330988896104	NotSig	0.043	0.056	0.013	0.05	0.022	0.004	0.006	0.027	0.038	0.121	0.016	0.049	0.044	0.016	0.019	0.016	0.012	0.008	0.039	0.024	0.01	0.015	0.018	0.011	0.003	0.001	0.019	0.278	0.018	0.461	0.019	0.003	0.007	0.008	0.003	0.013	0.08	0.017	0.01	0.015	0.011	0.299	0	0.092	0.001
ASV_108	-0.05	11.437	0.962009545371936	0.985330988896104	NotSig	0.189	0.171	0.015	0.016	0.002	0.002	0.025	0	0.012	0.019	0.002	0	0	0	0.04	0.524	2.106	0.061	0.075	0.293	0.053	0.067	0.034	0.053	0.316	0.987	0.085	0.02	0.094	1.333	0.013	0.015	0.155	0.038	0.018	0.141	0.004	0.003	0	0	0.894	0.202	0.192	0.058	0.022
ASV_98	0.058	10.881	0.970817678521075	0.988362576325673	NotSig	0.176	0.221	0.228	0	0	0	4.473	0	0.002	0	0	0.002	0.015	0.035	0	0	0	0	0.001	0	0	0	0	0	0.003	0.011	0.101	0.163	0.273	0	0.013	0.01	0.744	0.041	0	0.008	0.018	0.107	0	0.244	0	0	0.002	1.416	0
ASV_8	-0.023	13.99	0.979377901561289	0.990688214608832	NotSig	1.301	1.477	4.078	11.987	15.394	0.172	1.584	0.077	0.167	0.452	0.136	0.292	0.543	5.624	0.066	0.096	0.209	0.089	0.814	0.225	0.582	0.619	0.113	0.162	0.28	0.128	0.027	0.015	0.048	0.106	0.152	0.04	0.218	0.138	0.25	0.597	0.042	0.891	0.241	9.775	0.078	0.326	0.194	0.092	0.22
ASV_118	-0.021	9.487	0.984826154167359	0.990688214608832	NotSig	0.056	0.063	0	0	0.872	0	0	0.003	0.014	0.002	0	0.02	0	0.049	0.019	0.024	0.02	0.012	0.023	0.12	0.031	0.124	0.014	0.035	0.031	0.034	0.008	0	0.005	0.006	0.192	0.003	0.055	0	0.237	0.006	0.004	0	0.006	0	0	0.48	0.021	0	0
ASV_34	0.003	12.262	0.997626384892358	0.997626384892358	NotSig	0.423	0.441	0.939	6.146	0.178	0.177	2.603	0.788	0.179	0.123	0.775	0.196	0.183	0.619	0.018	0.025	0.041	0.012	0.105	0.039	0.019	0.397	0.007	0.058	0.021	0.006	0.047	0.015	0.333	0.063	0.125	0.039	0.122	0.043	0.148	0.097	0.107	0.303	0.139	2.826	0.017	0.088	0.025	0.116	0.014
