ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083
ASV_137	1.298	9.443	0.149175835103643	0.450246904218234	NotSig	0.041	0.026	0.008	0.002	0.01	0.002	0.008	0.07	0.092	0.299	0.06	0.031	0.125	0.071	0.019	0.01	0.014	0.108	0.055	0.204	0.014	0.013	0.004	0.012	0.049	0.018	0.024	0.019	0	0.001	0.002	0.011	0.006	0.003	0.002	0.044	0.06	0.047	0.01	0.007	0.03	0.002	0.009
ASV_311	1.094	10.622	0.149194240451013	0.450246904218234	NotSig	0.125	0.071	0.023	0.018	0.018	0.018	0.008	0.08	0.005	0.006	0.002	0.012	0.026	0.006	0.241	0.025	0.306	0.575	0.247	0.062	0.122	0.439	0.099	0.274	0.111	0.129	0.353	0.223	0.254	0.03	0.112	0.05	0.056	0.169	0.012	0.046	0.045	0.035	0.065	0.277	0.07	0.005	0.025
ASV_210	1.241	9.743	0.153143660043789	0.454057518375445	NotSig	0.058	0.025	0.005	0.015	0.018	0.002	0.013	0.041	0.168	0.314	0.022	0.022	0.211	0.059	0.068	0.008	0.01	0.174	0.142	0.01	0.009	0.024	0.01	0.005	0.223	0.107	0.022	0.054	0.002	0.001	0.044	0.006	0.006	0.003	0.102	0.005	0.011	0.013	0.006	0.016	0.004	0.077	0.067
ASV_56	-1.119	11.628	0.157464683881208	0.458819509929728	NotSig	0.173	0.34	0.221	0.191	0.467	0.013	2.065	0.89	0.277	0.049	0.049	0.17	0.021	0.019	0.007	0.039	0.04	0.036	0.078	0.007	0.023	0.024	0.026	0.269	0.007	0.114	0.016	0.073	0.008	0.011	0.002	0.018	0.079	0.044	0.36	0.068	0.037	0.041	0.113	0.023	0.904	0.082	1.452
ASV_111	1.593	12.664	0.173730216219617	0.497634009171446	NotSig	0.487	0.189	0.023	0.116	0.117	0.055	0.078	0.039	0.009	0.004	0	0.025	0.07	0.006	4.438	0.308	0.133	0.251	0.259	8.841	0.462	0.085	0.052	0.387	0.002	0.059	0.002	0.04	0.006	0.006	0.023	0.014	0.002	0.017	0.147	0.017	0.014	0.786	0.492	0.128	0.04	0.027	0.009
ASV_35	1.266	12.539	0.179601171086914	0.499002739377237	NotSig	0.531	0.273	4.146	0.175	0.385	0.041	1.504	0.01	0.532	0.049	1.079	0.043	0.115	0.286	0.052	0.008	0.043	0.066	0.053	0.056	0.003	0.077	0.125	5.586	0	0.461	0.055	0.689	0.041	0.004	0.035	0.043	1.006	0.102	0.638	0.585	0.329	0.078	0.059	0.1	0.778	0.175	0.081
ASV_134	1.176	10.861	0.182067245961418	0.499002739377237	NotSig	0.133	0.073	0.042	0.034	0.034	0.006	0.03	0.039	0.005	0	0.002	0.012	0.043	0.015	0.13	1.782	0.101	0.05	0.268	0.088	0.045	0.043	0.671	0.06	0.014	0.037	0.045	0.047	0.01	0.197	0.106	0.028	0.144	0.242	0.036	0.031	0.034	0.062	0.197	0.17	0.032	0.002	0.055
ASV_154	-0.809	10.58	0.185210566721448	0.499002739377237	NotSig	0.094	0.132	0.12	0.079	0.12	0.007	0.047	0.01	0.009	0.021	0.075	0.049	0.058	0.027	0.1	0.489	0.034	0.151	0.213	0.152	0.087	0.092	0.102	0.043	0.052	0.125	0.185	0.062	0.02	0.163	0.273	0.021	0.004	0.041	0.061	0.046	0.071	0.171	0.079	0.093	0.051	0.009	0.538
ASV_143	1.262	11.087	0.186018772667254	0.499002739377237	NotSig	0.17	0.081	0.142	0.02	0.098	0.002	0.053	0.099	0.005	0.004	0.002	0.027	0.002	0	0.034	0.053	0.119	0.019	0.087	0.21	0.282	0.008	0.007	0.015	0.001	0.033	0.014	0.89	0.053	0.479	0.09	1.95	0.466	0.321	0.036	0.024	0.052	0.217	0.164	0.086	0.074	0.004	0.026
ASV_14	-1.035	14.236	0.196701155080933	0.519243024768245	NotSig	1.05	2.364	3.026	0.641	0.317	1.368	5.361	1.155	1.164	1.179	0.864	6.643	5.122	3.698	0.072	0.105	0.145	0.062	0.217	0.01	0.072	0.186	0.374	0.682	0.289	0.107	0.004	0.357	0.105	0.1	0.12	0.123	0.033	0.037	0.904	1.086	4.774	0.043	0.248	0.166	0.353	8.593	3.647
ASV_117	1.019	9.28	0.202512663497466	0.519243024768245	NotSig	0.051	0.024	0.033	0.203	0.136	0.015	0.127	0.037	0.009	0.002	0.007	0.016	0.013	0.006	0.048	0.018	0.15	0.079	0.096	0.037	0.021	0.003	0.001	0	0.131	0.03	0.114	0.201	0.006	0.087	0.017	0	0	0.024	0.02	0.029	0.022	0.02	0.028	0.004	0.002	0.057	0.028
ASV_152	0.87	11.272	0.202781299613634	0.519243024768245	NotSig	0.2	0.127	0.014	0.456	0.603	0.177	0.022	0.039	0.052	0.004	0.224	0.166	0.051	0.019	0.447	0.185	0.118	1.209	0.467	0.257	0.121	0.161	0.385	0.152	0.142	0.406	0.097	0.05	0.123	0.04	0.021	0.023	0.215	0.088	0.078	0.112	0.086	0.108	0.369	0.228	0.07	0.014	0.026
ASV_44	0.985	12.413	0.218570879415109	0.551320576435127	NotSig	0.523	0.301	0.701	0.975	0.117	0.077	0.239	0.006	0.071	0.038	0.071	0.1	0.082	0.008	0.258	0.065	0.14	2.388	0.483	0.084	0.172	1.045	0.127	0.103	0.089	5.33	0.357	1.965	0.273	0.143	0.777	0.058	0.753	0.113	0.038	1.685	0.072	0.036	0.088	0.108	0.121	0.282	0.019
ASV_15	-0.965	13.988	0.229122835413609	0.563311403328026	NotSig	0.942	1.819	0.318	0.315	0.248	0.852	2.199	1.141	5.774	1.236	1.13	3.711	5.997	2.61	0.046	0.018	0.574	0.009	0.103	0.011	0.065	0.144	0.262	1.821	0.528	0.188	0.022	0.052	0.084	0.091	0.156	0.032	0.063	0.073	1.207	1.175	1.945	0.047	0.208	0.194	0.451	6.633	3.897
ASV_148	-1.755	10.036	0.229991046329194	0.563311403328026	NotSig	0.065	0.113	0	0.002	0.003	0	0.001	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0.576	0.311	0.668	0	0	0.003	0.235	0.013	0	0.331	0.002	0.003	0.017	0	0	0.004	0.15	0.729
ASV_47	-1.108	12.112	0.242419163591201	0.582411158271932	NotSig	0.266	0.613	0.022	0.01	0.035	0.16	0	0.031	0	0.002	0.013	0	0	0.002	0.292	0.216	0.201	0.197	0.572	0.272	0.277	0.084	0.691	0.496	0.015	0.727	2.098	0.137	0.045	0.051	0.087	1.781	0.134	0.129	0	0.005	0.005	2.749	0.553	0.917	0.672	0.002	0
ASV_72	0.878	10.916	0.256956678018039	0.582411158271932	NotSig	0.15	0.07	0.069	0.037	0.366	0.033	0.024	0.023	0.409	0.162	0.331	0.337	0.016	0.029	0.013	0.437	0.149	0.071	0.048	0.07	0.033	0.003	0.003	0.006	0.022	0.181	0.863	0.149	0.051	0.27	0.348	0.132	0.05	0.138	0.079	0.022	0.02	0.233	0.046	0.004	0.03	0.014	0.189
ASV_144	1.142	10.783	0.257942160704946	0.582411158271932	NotSig	0.145	0.08	0.033	0.003	0.005	0.039	0	0.109	0.009	0.03	0.049	0.002	0	0.008	0.019	0.083	0.041	0.328	0.419	0.203	0.102	0.056	2.14	0.152	0.106	0.004	0.002	0.009	0.01	0.104	0.006	0.01	0.661	0.02	0.008	0.158	0.003	0.067	0.225	0.12	0.068	0.002	0
ASV_83	1.057	11.669	0.259845559587455	0.582411158271932	NotSig	0.283	0.195	0.196	0.022	0.083	0.018	0.054	0.22	0.028	0.011	0.007	0.053	0.002	0	1.159	0.048	0.183	0.059	0.27	0.008	0.163	0.024	1.623	0.101	0.005	0.609	0.144	1.023	0.033	0.597	0.242	0.432	0.119	1.803	0.002	0.476	0.053	0.032	0.028	0.067	0.899	0	0.002
ASV_91	1.378	10.942	0.260899344549356	0.582411158271932	NotSig	0.133	0.089	0.062	0.034	0.042	0.004	0.088	0	0.002	0.002	0	0.08	0.016	0.01	0	0	0.006	0.001	0.043	0.051	0.014	0.006	0.01	0.012	0	0.007	0.006	0.012	0.008	0.003	0.005	3.474	0.266	0.119	0.013	0.002	0.029	0.029	0.108	0.046	0.476	0.009	0.014
ASV_189	0.605	10.931	0.261213977315977	0.582411158271932	NotSig	0.147	0.123	0.153	0.072	0.119	0.096	0.315	0.144	0.272	0.092	0.062	0.209	0.216	0.067	0.116	0.087	0.257	0.039	0.172	0.182	0.121	0.053	0.145	0.237	0.025	0.148	0.106	0.178	0.082	0.414	0.155	0.125	0.188	0.173	0.021	0.17	0.157	0.204	0.071	0.128	0.223	0.016	0.012
ASV_43	0.806	12.871	0.263731151531581	0.582411158271932	NotSig	0.571	0.371	0.16	0.092	0.349	1.011	0.113	0.117	0.08	0.075	0.109	0.092	0.11	0.107	0.491	0.701	4.42	1.083	2.016	1.755	0.828	0.319	0.747	0.28	0.092	0.698	0.583	0.291	0.14	0.373	0.143	0.288	0.774	0.251	0.157	0.427	0.198	1.094	0.387	0.246	0.404	0.005	0.21
ASV_156	1.471	6.781	0.268798067848075	0.582411158271932	NotSig	0.005	0.002	0	0	0	0.002	0	0.008	0	0	0	0	0.002	0	0.002	0.003	0	0.069	0.007	0.007	0	0.001	0.052	0.003	0	0	0	0.005	0	0.006	0	0	0.002	0.001	0	0	0.001	0.001	0.014	0.001	0	0	0
ASV_5	-0.758	14.958	0.268805149971661	0.582411158271932	NotSig	2.155	4.064	0.956	1.195	1.196	0.836	0.214	2.062	0.114	0.036	0.222	0.078	0.216	0.186	0.436	6.234	1.11	0.484	3.3	0.339	1.686	4.548	7.08	5.547	1.29	1.406	0.532	1.513	1.692	1.187	9.542	0.991	1.822	12.754	0.299	1.046	1.108	9.001	4.934	11.763	4.339	0.116	0.208
ASV_60	0.855	10.891	0.274919899260549	0.588119784494086	NotSig	0.162	0.089	0.981	0.069	0.216	0.02	0.109	0.047	0.419	0.023	0.029	0.004	0.325	0.178	0.013	0.064	0.009	0.248	0.181	0.045	0.021	0.001	0.098	0.017	0.115	0.262	0.106	0.585	0.209	0.022	0.359	0	0.006	0.041	0.521	0.105	0.176	0.03	0.003	0.117	0.026	0.161	0.094
ASV_116	1.071	11.704	0.279790723416567	0.591057903217498	NotSig	0.289	0.19	0.034	0.025	0.101	0.013	0.037	0.152	0.009	0	0.004	0.002	0.005	0.006	0.019	1.611	0.044	0.004	0.265	0.069	0.074	0.06	2.282	0.129	0.014	0.421	0.14	1.359	0.146	0.194	1.683	0.423	0.123	0.099	0.003	0.418	0.106	0.099	0.038	0.063	0.795	0	0
ASV_53	0.921	10.297	0.291657048812245	0.596371127183324	NotSig	0.099	0.057	0.765	0.099	0.042	0	0.036	0.004	0.88	0.137	0.246	0.084	0.163	0.086	0.004	0.004	0.085	0.012	0.059	0.007	0.032	0.001	0.004	0.026	0.16	0	0.014	0.064	0.004	0.053	0.12	0.017	0.015	0.027	0.018	0.022	0.063	0.022	0.251	0.02	0.011	0.038	0.034
ASV_33	0.962	12.973	0.294170670667711	0.596371127183324	NotSig	0.632	0.373	0.196	0.225	0.305	0.048	0.016	0.508	0.116	0.111	0.153	0.002	0.008	0.144	0.286	0.157	0.162	0.653	0.572	3.736	0.283	0.342	0.084	0.49	0.762	1.602	0.075	0.268	2.849	0.475	0.21	1.563	0.282	4.171	0	0.398	0.014	1.283	0.918	0.07	0.3	0.004	0
ASV_881	-0.835	11.083	0.294372147092782	0.596371127183324	NotSig	0.14	0.305	0.039	0.002	0.095	0	0.025	0.078	0.005	0.002	0	0.072	0.006	0	0.147	0.095	0.105	0.03	0.304	0.088	0.098	0.05	0.36	0.125	0.003	0.321	0.136	0.277	0.066	0.906	0.126	0.238	0.496	0.315	0.017	0.024	0.005	0.032	1.69	0.058	0.593	0.013	0.021
ASV_54	0.896	12.651	0.296421151972777	0.596371127183324	NotSig	0.498	0.302	1.899	0.134	0.106	0.022	0.302	0.925	0.892	1.3	0.169	0.738	0.273	0.702	0.318	0.013	0.02	0.238	0.194	0.026	0.193	0.077	0.155	5.722	0.711	0.129	0.154	0.002	0.016	0.15	0.021	0.019	0.328	0.102	0.37	0.117	0.941	0.078	0.006	0.113	0.627	0.064	0.469
ASV_13	-0.682	13.496	0.309454246459158	0.607143784889299	NotSig	0.769	1.176	0.167	2.274	1.05	1.042	0.214	0.123	2.157	0.694	1.614	1.415	3.875	0.524	1.701	0.07	0.045	0.689	1.359	0.075	0.2	0.581	0.382	0.955	0.003	0.34	0.087	0.343	0.199	0.217	0.452	0.121	0.259	0.247	1.901	3.142	0.296	0.146	0.182	0.11	0.651	2.143	2.735
ASV_61	1.042	10.976	0.31212251180717	0.607143784889299	NotSig	0.175	0.121	0.006	0.438	0.476	0	0.26	0.206	0.009	0.006	0.007	0	0.006	0.006	0.057	0.004	0.021	0.121	0.757	0.027	0.078	0.05	0.237	0.028	0	0.218	0.006	0.071	0.341	0.607	0.029	0.059	1.473	0.157	0	0.009	0.031	0.076	0.051	0.005	0.795	0	0
ASV_93	0.928	12.041	0.316827730478953	0.607143784889299	NotSig	0.331	0.22	0.019	0.2	0.091	0.066	0.013	0.078	0.002	0	0.002	0.004	0.019	0.006	0.118	0.149	0.088	0.17	0.293	3.777	0.331	0.151	0.269	0.604	0.03	0.292	1.993	0.215	0.1	0.222	0.621	0.162	0.293	0.53	0.007	0.282	0.161	0.457	0.176	0.275	0.408	0.002	0
ASV_109	-0.779	9.417	0.320273778842989	0.607143784889299	NotSig	0.048	0.075	0.009	0.022	0.59	0.009	0.026	0.014	0.005	0.021	0.073	0.114	0.11	0.186	0.004	0.001	0.001	0.001	0.009	0	0.006	0.081	0.024	0.009	0.003	0.018	0.002	0.033	0.029	0.004	0.095	0.041	0.002	0.011	0.041	0.01	0.012	0.001	0.019	0.018	0.015	0.495	0.03
ASV_64	1.647	8.487	0.324399831266237	0.607143784889299	NotSig	0.025	0.011	0.005	0.06	0	0.453	0.001	0.033	0.002	0.002	0.004	0	0	0	0.002	0.005	0.001	0.001	0.002	0	0	0	0	0	0	0.026	0.209	0	0	0	0.006	0	0	0.015	0	0.051	0.041	0	0	0	0	0	0
ASV_96	1.511	8.725	0.33224945157481	0.607143784889299	NotSig	0.036	0.013	0.003	0.002	0.005	0	0.003	0	0.005	0	0	0	0.005	0	0	0.143	0	0.095	0.547	0.085	0	0	0.001	0.002	0.003	0.162	0	0	0.098	0	0	0.001	0	0	0.043	0	0.004	0.001	0	0.051	0	0.046	0
