ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083
ASV_36	0.727	13.057	0.393939626316746	0.634055208071715	NotSig	0.675	0.496	0.131	0.305	0.612	2.169	0.033	0.339	0.007	0.002	0.018	0.123	0.01	0.019	0.118	3.62	0.629	0.053	1.76	0.261	0.346	0.242	4.744	0.261	0.068	0.701	0.341	0.528	0.338	0.075	1.571	0.89	0.19	1.654	0.112	0.15	0.139	0.598	0.164	2.237	0.606	0.004	0.069
ASV_85	0.551	11.121	0.401444653254966	0.640039116981975	NotSig	0.172	0.146	0.223	0.26	0.832	0.55	0.24	0.064	0.043	0.032	0.186	0.147	0.174	0.134	0.244	0.631	0.394	0.141	0.114	0.074	0.087	0.042	0.052	0.252	0.058	0.07	0.165	0.189	0.027	0.055	0.113	0.022	0.01	0.024	0.033	0.318	0.097	0.242	0.065	0.189	0.232	0	0.023
ASV_8	0.593	12.695	0.408489001793603	0.64445341316517	NotSig	0.518	0.448	2.327	0.765	0.664	0.068	0.595	0.43	0.109	0.041	0.746	0.581	1.019	1.009	0.053	0.551	0.167	0.048	0.215	0.043	0.105	2.938	0.891	0.52	0.127	0.044	0.01	0.062	0.146	0.054	0.742	0.117	0.456	0.991	0.448	0.352	0.731	0.035	0.458	0.832	0.995	0.079	0.102
ASV_24	1.203	11.575	0.411840051016795	0.64445341316517	NotSig	0.247	0.158	0	0.002	0.003	0.002	0.001	0.002	0	0	0	0.004	0	0	0.007	0.003	0	0.009	0.22	0.161	0.191	0.004	0.072	0.088	0.013	0.413	0.006	0.653	5.674	0.273	0.343	0.003	0.008	0	0.003	0	0	0.067	0.197	0	0.895	0.107	0
ASV_118	0.656	8.889	0.418426162091528	0.648303711731578	NotSig	0.036	0.025	0	0.027	0.069	0	0.024	0.029	0.007	0.002	0.009	0.004	0.006	0.002	0.024	0.132	0.014	0.001	0.119	0.093	0.047	0.05	0.042	0.075	0.103	0.055	0.004	0.002	0.076	0.006	0.074	0.004	0.004	0.03	0.053	0	0	0.055	0.011	0.088	0.043	0.004	0.004
ASV_130	0.665	11.44	0.421972830121145	0.648303711731578	NotSig	0.219	0.168	0.048	0.022	0.069	0.042	0.018	0.023	0.009	0.011	0.018	0.022	0.005	0.004	0.614	0.133	0.05	1.458	0.922	0.18	0.464	0.103	0.73	0.533	0.001	0.406	0.908	0.062	0.057	0.053	0.026	0.028	0.128	0.067	0.015	0.53	0.064	0.318	0.102	0.159	0.121	0.036	0.012
ASV_79	0.544	11.993	0.440255359038564	0.664577874397846	NotSig	0.305	0.264	0.03	0.19	0.127	0.195	0.041	0.181	0.054	0.051	0.069	0.035	0.069	0.132	0.225	0.859	0.225	1.664	0.934	0.413	0.839	0.44	0.227	0.547	0.497	0.281	0.813	0.097	0.18	0.094	0.143	0.037	0.153	0.195	0.02	0.23	0.042	0.362	0.559	0.592	0.319	0.004	0.007
ASV_127	0.972	11.322	0.440430307293247	0.664577874397846	NotSig	0.157	0.115	0.184	0.032	0.048	1.302	0.462	0.086	0.194	0.801	0.402	1.382	0	0.13	0.002	0.003	0.045	0.001	0	0.001	0.005	0.004	0	0	0.001	0	0	0.009	0.002	0.028	0.006	0.01	0.013	0.003	0.021	0.444	0.194	0.002	0.028	0	0	0.102	0.153
ASV_235	0.476	10.417	0.463173054696357	0.692710143749418	NotSig	0.1	0.092	0.005	0.045	0.2	0.026	0.013	0.041	0.078	0.021	0.073	0.053	0.178	0.031	0.283	0.362	0.179	0.161	0.153	0.108	0.205	0.324	0.134	0.051	0.15	0.048	0.024	0.043	0.023	0.024	0.018	0.076	0.157	0.02	0.008	0.25	0.027	0.07	0.224	0.077	0.068	0.005	0.016
ASV_80	0.985	5.926	0.471533598730422	0.699027878819661	NotSig	0.002	0.001	0	0.003	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.01	0.032	0.001	0.001	0.005	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.005	0	0.002	0	0
ASV_146	-0.591	11.691	0.479377456127924	0.699808387816853	NotSig	0.203	0.326	0.011	0.035	0.05	0.022	0.013	0.01	0.028	0.019	0.018	0.004	0.002	0.033	0.274	1.096	0.245	0.758	0.68	0.696	0.131	0.203	0.233	0.195	0.063	0.162	1.123	0.052	0.117	0.134	0.083	0.026	0.1	0.078	0.008	0.024	0.061	2.059	0.238	0.175	0.053	0	0
ASV_104	0.718	11.996	0.492869273209187	0.699808387816853	NotSig	0.276	0.237	0.048	0.312	0.236	0.026	6.03	0.341	0.144	0.032	0.337	0.018	0.022	0.021	0.004	0.009	0.033	0.007	0.041	0.019	0.03	0.011	0.001	0.012	0	0.266	0.154	0.301	0.002	0.003	0.192	0.095	0.008	0.037	0.312	0.102	1.232	0.02	0.003	0.008	0.085	0.425	0.018
ASV_407	0.831	8.361	0.493722083394543	0.699808387816853	NotSig	0.027	0.014	0.002	0	0.008	0	0	0.016	0.002	0	0	0	0.005	0.002	0.001	0.051	0.007	0	0	0.005	0	0	0.003	0.008	0.006	0.004	0.018	0.014	0.01	0.008	0.609	0	0.002	0.069	0.028	0	0	0.004	0	0.054	0.011	0.029	0.014
ASV_17	0.479	13.331	0.496925404838865	0.699808387816853	NotSig	0.917	0.667	0.065	5.278	3.314	0.098	0.169	0.049	0.863	0.03	0.593	0.117	0.261	0.067	0.949	0.48	0.445	1.286	0.73	1.129	4.539	0.752	0.176	1.073	2.969	1.1	0.567	0.509	0.152	0.934	0.083	0.118	1.226	0.12	0.031	0.401	0.236	0.564	0.884	1.049	0.478	1.684	0.039
ASV_69	-0.546	11.404	0.498481296731447	0.699808387816853	NotSig	0.161	0.299	0.086	0.337	0.098	0.204	0.491	0.016	0.054	0.401	0.171	0.568	0.929	1.032	0.057	0.005	0.03	0.048	0.124	0.003	0.02	0.034	0.025	0.018	0.171	0.011	0	0.192	0.012	0.017	0.014	0.012	0.029	0.008	0.102	0.247	1.341	0.007	0.029	0.028	0.026	0.552	0.164
ASV_26	0.441	12.14	0.498789825468678	0.699808387816853	NotSig	0.304	0.221	0.318	0.322	0.468	0.114	0.334	0.123	0.643	1.11	0.715	0.343	0.265	0.518	0.283	0.531	0.362	0.069	0.11	0.063	0.145	0.103	0.018	0.516	0.219	0.055	0.108	0.116	0.027	0.107	0.296	0.359	0.504	0.197	0.574	0.18	0.149	0.082	0.055	0.092	0.223	0.236	0.748
ASV_131	-0.944	8.603	0.503228799049296	0.699808387816853	NotSig	0.022	0.051	0	0.003	0	0	0	0.008	0	0	0	0	0	0	0.001	0	0.074	0	0.007	0.001	0.255	0.041	0.053	0.061	0	0	0	0.005	0	0.101	0.064	0	0.067	0.001	0	0	0	0	0.004	0.405	0	0	0.002
ASV_110	-0.714	12.097	0.505187120199149	0.699808387816853	NotSig	0.268	0.565	0.579	0.107	0.917	0.562	1.492	0.041	0.057	0	0.084	2.361	0.593	0.886	0.001	0	0.021	0.009	0.018	0	0.002	0.006	0.003	0.002	0.102	0.015	0.004	0.002	0.012	0	0.029	0	0.01	0.007	0.914	1.753	0.527	0.002	0.106	0.001	0.03	2.07	0.03
ASV_124	0.472	10.402	0.526938291411887	0.717469474689711	NotSig	0.086	0.093	0.153	0.054	0.213	0.007	0.074	0.148	0.414	0.487	0.027	0.072	0.062	0.075	0.112	0.043	0.026	0.134	0.098	0.06	0.047	0	0.013	0.012	0.15	0.048	0.014	0.097	0.088	0.004	0.018	0.056	0.017	0.01	0.02	0.199	0.296	0.098	0.029	0.018	0.091	0.007	0.005
ASV_76	0.366	11.482	0.529406512749326	0.717469474689711	NotSig	0.211	0.168	0.065	0.062	0.128	0.374	0.088	0.039	0.227	0.107	0.468	0.683	0.201	0.295	0.154	0.46	0.088	0.13	0.245	0.096	0.122	0.648	0.181	0.254	0.11	0.151	0.12	0.161	0.07	0.111	0.304	0.074	0.188	0.42	0.122	0.114	0.057	0.472	0.275	0.07	0.147	0.007	0.203
ASV_38	0.561	13.218	0.530672688379964	0.717469474689711	NotSig	0.66	0.607	0.299	0.138	0.136	0.519	1.529	0.31	2.64	1.36	0.311	3.122	3.283	2.148	0.061	0.01	0.105	0.197	0.087	0.04	0.029	0.024	0.035	0.111	0.185	0.103	0.081	0.104	0.041	0.277	0.153	0.107	0.065	0.032	4.128	0.143	3.793	0.03	0.064	0.018	0.147	0.542	0.123
ASV_188	0.566	10.907	0.539441132466917	0.719379508702686	NotSig	0.162	0.109	0.003	1.264	0.317	0.018	0.053	0	0.303	0.053	1.405	0.061	0.075	0.002	0.093	0.006	0.007	0.589	0.076	0.021	0.098	0.029	0.004	0.017	0.018	0.343	0.142	0	0.002	0.01	0.006	0.006	0.209	0.04	0.068	0.133	0.015	0.038	0.005	0.015	0.023	0.61	0.032
ASV_167	0.536	9.76	0.540598802397876	0.719379508702686	NotSig	0.067	0.057	0.148	0.008	0.056	0.002	0.029	0.035	0.012	0.011	0.007	0.031	0	0	0.027	0.075	0.118	0.012	0.249	0.008	0.102	0.022	0.602	0.066	0	0.026	0.022	0.083	0.018	0.014	0.031	0.259	0.073	0.055	0.007	0.214	0	0.103	0.038	0.035	0.066	0	0
ASV_21	0.55	13.021	0.548302600736315	0.721873017813504	NotSig	0.629	0.579	1.106	0.342	0.069	0.018	0.024	0.103	0	0.004	0.002	0.004	0.008	0.008	0.129	2.702	2.134	0.027	0.213	0.096	0.473	2.443	0.159	1.878	0.036	1.056	0.144	0.701	0.107	0.115	0.327	1.663	0.092	4.411	0.162	0.604	0.186	0.124	0.111	0.889	2.26	0.07	0.392
ASV_74	-0.394	11.556	0.55101549880439	0.721873017813504	NotSig	0.226	0.34	0.308	0.035	0.082	0.006	0.16	0.111	0.017	0.013	0.007	0.276	0.026	0.015	0.279	0.04	0.166	0.212	0.6	0.027	0.298	0.113	0.572	0.887	0.018	0.583	0.215	0.739	0.023	0.193	0.144	0.547	0.153	0.305	0.283	0.408	0.027	0.473	0.574	0.458	0.731	0.002	0.042
ASV_12	0.51	14.092	0.578351991880691	0.749476742758411	NotSig	1.439	1.232	0.095	0.193	0.095	3.424	0.024	0.111	0.118	0.077	0.124	0.01	0.006	0.098	0.238	0.048	0.15	0.566	1.002	0.222	0.556	1.701	0.343	10.752	3.691	2.883	4.282	0.919	1.383	2.463	0.774	3.863	6.308	0.964	0.008	0.012	0.01	0.843	4.69	0.922	3.364	0.007	0.005
ASV_107	-0.454	8.907	0.580955344978414	0.749476742758411	NotSig	0.029	0.044	0.012	0.002	0	0.006	0.03	0.031	0.021	0	0	0.074	0.005	0.002	0.399	0.018	0.02	0.042	0.071	0.012	0.014	0.007	0.004	0.068	0	0.007	0.006	0.007	0.004	0.015	0.015	0.017	0.004	0.021	0.033	0.003	0.001	0.133	0.174	0.009	0.017	0.011	0.005
ASV_65	0.501	13.618	0.597498429943445	0.764979050457896	NotSig	0.808	0.718	0.226	0.149	0.167	8.91	4.347	0.713	0.447	1.719	1.037	1.139	1.046	4.008	0.052	0.021	0.262	0.022	0.089	0.014	0.148	0.081	0.351	0.095	0.629	0.118	0.006	0.04	0.066	0.112	0.072	0.017	0.006	0.009	0.539	1.41	1.926	0.024	0.219	0.106	0.019	0.937	1.103
ASV_40	0.331	12.717	0.610438584186538	0.775670080658082	NotSig	0.512	0.537	0.112	0.383	0.518	0.098	0.045	0.051	0.234	0.021	0.04	0.047	1.113	0.046	0.662	0.572	0.529	2.031	0.684	0.206	1.008	1.003	0.694	0.576	0.586	0.775	0.512	0.642	0.777	0.518	0.193	0.591	1.464	0.136	0.04	1.877	0.239	0.303	0.521	0.535	0.663	0.102	0.06
ASV_58	0.498	12.883	0.619054611352794	0.780747979989718	NotSig	0.553	0.496	0.098	0.096	0.152	0.072	0.032	0.341	0.005	0.002	0	0.07	0.006	0.013	0.129	6.756	0.387	0.02	2.062	0.182	0.23	0.134	3.086	1.62	0.056	0.233	0.215	0.142	0.053	0.109	0.567	0.048	0.069	1.261	0.007	0.06	0.067	0.584	0.078	3.042	0.132	0	0.004
ASV_174	0.598	12.11	0.634008322078403	0.793611997635511	NotSig	0.292	0.26	0.107	0.366	0.263	0.004	6.768	0.156	0.144	0.043	0.038	0.08	0.042	0.004	0	0.004	0.004	0.001	0.046	0.016	0.187	0	0	0.003	0	0.528	0.014	0	0.006	0	0.003	0.034	0.008	0.018	0.742	0.063	0.773	0	0.008	0.005	0.102	1.081	0.046
ASV_7	-0.377	14.735	0.638646341292482	0.793611997635511	NotSig	1.774	2.812	0.259	1.072	1.252	0.094	3.203	15.375	1.303	1.285	3.437	2.701	5.303	12.042	0.288	0.106	0.917	0.108	0.217	0.1	0.307	0.697	0.343	0.332	4.487	0.177	0.069	0.914	0.139	0.089	0.555	0.183	0.307	0.22	0.665	0.683	16.696	0.047	0.457	0.797	0.315	1.757	1.745
ASV_49	0.337	11.288	0.659799835917017	0.808246979601826	NotSig	0.199	0.188	0.05	0.535	0.869	0.011	0.321	0.438	0.043	0.021	0.049	0.006	0	0.021	0.07	0.022	0.102	0.932	0.49	0.029	0.14	0.07	0.071	0.323	0.148	0.162	0.479	0.123	0.48	0.033	0.271	0.067	0.059	0.122	0.005	0.043	0.1	0.195	0.042	0.757	0.353	0	0.014
ASV_77	0.431	12.258	0.659988657899716	0.808246979601826	NotSig	0.353	0.293	0.031	0.023	0.003	0.079	0.001	0.025	0.009	0.009	0	0.002	0.01	0.002	0.272	0.323	0.106	0.343	0.515	4.987	0.166	0.231	0.208	0.804	0.053	0.162	1.818	0.185	0.121	0.177	0.288	0.032	0.31	0.365	0.002	0.133	0.067	1.539	0.135	0.217	0.247	0	0.009
ASV_87	0.309	11.276	0.678136972352672	0.824497469982745	NotSig	0.175	0.194	0.154	0.133	0.192	0.643	0.156	0.142	0.064	0.16	0.482	0.593	0.72	0.953	0.007	0.083	0.037	0.003	0.041	0.015	0.039	0.194	0.052	0.022	0.269	0.011	0.016	0.083	0.014	0.022	0.08	0.028	0.019	0.097	0.264	0.116	0.539	0.01	0.022	0.121	0.568	0.093	0.088
ASV_28	1.032	8.382	0.690104586888758	0.832755277042634	NotSig	0.03	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.581	0.052	0.154	0	0.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108	0	0	0	0
ASV_29	0.258	12.227	0.694783988538529	0.832755277042634	NotSig	0.37	0.368	0.366	0.181	0.721	0.122	1.071	0.983	1.32	0.07	0.233	0.09	0.216	1.582	0.045	0.089	0.079	0.128	0.172	0.052	0.042	0.105	0.031	0.155	1.25	0.317	0.341	0.286	0.267	0.295	0.854	0.314	0.1	0.107	0.218	0.163	1.569	0.025	0.08	0.112	0.659	0.116	0.221
ASV_52	-0.291	12.428	0.726834632041548	0.863553477191281	NotSig	0.375	0.472	0.023	0.5	0.043	0.33	0.047	0.023	0.097	0.066	1.257	5.87	0.384	0.215	0.035	0.005	0.007	0.022	0.027	0.032	0.027	0.067	0.252	0.707	0.01	0.181	0.043	0.372	0.08	0.014	0.057	0.123	0.042	0.184	1.218	0.94	0.09	0.159	0.059	0.044	0.412	1.203	0.864
ASV_88	-0.341	12.071	0.733620373964754	0.863553477191281	NotSig	0.284	0.42	0.188	0.057	0.027	0.031	0.344	0.236	1.171	0.339	2.113	0.81	2.34	0.698	0.004	0.001	0.011	0.004	0.005	0.001	0.018	0.004	0.007	0.014	0.418	0.011	0.006	0.007	0.004	0.022	0.017	0.015	0.004	0.003	0.43	0.43	0.301	0	0.036	0.003	0.026	2.511	0.049
ASV_112	-0.271	10.348	0.744560954620009	0.863553477191281	NotSig	0.092	0.147	0.011	0.354	0.034	0.199	0.017	0	0.071	0.049	0.033	0.018	0.045	0.086	0.024	0.043	0.02	0.251	0.654	0.048	0.003	0.006	0.007	0.034	0.015	0.037	0.057	0.024	0.01	0.011	0	0.006	0.002	0.013	0.85	0.857	0.206	0.008	0.008	0.007	0.03	0.041	0.019
ASV_34	0.202	10.975	0.744670746358382	0.863553477191281	NotSig	0.156	0.145	1.006	0.097	0.24	0.055	0.189	0.027	0.114	0.036	0.104	0.082	0.094	0.209	0.06	0.039	0.089	0.012	0.034	0.052	0.03	0.038	0.01	0.065	0.414	0.192	0.471	0.277	0.152	0.157	0.31	0.043	0.029	0.073	0.354	0.211	0.145	0.061	0.042	0.016	0.344	0.139	0.199
ASV_84	-0.282	10.993	0.746028447751047	0.863553477191281	NotSig	0.144	0.18	0.202	0.003	0.01	0.002	0.033	0.152	0	0.006	0	0.184	0.008	0.021	0.071	0.027	0.125	0.053	0.359	0.005	0.167	0.021	0.074	0.758	0	0.004	0.055	0.22	0.121	1.079	0.302	0.045	0.157	0.481	0.013	0.204	0.004	0.872	0.266	0.015	0.07	0.002	0.011
ASV_37	-0.249	12.627	0.752083209149316	0.864639879906357	NotSig	0.41	0.655	0.132	0.002	0.128	0.341	0.03	0.031	0.005	0.002	0.06	2.594	0.053	0.063	0.075	2.404	0.352	0.232	0.718	0.096	0.214	0.236	0.105	0.32	0.545	0.712	0.305	0.173	0.111	1.953	0.132	0.815	0.316	0.135	0.144	0.35	0.057	0.084	3.687	0.179	0.74	0.129	0.014
ASV_199	0.266	7.732	0.766268009509683	0.873783116088645	NotSig	0.013	0.011	0	0.005	0.002	0	0	0	0.002	0.002	0.018	0.012	0	0	0.006	0	0.02	0.071	0	0.001	0.02	0.006	0.003	0.012	0.025	0.022	0.008	0	0.008	0.003	0.009	0	0.05	0.009	0.101	0.005	0.025	0.008	0.01	0.004	0.013	0.007	0.018
ASV_141	-0.219	10.594	0.770376830160995	0.873783116088645	NotSig	0.115	0.152	0.039	0.008	0.037	0.07	0.018	0.027	0	0.002	0.009	0.025	0.01	0.006	0.019	0.047	0.22	0.052	0.286	0.015	0.033	0.211	1.039	0.274	0.078	0.103	0.049	0.218	0.037	0.233	0.106	0.025	0.069	0.382	0.033	0.009	0.008	0.111	0.351	0.584	0.142	0.007	0.004
ASV_200	0.194	11.451	0.790804956472264	0.890385793635555	NotSig	0.207	0.215	0.095	0.045	0.072	0.081	0.011	0.234	0.043	0.013	0.08	0.037	0.053	0.036	0.051	0.446	0.136	0.037	0.208	0.03	0.133	1.774	0.888	0.472	0.275	0.03	0.006	0.083	0.027	0.019	0.169	0.088	0.061	0.996	0.099	0.07	0.113	0.085	0.679	0.547	0.121	0.05	0.053
ASV_108	0.251	11.138	0.795551803780881	0.890385793635555	NotSig	0.178	0.163	0	0.112	0.03	0.026	0.004	0.025	0.002	0.004	0.002	0	0	0.01	0.093	0.04	0.129	1.59	0.318	0.266	0.114	0.085	0.029	0.186	0.164	1.779	0.593	0.026	0.062	0.022	0.023	0.04	0.01	0.089	0	0.007	0.241	0.386	0.045	0.508	0.1	0.014	0
ASV_149	-0.163	10.451	0.813186945579416	0.904135485545535	NotSig	0.1	0.131	0.019	0.06	0.022	0.315	0.032	0.029	0.005	0.013	0.002	0.002	0.005	0.023	0.011	0.295	0.033	0.073	0.275	0.077	0.441	0.143	0.1	0.315	0.134	0.059	0.128	0.078	0.1	0.076	0.25	0.015	0.046	0.126	0.008	0.173	0.075	0.317	0.066	0.248	0.162	0.002	0.004
ASV_11	0.193	14.592	0.821645810690238	0.907569555599021	NotSig	1.716	1.744	0.93	0.529	0.324	9.325	1.67	11.761	1.575	0.451	0.966	2.32	6.128	2.196	0.063	0.2	0.397	0.046	0.325	0.049	0.128	0.468	0.428	0.148	2.182	0.373	0.004	0.194	0.14	0.632	0.086	0.061	2.564	0.108	9.869	3.683	0.878	0.066	1.091	0.23	0.117	6.317	1.568
ASV_62	-0.196	11.806	0.83237945297816	0.913455373722786	NotSig	0.239	0.253	0.431	0.097	0.079	0.131	0.892	0.086	0.622	0.126	0.415	1.544	1.347	0.915	0	0.018	0.041	0.001	0.039	0	0.011	0.013	0.057	0.596	0.028	0.022	0.006	0.002	0.043	0.008	0.124	0.008	0.01	0.051	0.119	0.17	0.636	0.008	0	0.047	0.047	0.324	0.794
ASV_46	-0.154	12.492	0.838239152654057	0.913951076119585	NotSig	0.366	0.524	0.388	0.023	0.069	0.134	0.045	0.247	0.054	0.002	0.004	0.02	0.034	0.021	0.204	3.26	0.218	0.05	0.368	0.413	0.511	1.073	0.728	0.457	0.019	0.384	0.179	0.08	0.059	0.129	0.146	1.991	0.125	0.309	0.349	0.845	0.589	0.374	0.136	0.745	0.772	0.231	0.499
ASV_82	0.138	10.934	0.879468534191651	0.947752749994057	NotSig	0.195	0.175	0.125	0.059	0.306	0	0.026	0.049	0.009	0.002	0	0.006	0	0	0.047	0.004	0.086	0.037	0.05	0.012	0.47	0.064	0.05	0.484	0.216	3.008	0.406	0.215	0.08	0.076	0.038	0.375	0.05	0.082	0.003	0.012	0.05	0.036	0.059	0.778	0.463	0	0.004
ASV_23	0.106	13.326	0.880456696740041	0.947752749994057	NotSig	0.746	0.671	0.178	0.247	0.244	1.475	0.336	0.308	0.305	0.141	0.924	0.785	0.323	0.38	0.139	0.066	0.94	0.071	0.38	0.023	0.093	5.856	0.76	0.358	0.509	0.458	0.146	0.767	0.201	0.341	0.535	0.219	0.249	2.249	4.597	0.425	0.741	0.048	0.233	0.3	0.678	1.367	1.575
ASV_94	0.118	12.349	0.893929694003052	0.95616530561086	NotSig	0.332	0.431	0.304	0.139	0.322	0.228	4.112	0.294	1.114	0.57	0.02	0.28	1.081	0.284	0.022	0.029	0.079	0.004	0.039	0.016	0.069	0.013	0.021	0.075	0.152	0.273	0.018	0.005	0.035	0.024	0.04	0.018	0.008	0.015	1.243	0.386	2.386	0.047	0.067	0.024	0.145	0.265	0.129
ASV_121	-0.085	10.671	0.904047098064258	0.960905406118614	NotSig	0.125	0.16	0.062	0.002	0.16	0.006	0.003	0.025	0.021	0.006	0.02	0.012	0.014	0.002	0.084	0.041	0.099	0.18	0.069	0.11	0.059	0.052	0.04	0.603	0.093	0.602	0.376	0.116	0.045	0.423	0.097	0.235	0.138	0.184	0.139	0.041	0.027	0.099	0.577	0.059	0.461	0.009	0.004
ASV_25	-0.057	13.067	0.928001442037069	0.972836023234573	NotSig	0.649	0.725	0.207	0.042	0.552	0.094	0.091	0.423	0.324	0.181	0.311	0.337	0.566	0.098	0.948	0.135	0.103	0.503	0.97	0.329	0.282	0.539	3.978	1.188	0.009	1.299	1.158	0.788	0.189	1.635	0.251	1.005	1.167	1.228	0.474	1.304	0.086	0.272	1.988	0.319	0.825	0.238	0.769
ASV_147	-0.075	10.678	0.92968899376051	0.972836023234573	NotSig	0.129	0.187	0.008	0.02	0.058	0.024	0.011	0.086	0.002	0.011	0.007	0.002	0.011	0	0.012	0.439	0.033	0.003	0.165	0.019	0.039	0.028	1.209	0.138	0.02	0.539	0.053	0.298	0.14	0.066	0.481	0.099	0.033	0.209	0.002	0.328	0.031	0.036	0.01	0.182	0.91	0	0.002
ASV_119	0.096	12.459	0.933144372914205	0.972836023234573	NotSig	0.482	0.412	0.003	1.695	3.38	0.177	0.128	0	0.246	0.167	7.901	0.012	0	0.002	0.022	0.003	0.006	0.105	0.039	0.003	0.012	0.001	0.006	0.017	0.014	0.162	0.022	0	0.004	0.017	0.011	0.004	0.048	0.01	1.703	0.041	0.086	0.013	0.055	0.008	0.006	3.012	0.076
ASV_81	-0.073	12.523	0.938297466196659	0.972836023234573	NotSig	0.376	0.475	0.235	0.076	0.223	0.458	0.685	0.117	0.132	0.726	0.393	2.112	3.996	1.801	0.066	0.005	0.231	0.001	0.014	0	0.017	0.11	0.028	0.037	0.138	0.044	0.006	0.05	0.014	0.012	0.02	0.022	0.017	0.006	0.603	0.585	0.777	0.01	0.006	0.03	0.026	1.979	0.392
ASV_27	0.052	11.893	0.944940018477953	0.973749165382768	NotSig	0.28	0.326	0.431	0.401	0.22	0	1.881	0.201	0.239	0.228	0.135	0.061	0.146	0.33	0.069	0.016	0.051	0.01	0.062	0.032	0.047	0.089	0.061	2.13	0.001	0.21	0.077	0.58	0.156	0.202	0.336	0.061	0.232	0.061	0.473	0.228	1.264	0.068	0.043	0.053	0.576	0.188	0.191
ASV_39	-0.033	11.439	0.964030532345762	0.97746755827371	NotSig	0.209	0.267	0.223	0.46	0.317	0.046	0.522	0.514	0.397	0.038	0.124	0.025	0.12	0.021	0.011	0.08	0.238	0.02	0.13	0.018	0.224	0.103	0.025	0.071	0.005	0.096	0.079	0.298	0.012	0.007	0.576	0.063	0.084	1.864	0.088	0.163	1.413	0.017	0.038	0.038	0.368	0.089	0.009
ASV_63	-0.034	11.869	0.965281677992009	0.97746755827371	NotSig	0.297	0.317	0.136	0.055	0.04	0.387	0.015	0.084	0.014	0.006	0.013	0.014	0.01	0.002	0.043	0.194	0.367	0.032	0.675	0.06	0.167	0.263	0.523	0.077	0.135	0.926	0.886	0.421	0.219	0.065	1.656	0.559	0.092	1.674	0.003	0.148	0.109	0.819	0.15	1.092	0.191	0.013	0.014
ASV_129	0.03	9.735	0.965899894862187	0.97746755827371	NotSig	0.059	0.057	0.364	0.022	0.026	0.081	0.016	0.016	0.331	0.047	0.049	0.112	0.061	0.046	0.01	0.001	0.055	0.012	0.009	0.01	0.018	0.011	0.001	0.005	0.096	0.026	0.014	0.021	0.066	0.028	0.156	0.023	0.065	0.031	0.132	0.088	0.079	0.006	0.019	0.005	0.06	0.064	0.136
ASV_41	0.007	12.959	0.993569273460133	0.999475936454319	NotSig	0.659	0.646	0.006	4.898	0.882	0.039	0.116	0.008	3.732	0.184	4.968	0.168	0.142	0.015	1.021	0.127	0.045	0.295	0.13	0.158	0.53	0.138	0.209	0.251	0.671	0.797	0.15	0.026	0.14	0.435	0.031	0.021	1.291	0.079	0.043	0.029	0.059	0.093	0.613	0.852	0.174	3.31	0.039
ASV_220	0	10.754	0.999475936454319	0.999475936454319	NotSig	0.118	0.157	0.014	0.076	0.08	0.05	0.036	0.07	0.045	0.041	0.049	0.033	0.04	0.042	0.303	0.465	0.183	0.15	0.384	0.373	0.185	0.238	0.109	0.106	0.072	0.055	0.095	0.052	0.144	0.046	0.026	0.055	0.165	0.095	0.028	0.269	0.236	0.154	0.243	0.145	0.196	0.005	0.005
