ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_107	2.198	9.929	0.00977330024032521	0.0394833780648057	Enriched	0.092	0.023	0.447	0.001	0.016	0.04	0.062	0.035	0.063	0.013	0.025	0.107	0.317	0.085	0.419	0.08	0.825	0.142	0.229	0.161	0.04	0	0	0	0.055	0.001	0.008	0	0.005	0	0.004	0.262	0.004	0.006	0	0	0.011	0.011	0.015	0.01	0.008	0.17	0.023	0.044	0.01	0.11	0.007	0.007	0.012	0.011	0	0	0.006	0	0.087	0.001	0.021
ASV_62	-1.802	13.084	0.00981243715220022	0.0394833780648057	Depleted	0.285	0.887	0.038	0.018	0.047	0.025	0.025	0.105	0.062	0.064	0.019	0.093	0.038	0.045	0.028	0.014	0.032	0.019	0.029	0.025	0.075	0.641	0.723	0.235	0.222	0.243	0.443	0.124	0.473	0.841	0.018	0.002	0.059	0.068	0.025	4.506	0.118	0.377	0.173	0.172	0.089	1.027	0.025	0.205	0.171	0.042	4.86	2.206	0.171	0.087	0.12	0	4.253	0.26	0.001	0.005	0.897
ASV_15	-1.635	14.588	0.0125366068211857	0.0480480860494976	Depleted	0.837	2.077	0.04	0.059	0.163	0.342	0.511	0.184	0.502	0.036	0.306	0.522	0.094	0.061	0.02	0.04	0.042	0.065	0.205	0.123	0.178	0.937	1.284	0.848	1.533	1.103	4.334	0.57	0.487	1.58	5.223	0.038	0.475	0.321	0.108	6.121	0.43	1.003	0.169	0.304	0.557	2.56	0.256	0.403	0.39	0.181	2.794	3.988	1.649	1.099	0.646	0.006	14.61	1.135	0.091	0.003	3.903
ASV_82	2.16	10.819	0.0127362858114638	0.0480480860494976	Enriched	0.226	0.062	0.027	0.237	1.881	0.628	0.285	0.674	0.184	1.46	0.296	0.006	0.307	0.209	0.108	0.073	0.044	0.135	0.426	0.343	0.024	0	0	0.018	0	0.004	0.005	0.003	0.002	0	0.026	0	0.008	0.348	0.011	0.002	0.747	0.016	0.479	0.008	0.013	0.022	0	0.038	0.442	0.22	0	0.13	0.037	0.022	0.03	0.008	0.004	0	0	0	0.005
ASV_136	2.397	10.654	0.0129346045439454	0.0480480860494976	Enriched	0.115	0.032	0	0	0	0.009	0.044	0.002	0.005	0.098	0.006	0	0.036	0.003	0.067	0.014	0.005	0.014	0.224	0.05	0.128	1.459	0.022	0.012	0.017	0.007	0.003	0.121	0.037	0.533	0	0.263	0.032	0.021	0.003	0	0.011	0.05	0.004	0.972	0.194	0.122	0.017	0.031	0	0.274	0.022	0.021	0.032	0.025	0	0.003	0.049	0	0.003	0.001	0
ASV_2	1.404	15.897	0.0130781772679106	0.0480480860494976	Enriched	5.951	2.552	18.488	4.636	6.745	6.415	5.587	10.091	4.751	3.229	10.15	2.69	3.357	3.448	4.677	23.147	4.067	2.584	8.242	9.563	2.157	0.49	0.163	12.229	0.4	2.737	0.346	0.721	9.056	1.118	1.444	1.895	0.885	24.064	2.544	0.495	6.399	6.606	19.696	0.749	9.24	2.731	4.733	5.416	7.679	8.272	1.883	1.49	1.767	1.273	2.637	1.874	0.229	0.015	0.028	0.638	0.349
ASV_121	1.562	9.802	0.0138201247552573	0.0494898786915087	Enriched	0.099	0.029	0.083	0.022	0.036	0.098	0.035	0.348	0.155	0.586	0.12	0.197	0.082	0.167	0.171	0.059	0.435	0.219	0.203	0.13	0.229	0.018	0.003	0.006	0.004	0.008	0.003	0.017	0.003	0.053	0.011	0.002	0.002	0.003	0.013	0.004	0.058	0.016	0.03	0.008	0.081	0.242	0.031	0.11	0.055	0.034	0.007	0.072	0.009	0.041	0.013	0.034	0.006	0	0	0.021	0
ASV_98	3.254	9.349	0.014056296906464	0.0494898786915087	Enriched	0.086	0.006	0	0	0	0.011	0.022	0.293	0.008	0	0.003	0.066	0.098	2.014	0.049	0	0.124	0.095	0	0	0	0.14	0.024	0.088	0.198	0.188	0	0.001	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.011	0.012	0	0.007	0.005	0.021	0.034	0	0	0.001	0	0	0.003	0
ASV_11	-1.431	13.815	0.0144384236932149	0.0497978286561901	Depleted	0.707	1.249	0.133	0.328	0.47	0.2	0.486	0.132	0.643	0.292	0.939	0.893	0.115	0.201	0.043	0.115	0.032	0.049	1.56	0.174	0.715	0.806	1.454	0.214	0.56	0.702	0.502	0.95	0.24	6.423	0.086	0.027	0.113	0.821	0.811	1.555	1.492	1.943	0.419	1.305	0.2	0.136	0.403	0.267	0.244	1.367	0.323	2.268	0.526	0.69	1.233	0.008	7.069	0.038	0.006	0.023	4.272
ASV_44	1.96	11.586	0.0150524843779597	0.0500444004341779	Enriched	0.406	0.106	5.79	0.183	0.044	0.889	0.694	0.55	4.62	0.049	0.076	0.513	0.11	1.411	0.069	0.174	0.17	0.051	0.017	0.027	0.046	0.01	0.155	0.085	0.006	0.041	0.011	0.036	0.014	0.036	0	0.007	0.036	0.035	0.03	0.139	0.012	0.055	0.008	0.017	0.003	0.001	0.116	0.875	0.23	0.056	0.005	0.156	0.021	0.055	0	0.056	0.006	0.003	0.003	0.001	0.011
ASV_870	1.802	10.919	0.0153442433057759	0.0500444004341779	Enriched	0.23	0.056	0.017	0.007	0.015	0.095	0.496	0.033	0.214	0.107	0.145	0.773	0.755	0.209	1.984	0.202	1.705	0.393	0.52	0.454	0.141	0.001	0.005	0.006	0.152	0.011	0.045	0.021	0.011	0.006	0.051	0.172	0	0.006	0.008	0.021	0.134	0.172	0.049	0.029	0.009	0.017	0.131	0.086	0.061	0.191	0.029	0.039	0.06	0.039	0.002	0	0.002	0	0	0.001	0.196
ASV_134	1.326	9.58	0.0153982770566701	0.0500444004341779	Enriched	0.074	0.028	0.005	0.057	0.023	0.068	0.06	0.048	0.076	0.009	0.101	0.403	0.067	0.077	0.051	0.068	0.052	0.491	0.168	0.098	0.048	0.013	0.017	0.021	0.036	0.008	0.058	0.317	0.162	0.103	0.035	0.064	0.008	0.009	0.005	0.014	0.033	0.014	0.009	0.025	0.023	0.011	0.029	0.052	0.055	0.029	0.024	0.072	0.044	0.009	0.034	0.037	0.006	0.004	0.004	0	0.014
ASV_125	-2.639	12.26	0.0164164864167522	0.0523469095175685	Depleted	0.148	0.78	0	0.004	0	0	0	0	0.005	0	0	0.003	0.002	0	0	0.002	0.005	0	0.002	0.004	0	0	3.301	0.049	0.014	0.142	0	0	0	0	0.018	0.007	0.018	0.022	0.873	0.122	0.03	0.21	0.001	0.002	1.066	0.024	0	0.011	0	0.007	0.029	0.065	0.026	11.41	0	0.006	0.01	0.065	0.066	0	0
ASV_113	-1.451	12.498	0.0174170896305809	0.054509039769781	Depleted	0.259	0.448	0.064	0.119	0.075	0.1	0.168	0.1	0.196	0.09	0.608	0.266	0.137	0.093	0.043	0.057	0.035	0.026	0.071	0.063	0.073	0.73	0.362	0.201	1.211	0.402	2.562	0.135	0.159	0.226	0.099	0.009	0.085	0.084	0.033	0.754	0.325	0.288	0.041	0.122	0.099	0.036	0.179	0.143	0.175	0.081	0.566	0.209	0.579	0.23	0.679	0.003	3.506	0.086	0.003	0	0.278
ASV_89	1.712	10.839	0.0184566136608751	0.0567121401579617	Enriched	0.161	0.079	0.467	0.222	0.007	0.16	0.159	0.256	0.771	0.002	0.095	0.081	0.091	0.016	0.014	0.082	0.044	0.007	0.013	0.042	0.108	0.048	0.051	0.104	0.01	0.025	0.033	0.04	0.974	0.117	0.719	0.002	0.004	0.01	0.191	0.431	0.4	0.04	0.006	0.012	0.566	0.009	0.075	0.109	0.509	0.005	0.044	0.337	0.037	0.033	0.004	0.014	0.002	0.013	0	0	0
ASV_157	-1.601	9.174	0.025729208548208	0.0776470757972706	Depleted	0.032	0.092	0.105	0.001	0.005	0.004	0.01	0.016	0.025	0.026	0.006	0.039	0.01	0.011	0	0.009	0.002	0	0.354	0.015	0.196	0.009	0.121	0.006	0	0.002	0	0	0.01	0.209	0.015	0	0	0.001	0	0.004	0.001	0.006	0.001	0	0.005	0.056	0.008	0.18	0.014	0.543	0.328	0.065	0.001	0.108	0.013	0.037	0	0.003	0.074	0	0.002
ASV_74	1.635	11.696	0.0262735248040064	0.0778986963487207	Enriched	0.33	0.103	1.097	0.029	0.07	0.843	0.59	0.27	1.694	0.13	0.091	0.137	0.743	0.177	1.789	0.12	0.042	0.193	0.436	0.257	0.268	0.01	0.002	0.006	0.083	0.001	0.024	0.054	0.04	0.026	0.013	0.015	0	0.054	1.388	0.788	0.107	0.029	0.603	0.012	0.676	0.279	0.214	0.397	0.17	0.147	0.003	0.176	0.032	0.003	0.004	0.013	0.009	0.015	0	0.367	0.002
ASV_24	2.849	10.019	0.0274054379586778	0.0798537761209749	Enriched	0.094	0.012	0.014	0.001	0.002	0.002	0	0	0.002	0	0.23	0.012	0.007	0	0	0.007	0.002	0.002	0	0.006	0	0	0.134	0.003	0.041	0.746	0.011	0	0.002	0.014	0	0	0	0.151	0.003	0.002	1.158	0.265	0.217	0.703	0.023	0	0	0.001	0	0	0	0.002	0.079	0.1	0	0	0.001	0	0	0	0
ASV_41	1.989	12.726	0.0281349582947974	0.0805899652850978	Enriched	0.889	0.145	0.008	0.549	0.338	1.48	0.252	0.161	0.112	0.107	0.06	0.084	0.089	0.302	0.063	0.085	0.042	0.061	0.042	0.142	0.044	0.038	4.074	0.177	0.003	0.086	0.021	0.007	0.011	0.014	0.182	0.335	0.012	0.008	0	0.015	22.293	0.196	0.113	0.176	3.735	0.029	0.029	0.081	0.106	0.029	0.056	0.095	0.023	1.609	0.114	0.013	0.02	0	0	0	0.003
ASV_67	-1.663	11.223	0.0286277323983666	0.0806347795887327	Depleted	0.159	0.206	0	0.013	0.176	0.002	0.002	0.002	0.002	0.013	0.044	0.036	0.993	0.172	0.067	0.038	0.104	0.077	0.023	0.01	0.086	0.106	0.197	0	0.1	0.151	0.027	0.018	0.389	0.008	0.007	0	0.002	0.005	0	0.052	3.11	0.072	0.036	0.027	0.168	0.041	0	0.001	0.002	0.218	0.027	0	0.028	0.01	0.013	0.023	1.389	0	1.291	0.076	0.006
ASV_128	3.411	7.21	0.0298446531469759	0.0826843669153923	Enriched	0.018	0.001	0	0	0	0	0	0	0	0	0.356	0.305	0.005	0.011	0.002	0.005	0	0.002	0.002	0.002	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.003	0.001	0	0	0	0	0	0	0.005	0	0	0	0	0	0.004	0	0	0	0	0
ASV_200	1.272	10.883	0.0320468245996036	0.0873534412473067	Enriched	0.228	0.086	0.045	0.126	0.1	0.193	0.221	0.2	0.188	0.262	1.118	1.039	0.475	0.124	0.069	0.181	0.242	0.698	1.367	0.651	0.172	0.265	0.003	0.015	0.067	0.054	0.039	0.154	0.236	0.235	0.077	0.002	0.012	0.069	0.045	0.128	0.119	0.049	0.004	0.027	0.02	0.007	0.114	0.184	0.236	0.381	0.087	0.053	0.063	0.017	0.062	0.023	0.062	0	0	0	0.005
ASV_176	-1.694	12.358	0.0389601502433843	0.104279336580687	Depleted	0.148	0.556	0.006	0.003	0.005	0	0.049	0	0.006	0.004	0.009	0.012	0.014	0	0.002	0.002	0.005	0.021	0.013	0.021	0	0.035	0.379	0.067	0.003	0.042	0.015	0.038	0.008	0.083	1.123	0.829	0.046	0.074	0.005	0.454	0.054	0.045	0.305	0.017	2.086	0.021	0.031	0.051	0.003	0	0.771	1.003	0.023	0.448	0.009	0.001	0.012	3.108	0.283	2.544	0.043
ASV_104	-1.481	11.34	0.0394903996518578	0.104279336580687	Depleted	0.175	0.305	0.012	0.574	0.116	0.068	0.042	1.161	0.025	2.2	0.126	0.027	0.019	0.032	0.004	0.024	0.052	0.785	0.994	0.123	0.015	0.022	0.008	0.009	0.027	0.022	0.149	0.025	0.148	0.033	0	0.002	0.028	0.002	0	0.006	0.033	0.029	0.006	0.019	0.007	0.011	0.025	0.156	0.75	0.572	0.022	0.012	0.057	0.001	0	0	0.112	0.138	0	0.009	2.725
ASV_59	-1.392	12.867	0.0406722454829982	0.105747838255795	Depleted	0.317	0.822	0.001	0.08	0.091	0.051	0.054	0.043	0.017	0.03	0.161	0.158	0.118	0.066	0.041	0.162	0.104	0.023	0.138	0.019	1.572	0.52	0.608	0.229	0.025	0.262	0.085	0.057	0.198	0.006	0.033	0.027	0.135	0.149	0.027	1.496	0.976	1.108	0.196	1.894	0.234	1.498	0.062	0.235	0.173	0.335	7.157	0.346	0.074	0.199	0.064	0.003	0.244	0.196	0	0	3.248
ASV_183	2.837	10.218	0.0425826459470711	0.109037381288712	Enriched	0.179	0.026	0	0.003	0.003	0	0	0	0	0.153	0.095	2.732	0.633	0.794	0.46	0.113	0.035	0.321	0.398	0.197	0.328	0	0	0	0	0.001	0	0	0	0.002	0	0	0	0.01	0	0.008	0.415	0.446	0.005	0.012	0.009	0	0	0	0	0.381	0	0	0.001	0	0	0	0.002	0	0	0	0
ASV_28	4.918	12.138	0.0494454221522228	0.124720542443666	Enriched	0.507	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.005	0	0.003	0	0	0	0	0.146	0	0.128	0.543	18.077	0.288	1.09	0.004	0.001	0	0	0	0	0	0	0.001	0	0	0	0.087	0	0	0	0
ASV_33	1.468	11.841	0.0520587040551136	0.127020189344573	NotSig	0.431	0.149	0.04	0.587	1.195	0.293	0.102	0.172	1.406	0.239	1.515	0.197	1.012	1.109	0.106	1.601	0.692	0.312	0.189	0.142	2.153	0.008	0.003	0.003	0	0.035	0.011	0.026	0.251	0.156	0	0.002	0.02	0.166	0.432	0.027	1.457	1.369	0.018	0.167	0.037	0.004	0.052	0.29	0.234	0.775	0.009	0.016	0.638	0.125	0.007	0.061	0.014	0	0	0.019	0
ASV_14	-1.285	14.822	0.0524844729708932	0.127020189344573	NotSig	1.133	2.35	0.501	0.102	0.235	0.295	0.533	1.116	0.454	0.132	0.117	0.161	0.118	0.085	0.041	0.064	0.027	0.044	0.182	0.096	0.396	1.649	0.837	1.425	10.222	1.026	2.474	0.3	0.413	0.204	10.85	0.075	0.097	0.25	0.144	5.348	0.911	1.091	0.273	0.778	0.668	1.582	0.26	0.856	0.762	0.183	7.044	3.204	1.713	0.845	0.676	0.016	12.326	4.366	0.136	0.006	2.864
ASV_7	-1.077	14.054	0.0526119127462729	0.127020189344573	NotSig	1.106	1.764	0.278	0.186	1.177	0.258	0.314	0.774	0.185	1.228	2.082	0.343	0.54	1.556	0.157	0.431	0.304	0.382	2.241	0.908	1.451	1.147	9.59	0.973	5.655	0.975	0.203	1.311	0.796	3.395	0.497	0.038	0.325	0.282	0.105	0.356	2.004	0.483	0.193	0.155	0.779	0.166	0.096	0.403	0.868	2.012	6.313	3.919	0.491	1.57	5.52	0.007	4.584	0.09	0.015	0.006	0.569
ASV_60	-1.354	12.556	0.0591579417530322	0.140812565581161	NotSig	0.347	0.622	3.672	0.098	0.057	0.016	0.04	0.7	0.204	0.09	0.035	0.734	0.036	0.029	0.01	0.035	0.074	0.026	0.084	0.006	0.02	5.057	0.389	0.491	0.457	0.632	0.021	0.089	0.211	0.095	0.029	0.002	0.006	0.003	0.025	0.044	0.102	0.005	0.008	0.01	0.206	0.029	0.031	0.25	0.182	0.768	0.405	0.418	0.016	0.015	0.047	0.007	0.025	0.575	0.004	0	6.589
ASV_86	-1.593	11.376	0.0604085128132755	0.140927802375033	NotSig	0.153	0.407	0	0.015	0.127	0	0	0	0	0.006	0.003	0.006	0.175	1.225	0.061	0.212	0.237	0.023	0.09	0.004	0.097	0.548	1.148	0.146	0.031	0.334	0.053	0.022	0.069	0	0	0	0.002	0.007	0.052	0.371	0.931	0.048	0.025	0.033	0.033	0.001	0	0	0	1.098	0.128	0.255	0.115	0.107	0.002	0.003	0	0	4.162	0	0.229
ASV_188	1.377	10.721	0.0608741394874402	0.140927802375033	NotSig	0.135	0.052	0.001	0.043	0.01	0.009	0.008	0.014	0.006	0.034	0.211	0.018	0.005	0.087	0.012	0.009	0.022	0.007	0.038	0.054	0.073	0.014	0.352	0.101	0	0.014	0.027	0.011	0.014	0.02	0.237	0.044	0.04	0.127	1.053	0.089	0.244	2.126	0.102	0.019	0.071	0.024	0	0.024	0.007	0.01	0.022	0.279	0.019	0.084	0.006	0.013	0.032	0.11	0.06	0.055	0.057
ASV_209	-1.265	11.558	0.0636105834304931	0.143374875741184	NotSig	0.173	0.237	0.055	0.124	0.309	0.004	0.003	0	0.051	0.006	0.088	0.051	0.204	0.259	0.177	0.021	0.242	0.033	0.019	0.002	0.389	0.067	0.048	0.018	0.774	0.08	0.044	0.008	0.082	0.111	0.013	0.016	0.495	0.018	0.002	0.01	0.066	0.504	2.349	0.101	0.024	0.045	0.002	0.044	0.116	0.044	0.014	0.014	0.128	0.016	0.032	0	0.025	0.086	0.217	2.798	0.026
ASV_30	1.547	12.423	0.0636279034354365	0.143374875741184	NotSig	0.626	0.237	0.308	1.577	1.056	0.032	0.054	0.192	0.108	1.43	0.079	0.081	0.441	0.453	0.189	0.775	0.45	0.251	0.669	0.134	14.923	0.051	0.005	0.153	0	0.03	0.018	0.026	0.717	0.13	0.002	0.002	0.129	0.177	0.086	0.008	0.013	0.127	0.137	0.008	0.003	0.014	1.141	0.39	0.208	1.154	0.024	0.311	0.047	0.22	0.047	0.011	0	0	0	0.006	0.003
ASV_12	1.394	12.662	0.0693654151573427	0.154246778441986	NotSig	0.751	0.304	0.805	0.13	0.15	0.284	0.235	1.663	0.035	0.192	11.366	0.499	2.18	0.844	1.352	1.429	0.936	0.44	0.805	0.939	0.136	0.028	0.012	1.861	0.006	0.062	0.058	0.14	0.01	0.975	0.002	0.026	0.105	1.459	0.34	0.004	0.087	0.045	0.059	0.062	0.011	0.281	0.208	0.157	2.066	0.374	0.002	0.035	1.397	0.205	0.028	0.078	0.006	0	0	0	0.011
ASV_151	1.49	9.608	0.072653751526499	0.159460831272446	NotSig	0.096	0.039	0.019	0.152	0.451	0.116	0.07	0.095	0.006	0.358	0.129	0.914	0.06	0.286	0.043	0.054	0.175	0.298	0.084	0.326	0.108	0.003	0	0.009	0.025	0.002	0.003	0	0.013	0.002	0.004	0	0.004	0.001	0.009	0	0.011	0	0.006	0.002	0	0.01	0.006	0.047	0.405	0.034	0.044	0.005	0.001	0	0.028	0.011	0	0	0	0	0.002
ASV_120	1.568	10.106	0.0800037619457845	0.173341484215866	NotSig	0.105	0.033	1.525	0	0.002	0	0.003	0.286	0.07	0.011	0.038	0.033	0.002	0.005	0.006	0.002	0.015	0.049	0.004	0.004	0.376	0.106	0	0.049	0.031	0.032	0.014	0.954	0.027	0.257	0.018	0	0.097	0.002	0	0	0.132	0.011	0.009	0.01	0.005	0.001	0.002	0.003	0.002	0.007	0	0.125	0.089	0.19	0.051	0	0.011	0.006	0	0.001	0.012
ASV_124	1.434	13.007	0.0901011670542133	0.192748066229899	NotSig	0.489	0.275	0.194	0.049	0.06	0.016	0.03	0.351	0.093	0.07	0.183	0.012	0.034	0.519	0.035	0.108	0.02	0.012	0.008	0.027	0.226	0.05	0.151	0.11	0.245	3.378	0.412	0.024	0.018	0.024	0.037	0.024	0.004	0.02	0.056	0.089	0.167	0.104	0.344	11.841	0.199	0.204	0.002	0.044	0.168	0.083	0.142	0.197	0.24	0.123	0.176	0	0.019	0.114	2.625	0.095	0.092
ASV_17	1.13	11.847	0.0961633218591508	0.203145017427456	NotSig	0.382	0.136	0	1.369	0.431	2.071	0.28	0.477	0.245	0.35	0.617	0.606	0.18	0.746	0.146	0.631	0.43	0.1	0.101	0.36	0.482	0.029	0.948	0.235	0.011	0.02	0.015	0.001	0.027	0.045	0.097	0.091	0.069	0.025	0.111	0.015	1.174	0.206	0.547	0.041	1.85	0.097	0.037	0.232	0.242	0.381	0.021	0.423	0.013	0.225	0.045	0.394	0.016	0	0.004	0	0.002
ASV_92	1.682	9.666	0.110175885518248	0.229873143859061	NotSig	0.06	0.026	0	0.212	0.056	0	0.003	0	0.009	0.017	0	0	0	0	0.008	0.009	0.005	0.002	0.006	0.019	0.026	0.008	0.005	0	0.004	0.873	0.015	0.001	0.707	0	0.009	0.002	0.162	0.165	0.002	0	0.017	0.011	0.006	0.023	0.011	0.007	0	0	0.003	0.088	0	0.007	0.041	0.082	0.174	0	0.001	0	0	0	0
ASV_127	-1.235	10.079	0.122063863730806	0.251570645981783	NotSig	0.056	0.167	0.142	0.006	0.023	0.035	0.064	0.108	0.073	0	0	0	0.007	0	0	0.016	0	0.009	0.048	0.015	0.02	0.005	0.029	0.067	0.043	0.134	0.02	0.061	0.071	1.081	0.002	0	0.02	0.009	0	0.002	0.032	0.048	0.015	0.021	0	0	0.106	0.181	0.104	0.007	0.046	1.147	0.163	0.751	0	0.001	0.001	0	0.001	0	0
ASV_54	1.239	13.767	0.124632680781519	0.252883229744937	NotSig	0.906	0.495	0.072	0.166	0.122	0.026	0.065	0.48	0.078	0.111	0.772	0.06	0.06	0.384	0.047	0.094	0.027	0.035	0.12	0.318	0.954	0.143	0.212	0.217	0.021	0.075	10.24	9.934	1.464	1.34	0.07	0.018	0.036	0.021	0.003	0.114	0.106	0.146	0.601	0.083	0.156	7.259	0.027	0.239	0.128	0.078	3.004	0.685	0.397	0.02	1.748	0.008	0.167	0.444	0.004	0.261	0.219
ASV_111	1.27	12.086	0.126528395982713	0.252883229744937	NotSig	0.262	0.131	0.009	0.228	0.087	1.524	0.129	0.051	0.212	0.011	0.057	0.087	0.096	0.077	0.155	0.021	0.062	0.035	0.13	0.245	0.075	0.001	0.007	0.037	1.016	0.035	0.011	0.007	0.005	0.003	0.009	2.369	0.172	0.039	0.039	0.027	0.636	2.276	0.069	0.043	0.029	0.345	0.058	0.325	0.125	0.076	0.01	0.046	0.015	0.006	0.004	0.001	0.03	1.273	0	0.001	0.002
ASV_141	1.014	10.366	0.1271897901084	0.252883229744937	NotSig	0.153	0.076	0.088	0.015	0.028	0.168	0.097	0.164	0.799	0.062	0.091	1.4	0.221	0.122	0.216	0.087	0.086	0.414	0.12	0.073	0.299	0.029	0.01	0.003	0.282	0.004	0.033	0.058	0.833	0	0.011	0	0.006	0.002	0.044	0.012	0.054	0.018	0.034	0.019	0.08	0.02	0.048	0.477	0.255	0.01	0.06	0.172	0.022	0	0.015	0	0.067	0.008	0.006	0	0.003
ASV_61	1.491	9.995	0.130572914521611	0.256590959932003	NotSig	0.135	0.057	0	0.094	0.153	0.635	0.414	0.463	0.16	0.571	0	0.048	0.002	0.408	0.002	0.002	0.002	0.242	1.384	0.374	0.112	0	0	0	0	0.004	0.005	0.007	0.002	0.118	0	0.015	0.036	0.026	0	0	0.007	0.013	0.003	0.087	0.001	0	0	0.175	0.331	0.325	0	0	0.008	0.006	0	0	0.002	0.001	0	0	0.002
ASV_106	-1.354	12.318	0.140896947952776	0.273696370161139	NotSig	0.259	0.883	0.074	0.007	0.005	0.005	0.015	0.01	0	0.03	0	0	0.005	0.013	0	0	0.02	0.021	0.015	0	0.136	0.449	1.067	0.04	0	0.23	0.033	0.01	0.027	0.008	0.284	0.031	1.354	0.036	0.003	0	0.111	0.059	5.483	0.443	0.136	0.215	0	0.01	0.012	0.002	0.034	0.067	0.029	0.024	12.961	0	0.067	0	0.004	0.026	0.002
ASV_58	0.839	10.415	0.148018794108367	0.284263365958113	NotSig	0.145	0.085	0.026	0.182	0.103	0.345	0.121	0.06	0.106	0.083	0.164	0.463	0.353	0.524	0.077	0.341	0.222	0.163	0.642	0.224	0.257	0.025	0	0.003	0.018	0.014	0.027	0.035	0.434	0.005	0.02	0.004	0.01	0.29	0.067	0.006	0.095	0.019	0.142	0.012	0.02	0.082	0.048	0.047	0.571	0.296	0.077	0.1	0.007	0.006	0.021	0.065	0.014	0.006	0	0.012	0.009
ASV_52	1.14	13.518	0.150425632019791	0.285065910728436	NotSig	0.659	0.37	0.433	0.039	0.038	0.179	0.111	0.037	0.146	0.134	0.233	0.009	0.06	0.008	0.053	0.014	0.074	0.037	0.027	0.126	0.161	0.063	1.235	0.067	0.867	0.087	0.136	0.094	0.579	0.109	2.26	0.053	0.097	0.524	0.059	0.964	0.339	0.191	0.379	0.019	4.575	11.753	0.195	0.182	0.062	0.005	0.246	0.156	0.211	1.971	0.045	0.011	0.112	1.6	0.227	0.028	0.499
ASV_129	1.214	12.141	0.151810248316919	0.285065910728436	NotSig	0.267	0.141	0.069	0.039	0.033	0.158	0.032	0.137	0.435	0.068	0.164	0.084	0.096	0.087	0.03	0.049	0.02	0.033	0.023	0.031	0.002	0.754	0.003	0.009	0.058	0.106	0.032	0.072	0.119	0.438	0.004	0.005	0.113	0.016	0.025	0.056	0.062	0.039	0.097	7.08	0.003	0.009	0.108	0.031	0.263	0.022	0.009	0.016	0.056	0.016	0.011	0.001	0.007	0	0.243	0.004	1.331
ASV_93	0.934	11.079	0.165953190997952	0.308198783281911	NotSig	0.274	0.127	0.033	0.071	0.075	0.656	0.635	0.421	0.089	0.237	0.34	3.048	0.103	0.175	0.171	0.17	0.892	1.164	0.874	0.291	0.158	0.003	0.003	0.082	0.001	0.001	0.005	0.003	0.035	0.015	0.022	0.002	0.012	0.089	0.033	0.019	0.27	0.576	0.099	0.019	0.021	0.047	0.696	0.324	0.455	0.152	0.017	0.028	0.015	0.014	0.131	0.051	0.011	0	0	0.013	0.005
ASV_118	1.624	12.706	0.173002900813562	0.309141078139453	NotSig	0.474	0.251	0	0.001	0.016	0	0	0	0	0.009	0.066	0	0.014	0.034	0.028	0.115	0.126	0.012	0.073	0.169	0.022	0.117	0	0	0	13.021	1.096	0.107	1.177	0	0.026	0.044	0.499	0.028	0	0.004	0.514	0.096	0.073	1.367	0.071	0.036	0	0	0	0.68	0.009	0.002	0.457	0.131	2.289	0	0.015	0	0.184	0.003	0
ASV_51	-0.781	11.961	0.173942063150245	0.309141078139453	NotSig	0.257	0.367	0.038	0.06	0.131	0.051	0.044	0.359	0.196	0.91	0.113	0.131	0.141	0.278	0.026	0.061	0.133	0.077	0.386	0.073	0.193	0.619	1.462	0.098	0.344	0.084	1.152	0.061	0.545	0.435	0.246	0	0.018	0.03	0.041	0.066	0.542	0.109	0.238	0.492	0.21	0.079	0.023	0.049	0.281	0.592	0.381	0.137	0.211	0.044	0.202	0	0.073	0.001	1.144	0.294	2.075
ASV_40	-0.815	12.61	0.174978090578	0.309141078139453	NotSig	0.479	0.589	1.392	0.781	0.602	1.346	0.978	0.871	3.233	0.068	0.066	2.49	0.221	1.44	0.315	0.224	0.131	0.156	0.099	0.082	0.268	0.012	0.141	0.098	0.014	0.062	0.015	0.01	0.051	0.068	0.029	0.084	0.317	0.116	0.659	0.029	0.265	0.363	0.059	0.087	1.859	0.049	0.74	3.408	1.495	0.042	0.019	0.281	0.117	0.258	0.095	2.231	0.007	0.046	0.034	0.024	0.035
