ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_167	3.969	10.371	0.000218550076269647	0.00335772389905185	Enriched	0.196	0.012	0.684	0.066	0.109	0.917	0.057	0.04	1.819	0.264	0.091	0.131	1.436	0.04	0.83	0.059	0.072	0.235	0.157	0.209	0.523	0	0	0	0.001	0	0.005	0	0.005	0.005	0	0.002	0.042	0.001	0.002	0	0.003	0.001	0.036	0.008	0.004	0.001	0	0.057	0.048	0.037	0.002	0	0.036	0.002	0.006	0	0	0	0	0	0
ASV_57	5.723	13.946	0.000396899202932089	0.00558966377462692	Enriched	1.051	0.029	0	0	0	0.035	0.03	0.1	0.136	0.013	0.019	0.012	0.331	0.09	0.053	0	0	0.012	0.004	0.002	0	0.533	0	0.003	0.056	0.043	0.002	0.05	0.238	0.006	0	0.119	39.791	0.199	0	0	0.05	0.015	0.03	0.054	0.013	0.015	0.01	0.027	0	0	0.022	0.142	0.097	0.041	0	0	0.007	0	0.001	0.09	0
ASV_881	3.024	11.898	0.000569933266699058	0.00740913246708775	Enriched	0.493	0.062	0.993	0.045	0.085	0.835	0.436	0.11	0.173	0.452	0.072	0.11	2.444	0.598	7.676	0.403	0.949	0.484	0.627	0.676	1.317	0.005	0.015	0.156	0.006	0	0.003	0.003	0.013	0.032	0.026	0.004	0.002	0.002	0.002	0.717	0.045	0.013	0.15	0	0.02	0.007	0.031	0.16	0.087	0.144	0.005	0.323	0.035	0.092	0.009	0.02	0.011	0.001	0	0.004	0.008
ASV_110	-1.831	9.955	0.000695151425658601	0.00839147078116454	Depleted	0.039	0.173	0.019	0.018	0.026	0.054	0.012	0.035	0.104	0.009	0.016	0.036	0.029	0.061	0.006	0.005	0.007	0.007	0.006	0.004	0.002	0.046	0.061	0.067	0.01	0.011	0.017	0.029	0.023	0.295	0.018	0.004	0.026	0.058	0.025	0.023	0.072	0.075	0.02	0.041	0.053	0.134	0.062	0.049	0.003	0.012	0.342	1.511	0.012	0.176	0.009	0.014	0.102	0.117	0.177	0	0.008
ASV_85	-2.063	12.107	0.000777139257499154	0.0087557689678238	Depleted	0.139	0.485	0.09	0.277	0.116	0.137	0.101	0.122	0.256	0.147	0.035	0.057	0.106	0.045	0.024	0.019	0.01	0.03	0.094	0.04	0.02	0.079	0	0.107	0.231	0.052	0.032	0.003	0.17	0.003	0.011	0.382	0.204	0.807	0.239	0.025	0.046	0.088	0.969	0.05	0.053	0.281	0.148	0.209	0.204	0.093	0.029	0.03	0.092	0.006	0.429	0.024	0.081	0.22	0.065	3.458	2.189
ASV_65	-1.8	12.361	0.00133058646287337	0.0140543195140999	Depleted	0.24	0.526	0.046	0.081	0.103	0.296	0.382	0.355	0.28	0.06	0.205	0.188	0.146	0.101	0.035	0.049	0.012	0.016	0.161	0.046	0.121	0.784	0.781	0.113	2.355	0.305	0.067	0.103	0.117	0.407	0.119	0.004	0.119	0.096	0.052	0.334	0.582	0.269	0.03	0.157	0.107	0.031	0.31	0.281	0.504	0.1	0.831	0.397	0.552	0.446	0.404	0.01	2.716	0.088	0.018	0	1.225
ASV_207	-2.369	10.739	0.00222465160829421	0.0199273263839996	Depleted	0.052	0.184	0.006	0.004	0	0	0.003	0	0.002	0.072	0.076	0.057	0.007	0.008	0.008	0	0.002	0.002	0	0.029	0	0.004	0.73	0.043	0.01	0.044	0.006	0.003	0.021	0.014	0.167	0.04	0.036	0.02	0.05	0.34	0.016	0.04	0.181	0.006	0.039	0.012	0	0.004	0	0	0.032	0.077	0.015	0.174	0.004	0	0.03	0.046	0.267	2.095	0.014
ASV_35	3.109	14.235	0.00237545605618384	0.0199273263839996	Enriched	1.443	0.282	0.073	0.018	0.292	0.063	0.074	0.49	0.363	0.032	0.022	0.021	0.055	0.151	0.037	0.047	0.005	0.016	0.025	0.071	0.033	0.072	0.926	0.134	0.33	0.217	10.728	31.222	1.381	3.982	0.002	0.007	0.164	0.007	0.003	0.271	0.066	0.024	0.159	0.015	0.134	5.997	0.021	1.078	0.097	0.039	0.166	1.302	0.997	0.092	0.002	0	0.059	0.092	0.196	0.085	0.002
ASV_53	3.309	12.342	0.00242623288528316	0.0199273263839996	Enriched	0.508	0.073	0.021	0.156	0.073	0.025	0.013	0.444	0.244	0.365	0.072	0.675	0.067	0.132	0.047	0.068	0.012	0.056	0.075	0.117	0.015	9.508	0.007	0.012	7.586	0.063	0	0.001	0.166	0	0	0.002	0.014	0.003	0.008	0	0.228	0.01	0.025	0.006	0.004	0	0.017	0.124	0.204	0.032	0.044	0.462	0.096	0.024	0.004	0	0.001	0.018	0	0	0.072
ASV_22	3.089	16.014	0.00245260606856812	0.0199273263839996	Enriched	2.27	0.697	0.427	0.203	0.328	0.142	1.268	0.334	0.283	0.068	0.567	1.146	0.635	0.439	0.679	0.633	2.058	0.508	0.805	0.544	0.156	0.094	0.051	0.183	3.741	0.219	0.197	0.125	0.01	0.044	0.422	67.817	0.59	0.698	1.155	0.137	0.458	0.739	2.434	0.271	0.025	0.17	0.854	0.993	0.199	0.328	0.352	1.899	0.138	0.094	0.015	0.013	0.017	0.01	0.006	0.015	5.523
