Species	HS00P003	HS03P003	HS10P003	HS00P004	HS03P004	HS07P004	HS03P005	HS00P010	HS03P010	HS07P010	HS00P011	HS03P011	HS07P011	HS00P012	HS03P012	HS07P012	IS00P013	IS07P013	HS00P014	HS03P014	HS07P014	DS03P016	DS07P016	DS10P016	DS03P017	DS08P017	HS00P019	HS03P019	HS07P019	IS00P020	IS03P020	IS07P020	HS03P024	HS07P024	HS00P025	HS03P025	HS07P025	HS03P026	HS07P026	IS00P027	IS03P027	IS07P027	HS00P029	HS03P029	HS07P029	DS00P030	DS03P030	HS00P031	HS03P031	HS07P031	IS00P033	IS03P033	IS07P033	HS00P034	HS03P034	HS07P034	HS03P035	HS07P035	HS00P036	HS07P036	DS00P037	DS03P037	DS07P037	IS00P038	IS03P038	IS07P038	IS00P039	IS03P039	IS07P039	HS00P040	HS03P040	HS07P040	HS00P041	HS03P041	HS07P041	HS00P042	HS03P042	HS07P042	IS00P043	IS03P043	IS07P043	HS00P044	HS03P044	HS00P045	HS03P045	HS07P045	HS00P046	HS03P046	HS07P046	HS00P047	HS03P047	HS07P047	HS00P048	HS03P048	HS07P048	DS00P049	DS03P049	DS07P049	DS10P049	HS00P050	HS03P050	HS07P050	HS00P051	HS03P051	HS07P051	IS00P052	IS03P052	IS07P052	IS00P053	IS03P053	IS07P053	DS00P054	DS03P054	DS07P054	DS10P054	HS00P055	HS03P055	HS07P055	HS00P056	HS03P056	HS07P056	HS00P057	HS03P057	HS07P057	HS00P058	HS03P058	HS07P058	HS00P059	HS03P059	HS07P059	DS00P060	DS03P060	DS07P060	HS00P061	HS03P061	HS07P061	IS00P062	IS03P062	IS07P062	HS00P063	HS03P063	HS07P063	HS00P064	HS03P064	HS07P064	DS00P065	DS03P065	DS07P065	HS03P066	HS07P066	HS03P067	HS00P068	HS03P068	HS07P068	IS00P069	IS03P069	IS07P069	IS00P070	IS03P070	IS07P070	HS00P071	HS03P071	HS07P071	HS00P072	HS03P072	HS07P072	HS00P073	HS03P073	HS07P073	HS00P074	HS03P074	HS07P074	HS00P075	HS03P075	HS07P075	DS00P076	DS03P076	DS07P076	HS00P077	HS03P077	HS07P077	IS00P081	IS03P081	HS00P082	IS03P082	IS00P083	IS03P083	HG00P003	HE03P003	HE10P003	HE03P004	HE07P004	HE03P005	HG00P010	HE03P010	HE07P010	HG00P011	HE03P011	HG00P012	HE03P012	HE07P012	IG00P013	IE03P013	IE07P013	HG00P014	HE03P014	DG00P016	DE03P016	DE07P016	DE10P016	DG00P017	DE03P017	DE08P017	HE03P019	HE07P019	IG00P020	IE03P020	IE07P020	HG00P021	HE03P021	HE07P021	HG00P022	HE03P022	HE07P022	HG00P023	HE03P023	HE07P023	HG00P024	HE03P024	HE07P024	HG00P025	HE03P025	HE07P025	HG00P026	HE02P026	HE05P026	IE03P027	IE07P027	HG00P028	HE03P028	HE07P028	HG00P046	HE03P046	HE07P046	HG00P047	HE03P047	HE07P047	HG00P048	HE03P048	HE07P048	DG00P049	DE03P049	DE07P049	HE10P049	HG00P050	HE03P050	HG00P051	HE03P051	HE07P051	IG00P052	IE03P052	IE07P052	IG00P053	IE03P053	IE07P053	DG00P054	DE03P054	DE07P054	HE10P054	HG00P055	HE03P055	HE07P055	HG00P056	HE03P056	HE07P056	HE03P057	HE07P057	HG00P058	HE03P058	HE07P058	HG00P059	HE03P059	HE07P059	DG00P060	DE03P060	DE07P060	HG00P061	HE03P061	HE07P061	IG00P062	IE03P062	IE07P062	HG00P063	HE03P063	HE07P063	HG00P064	HE03P064	HE07P064	DE03P065	DE07P065	HG00P066	HE03P066	HE07P066	HE03P067	HE03P068	HE07P068	IG00P069	IE03P069	IE07P069	IG00P070	IE03P070	IE07P070	HG00P071	HE03P071	HE07P071	HG00P072	HE03P072	HE07P072	HG00P073	HE03P073	HE07P073	HG00P074	HE03P074	HE07P074	HG00P075	HE03P075	HE07P075	DG00P076	DE03P076	DE07P076	HG00P077	HE03P077	HE07P077	HG00P078	HE03P078	HE07P078	DG00P081	DE03P081	HG00P082	HE03P082	DG00P083	DE03P083	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS04P86	DS05P114	DS00P119	DS00P138	DS04P138	DS00P140	DS06P140	DS00P166	DS10P166	DS00P172	DS07P172	DS00P180	DS06P180	DS00P191	DS08P191	DS00P193	DS07P193	DS00P194	DS04P194	DS00P196	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum|Unassigned	-0.246870434092608	-0.24392685559778	-0.336906698937481	-0.34686835563118	-0.261676077613446	-0.234910778518902	-0.268471512066395	-0.258339165049254	-0.276258991882757	-0.293161995921205	-0.305695210638671	-0.231110481436016	-0.321504673867876	-0.229558026005407	-0.1846146652685	-0.309639575025311	-0.244285510487531	-0.277536697969492	-0.386027572773944	-0.312002575926938	-0.369229035373053	-0.302875529838242	-0.235392983887988	-0.253284039652053	-0.345764167614534	-0.348713178868403	-0.320159319136025	-0.279802224721036	-0.310122858252545	-0.287796247502072	-0.305236345635584	-0.28754224961661	-0.282059425912269	-0.408642505099485	-0.400019066951527	-0.342978154721958	-0.27969416385521	-0.37936162683489	-0.302234032476017	-0.216625635207011	-0.248484293118132	-0.307722851521873	-0.30081666604036	-0.334034266058302	-0.303653871878694	-0.239722043014363	-0.282953756422399	-0.25303441915493	-0.298615066738734	-0.332328427137149	-0.313089581076941	-0.331186242885168	-0.334508347602313	-0.323428972333902	-0.279415415934969	-0.248477535050006	-0.269491432067793	-0.257245694375943	-0.230275921005566	-0.244307402694003	-0.314530024715948	-0.302149587870647	-0.299749763981564	-0.30303332362621	-0.237898560254217	-0.27174358192377	-0.271523411079566	-0.314771542743446	-0.281454703167697	-0.323535034391336	-0.328722560802006	-0.355463273505978	-0.292336020356852	-0.331830581182747	-0.302856788416005	-0.322857147840488	-0.328993666676066	-0.310101357073066	-0.274102124108218	-0.238217982907045	-0.260207802855583	-0.247631610700992	-0.287742538743405	-0.252815097390733	-0.267232135135518	-0.278085186319853	-0.237535305414274	-0.214575641135183	-0.257718431319587	-0.183773616633109	0.236872298304012	-0.264439370363249	-0.231687824835664	-0.288220647401625	-0.241265555836182	-0.282860428383277	-0.247788066556343	-0.228049422551455	-0.21845661080024	-0.16949006256765	-0.213182360047891	-0.23799206381918	-0.242419608445596	-0.224249050349035	-0.244644484596562	-0.16275723498568	-0.282362174180691	-0.302230576404267	-0.264170633238952	-0.223147002979239	-0.162576286794617	-0.278154659667351	-0.249610836110451	-0.263723773745464	-0.171621939593982	-0.107999141415124	-0.206516022488066	-0.188538836727345	0.308950265685073	-0.210055195131775	-0.216205443145184	-0.262038563305068	-0.233559021641474	-0.252623717295439	-0.174406322906117	-0.21987554636195	-0.293290192702026	-0.225081259875886	-0.192045982334351	0.638866337668942	-0.230520869358032	0.103034626948295	-0.271264770384389	-0.292550599615691	-0.183609998010844	-0.150551885086747	-0.176644448307544	-0.166700347873505	-0.2016352045716	-0.188403627193769	-0.277393993605262	-0.239059906535121	-0.211813975410771	-0.0919488743720991	-0.25430838829196	-0.295553950569477	-0.244804378047574	-0.198791695883579	-0.273292648725917	-0.165276370933872	-0.0711194396671788	-0.286316753986282	-0.27976535344761	-0.202105858940169	-0.283218462993064	0.110578910145111	-0.270652181609276	-0.195041290643974	-0.213648079757782	-0.245185201629475	-0.204728740848265	-0.11499528558944	-0.283059141733556	-0.206482668419407	-0.173890866604291	-0.267388813834903	1.28098318975934	-0.205397897016889	-0.249454537428482	-0.225405054115191	-0.310826660044853	-0.206721434553107	-0.203384673468216	-0.184830493749001	-0.223276893287088	-0.239005177832686	-0.276975252064613	-0.137942894558305	-0.196663759678517	-0.261884882062014	0.219449862089017	-0.277995269700963	-0.211911299221303	-0.252888137343196	-0.237935811426228	1.35292726949545	-0.250844949291381	-0.312625778994331	-0.278973522997437	-0.295867186558864	-0.270829194708078	-0.365873883884029	-0.290581557648867	0.096847620883299	-0.300788883226835	-0.276139802069061	-0.416135198562181	-0.340924193909846	-0.256405632493242	-0.269117800301303	-0.256918454084635	-0.310982606768359	-0.267323960416472	-0.260101527103647	-0.287793374260571	-0.2883606810413	-0.243298586101222	-0.253479687210207	-0.139648730171216	-0.23830993318764	-0.201196434543806	-0.311967807406873	-0.292143211842779	-0.269937535117371	-0.31013099769552	-0.0951675436109275	-0.231987319159144	-0.322643883178065	-0.264303260840715	-0.223136895888608	-0.253752359300157	-0.275811995788715	-0.235870330915612	-0.296087138747694	-0.251103741702592	-0.267954204340651	-0.254065407936679	0.951684531700349	-0.261900045046478	-0.260231535347258	-0.0233728911423905	-0.246620052997785	-0.323350937738522	-0.166482491903325	-0.275558093812165	-0.227879812219475	-0.246494698917086	-0.210239713812482	-0.244421456108007	-0.184095535607085	-0.200003480176496	-0.223997905418569	-0.296318528011266	-0.228156909761582	-0.252457650578933	-0.239470293308639	-0.232375678260307	-0.247254384830236	-0.325879467287402	-0.352567159963774	-0.232205195584518	-0.227212755056662	-0.298115139256461	-0.178991766228073	-0.265100899847793	-0.23011839700753	-0.30794377940838	-0.28516664720631	-0.272134191864086	-0.258786197799615	-0.251033908381527	-0.337480685667381	-0.24840617691603	-0.280951516077874	-0.288665440137147	-0.301115074602028	-0.232353678664069	-0.295185514316702	-0.279704415385631	-0.231805721634559	-0.221173129377128	-0.231473022947695	-0.250696547740538	-0.26752657737153	-0.217116970788215	-0.22059189480025	-0.232608475280991	-0.230989745036657	-0.301635203079611	-0.291668483953952	-0.302672594066986	-0.285307172926147	-0.294767759013152	-0.298087791165363	-0.330963930668382	-0.236349088169073	-0.300901218848296	-0.302546970289825	-0.278403256905658	-0.235600548983292	-0.266630783799481	-0.250890535269423	-0.354109129064254	-0.307937854275082	-0.269837404084176	-0.167115510118986	-0.212409803439385	-0.276046338820937	-0.287701572847155	-0.284139923177233	-0.340822072080892	-0.286276864662833	-0.347277633720367	-0.2818636134443	-0.372154243543111	-0.258065779605885	-0.264890837611069	-0.282078187645943	-0.320584900195849	-0.316152642003006	-0.287363617098965	-0.213113592906227	-0.344241669467787	-0.338632529785844	-0.256459751917008	-0.197286591990798	-0.224845814731394	-0.263235729741703	-0.226723671018128	-0.256707766775005	-0.246626386899526	-0.339586440126508	-0.281434079387205	-0.229841988886463	-0.295307750392391	-0.318275021517755	-0.322476536965483	-0.331071406785651	-0.211638691723095	-0.281428759239337	-0.272522387805818	-0.27324919624061	-0.260580316889958	-0.300732280066812	-0.209708452513907	-0.199553612343608	1.1500681453176	-0.163783291262137	-0.179115478035309	-0.22327232061009	-0.210908406621321	-0.201271030199215	-0.347293982903122	0.196155609215985	-0.287297246289795	-0.161587009161427	0.364909734548688	0.0230548334196997	0.242670492114318	-0.242271493946191	-0.292906597107009	-0.225454487378393	-0.286547115857981	-0.451721132126169	-0.354993491576729	0.119509294866297	-0.281621532847278	-0.219294305116715	-0.201554244452711	-0.222402773708847	-0.150228877278921	-0.286934588325992	0.538273733966726	-0.0793503501291541	-0.298421096135548	-0.257618320130572	2.4610657702592	-0.22916486499959	-0.314749527472203	-0.395797915103171	0.25981295066723	-0.314944954856108	-0.0270911692640946	-0.386460800644943	-0.312826257669819	-0.416869711241115	-0.208812018361535	-0.162284599302283	-0.186034419367871	0.170415690847961	-0.25896766461577	-0.300042546718254	-0.160657726289178	-0.299630316374381	-0.184038428685804	-0.177821828032379
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces|Unassigned	-0.129722360825585	-0.225500760084915	-0.292818392554396	-0.241778279585136	-0.252666567858509	-0.207167311096293	-0.26113987557425	-0.216180312467376	-0.266643539610107	-0.272090471944762	0.136088048030386	-0.189684761978913	-0.0986516013355185	-0.083236645670109	-0.175390707281818	-0.233793590609012	-0.129013465171949	-0.260754131121382	-0.0855809668734672	-0.230390128512798	-0.255301527002723	-0.250120650047978	-0.223377628773918	-0.022504739841451	-0.302429366424581	-0.315685782178083	0.398062958972191	-0.221332450161939	0.0905757156468199	-0.251487319203517	-0.284274234050497	-0.281721087017023	-0.27334791202548	-0.387765276964551	0.139028141983515	-0.0977322272483247	-0.185713261545418	-0.279015504677199	-0.23625906768919	0.102262197631547	-0.18412420774346	-0.210256856814566	0.114543955528404	0.367742404052092	-0.189907945258588	-0.196103140781003	-0.215026230124333	-0.25303441915493	-0.293608725687421	-0.160751303556001	-0.284342126603741	-0.311895379796798	-0.297546166908411	-0.200991754313017	-0.245463197441792	-0.226560267877423	-0.24890823187856	-0.243503607432387	-0.23213529098951	-0.234034238948354	-0.273048310368962	-0.272751225025897	-0.293520790149294	-0.219612893424392	-0.213478288107567	-0.250612731703889	-0.196948313224572	-0.0559630210632939	-0.0244990917969238	-0.291263652747395	-0.30280937456852	-0.320960129627398	-0.0627291975412353	-0.262267036879267	-0.247658001035537	-0.216366693228838	-0.231534680898474	-0.261432186904326	-0.243182318093555	-0.202395133163249	-0.168907956473338	-0.189391238025956	-0.261445996609047	-0.189540203494952	-0.226225402870629	-0.0328754447311375	-0.237054196032635	-0.214575641135183	-0.250818349194496	-0.055921722029667	-0.143416420132634	0.52249039430065	-0.225629529407751	0.566447617383025	-0.212721968312198	-0.244791045854151	0.122749542255491	-0.21719630920651	-0.0435553719241325	-0.0417581174112187	-0.189056561742731	-0.237282302542362	-0.244731068459746	-0.0390434732285956	-0.217457272983358	-0.0854165346363236	1.09405434139691	-0.228102969817383	-0.224776667690508	-0.152662975262516	-0.160314467159454	-0.265776981661544	-0.24775555924486	-0.242404080727926	0.949844089213817	-0.0214432514415932	-0.205074850585122	-0.17951735967953	0.0453659250881646	-0.207920367017547	-0.209534479424662	-0.168215144810304	-0.218979126887969	-0.243613949412851	0.203668454816106	-0.153581040886818	-0.283058903066354	-0.0696312894586245	-0.183255110079405	1.61937343008743	-0.143590295911145	-0.268013696370162	-0.274023894385363	-0.291054097415743	-0.0944304832011544	-0.120877644289861	-0.173546206477591	-0.141105111905823	-0.201288647293298	-0.187308875852896	-0.207122217221786	-0.214190287497086	-0.174058190901933	-0.0402352407233917	-0.129001037324393	-0.0710246910622573	-0.184944371540119	-0.18994275577582	-0.243289769667333	0.780769384136921	-0.145051917267936	-0.17477180814745	-0.0362817851651511	-0.110573021720298	-0.272652291279983	-0.0646480987891931	0.942115315987387	-0.00510761940168095	0.0995791910129144	-0.192329257695997	-0.1826349381045	0.229756813358567	-0.106882314147283	-0.197847757357755	-0.16680060870169	0.922579900742187	-0.0853608331640568	-0.203982993656319	-0.206739553421931	-0.118378726510181	-0.26434270682157	-0.174804676408053	-0.195100198158037	-0.0466065196580527	-0.167444230638866	-0.232899221289901	-0.249066514424037	-0.0891222670934921	-0.192104348481197	-0.259387541640517	0.01789906803836	-0.224802961017933	-0.203032852808565	-0.230530748473907	-0.017976646542126	0.578683266025996	-0.224178361523044	-0.260937199873289	0.342640193471619	-0.273609645730406	-0.248270799149747	-0.345070758933993	-0.252179246848752	0.781356174928253	-0.287513882819379	-0.258997961847606	-0.00297844514674384	-0.318054540391034	-0.240794623907898	-0.264677034857163	-0.249768946543653	-0.268351892051785	-0.229293836305683	-0.219958538005676	-0.240068699069321	-0.282657530569348	-0.040815902549724	1.06546021993428	-0.0525184782652189	-0.227422658907269	-0.211344176937161	-0.302547342421467	-0.241639007879143	-0.237407018649572	-0.280933973620025	-0.193241269919668	-0.217231752846142	-0.30539127131086	-0.258358688978776	-0.1767362928459	-0.192783418976881	1.26544145148553	-0.150475857198489	-0.24566501132862	-0.159360155387833	0.0319833483114278	-0.200758993504321	1.47661985253365	-0.202367107986925	-0.177395089312077	-0.171531768124491	-0.241852289799936	-0.261960329679235	0.206112415029803	-0.262357134539772	-0.203935012974253	-0.193938919997104	-0.195857890577243	-0.23002923078328	-0.169498989962643	-0.195805335763035	-0.111776451887221	-0.191045279039975	-0.201441181736226	-0.231096268210915	-0.21448527371051	-0.15673948381549	-0.223924203474636	-0.25411809928755	0.145522423804891	0.31824316537041	0.0152068538072494	-0.232531615530294	-0.149512876533081	0.0277043801759074	-0.169962823235546	-0.175009925858087	-0.243908933846108	-0.253317314259374	-0.207456026789893	-0.174195588919032	-0.251284767940003	-0.136804397390114	-0.217753375661601	-0.216048519892831	-0.224974106148728	-0.16384633296979	-0.173496709015299	0.573356375301146	-0.126585893787906	-0.194967651101181	-0.202675754853658	-0.156231823055661	-0.207313672886572	-0.172741099328985	-0.183189732526559	0.705753783884841	-0.195380048903158	1.22701962685492	-0.202549689872685	-0.235743435974214	0.0320095276335548	-0.0935576080605167	-0.160479123216998	-0.215410009332394	-0.151029943428372	-0.195187458481851	-0.0848373557143205	0.486358548685469	-0.226614498627212	-0.236126497659593	-0.236522246992007	-0.346665047373052	-0.24043842960902	-0.226236632945963	0.0367595573415585	-0.119775049894422	-0.180354146627246	-0.23124481358478	-0.140637887292826	-0.1093340766381	-0.199752329025095	-0.0995477258226041	-0.241311430845655	-0.333736801851039	-0.20596443887225	-0.245837457493859	-0.208134190832491	-0.268597072667843	-0.200400209061783	-0.231209128117368	-0.193195581899597	-0.320934772750424	-0.130392194736442	-0.210967458066461	-0.169206354539061	-0.154169105067818	-0.0514502006295369	-0.199278918239353	0.403578794990649	-0.230826458778766	-0.312426386853135	-0.266416281266347	-0.226612237813834	-0.287139763654379	-0.238721481638058	-0.316180604837202	-0.29046849044549	-0.181107701952532	-0.249602839393177	-0.170822645377506	-0.226005340352126	-0.198772277845679	-0.268411564936621	-0.205897165037815	-0.203148495088542	0.372176075806265	-0.16497052134553	-0.173851919192393	-0.0557395611294196	-0.206359412137815	-0.201271030199215	-0.279364690095681	3.30074317814279	0.116014264576464	3.56535671445858	-0.0535732431865683	1.22409915959431	1.55085894625007	-0.208657154039712	1.49514288715164	2.19357075352445	0.0171945969623657	-0.44632145783337	0.0100344208960007	-0.310835956112694	-0.118759681296685	-0.342787347209925	-0.147142497820801	-0.259096325869166	1.0013399472429	0.0178919749910006	1.04058939591969	0.0137121118397707	-0.288556124038711	-0.117336731964001	0.21376093671257	0.944018682287647	-0.288266358907808	-0.358050787601341	0.406890023529856	-0.190310040920411	2.29575829098688	-0.0645670979201658	1.15919342080518	0.834564028477607	-0.166195616594176	0.343742057637914	-0.178957835592436	-0.214677083659106	-0.253859996807695	-0.289024322448107	0.185182940379495	-0.267176022649886	1.04852726912905	0.463932482746481
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania|Unassigned	-0.25087786650308	-0.264121582643615	-0.337816312821439	-0.350840036579573	-0.262534275685475	-0.239181685996561	-0.270042822046986	-0.264668274070459	-0.276659705183992	-0.294190235907877	-0.305695210638671	-0.232874833791194	-0.326163381612355	-0.232403762513753	-0.1846146652685	-0.317292064297379	-0.249659618892928	-0.277536697969492	-0.394875602039613	-0.314371167409091	-0.369852500190733	-0.317877204980069	-0.235392983887988	-0.277923675936743	-0.346952145227786	-0.348713178868403	-0.320712917228427	-0.278001410036054	-0.313200761273392	-0.29368820802588	-0.312226793284181	-0.28754224961661	-0.288905979772031	-0.417722752926321	-0.400019066951527	-0.347209181647212	-0.27969416385521	-0.39443522149801	-0.307895441849716	-0.225411835142661	-0.25106194546582	-0.309260123436922	-0.226433055039931	-0.321517198399919	-0.300674813185656	-0.24035474873596	-0.287050759787193	-0.25303441915493	-0.316501055387246	-0.334271739136493	-0.325874150570713	-0.333598366263675	-0.333583805190954	-0.32548476257492	-0.283190314796892	-0.252314889036071	-0.274483581877626	-0.258495327875318	-0.235854406103503	-0.245591833701779	-0.305508102130015	-0.302149587870647	-0.307537694592537	-0.30303332362621	-0.240952766079757	-0.269101346763601	-0.276408931478399	-0.315778728733354	-0.284200387899751	-0.328378382274347	-0.329508111773371	-0.36064151589796	-0.298899899540368	-0.330132217520046	-0.308118884535592	-0.328952592399143	-0.332993924995172	-0.312734268855758	-0.276119817652773	-0.238881856897386	-0.265132651489781	-0.248731754394392	-0.288995339207246	-0.252815097390733	-0.268852061366888	-0.278085186319853	-0.251009780789937	-0.220502395114091	-0.267526766150738	-0.251518368768039	-0.267364883008818	-0.134535129448791	-0.23320263111758	-0.282962726882488	-0.260855908953005	-0.290590648647842	-0.27567732368776	-0.228049422551455	-0.319949231477549	-0.170622508362534	-0.215792059349257	-0.242605997467608	-0.24627215636053	-0.237472679548897	-0.248653436984506	-0.171137203805784	-0.332073370653372	-0.306086197307793	-0.268163017632838	-0.224113975850146	-0.162576286794617	-0.278649877434606	-0.252084746183818	-0.275185714200374	-0.292026429485513	-0.203939914314295	-0.207236643756414	-0.18978348960578	-0.264615463587149	-0.212546080909007	-0.217158596802594	-0.263709263717841	-0.233942820156029	-0.253481949032852	-0.196587045850647	-0.226836606870612	-0.296546317865367	-0.296859480931788	-0.194168402263355	-0.245793847765955	-0.247851034260954	-0.304414616935435	-0.287823386144644	-0.294546052461816	-0.203194145115577	-0.151183806104079	-0.190075531758306	-0.167037357800958	-0.204407862722637	-0.18949843580499	-0.28582252111423	-0.239547797132236	-0.211813975410771	-0.222716840469818	-0.255558139399294	-0.295981543064937	-0.244804378047574	-0.201233420012001	-0.275250452332435	-0.17097264120319	-0.356665174124783	-0.288016439128601	-0.302432748620262	-0.205538638183541	-0.292797298396257	-0.272971088695521	-0.327633166085389	-0.199877168951819	-0.215420145786453	-0.0904832857256128	-0.202847560126029	-0.187004820721214	-0.311099389258215	-0.208102085336381	-0.174163620287681	-0.276399348638076	-0.311861968928252	-0.207378912304028	-0.263235981442035	-0.246422601818131	-0.331550240485953	-0.209420635607281	-0.206813636522332	-0.188640947967328	-0.292592146263	-0.23987757841516	-0.282119103824989	-0.16729211020922	-0.200654022746883	-0.263312024903615	-0.255085684785822	-0.2817983470592	-0.221110327899095	-0.258310866013482	-0.241551393122422	-0.296481594044278	-0.252810893151252	-0.337292370740067	-0.288793637088482	-0.295867186558864	-0.271280540834151	-0.367062979532226	-0.291115250650773	-0.281534160108512	-0.304582742395349	-0.276139802069061	-0.428386173673416	-0.34549988009488	-0.26771535708459	-0.268130904391132	-0.255818415802385	-0.314692065166504	-0.271600197865039	-0.265324409601874	-0.292484420750811	-0.290434822098771	-0.288062679252705	-0.346333914045564	-0.240459095453904	-0.23830993318764	-0.270676050390945	-0.316679029993121	-0.319070769036783	-0.28993763275347	-0.31840790185286	-0.295086783403716	-0.240533820674509	-0.333492618014654	-0.266086870687262	-0.204879750191127	-0.240785641049292	-0.286991414333679	-0.230411452758617	-0.268927205182109	-0.244633833263838	-0.267954204340651	-0.236055007102473	2.32178572172167	-0.238563302730745	-0.249863591724077	-0.231244978531219	-0.250792547162824	-0.337108926387562	-0.230600154715684	-0.281118124936595	-0.229771188134041	-0.256111793453395	-0.212855494195425	-0.253060399042558	-0.175034515612681	-0.205135592787494	-0.223438244507461	-0.303752036822103	-0.228460672491801	-0.25210732784666	-0.232854167617938	-0.232375678260307	-0.248736369540341	-0.327834315863721	-0.343621943009235	-0.23249864043763	-0.226362763934522	-0.297719621554382	-0.179789112832457	-0.268317980302441	-0.251875215096971	-0.322165302182631	-0.28516664720631	-0.271365906758691	-0.261743407995918	-0.251980046204981	-0.339367162434114	-0.24840617691603	-0.272719314940586	-0.287962981456117	-0.303142587884531	-0.234475534530483	-0.295185514316702	-0.280414228608057	-0.231476190659036	-0.219828533748283	-0.231473022947695	-0.251478681695287	-0.269155772562554	-0.217705310680221	-0.220914591035886	-0.233231344378614	-0.23198891499551	-0.301241870341038	-0.297200908841985	-0.301824468732147	-0.288497276786529	-0.212533981020255	-0.296845321155115	-0.316162320652277	-0.267965230365739	-0.299495535509919	-0.301688495603476	-0.279478743135907	-0.235267673394755	-0.268365018806391	-0.25399061778438	-0.367687334322077	-0.307937854275082	-0.269837404084176	-0.356017077901754	-0.241729758962215	-0.279596708143986	-0.293302227510529	-0.293801666533621	-0.340128792783661	-0.287603186459682	-0.348725794498604	-0.282563267882649	-0.376425238684826	-0.281065342599596	-0.274007903773038	-0.287495695864771	-0.322338690057393	-0.313167067084453	-0.285464839254955	-0.213113592906227	-0.344241669467787	-0.345092757260598	-0.256459751917008	-0.198113045250625	-0.23790485796366	-0.263626500168368	-0.227385379624133	-0.258260319969385	-0.24405364695923	-0.340718542697787	-0.281434079387205	-0.230649492908644	-0.295737703627756	-0.31541347581884	-0.326974369856086	-0.334699017435708	-0.213479242553167	-0.282909897898105	-0.280268814685972	-0.27324919624061	-0.260580316889958	-0.30020646883654	-0.212480708399607	-0.213609366671127	-0.243978071157971	-0.186946850467264	-0.247636675912847	-0.235167478196634	-0.224146863664754	-0.208127539076719	-0.359945603373373	-0.400070791656259	-0.347149463156079	-0.220806517612282	-0.31800546047405	-0.377156411973567	-0.0842394870684339	-0.281469310605979	-0.345920587303161	-0.311493764704167	-0.290786838883091	-0.451046140563846	-0.353441926271968	-0.3020631940432	-0.287189792584709	-0.391060194791191	-0.281904031588697	-0.277459848579112	-0.311560539495772	-0.287357859229462	0.605803362978243	-0.219130746131395	-0.298914424892938	-0.255221058458807	-0.46124197896031	-0.248664650068319	-0.313819936792365	-0.395797915103171	-0.400591555856005	-0.315432766504809	-0.338151587720034	-0.36192659469599	0.152885425001587	-0.397802771605728	-0.206957464449312	-0.449389815520213	-0.183880457379332	-0.283434115849141	-0.261947533520002	-0.300042546718254	-0.213398296545058	-0.347303496077516	-0.289264459839081	-0.339097073091081
