Phylum	HS00P003	HS03P003	HS00P004	HS03P004	HS03P005	HS00P010	HS03P010	HS00P011	HS03P011	HS00P012	HS03P012	HS00P014	HS03P014	DS03P016	DS03P017	HS00P019	HS03P019	HS03P024	HS00P025	HS03P025	HS03P026	HS00P029	HS03P029	DS00P030	DS03P030	HS00P031	HS03P031	HS00P034	HS03P034	HS03P035	HS00P036	DS00P037	DS03P037	HS00P040	HS03P040	HS00P041	HS03P041	HS00P042	HS03P042	HS00P044	HS03P044	HS00P045	HS03P045	HS00P046	HS03P046	HS00P047	HS03P047	HS00P048	HS03P048	DS00P049	DS03P049	HS00P050	HS03P050	HS00P051	HS03P051	DS00P054	DS03P054	HS00P055	HS03P055	HS00P056	HS03P056	HS00P057	HS03P057	HS00P058	HS03P058	HS00P059	HS03P059	DS00P060	DS03P060	HS00P061	HS03P061	HS00P063	HS03P063	HS00P064	HS03P064	DS00P065	DS03P065	HS03P066	HS03P067	HS00P068	HS03P068	HS00P071	HS03P071	HS00P072	HS03P072	HS00P073	HS03P073	HS00P074	HS03P074	HS00P075	HS03P075	DS00P076	DS03P076	HS00P077	HS03P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS04P86	DS05P114	DS00P119	DS00P138	DS04P138	DS00P140	DS06P140	DS00P166	DS00P172	DS00P180	DS06P180	DS00P191	DS00P193	DS00P194	DS04P194	DS00P196	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
Bacteria|Actinobacteria	-0.554075414316611	-0.583878100654543	-0.52935855685303	-0.597184278548224	-0.622639321788088	-0.382603460525729	-0.615695913070323	0.587516807882745	-0.422530587441709	-0.450572156605152	-0.402825258821202	-0.492451208767164	-0.551944313897419	-0.608621347344874	-0.571374120826062	0.191462703845155	-0.474785779826764	-0.668548318424052	-0.285570983891202	-0.306797885703907	0.0718523248286252	-0.0595262447268762	-0.158032314733723	-0.548474278243679	-0.607102387577444	2.36495824250516	-0.576983717236974	-0.556076292691485	-0.375950598417286	-0.438597915751083	1.95858658150796	0.0113649035901649	-0.515011890680831	-0.549904196501955	-0.46264225740092	-0.291899564754119	-0.622199150054779	-0.423285948890413	-0.57820234392296	-0.547701652603743	-0.448511758675315	-0.248309745996839	-0.518529565743439	-0.567450380232722	-0.614578565677531	-0.46890851341555	-0.423336624394076	-0.470839263304171	-0.0729893783937285	-0.60537189884881	-0.570464716418884	-0.390108145980167	-0.619438934320897	-0.684831407787676	-0.465813528664593	-0.762092554314129	-0.65794719497159	-0.455628942481302	-0.56829387538816	-0.279584054181008	-0.562419698976473	-0.387287985985193	-0.581333897625279	-0.257853455395204	-0.40224606892161	-0.115709587526954	-0.54706192593753	-0.543939803019199	-0.483082752004432	-0.602764624606013	0.250495186896666	-0.52214154242446	-0.00456690332018081	-0.605725990427178	0.353803639468762	1.63184093060688	-0.338874518789867	-0.594416286766098	-0.341089676420852	1.26332736517333	-0.42055474981255	-0.398656764231129	-0.291625731287784	-0.583183908381534	-0.494561588930201	0.0997317926163961	-0.562259101996104	-0.473628656139267	-0.632615581586509	-0.55195228392928	-0.445165659954061	-0.594239137202735	-0.562747219479579	-0.528693755935704	-0.574179295283475	-0.679400130824672	-0.646017549740522	1.66712872221119	-0.46141485267533	0.760355165507752	1.47492727564046	1.33820240926413	0.917675388618315	-0.437834694923101	-0.0687156554131505	0.636062783293903	-0.406448745609845	-0.748681357263225	-0.55554851532862	-0.540968531283902	-0.617562233830618	-0.440251234266795	-0.278368529764094	-0.34943969056035	-0.175468357710189	-0.415475075398442	0.413889349754205	-0.674537458227273	0.564328436279096	-0.264001001837208	-0.634028667767834	0.557392815612481	0.199718314464094	-0.552966040379008	0.860149301532574	-0.110347089631234	-0.450144544224909	-0.310212272751489	-0.410221955664909	0.214536937643131	-0.508718051668125	-0.587011061182823	-0.374148195406935	-0.706512609052723	-0.253651845665635	0.12714503595432
Bacteria|Bacteroidetes	1.51584886726243	0.876431923539973	2.19710048710203	1.05180738763101	1.06341950858047	0.580888941066205	1.59536919377474	1.67355242132824	0.553489624866017	1.26936136780925	0.282235696610391	1.62415360085553	1.16363436588842	0.607123352502091	2.09395099998955	0.67933366913901	1.29340462325901	1.81916851858253	1.27532415211241	0.836008675995815	1.52558924852912	0.645784023680397	2.03533365968296	2.3569029023656	1.8564417337236	-0.00773346936494931	1.56966941383015	2.52375428747946	2.2585768972398	0.651716704746265	1.20742919370396	0.383920491519752	0.984792730232047	1.45120214491378	2.33599720662477	0.330261974792723	1.89645387271586	0.906688930235182	1.93872964447	0.642800250608517	1.16655088117246	0.970598059051362	1.21698353669875	2.24758756777906	1.08971984786851	0.648309981638108	1.80644091387334	2.85427778998666	1.40139767376207	1.76508760235699	2.52343137585788	0.148166037485994	0.863802068488922	1.9666941645302	-0.107718642845818	1.70496654340611	1.72712881258319	1.60572789894224	2.18012250533841	0.504442631882593	2.4717400157139	2.81121842222556	1.91913357326614	-0.301845884481694	0.0910133187169744	1.61214208029877	0.698078218395645	2.24025398249429	2.51257363164906	2.37049672087386	-0.238421989255779	1.56333363310692	2.48758038207489	0.0505630133960141	0.312551221464671	-0.111369393121934	0.839737188003656	2.08930140840761	1.78302004400249	0.0461889856442809	0.689039074021648	0.883300019032102	-0.191029495582157	0.589368091187249	0.752227228441482	1.76117803141863	1.21722146075275	0.423128414906571	0.316687253116991	1.67503436464152	-0.097022424574252	1.8046321332871	0.937179006247015	0.996218961615134	0.984286548866002	1.58377423193041	1.77077193777396	1.2519539397459	1.3918465690357	0.414433946309127	1.22427588255456	0.664831065756113	-0.104203291510465	1.16990725229497	1.46196130387203	0.0313784254965348	1.04549597302547	2.1745895153178	1.17929555302625	1.84109450970919	0.119766920071218	2.22362204746495	1.13812108973559	1.47334343554252	2.14967120301835	2.44160727532492	1.25534305536162	2.48049680546578	1.55910888438087	1.35077801926473	0.562957538058385	1.38950676748028	1.23251801550191	1.11105449224795	0.463882253552961	0.91963521481704	2.06927558524185	1.78931253177902	-0.0903862878826314	0.150680806477601	0.530318029322673	1.23869403284527	2.4557357654178	1.81908437004715	1.74093333887519	1.47074374394478
Bacteria|Campilobacterota	-0.579809937451259	-0.594661757343875	-0.62657048846516	-0.600530987482943	-0.620678822464834	-0.541348070616032	-0.650035819096545	-0.68714393484267	-0.544362969140202	-0.5670708943931	-0.435476982428611	-0.585729963482872	-0.641839537232487	-0.614020328732965	-0.616630383719349	-0.681824852265653	-0.574627674393138	-0.521527347115691	-0.536714147045706	-0.516300411313815	-0.724548219504096	-0.645501742598729	-0.81222848370694	-0.580622672241422	-0.660122306715565	-0.59587830830263	-0.605982103750886	-0.469630107318579	-0.599897894790512	-0.598526108955927	-0.6916965636507	-0.646054464712919	-0.654534726380514	-0.672706480419557	-0.675124901886794	-0.604710390196878	-0.51374220606871	-0.655142478134289	-0.651461513415135	-0.597136005833127	-0.494912445556877	-0.585561623990313	-0.695842095048539	-0.528068189817591	-0.315505289769847	-0.576593671301285	-0.607745211348782	-0.41594704101498	-0.634063797693867	-0.682385180505645	0.111748552039799	-0.424574411924173	-0.568604357211711	0.265163014435709	-0.493171267669397	-0.661315688495485	-0.620618461954022	-0.424509878055186	-0.554056969919301	-0.471309457160171	-0.565413646010841	-0.436183742710771	-0.572220473034944	-0.488737575536768	-0.485331814745401	-0.482426933442235	-0.527896835313456	-0.577349905436095	-0.508093187754993	-0.418893616502932	-0.436797554877277	-0.537922591029339	-0.606413367945848	-0.546606926892054	0.320582051323121	-0.768608274224637	-0.603918423154029	-0.661659140501402	-0.673429235252612	-0.671572486638798	-0.66162547624992	-0.496125931648918	-0.41785509049323	-0.593356458071491	-0.492639931252711	-0.746934285542284	-0.562548377616584	-0.493276751840161	-0.502224085268068	-0.545844776117914	-0.504824823136624	-0.579005443499602	-0.603299004047568	-0.450906499242516	-0.510363969780417	-0.203180112841091	-0.671741784773285	-0.625489767985825	-0.647648778505778	-0.460567523176628	-0.558817262981963	-0.593655524912966	-0.465262455490492	-0.63506522075383	-0.573359436062367	-0.556127314989314	-0.573061877373429	-0.590984192984511	-0.658372246039606	-0.802233423738562	-0.609245622903666	-0.729561722098941	-0.617058196655069	-0.597230070125142	-0.556325716849483	-0.503528095411518	-0.507331927820102	-0.54956633248963	-0.80007152773445	-0.709011573576391	-0.561591508667143	-0.689385193470946	-0.548881794759241	-0.375796847224319	-0.589915919021072	-0.635948339691644	-0.504081091286845	-0.343219073746914	-0.425231249387548	-0.610323402859862	-0.366972890388914	-0.498651822117444	-0.557129274981992	-0.529580257184864	-0.302335469792379	-0.237769062647088
Bacteria|Candidatus_Saccharibacteria	-0.610617376708344	-0.601771280319637	-0.621134419643612	-0.621028485369834	-0.662932948876421	-0.547931218708079	-0.677536267919303	-0.66951583642368	-0.552623800161251	-0.532793832571116	-0.428559462508314	-0.553923300485268	-0.644136186325406	-0.674288108494895	-0.607926496343857	-0.574681122050454	-0.656238086088756	-0.63116759154216	-0.740053377615236	-0.666678348042197	-0.808897569301382	-0.681668764317597	-0.746076904409101	-0.627620484575647	-0.70293186944809	-0.59587830830263	-0.669979488599699	-0.659356726106843	-0.683643629229131	-0.633832191052241	-0.694564301004129	-0.69055031414977	-0.683460171720467	-0.713878662390084	-0.685922688996844	-0.633996304347593	-0.708340850360216	-0.670995746447059	-0.694876268424438	-0.544370616524428	-0.667256343859293	-0.593438881579814	-0.687433116957826	-0.585052016592385	-0.624887948525442	-0.600820544256566	-0.692694155396823	-0.475590213101602	-0.749520750160027	-0.729696819609631	-0.741062399309307	-0.457805531275597	-0.57227524737942	-0.696678202810716	-0.660505664974927	-0.776679110397355	-0.670774241583863	-0.59537245861238	-0.57114470689389	-0.740866780395983	-0.571764975067835	-0.465375876674342	-0.592041666469183	-0.501319922646112	-0.490868767711288	-0.635339504741718	-0.545662773505846	-0.59084143348193	-0.595888291811768	-0.663204940752739	-0.440854359105728	-0.543693177437547	-0.590614307011204	-0.650469487960504	-0.632014752480386	-0.567658350013937	-0.58031166414164	-0.685045076444107	-0.711505492356344	-0.355925174747941	-0.683403210394493	-0.569155561813709	-0.538479180395426	-0.608737817075756	-0.502927474287039	-0.815671417448188	-0.581376645922272	-0.661516359404892	-0.689612305893902	-0.57643548677319	-0.548094949516105	-0.604656401739868	-0.612626564285361	-0.554816503487744	-0.706743599759805	-0.716360569599379	-0.631774455179013	-0.610952825816574	-0.0729904359561983	-0.692937955424767	-0.856582997179484	-0.625392138190821	-0.610380304834471	-0.574433816482818	-0.73901777613354	-0.385208348771502	-0.560977036713317	-0.493004428914709	-0.711293974399014	-0.489972793357202	-0.692342366583615	-0.730648728549227	-0.672019288970326	-0.619081450034726	-0.613966654388852	-0.517236464865735	-0.618412147989556	-0.66689193951787	-0.95562721054272	-0.713721954070371	-0.679074362978147	-0.492714885048645	-0.901100321038685	-0.676288150333368	-0.761048887640948	-0.759492433926668	-0.508509756772488	-0.684457454644399	-0.416637490583356	-0.754316358286964	-0.549259392923253	-0.646798893036397	-0.570961297690127	-0.832541959799197	-0.874964184868689	-0.686435927664434
Bacteria|Firmicutes	1.69320202495582	1.5767226775499	1.10132502394036	0.888876697166267	1.30235801291083	0.467255623594202	1.04630633278785	1.71701928032814	2.5201646923392	2.49950505021743	2.93221260643201	1.84292024994032	1.50349391819108	1.28484161695227	1.34185516833782	1.4917521218358	1.17485043711779	0.241328831510893	1.47503803492142	0.31894271279741	1.76726528685462	1.20032156137925	0.994558519810052	1.20775918387825	1.20381854353754	1.27861810184718	1.99160790806324	0.811685377103199	0.591094954910846	1.18874526458496	1.24871495068046	1.11140502156893	1.01780426002978	1.12092236827467	0.679493425036313	1.1101404698535	1.11260715214623	1.96333984066403	1.01303409321071	1.98772107939856	1.66483482067729	2.55451811711089	1.5158689955026	1.20549124662982	0.555869463045391	2.21969595947043	0.721492369429905	0.416783616838883	2.10841951184862	1.14501555785668	-0.0464136362688891	0.159365619054239	0.00267264633887882	1.15429712118927	0.797074910199721	0.632107261872656	0.169313763266926	0.406680783392803	0.849084612416109	1.50324005702464	0.551046465290258	0.740341015591745	0.682364426511477	1.23138089445281	0.474427315102998	0.733921497561133	0.804928358282276	1.31827138396188	0.27704634971755	0.367119249453924	0.0896168032321085	0.360332427058763	0.381428554010874	0.754150596414202	-0.0844630963264622	1.297304749627	1.95570963563436	0.896748072352272	1.64247713753785	2.0611971299479	1.74831586267429	0.354098685409078	0.852543557864647	0.318702372081643	0.417529883183475	1.11982534335775	0.64477879041884	0.522504273819339	1.87052426664088	0.142893027827234	0.384753101632651	0.747649438063623	1.30246250754595	0.290946804371939	0.603239786448127	0.819098537141687	1.72182788160561	0.986101883337489	2.11102105578214	0.684513042805992	-0.0203283909603131	1.36030365719077	2.65426915695071	1.99112826076785	2.22107805886687	2.76471572259952	2.00906067515176	0.523524669456027	0.799524900957887	1.58185858721187	1.52362607056711	0.592543231709809	1.0296862254247	2.11416347769242	1.16537302831053	1.47922954929269	2.24711475039454	0.996521890351255	0.899312951618954	1.43441005234231	1.44889461402036	1.04184380283336	1.92308847118607	1.91555788258441	2.265181138522	1.64624552217782	1.95467211956006	1.32404816892208	0.487944455716832	0.465210751803419	0.394440642556017	0.25950339212972	0.733010498596255	0.249688489682415	0.717504090840334	2.29904133466211
Bacteria|Fusobacteria	-0.335003441815465	-0.201335793977796	0.0103204158005855	0.00825400817774567	0.118323079104952	-0.0900994417839788	0.144871963026731	-0.111787004468754	-0.260072348035887	0.0239916174864472	-0.0541723104745827	0.234560659061552	-0.094353732686233	0.623190312393774	0.181106699523544	-0.210608577730277	-0.168471807977864	0.289138519476807	0.0760342166969852	0.16364539630116	0.621135654529319	-0.0493003678197928	0.266911442720246	0.166370264887768	0.375257029718088	-0.59587830830263	0.100061985835181	0.39209601184436	0.222541242275399	0.00691763312797092	-0.430788498192896	-0.0320177706656699	-0.14504051806754	0.527256221611505	0.792520952314478	0.190281079524035	0.290421152118344	0.158812931215308	0.508858148402077	-0.200274107548892	-0.0871086856647508	-0.000968449469193175	0.328179091204572	1.00282153017648	2.48089090105317	-0.33540230421861	1.85768063103098	0.292469071779056	-0.0453266549419794	0.918116647618935	1.011327698211	-0.152835885680729	2.6705540675708	1.27116214258736	2.21773240860805	0.979814829877964	0.97353153321943	2.22913419317295	1.42751538820392	0.368179634035881	1.14314757066546	-0.0395301244636669	1.82713789731595	-0.275261081451761	-0.0892042845723404	2.01856941225602	2.58225787993068	0.86525659380685	1.15876123658248	1.09202604928481	-0.383948720221627	2.28125546385087	1.13869828817133	1.3381809820705	2.70497879405738	0.336468958791296	-0.5926788870356	1.21686618679528	1.01587440527562	0.0954642159468749	0.203696117850016	2.65449746602481	2.74364355183779	2.5304100677542	2.71344953983953	0.807042485826973	2.39884170952082	0.821879673950644	0.65512177486514	2.24155628113217	0.667043714873535	1.90156269105255	-0.288646593145755	2.6237868752042	2.27221338404646	1.97613511236998	0.83076401813478	0.988483964084321	0.907245897799918	2.42199256663055	1.69388051442924	1.27301084804201	-0.146758753429551	1.41586315119465	0.32299098709871	0.111287634960401	1.48493989862154	1.45024167344575	2.16703491993689	0.916539640277216	0.889355219525348	1.24294143228192	2.24161833659961	0.8909810547044	1.15084819281369	-0.162141776922873	0.538843954055779	0.336553421954116	1.41033733564367	-0.247203463037001	2.1419206055288	1.79268067619918	0.845127068561337	-0.338911990935355	0.164171189683441	0.0953456172303983	-0.352245392029989	0.911717952601248	2.8881223444019	2.28074960780953	2.73581371038377	2.48033102792792	1.06484692380863	1.19272296306769	1.702930329843	0.149391813392966
Bacteria|Proteobacteria	1.43573950606798	2.02294284272923	1.0766582915573	2.3398709229279	2.05309325306997	2.73238399323846	1.81825053774657	0.668812004632908	1.055597731552	0.0624342463167242	-0.147851068241734	0.897926010452962	1.8788765615197	2.12377796183033	0.913958615059007	2.06169116995859	2.04663735295134	1.96334283933647	1.73757794686554	2.61752067192011	0.699678099070493	2.32136531216273	1.11769935877218	0.563118234308631	1.31539004360949	0.535305283131024	0.823641283886322	0.490488236640113	1.30031756840426	2.36528083527089	0.201898252031539	2.45555173509448	2.32517475217772	1.73191391101239	0.70609255624675	2.47275870456825	1.37896116255593	1.51308811358734	1.30325043115179	1.75607039879412	1.71470713287036	0.427376073571917	1.69043899489255	-0.53015034339052	-0.163618426896073	1.48870869505448	-0.0533868662027976	-0.447343711713553	0.795967733076658	1.11028908853857	0.172244114643477	2.92718998103722	-0.300709891208119	-0.608505343033169	1.34414247617297	1.51653707695453	1.73475704538289	-0.490049004099911	-0.489302396582396	2.07612898376068	-0.210619516696673	-0.421040376740458	-0.32266414183656	2.59899598543276	2.85738283132822	-0.25076099596781	-0.201919999193755	-0.350842756081	-0.602270927859774	0.530800399326751	2.92578774368116	-0.425512879658861	-0.366981079866196	2.21661433099886	-0.215374658348857	1.4149408016036	1.69833378245732	0.471080329761781	0.114126858604063	0.891269457931541	1.86297929067598	-0.150930464076558	-0.00361872273600001	0.778862136027994	-0.383003325599665	1.04343820536293	-0.272533847108799	2.49613271303156	1.72231243502234	-0.293446742258097	2.7293463568853	-0.278967696144403	2.2066863603149	-0.167615295008265	0.702178779742608	-0.0269707700768305	-0.692119660168138	-0.33087902681877	-0.434556285634699	-0.164844850902147	0.0855693240087771	0.30292379838587	0.171982640173855	-0.634950609336212	-0.609108951689984	-0.238408536197488	-0.63386674314897	0.180605382731413	-0.558390108511188	-0.701367147941797	1.98413628546111	0.163684619948115	-0.352658667888603	-0.525553259366302	-0.658182058627753	-0.261230272793663	-0.710921446430144	-0.553064241480744	0.243455965397573	1.7884924863256	0.32851677731814	-0.593872249085001	0.448021665403841	1.53571758518638	0.721305309163347	1.80317496684218	-0.186025654996263	0.745456250587547	-0.360013428108004	1.18882180930733	-0.493943669143147	-0.415839872057898	-0.471336678761699	-0.698993566192562	-0.661944913792076	-0.470115750659543
Bacteria|SR1	-0.645237014039845	-0.630009477186147	-0.512583166505753	-0.622448531553311	-0.666710354268316	-0.549895750969255	-0.672053751497392	-0.793449372803216	-0.588436043341932	-0.564635513203411	-0.420115394567273	-0.770839186414589	-0.584137385133695	-0.685005432405297	-0.67764961184443	-0.744667412756921	-0.661915566964617	-0.496381436008599	-0.743287963467251	-0.578941628551575	-0.808351057452827	-0.692678223712572	-0.0707005483846442	-0.635621336918526	-0.659610921528259	-0.59587830830263	-0.658592297390413	-0.656852577341867	-0.677617005231939	-0.629527076614743	-0.697433020050028	-0.67672459541512	-0.482106047208738	-0.715457430233743	-0.612893595820014	-0.64209386166173	-0.590592526550386	-0.688998525518076	-0.689104477075719	-0.61622096245921	-0.702306534479753	-0.632773591469746	-0.713761359316001	-0.500223612516017	-0.542679354811552	-0.583548900345222	-0.696271781080926	-0.404085747427986	-0.746530520542866	-0.73039454141804	-0.739631969164578	-0.454629819911998	-0.420837778900596	-0.695492747227583	-0.657220691848693	-0.655212992945645	-0.645759998507564	-0.591036338008401	-0.560862340693533	-0.737853493682222	-0.540780950021123	-0.463703989455011	-0.586442443358761	-0.500607051790605	-0.481796848206632	-0.725067245789312	-0.551461004550658	-0.591267881164144	-0.630397545346963	-0.676713443407036	-0.441715255861146	-0.544195201909013	-0.667573674737794	-0.651340832790882	-0.690448892532606	-0.798385252995682	-0.537297841470867	-0.687285491932108	-0.717640694594986	-0.830535260461649	-0.685314303715088	-0.569075070382954	-0.538394714856628	-0.607967988426593	-0.501291907097089	-0.817587676417859	-0.539347422816528	-0.665347970356386	-0.683386546732219	-0.576727467351746	-0.550819747433413	-0.600633948370426	-0.562648574636925	-0.54671580692371	-0.706634455843259	-0.639576066759914	-0.714488857346953	-0.900224361304462	-0.708011724994754	-0.754777572209366	-0.855972498374406	-0.928429714693298	-0.614070956860621	-0.639421657546929	-0.743303171693074	-0.652142341007194	-0.664660860519097	-0.735998196852374	-0.837207069497244	-0.868897809094598	-0.695293403374585	-0.769042655540045	-0.654163327355573	-0.621349448972616	-0.71400365615703	-0.517541425386282	-0.734888601262796	-0.689302727965577	-0.950396556517386	-0.713601141452958	-0.673558715532977	-0.848849688294847	-0.973066012425066	-0.677696410578309	-0.781948191160347	-0.745962876459317	-0.491095259792043	-0.918502581554471	-0.474107485323658	-0.75059879983189	-0.634009673859798	-0.285914397695362	-0.570716964776595	-0.874428864322495	-0.985023657972444	-0.680679276362577
Bacteria|Spirochaetes	-0.622315976493264	-0.600059140534692	-0.598233470493042	-0.602848775558281	-0.631140226820588	-0.553479479885823	-0.63328190103686	-0.791122332328607	-0.584635775389302	-0.579645210357257	-0.439983093330064	-0.652874903901756	-0.657107608965286	-0.68121165532329	-0.670113978453191	-0.724439256598445	-0.654616681555519	-0.619001065810968	-0.709984794234438	-0.511705100348151	-0.793879533308461	-0.666796026180543	-0.863153828401654	-0.62846229544734	-0.699077875456322	-0.59587830830263	-0.647220668177701	-0.551131864815391	-0.663263538380656	-0.629714205779151	-0.691082176161677	-0.559868047075535	-0.461629296384496	-0.710045704102985	-0.684676081967999	-0.636829527989167	-0.735923091888978	-0.68730252350279	-0.709100365135149	-0.623832866795682	-0.713498235261299	-0.623136156202692	-0.708560869538092	-0.573173313094258	-0.619854245532786	-0.602855176192037	-0.700473539626822	-0.411343029699491	-0.577732180885362	-0.728999154882366	-0.251208108982983	-0.436789687997504	0.194198359643196	-0.696151312351981	-0.653794365868108	-0.430433727742901	-0.668910966572536	-0.483704010719078	-0.570648827366315	-0.738746209803424	-0.571764975067835	-0.419564984663755	-0.591067576665266	-0.5014783492025	-0.49102264104088	-0.694396014566744	-0.569585078238827	-0.590415010282217	0.0146710330266859	-0.619418724287263	-0.441223299313618	-0.542940211068988	-0.45731012615492	-0.604426611812479	-0.688983056325285	-0.796080328098219	-0.608395922864586	-0.688915269659045	-0.690746562154576	-0.829157792701205	-0.682616417928228	-0.564247262574759	-0.538056863337133	-0.607198239947657	-0.502831252960999	-0.812536528223484	-0.57973321698673	-0.641249364620205	-0.676025486859547	-0.362400586571754	-0.535756051347477	-0.587028831966508	-0.611038092460326	-0.550716182343729	-0.649090915194442	-0.68126774929003	0.327989928863414	-0.613116612391968	-0.636484515708629	-0.710152417157485	-0.504579447603703	-0.906024380489005	-0.579024204021531	-0.514027620009814	0.141372907973228	-0.451083721917559	-0.385341378168991	-0.329533362879581	0.413681171254241	0.167437710524926	-0.536000398319796	0.045141842159183	-0.461745899345842	-0.556863578098888	-0.491197897670556	-0.516728229266166	-0.456515953629271	0.383668560097463	-0.00445712310542091	-0.712634704252375	-0.571467302383707	-0.440477430657105	-0.482003878925612	-0.596187961964017	-0.773947505937473	-0.703533324151014	-0.508981069777793	-0.712258250176351	-0.207307035251981	-0.678129787738115	0.0910837271691336	-0.163721921728027	-0.568681190607787	1.32555308411907	0.310960907821602	-0.597078854355371
Bacteria|Synergistetes	-0.648799629118509	-0.631860376370806	-0.748762058219837	-0.622448531553311	-0.666874628658423	-0.557412022861439	-0.67791020856184	-0.796397774781758	-0.588013692986971	-0.58041576815247	-0.442952357605669	-0.766718433399531	-0.684923908180829	-0.686655411273129	-0.691815856519852	-0.741539863063856	-0.662186022780889	-0.691289384199601	-0.762111130503732	-0.672800438571667	-0.725632008023601	-0.669811602460111	-0.878479671437424	-0.635621336918526	-0.710130668693999	-0.59587830830263	-0.653884910562668	-0.660788013959601	-0.6838755102584	-0.639825896759836	-0.705224496830218	-0.672200352630219	-0.693967990794807	-0.73419897251901	-0.696110242455109	-0.647158951829429	-0.753452051855998	-0.705339831856783	-0.71889316573151	-0.627553061061053	-0.715070182273515	-0.631223909103645	-0.712147072574575	-0.586310876214516	-0.625624866939447	-0.605326558903549	-0.716365763855335	-0.475486893560973	-0.748879901865219	-0.730568980790119	-0.731197089620547	-0.459362861733545	-0.654430258718524	-0.696678202810716	-0.660648521231647	-0.774790118648683	-0.67056718946421	-0.599711049361955	-0.57126868222095	-0.741090028636766	-0.571764975067835	-0.453682268303995	-0.591189330706461	-0.50163677969046	-0.49102264104088	-0.729386220192545	-0.570286911511987	-0.587288654636086	-0.512733522986063	-0.688458702323802	-0.441223299313618	-0.544069692273836	-0.648373154621398	-0.649598240205598	-0.690182357767732	-0.819732288859758	-0.616094195019313	-0.691054844717743	-0.717981667913129	-0.835434488632094	-0.68497701986855	-0.572053864451389	-0.538901524044286	-0.608160438072299	-0.503023697049744	-0.818284590685817	-0.581376645922272	-0.660791663946281	-0.69013133213805	-0.576143518312752	-0.548821456771661	-0.604656401739868	-0.612626564285361	-0.555402460070953	-0.706416172170841	-0.717415559814595	-0.593272186501518	-0.9053104722705	-0.740859712916954	-0.746778353219787	-0.829299266244622	-0.943075339211786	-0.61138667359243	-0.500940630354181	-0.671634169521115	-0.611054071931666	-0.672157054573898	-0.58384764749093	-0.42585825409914	-0.229278184447485	-0.671828170573887	-0.769042655540045	-0.663498787564205	-0.620101965563605	-0.577692335125152	-0.517541425386282	-0.692370356956725	-0.382097952132613	-0.9357991631164	-0.713721954070371	-0.659337285017704	-0.829518337895153	-0.783444223004065	-0.669367771059713	-0.783914344347243	-0.749906896626683	-0.511903976667654	-0.873966746547756	-0.485057891211829	-0.750455847644869	-0.526557556980036	-0.680837778055356	-0.56965828790742	-0.100713104376934	-0.418159557636379	-0.686298821450227
