Family	HS00P003	HS03P003	HS00P004	HS03P004	HS03P005	HS00P010	HS03P010	HS00P011	HS03P011	HS00P012	HS03P012	HS00P014	HS03P014	DS03P016	DS03P017	HS00P019	HS03P019	HS03P024	HS00P025	HS03P025	HS03P026	HS00P029	HS03P029	DS00P030	DS03P030	HS00P031	HS03P031	HS00P034	HS03P034	HS03P035	HS00P036	DS00P037	DS03P037	HS00P040	HS03P040	HS00P041	HS03P041	HS00P042	HS03P042	HS00P044	HS03P044	HS00P045	HS03P045	HS00P046	HS03P046	HS00P047	HS03P047	HS00P048	HS03P048	DS00P049	DS03P049	HS00P050	HS03P050	HS00P051	HS03P051	DS00P054	DS03P054	HS00P055	HS03P055	HS00P056	HS03P056	HS00P057	HS03P057	HS00P058	HS03P058	HS00P059	HS03P059	DS00P060	DS03P060	HS00P061	HS03P061	HS00P063	HS03P063	HS00P064	HS03P064	DS00P065	DS03P065	HS03P066	HS03P067	HS00P068	HS03P068	HS00P071	HS03P071	HS00P072	HS03P072	HS00P073	HS03P073	HS00P074	HS03P074	HS00P075	HS03P075	DS00P076	DS03P076	HS00P077	HS03P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS04P86	DS05P114	DS00P119	DS00P138	DS04P138	DS00P140	DS06P140	DS00P166	DS00P172	DS00P180	DS06P180	DS00P191	DS00P193	DS00P194	DS04P194	DS00P196	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae	-0.209866205872382	-0.27095917506207	-0.312783213882687	-0.313910552391811	-0.319813354307882	-0.27445183540647	-0.322297894359024	0.0385291907355089	-0.25146130365811	-0.194372393076046	-0.22008627330031	-0.340071560271121	-0.330177682985836	-0.312942288739175	-0.34216971851134	-0.0583504794979372	-0.302856693185032	-0.314166006969542	-0.0693281382791995	-0.165889717564228	-0.308377276828991	0.193786148014276	0.68234770256542	-0.232404815533673	-0.243574722008501	-0.327927767927198	-0.311572744293125	-0.229577901000543	-0.264728895470983	-0.308117013108047	-0.212741913746079	-0.336577394684385	-0.334689096597935	-0.318290719702958	-0.316330784511839	-0.126885981237074	-0.244898136838421	-0.286287303284177	-0.282173358610771	-0.253866053934357	-0.314594450841842	-0.25747876042939	-0.30355440744509	-0.268898121992856	-0.270976167882119	-0.0957581965733039	0.157129335857778	-0.273585984713401	0.330932636818978	-0.312076063551323	-0.00232222024158168	-0.0912539052807278	-0.254156978712105	-0.296179442561759	-0.106064077546569	-0.341670822852925	-0.307566656085939	-0.0296080278224224	-0.252290601786733	0.413820364526175	-0.242841464708729	-0.215700361667978	-0.263942879761987	0.126338811728	-0.219822361050408	-0.0962221269584674	-0.253458805032449	-0.199820640598022	-0.0400869640935411	-0.346130462143322	-0.128101922758317	-0.226680635878524	-0.249895361803085	-0.229367820711341	0.00380758780741873	-0.208816674974173	-0.227123022244738	-0.305851267388384	0.426478037333421	-0.292161229095062	0.0281231971120866	-0.239817045051751	0.168792378475512	-0.253877919127941	-0.214559465901586	1.05877380406781	-0.255445303206176	-0.184503680782677	-0.298692041465543	-0.254490825112468	-0.108298799779268	-0.291328776564707	-0.286543773412138	-0.245251544288422	-0.301875955585368	-0.298319132496498	-0.337025376957245	2.85791766688106	-0.0214845799079882	2.85812058883124	0.34468046447624	1.25275322559678	2.15724755693076	-0.258374553298302	0.981774918176882	1.705039377235	-0.0830579506128305	-0.544488737040109	-0.185299901964451	0.0345475220842513	-0.226650171978135	-0.309297227627791	-0.104827212501689	-0.0862565109059258	0.78728914594352	-0.0886506977662146	1.81826496702781	-0.331616927082468	1.96455858750818	0.657607418111521	-0.344457550568109	0.636143273162291	2.21768440611482	-0.178178203958777	1.17881350319172	0.60479534919754	-0.19184215470181	0.294050084317717	-0.229517774883251	0.188830851921565	-0.31931878017265	-0.367119404026182	0.131227727771986	-0.329251512070671	1.0252848745575	0.51748947952581
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	-0.312136868075243	-0.321825720285929	-0.365038085600012	-0.323234588691377	-0.332485909830329	-0.324884748357025	-0.330834510669344	-0.383969198383043	-0.294339687068619	-0.297560860207315	-0.238626991141425	-0.46540953153359	-0.398198988300077	-0.402037673041814	-0.398720953156804	-0.406416796207667	-0.33989423392459	-0.338215869359651	-0.455799177264951	-0.415624959016194	-0.451610900326223	-0.393980629489644	-0.425109920179547	-0.292723514627661	-0.346406564932699	-0.327927767927198	-0.374784961531974	-0.329320309244018	-0.320873149722401	-0.349251036524506	-0.338824594966006	-0.407034235457116	-0.381492582433338	-0.395278901255379	-0.376915745761249	-0.385564841530391	-0.380625142589222	-0.400641883199296	-0.373156534500102	-0.311820317210305	-0.357155525210389	-0.325673381928857	-0.347683492457737	-0.289616102151071	-0.280537835023538	-0.31562868438978	-0.3424377431819	-0.278534683484547	-0.359624237131228	-0.369331926686813	-0.354120630742033	-0.216052630709858	-0.280746056478238	-0.298217117677144	-0.286126086082223	-0.346010193057617	-0.3194787580848	-0.250445139552633	-0.254553438204578	-0.333082771745256	-0.248475115749413	-0.287166468842994	-0.277808727712668	-0.228850849254826	-0.287468513232214	-0.415933984449143	-0.267988996576141	-0.30172591676034	-0.379883573779111	-0.349517549525817	-0.248234760570803	-0.230544385585954	0.149239434212412	-0.257706786671297	-0.33258273893429	-0.395999934415871	-0.313089546177679	-0.336384355614095	-0.28082089148046	-0.374037135181803	-0.396624263863857	-0.267879948446772	-0.243933952719991	-0.265085789536534	-0.222914068769116	-0.393853344085465	-0.26303221664739	-0.326207918029772	-0.40008376412957	-0.267108910377412	-0.241219995444346	-0.300436013647085	-0.36513505153298	-0.257485859698671	-0.363612649889471	-0.328038627181988	-0.418395367873405	-0.523770783364017	-0.30511924724625	-0.379604841287317	-0.435786634783656	-0.502105952065903	-0.204973721320451	-0.31940230572616	-0.314982590589973	-0.380519156358772	-0.171418509416961	-0.569429178562752	-0.472574803350741	-0.488288170091561	-0.372243156073117	-0.484875152160494	-0.385643836407711	-0.330938432036205	-0.377214391718052	-0.295614660208188	0.394242549773573	-0.34529841300373	-0.572538690947799	-0.322617345898833	-0.408276034053639	-0.524318004211211	-0.599913074345633	-0.440190340151865	-0.274747116302356	-0.493374615568569	-0.225521348469346	-0.517046994332568	-0.251817942552647	-0.433035851683458	-0.34497396211051	-0.390769694450651	-0.249927958850055	-0.458418569609019	-0.54736020903416	-0.345619398756322
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	-0.219716642839108	-0.289806749682296	0.105379235323525	-0.269022760077467	-0.250067391275129	0.0924138660912404	-0.189585561412415	2.47592700815798	0.0569580172657922	-0.117394315553326	-0.183075202869929	0.128606868231447	-0.120482868269728	-0.317672233544041	-0.157905192922876	1.69414974202251	0.0295476308450684	-0.289676830248288	0.379682953903911	0.351066537674105	1.79563736657583	0.708692894192317	0.0858651925943317	-0.190848737750747	-0.210463944342034	3.37219145898224	-0.184684556583296	-0.200424029464665	0.33337833095121	0.123221536277542	5.91878589790461	1.49803495864	0.0414786459036728	-0.00849595646602041	0.167180668596253	0.347958136348624	-0.258553837006262	0.228045999016642	-0.154713305155758	-0.182571254099453	0.247657647126148	0.573387047245208	0.0679806315525368	-0.279599176575488	-0.272944277882812	-0.233223846023598	-0.289822930916303	-0.275041325491482	0.420791455730648	-0.306758589319473	-0.329818933243816	-0.200919283338721	-0.277848049144995	-0.298217117677144	-0.105074676786225	-0.347588395185386	-0.314514379997189	-0.221622642485185	-0.253421976774574	-0.126977973210663	-0.243646139906159	-0.219752394617447	-0.273763252108128	-0.0542625728118363	-0.119100353368944	-0.114141603843984	-0.244651893479677	-0.294504010398169	-0.34722005959346	-0.146640320554495	1.4826092545131	-0.202143658459677	-0.310164685278325	-0.273508343429731	-0.271629168195171	5.21148561775831	0.293170952880699	-0.337647157408339	-0.333779840133743	4.21374802418214	-0.297853359543575	-0.245158401946579	-0.1484738316714	-0.227184715653804	-0.214999054377568	0.137815383699272	-0.237386008659679	-0.17795184561959	-0.363772302542783	-0.261601547806017	-0.207926588416135	-0.297703314893978	-0.348808786136329	-0.244790065487876	-0.335094463067876	-0.317126722711466	-0.415417383801607	-0.459329582022655	-0.281628870713127	-0.309412085598823	-0.428832993338515	-0.418440676959785	-0.15642521740956	-0.346353432248451	-0.198127314894705	0.926621852343744	-0.338987644663123	-0.567433090193365	-0.148440128301529	-0.486132209680272	-0.365027233025099	-0.462172262782857	-0.386762918654486	-0.361908255072315	-0.371591791755486	-0.287138211667228	-0.402861647912142	-0.343929800979471	-0.50776470635412	-0.285852977757998	-0.408643370182321	-0.30839639621349	-0.379050490058542	-0.389231185808485	1.08311001849931	-0.441514450442712	-0.256379663837086	-0.493698418223574	-0.248402538052886	-0.132811092898146	-0.339050481794043	-0.351255296697573	-0.249927958850055	-0.452872969869316	-0.248806022896537	-0.331446752975214
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae	-0.307983373632463	-0.320813719765992	-0.362076487256373	-0.322901504564315	-0.332485909830329	-0.30521919099378	-0.330529562107707	-0.375703089269733	-0.293987768982251	-0.284136710270735	-0.223271287075458	-0.449069467387671	-0.39350071852518	-0.376409100955846	-0.395672045278462	-0.380162222375674	-0.340587233593457	-0.333497737593803	-0.302386885693419	-0.364170896253391	-0.444050249108054	-0.380841911769342	-0.406601112670331	-0.290758483317859	-0.338862937708053	-0.327927767927198	-0.366738367506911	-0.313324573158875	-0.317051826634532	-0.345736006927322	-0.325827335870262	-0.391965486224128	-0.378860241350571	-0.385037087112058	-0.376359075076245	-0.375577302007879	-0.378126466159953	-0.389414157172295	-0.347936222681014	-0.309621498805915	-0.354217186885113	-0.324797422287817	-0.3450590132903	-0.27338481944512	-0.275193843871323	-0.284207719539811	-0.201587595801631	-0.279699305640421	-0.182579432039817	-0.202919973482803	-0.34786869846237	-0.216204049356336	-0.248897106317235	-0.298217117677144	-0.293796379109055	-0.349561334888237	-0.316499959361829	-0.24548261090423	-0.253987696683527	-0.241765748926086	-0.244987363068173	-0.202470868617592	-0.277230738561166	-0.224982289506517	-0.278835252885598	0.538735756007035	-0.251316133020422	-0.297031328300897	-0.376282443929031	-0.34274399607195	-0.218949166145923	-0.223645596204291	-0.310164685278325	-0.270927425385239	1.80191693081043	-0.269976274046121	-0.305203697023401	-0.238406324950473	-0.392505387424031	-0.317907200266625	-0.220783920276147	0.0877618503444217	-0.181333132936946	-0.26120520818177	-0.221374678701396	-0.134011040031318	-0.253437643280818	-0.159820867759507	-0.379410765895968	-0.237072157136277	-0.22611472879374	-0.291784019100908	-0.349100207710143	-0.225420645362381	-0.118385087172558	-0.303223576786039	-0.416161840171313	3.6618284427256	-0.320353380568667	-0.110406463692404	4.53918793145067	3.8503646540241	1.15974668064928	-0.349990233152764	-0.397103925676497	-0.0923113110464203	-0.338712571226506	-0.360151421664188	-0.308590148750351	-0.214337802963606	-0.371341016438919	0.408618239173961	0.479864320446997	-0.310963915161149	-0.330959318938292	-0.295049425612186	-0.412035771127224	-0.340166649083109	1.3099700073424	-0.320403720830588	-0.278277672542489	2.08361437625324	-0.267023110716359	-0.381118288105951	1.26421388893261	0.427614502393086	-0.250588922362052	0.37180773422522	-0.0545286550036304	1.42180395810793	0.0395107667002833	-0.153821615579172	-0.249927958850055	-0.415067152882274	-0.490374881918978	0.86600730408589
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	-0.311178281439412	-0.323512514797511	-0.363721763646583	-0.323234588691377	-0.322265421418968	-0.323900973328682	-0.330224618688771	-0.382090242434901	-0.293283955453326	-0.294613178445017	-0.237757369804281	-0.466431143505878	-0.39772911359263	-0.400613071911182	-0.397849791932937	-0.400629169989116	-0.34024073050179	-0.335856652606631	-0.391414348579938	-0.383783011869712	-0.455392147783334	-0.381438945205402	-0.423566928889826	-0.291249719368879	-0.345777812263304	4.65033881967994	-0.37102947970148	-0.321320676121168	-0.317597678997127	-0.347744513135006	-0.330325342241098	-0.377591682399021	-0.377807402773699	-0.395278901255379	-0.374689157119947	-0.378514305977825	-0.378751106155489	-0.389414157172295	-0.361688707255276	-0.309181769030693	-0.355196582031701	-0.324359458768073	-0.336313442996381	-0.288925085225683	-0.280819147318915	-0.312218811379477	-0.346607949771273	-0.28086401256124	-0.357538008201368	-0.362665507909788	-0.358637175420124	-0.221050337393027	-0.280746056478238	-0.301128520634061	-0.304473996724788	-0.352718470785752	-0.316499959361829	-0.258202272978158	-0.254553438204578	-0.341407201383569	-0.246328708539536	-0.28499613389315	-0.277519730467142	-0.242592674015356	-0.285309761373068	-0.252481548681219	-0.265129546044334	-0.30064243500518	-0.380437651113219	-0.350270320007632	-0.253289957874564	-0.230544385585954	-0.332782721917667	-0.282222033456026	-0.310306170584013	-0.393898983365354	-0.313673825679326	-0.334869109225323	-0.400014342225944	-0.367404882273086	-0.390782059396501	-0.267306722502644	-0.245507384176028	-0.265085789536534	-0.222914068769116	-0.398160821259755	-0.26303221664739	-0.32569982225259	-0.399788287774404	-0.268256528938654	-0.242255180244358	-0.300891507424138	-0.366301732373894	-0.257947725562471	-0.363332856997101	-0.329403077787611	-0.418395367873405	-0.51241343787865	-0.365794737985785	-0.105847566717647	-0.167342899630291	-0.448647890633739	-0.319984879054879	-0.350596434653268	-0.380303829655209	-0.365015589399268	-0.33678717401253	-0.568930142554384	-0.465184204588558	-0.479665507486851	-0.365327842006752	-0.474695317866578	-0.387135959623973	-0.361908255072315	-0.377545183865088	-0.295897284902953	-0.416241888100966	-0.34529841300373	-0.553090039266948	-0.315424111296213	-0.408643370182321	-0.523830716949941	-0.402719870022461	-0.434645513977937	-0.480208849981696	-0.492031988595166	-0.255655699662037	-0.50495299338171	-0.247947208548716	-0.414880875432562	-0.342670168549514	-0.387389402307933	-0.249561347739211	-0.198529390779591	-0.486642270998396	-0.345965199077805
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	-0.281488235555936	-0.291827308958583	-0.354181109507237	-0.320903128680436	-0.322674131253513	-0.316032657757915	-0.325651084419929	-0.282005149385481	-0.273940905670329	-0.263203314837122	-0.222692142071152	-0.362951870253378	-0.362987792290631	-0.374037610115574	-0.346948991002852	-0.32597333773787	-0.267273926506776	-0.335384845467138	-0.446507293104497	-0.377420342522172	-0.411567428693661	-0.299210830897149	-0.279003576665166	-0.249056394332846	-0.33572066400681	-0.327927767927198	-0.360303432521123	-0.310215930302485	-0.297412439941869	-0.320146732782371	-0.336324404860644	-0.398813587673845	-0.364651636169762	-0.372392559592786	-0.35577327848235	-0.34740356375259	-0.310779337836178	-0.36402658357169	-0.346790620592076	-0.302587178174947	-0.338553791129481	-0.302475127157306	-0.339373921350592	-0.285125007233194	-0.279131347962858	-0.312597652725514	-0.338647467835679	-0.27882583107744	-0.352844818414162	-0.367109530494776	-0.345437938491014	-0.215901213751131	-0.262050064759646	-0.288613147109904	-0.273794359561018	-0.344432123915839	-0.311536440503327	-0.222551564167131	-0.25172494670476	-0.335423630881178	-0.242841464708729	-0.283639823966037	-0.270874267165339	-0.239107584485599	-0.2831513007445	-0.391244363169615	-0.267274085601861	-0.294865032786266	-0.327315868944498	-0.34500157109538	-0.248234760570803	-0.220611228251598	0.737329853194316	-0.27996247045371	-0.328383618514479	-0.391098051731482	-0.311336825652143	-0.259267378915137	-0.376557948726996	-0.360077061069025	-0.374562356273259	-0.261766642716073	-0.243343960257273	-0.263360964585513	-0.221374678701396	-0.369317371863763	-0.261023543418094	-0.301328231725374	-0.395061249033688	-0.263207655644536	-0.199460374419328	-0.298158733271638	-0.356095621984631	-0.257254932048959	-0.356619033303984	-0.313036453592565	-0.307750091908322	-0.427171224444054	-0.181367042524215	-0.361456146126461	-0.434627543186352	-0.484946208413869	-0.22835792865165	0.108735713123544	-0.278742823994524	-0.250460873728436	-0.076007707833715	-0.460858241678819	-0.460517667474381	-0.358848427405793	-0.325688353415694	-0.437927572908275	-0.35954921815206	0.0617654228417633	-0.171570201796203	-0.228489872122179	-0.19596004859069	-0.326489023368179	-0.553090039266948	-0.318743689951603	-0.402399532909515	-0.174915999331992	-0.555294893378109	-0.423190684099277	-0.389805372210945	-0.474137484998463	-0.248176768875091	-0.514127206852491	-0.236795878627386	-0.426982510898607	-0.340695709078076	-0.380292611489076	-0.187372211687507	-0.442111700750096	-0.494108000781317	-0.341815991453979
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	-0.312136868075243	-0.321825720285929	-0.365367180095573	-0.297937671956295	-0.332076980557109	-0.320294246185128	-0.320773922606085	-0.383969198383043	-0.294339687068619	-0.297560860207315	-0.238626991141425	-0.0792123645629211	-0.39772911359263	-0.402987458904092	-0.32697010060675	-0.405971539566986	-0.34024073050179	-0.333969496460587	-0.458703665314592	-0.397575333080673	-0.45841758840223	-0.392785855717178	-0.417396037984541	-0.292232235022971	-0.346406564932699	-0.327927767927198	-0.373711894454357	-0.329764836872266	-0.319235337950375	-0.349251036524506	-0.336824415549581	-0.346823514786871	-0.381492582433338	-0.395278901255379	-0.376359075076245	-0.27129462028005	-0.381249860219898	-0.388823393464395	-0.373730103156835	-0.31226011480063	-0.35617602813849	-0.324359458768073	-0.304863653138106	-0.130752280913693	-0.280819147318915	-0.317144400854957	-0.346607949771273	-0.27882583107744	-0.363275681088821	-0.373777489143587	-0.356205058447705	-0.22180772609529	-0.244427588174833	-0.301128520634061	-0.304473996724788	-0.351534482454598	-0.316499959361829	-0.257271211953519	-0.254270564742452	-0.337764792614166	-0.247401872993427	-0.168233027609903	-0.277519730467142	-0.243367253421671	-0.287036739558417	-0.415001790549497	-0.267988996576141	-0.294142995684795	-0.220118280656809	-0.350646716758938	-0.253289957874564	-0.230544385585954	-0.330386572042915	-0.282222033456026	-0.333228843480782	-0.394249126853	-0.255343014118603	-0.34194133966418	-0.39751105290528	-0.377179498146726	-0.338923671365749	-0.267879948446772	-0.24570407520017	-0.26551702631136	-0.222914068769116	-0.400745726423144	-0.262585821626994	-0.321635577017713	-0.399788287774404	-0.268026998290534	-0.237700921205398	-0.300436013647085	-0.369218737435165	-0.257485859698671	-0.360535149150137	-0.329675980248603	-0.160145673076851	-0.523770783364017	-0.365794737985785	-0.380925394317457	-0.428060501026055	-0.502105952065903	-0.335036998247634	-0.265615066649558	-0.387652201930405	-0.380519156358772	-0.304910326816114	0.030636830189904	-0.472574803350741	-0.128818646498125	-0.372243156073117	-0.366899998338422	-0.368864917815239	-0.359971159942281	-0.372583896360609	-0.295897284902953	-0.324277945089556	0.000735722627192014	-0.448112114581765	-0.322617345898833	-0.382211640019906	-0.498504687779888	-0.598390811824366	-0.440190340151865	-0.486618523213587	-0.475926333722317	-0.26482847886076	-0.515378501797586	-0.211337693738651	-0.431825048899766	-0.327537849828413	-0.388741451952336	-0.249927958850055	-0.434940246671512	-0.499708631738201	-0.346656817734112
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonomonadaceae	-0.312136868075243	-0.323849892748578	-0.365367180095573	-0.323234588691377	-0.332485909830329	-0.323900973328682	-0.330834510669344	-0.383969198383043	-0.294339687068619	-0.29657824227219	-0.237467507513308	-0.466431143505878	-0.39772911359263	-0.402987458904092	-0.398285368075806	-0.406416796207667	-0.333658409249712	-0.338215869359651	-0.461608522202624	-0.415624959016194	-0.457661191353909	-0.388604690838351	-0.425109920179547	-0.292723514627661	-0.346406564932699	-0.327927767927198	-0.374784961531974	-0.327986791784163	-0.320327195483556	-0.345233914593121	-0.342825609914203	-0.407719433590167	-0.380439604058419	-0.395278901255379	-0.376915745761249	-0.385564841530391	-0.381249860219898	-0.401232985451355	-0.373730103156835	-0.31226011480063	-0.357155525210389	-0.325673381928857	-0.347683492457737	-0.289616102151071	-0.280819147318915	-0.312597652725514	-0.281887025245931	-0.280281648504492	-0.362232340813695	-0.37199914092998	-0.357247356753134	-0.217869765869896	-0.280482579352711	-0.301128520634061	-0.304807783082434	-0.352718470785752	-0.3194787580848	-0.258823011401054	-0.254553438204578	-0.342708239201788	-0.248475115749413	-0.287166468842994	-0.277808727712668	-0.244141874679509	-0.287468513232214	-0.415467882495148	-0.267988996576141	-0.300281289780295	-0.354965914004655	-0.345754157457224	-0.252615830192653	-0.230544385585954	-0.335179179689955	-0.282544854361658	-0.333228843480782	-0.387597427749315	-0.313673825679326	-0.342193970206313	-0.400327274798203	-0.376131988847338	-0.403442252709274	-0.267879948446772	-0.24570407520017	-0.26551702631136	-0.222914068769116	-0.403761846270181	-0.26303221664739	-0.326207918029772	-0.400379244771757	-0.268486063054898	-0.24473992608256	-0.301119259025931	-0.37009392336235	-0.258871499550343	-0.364452052687013	-0.329948886823148	-0.418395367873405	-0.523770783364017	-0.365794737985785	-0.380925394317457	-0.435786634783656	-0.502105952065903	-0.351670692169715	-0.350596434653268	-0.404808507057799	-0.380519156358772	-0.341188382404561	-0.278573979257635	-0.472574803350741	-0.489581840685582	-0.37194243812247	-0.484875152160494	-0.347631287762109	-0.361908255072315	-0.377545183865088	-0.295897284902953	-0.416241888100966	-0.344614094112797	-0.572538690947799	-0.322617345898833	-0.39725894801689	-0.531628438118649	-0.598390811824366	-0.440190340151865	-0.486618523213587	-0.493822174620857	-0.26482847886076	-0.233784803197513	-0.248857881146574	-0.430614313436299	-0.341353839599527	-0.386375423877951	-0.24717860208384	0.0419209940795048	-0.129736784804662	-0.334211355346528
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae	-0.311497804456083	-0.322163066489809	-0.365367180095573	-0.323234588691377	-0.331668060431525	-0.320622101386702	-0.330529562107707	-0.383969198383043	-0.289765340607081	-0.276283635778607	-0.211692741967341	-0.435290917700021	-0.392091444388167	-0.398238943766644	-0.39393000880658	-0.401964639495209	-0.340587233593457	-0.337744001866396	-0.461027521313841	-0.415624959016194	-0.459174010048704	-0.394578042253053	-0.424338411103955	-0.292723514627661	-0.346406564932699	-0.327927767927198	-0.374248420765554	-0.329764836872266	-0.319781258226542	-0.349251036524506	-0.340824993072785	-0.405663905735483	-0.379386681606827	-0.393471147037209	-0.375802420074892	-0.384977203804745	-0.378751106155489	-0.39886867805358	-0.373730103156835	-0.31226011480063	-0.35617602813849	-0.325235396674591	-0.347683492457737	-0.282016500701334	-0.279131347962858	-0.312597652725514	-0.345849659955489	-0.28086401256124	-0.36431907783078	-0.372888294495967	-0.306933911350662	-0.21999006414395	-0.279955638250808	-0.300837357119232	-0.302805165704391	-0.352718470785752	-0.3194787580848	-0.25354752705273	-0.254553438204578	-0.342187812859547	-0.248475115749413	-0.286623857517732	-0.277519730467142	-0.244141874679509	-0.284014650052945	-0.198885322925053	-0.255363645488668	-0.30172591676034	-0.372405026613353	-0.350646716758938	-0.253289957874564	-0.230544385585954	-0.333315241478276	-0.282544854361658	-0.333228843480782	-0.386897375012403	-0.311044722768272	-0.342193970206313	-0.396885278141738	-0.309901514173348	-0.397922755369204	-0.267497795436749	-0.24570407520017	-0.26551702631136	-0.222914068769116	-0.402900054092947	-0.26303221664739	-0.326207918029772	-0.400379244771757	-0.268486063054898	-0.244118699605283	-0.300891507424138	-0.368343590468378	-0.258640550770591	-0.363892446801833	-0.329948886823148	-0.409090571567925	-0.469755964853297	-0.361478266949209	-0.380925394317457	-0.426515597089452	-0.495543442447388	-0.351670692169715	-0.349990233152764	-0.404107972632152	-0.380181994286384	-0.323589955653117	0.485446067138005	-0.351122746989736	-0.264260687406951	-0.372243156073117	0.1861915421826	-0.087173460419568	-0.359971159942281	-0.377214391718052	-0.295897284902953	-0.415477078268137	-0.34256129197846	-0.555582667031136	-0.322340627103072	-0.352882167549336	-0.520907190205014	-0.441036817484723	-0.440190340151865	-0.486618523213587	-0.491136945762968	-0.264345562034072	-0.500784030172301	-0.214971976863942	-0.429403645286174	-0.24583306235999	-0.343833782172467	-0.249927958850055	-0.386427233412455	-0.524925628802123	-0.336976341580294
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	-0.220352346395125	0.042153878380144	0.674955270711026	0.0450429181064203	0.247474973530815	0.466571630832013	1.54461570224794	0.151946952873741	0.0172975065189412	0.668542838622967	0.553200847179732	0.796650778583999	0.441197305074452	0.196547046353472	2.00382411288552	0.0286747555758209	0.0410906312020719	0.0215908170213742	0.824388592288476	0.713666859974923	0.95447159280118	0.635514413831746	1.46506544538706	-0.0784365057545122	0.0350756700109854	-0.327927767927198	0.787048467804402	0.628570134021721	0.144603473514032	0.154031254668848	0.10285900492381	0.337506020708051	0.158122778919297	0.848674961793165	3.55154728821745	0.611513099742123	0.405280270275032	0.357776342901044	0.711010290520099	0.00322844693363409	0.233899679151106	0.191806571853815	3.63867957099597	0.41222190761246	0.320661919733416	0.177013111255797	0.167454894134298	5.285581396238	1.31888009434932	1.18603059683461	2.64718823843225	0.0263106933957359	0.410566368364834	-0.217486022044565	-0.140069413070012	2.89978945740905	1.98340527714857	-0.0189082060079819	0.0328678823734071	-0.194988872128991	-0.152462184967642	4.30092494934779	0.716624379724127	-0.214542390312136	-0.179028499255589	0.854393253600683	0.428981141910284	1.29683266095064	3.68407374515326	2.1769347413025	-0.202480869717031	-0.202419111016605	2.18475499463194	-0.194978090125232	0.583947990513774	0.505075856820531	-0.000419050902070274	1.13981829323193	0.727825562517483	0.0917940739393466	-0.129575360273591	1.0427758681858	-0.14554361209879	-0.0531101761521723	0.460135436057041	0.0785057226339525	0.472608402273504	0.175771092454528	-0.121880429591341	3.30396782054748	0.219048555481703	2.37073205496367	-0.234613426476376	1.6148084444045	1.52806724483289	0.641732802708883	4.46897672574092	0.557519721730602	0.417319968955007	0.441327575205702	0.649524232431469	0.589226566218265	-0.238343825962304	0.754815866443314	2.88863188775832	-0.00973279944741546	0.959182125715184	3.7028801409434	1.78797663797651	4.83187851135783	0.0615337592845297	5.11765096808442	1.46469761766929	0.190458919127467	3.31660326052408	0.745477072818135	0.0669942107732603	6.19773379004875	2.56959660505787	-0.300493972789477	1.00780929745459	0.879287024863302	2.26570190952788	-0.0184138561059389	0.377222031021157	0.224795487395073	-0.161115399148802	-0.155153497271517	0.212637373494095	0.49494359076502	0.972999670001086	2.01110755260733	-0.0849792732728192	0.707590081521686	0.707393682436427	-0.261078786557724
