Genus	HS00P003	HS03P003	HS00P004	HS03P004	HS03P005	HS00P010	HS03P010	HS00P011	HS03P011	HS00P012	HS03P012	HS00P014	HS03P014	DS03P016	DS03P017	HS00P019	HS03P019	HS03P024	HS00P025	HS03P025	HS03P026	HS00P029	HS03P029	DS00P030	DS03P030	HS00P031	HS03P031	HS00P034	HS03P034	HS03P035	HS00P036	DS00P037	DS03P037	HS00P040	HS03P040	HS00P041	HS03P041	HS00P042	HS03P042	HS00P044	HS03P044	HS00P045	HS03P045	HS00P046	HS03P046	HS00P047	HS03P047	HS00P048	HS03P048	DS00P049	DS03P049	HS00P050	HS03P050	HS00P051	HS03P051	DS00P054	DS03P054	HS00P055	HS03P055	HS00P056	HS03P056	HS00P057	HS03P057	HS00P058	HS03P058	HS00P059	HS03P059	DS00P060	DS03P060	HS00P061	HS03P061	HS00P063	HS03P063	HS00P064	HS03P064	DS00P065	DS03P065	HS03P066	HS03P067	HS00P068	HS03P068	HS00P071	HS03P071	HS00P072	HS03P072	HS00P073	HS03P073	HS00P074	HS03P074	HS00P075	HS03P075	DS00P076	DS03P076	HS00P077	HS03P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS04P86	DS05P114	DS00P119	DS00P138	DS04P138	DS00P140	DS06P140	DS00P166	DS00P172	DS00P180	DS06P180	DS00P191	DS00P193	DS00P194	DS04P194	DS00P196	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum	-0.235098739899677	-0.237094344760812	-0.32889822020063	-0.25208802444101	-0.257177011628614	-0.247847282258831	-0.264578134549405	-0.289469063656538	-0.221210781469839	-0.218853176697868	-0.176776698366827	-0.369013564278899	-0.30151844046942	-0.287561066040408	-0.33008270173451	-0.304067593317503	-0.268393031884202	-0.264945123114566	-0.380007288918802	-0.319299546406305	-0.362385456379677	-0.286065209058586	-0.316764561304035	-0.226362154723909	-0.26804756875991	-0.242182498303157	-0.282025805130562	-0.313825993405112	-0.264668839006987	-0.25692493767381	-0.220013730204653	-0.294985123797052	-0.296161091720045	-0.310690739142403	-0.315507620712981	-0.278723543328516	-0.316220813646627	-0.30639951501781	-0.314083021362286	-0.236495886671955	-0.275135153405877	-0.243016060532386	-0.256160568459656	-0.222293701138105	-0.205567382158148	-0.170318081064029	0.26161683820923	-0.222138851431683	-0.275564385629855	-0.268695077976702	-0.238940010627636	-0.164633947523589	-0.206601399940008	-0.231327314034102	-0.213231330314614	-0.267185447156865	-0.238542792515683	-0.0967447431182399	-0.197306875576735	0.343522937593233	-0.201914761086941	-0.244392914732706	-0.223219438846777	-0.165512895161927	-0.208752544756646	-0.21857513316669	-0.19568532923104	-0.213864072720291	0.121171641498748	-0.280981080344309	-0.174355791608428	-0.181057146039106	-0.270061438859708	-0.212167241449548	-0.0832174798548055	-0.282681573322488	-0.234535019173526	-0.26309170138051	-0.0640067014317936	-0.273715127091299	-0.266659230133541	-0.19710774278081	-0.104271993051075	-0.19946986202102	-0.168645022812317	1.34122816542702	-0.197645599369561	-0.217540610499334	-0.29720865064106	-0.19728044024797	-0.17678647127964	-0.229307616958679	-0.264736630309563	-0.189362335712653	-0.253419847084492	-0.242965181110204	-0.336308072583249	0.216022796518727	-0.279161497450638	-0.160630755448265	0.371303915248484	0.0360729822658451	0.263752409990287	-0.237176858005727	-0.276801002768876	-0.218862843734904	-0.278502153167585	-0.454793309736699	-0.349381860213543	0.102178252236519	-0.271270015610593	-0.225915481026399	-0.204064567005321	-0.220297611702923	-0.138698787415447	-0.277400179180874	0.579558654198787	-0.292679034611409	2.44181257131305	-0.220272791612687	-0.309988507602556	0.268886499572242	-0.0231836408473162	-0.370581184412763	-0.30364675791262	-0.402600162766244	-0.199829820625359	-0.138593871275264	-0.183737479123189	0.185995570744073	-0.260792038753033	-0.298941692966502	-0.14943209379296	-0.289337684481805	-0.194927035450795	-0.161732840555531
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	-0.146995599260808	-0.225596807303271	-0.284223554910348	-0.244055360076424	-0.250629842308519	-0.207902695026934	-0.259572923387933	0.0437890628856199	-0.194141579456054	-0.180840920071113	-0.173448770571072	-0.285427531135115	-0.249722965974106	-0.243014919983102	-0.308433407016843	0.0363802841381889	-0.235546129085679	-0.256524868079863	0.0990150267767574	-0.10731109516243	-0.302541571416542	0.16196456767984	0.411240091399985	-0.189938755979915	-0.214639353952053	-0.242182498303157	-0.281283007193982	-0.191359245367135	-0.233641498959103	-0.244565195826388	-0.224473728662318	-0.266801244612012	-0.271272614643041	-0.286424996772004	-0.296348355881185	-0.130772155504163	-0.271140095564911	-0.213879912744651	-0.242696140077241	-0.191043274320028	-0.256919834876006	-0.21377050605755	-0.2248346689741	-0.221816806852946	-0.205203547347198	-0.0363866992527409	-0.136358554226521	-0.215828534896936	0.618387418292268	-0.229155266375323	0.152001600263089	-0.0351805923436869	-0.181640431166449	-0.233659021116266	-0.0190154566744274	-0.255333144119196	-0.236600800129941	-0.00715296892851199	-0.195807468932522	0.0726856164801364	-0.199687458839748	-0.156594037785286	-0.20822578598769	0.231346462458252	-0.139597306004712	-0.0215189172466723	-0.186840546128097	-0.122750574431852	-0.256412559516513	-0.280462341334671	-0.0814475681779415	-0.179211499762686	-0.198371491638543	-0.173054220765176	-0.0331187437679795	-0.0831608267000379	-0.209018822355785	-0.232588509742999	-0.134233320704212	-0.182202015072971	-0.0210135574758645	-0.174363357768422	0.251879136388747	-0.191078619011633	-0.161534621087757	-0.0578982884597545	-0.196188665844992	-0.106042028174532	-0.248398101500839	-0.188731272370578	-0.0443682178500695	-0.223636188857008	-0.236925301046373	-0.184618163045754	-0.250842152128746	-0.220338418975977	-0.267663768958627	3.5167208240703	0.115141859670895	3.71371044352035	-0.0445263960767405	1.34763384078145	2.3521176313368	-0.202284315521896	1.56109852014895	2.28169815569215	0.0368014539274797	-0.449288274757656	0.0052763767744051	-0.317647756953614	-0.10185368799692	-0.348641840822551	-0.148168685093151	-0.258721310576074	1.05289294187276	0.0397293052512767	1.0996107994247	-0.282813553945857	0.21290361270436	0.998304169423492	-0.282596320921705	0.420553261281937	2.41740448017044	-0.031478085581899	1.20144258493357	0.885310549939234	-0.160128257347666	0.382983231070951	-0.176756978657025	-0.0842326967494516	-0.254699278640015	-0.28776976634458	0.220117771850807	-0.260614987328742	1.00563962633771	0.347546965389765
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania	-0.239301141829954	-0.258261456578691	-0.332962243429605	-0.252980677948809	-0.25881402919702	-0.254436623297429	-0.264995273081552	-0.289469063656538	-0.223047022940708	-0.221812016369951	-0.176776698366827	-0.378231598058406	-0.303986838974172	-0.303259215843434	-0.331320175873509	-0.304643473544411	-0.26651511240417	-0.272071745963195	-0.380007288918802	-0.323566295785776	-0.3784293230967	-0.20828395056125	-0.303638399823126	-0.227013031464978	-0.272290305468781	-0.242182498303157	-0.30060098491325	-0.315965814690719	-0.268549505112497	-0.262130607640482	-0.225748142487625	-0.286175179305058	-0.296161091720045	-0.315713321458283	-0.316306149848051	-0.285533255071947	-0.314451862466225	-0.312734664937477	-0.318237917383717	-0.237647582243773	-0.276436661452799	-0.243016060532386	-0.257839701377155	-0.235650123913061	-0.211753403146991	-0.241021972090732	-0.260219205504914	-0.223716672659032	-0.270077096550879	-0.276723877830869	-0.267664777118196	-0.165814587030179	-0.209301440035918	-0.235213608065857	-0.2270068042292	-0.267700870985771	-0.241132332985137	-0.1956040784467	-0.198056615642798	-0.253100379535517	-0.204513544310822	-0.245956336981761	-0.223614129054927	-0.188678386480631	-0.2160139881899	-0.288103638645466	-0.197820765099175	-0.231933685533681	-0.29345466870848	-0.283056122977186	-0.194758776742234	-0.182164611046382	-0.278842809395376	-0.212167241449548	-0.205785599177654	-0.283126322598549	-0.234535019173526	-0.265126361354699	-0.319775640445429	-0.275486119589949	-0.290147858662689	-0.195150355101678	-0.179277635030805	-0.201148475041437	-0.168929490560425	-0.298360149577626	-0.199685461359395	-0.239436407778955	-0.318788263995498	-0.20081896015387	-0.180755764908675	-0.23020321954649	-0.269930843014268	-0.19351429660484	-0.254892909736366	-0.24862467747238	-0.349092861604462	-0.395214464605273	-0.33767688668625	-0.221842508575669	-0.32082261514676	-0.371227046103415	-0.0716373722938063	-0.277865191820411	-0.331223920450834	-0.307786252822804	-0.282903260774732	-0.454105147458818	-0.347874371616765	-0.30908943388433	-0.277062373409139	-0.396614995910687	-0.286605975642758	-0.27730251476583	-0.306254628059645	-0.277840533466052	0.649472716398659	-0.293172388801366	-0.456573898032749	-0.240527072270522	-0.309027009306876	-0.400795359329944	-0.339816074250232	-0.345184731880803	0.172356297384285	-0.382958698030319	-0.197937723804191	-0.43215670547772	-0.18170127975574	-0.274857753736453	-0.263838866338613	-0.298941692966502	-0.204298762059388	-0.327250486219604	-0.294785191128293	-0.28923177065011
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Schaalia	-0.201082815989292	-0.241694606987498	-0.308584832076119	-0.250302798583929	-0.25172093710517	-0.239502844289262	-0.259155860054967	-0.0716199850921183	-0.201479538597916	-0.139091531465801	-0.159403133514576	-0.301707673220282	-0.270678402201705	-0.285049985424882	-0.2750557471336	-0.19424380377816	-0.257596574141989	-0.261706292082045	-0.302927726974137	-0.208541167593601	-0.256646887167724	-0.082369027743079	0.390438847164826	-0.184739530991108	-0.198550366567322	-0.242182498303157	-0.262718286296188	-0.284594757986521	-0.230540522379527	-0.234161055104001	-0.177996686655761	-0.275606225119349	-0.274826972244423	-0.263011825975298	-0.253278114032998	-0.12173551544815	-0.169697281067414	-0.263667491896041	-0.265092575700821	-0.211171040710584	-0.240665290062043	-0.184556128300582	-0.236018588196197	-0.234218766071266	-0.211753403146991	-0.236036795851445	-0.253324204242657	-0.223322208271916	-0.270077096550879	-0.264108136584752	-0.260481071414949	-0.142411371689716	-0.205588963280169	-0.234047659185953	-0.198603028675821	-0.266154626081833	-0.237895446201073	-0.191544417504175	-0.198056615642798	-0.202763485962969	-0.204142272160039	-0.233842152066406	-0.220456780322032	-0.142371867952938	-0.21433807978843	-0.299504899129385	-0.199651289870706	-0.224799489966992	-0.292353810938085	-0.281499828013091	-0.166820268313044	-0.181057146039106	-0.263572374801869	-0.182618615324178	-0.227904775266924	-0.277345057730755	-0.147953438222381	-0.26309170138051	0.375636729512971	-0.267960089596331	-0.0714167527580285	-0.196618380296173	-0.166508032597615	-0.19779137049689	-0.165800564004244	-0.267788377001068	-0.199976884983894	-0.230283826669123	-0.283372104792859	-0.198459886170282	-0.152721781301682	-0.224830070152915	-0.212101596621035	-0.190251977979817	-0.275154465046167	-0.241550482470923	-0.330982352264379	-0.330882894875038	-0.309702536819258	-0.212970005300025	-0.285924188059422	-0.208848891689479	-0.240501141353866	-0.268818796760604	-0.3189594523717	0.00986810248463116	-0.270501685734961	-0.429337565249491	-0.349884369369274	-0.347615062222016	-0.270883897958842	-0.371794737677052	-0.174634181549625	-0.00316580721183449	-0.195828787791545	-0.272556709250768	-0.343962280028035	-0.286266124883345	-0.451078072785983	-0.233063162344986	-0.256185903025818	-0.34941615021861	-0.00341604481667635	-0.374905572039766	-0.318244492936939	-0.155498056094475	-0.155721176489802	-0.374023599923789	-0.179374416695399	-0.326248919837557	-0.250783134299343	-0.284195531087802	-0.175020946830414	-0.313080981382881	-0.0782768219237781	0.191853713967549
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia	-0.239301141829954	-0.2559599522562	-0.333470277885041	-0.252980677948809	-0.25881402919702	-0.253997289221897	-0.264995273081552	-0.289958032384046	-0.223965193302201	-0.223502933102298	-0.177516307064355	-0.373976888727699	-0.303369722734077	-0.308284043044946	-0.331320175873509	-0.304643473544411	-0.268862529828093	-0.272071745963195	-0.371800565270479	-0.323566295785776	-0.367732742036789	-0.294547348624595	-0.322824356555475	-0.227013031464978	-0.273138923303197	-0.242182498303157	-0.303573947681185	-0.315965814690719	-0.26932569834364	-0.262781381752547	-0.248059639095855	-0.302916004574194	-0.300429556911748	-0.32073661871554	-0.317104697104936	-0.28780347267876	-0.315336327028048	-0.311942707915449	-0.317406898598153	-0.237647582243773	-0.276436661452799	-0.243016060532386	-0.257839701377155	-0.235650123913061	-0.211389476195088	-0.240523413289183	-0.256279004657169	-0.220561127053687	-0.27213471710322	-0.273856207835573	-0.262725799309571	-0.161879388738456	-0.209301440035918	-0.231327314034102	-0.204625431980168	-0.258939870787001	-0.242427196356893	-0.187079587038306	-0.198056615642798	-0.246338604771513	-0.204513544310822	-0.245956336981761	-0.223614129054927	-0.168566283796822	-0.21657264975394	-0.310309466926142	-0.199651289870706	-0.231933685533681	-0.291986866477597	-0.281499828013091	-0.188990827702883	-0.182164611046382	0.413334166488904	-0.180123193125931	-0.244300587799768	-0.291132852789921	-0.233033395715046	-0.2603790381349	-0.164053371018168	-0.272829668210119	-0.292665470231658	-0.199799421952413	-0.180029026510542	-0.200588923867293	-0.168929490560425	-0.294961979890569	-0.200851178012651	-0.244013829102051	-0.321639393361119	-0.199049631897639	-0.177844877949125	-0.229307616958679	-0.26622060227598	-0.192031366645041	-0.278102679413456	-0.246148509631205	-0.350158455771798	-0.401833332607569	-0.242958180264512	-0.281479693515957	-0.32082261514676	-0.371227046103415	-0.0748838833618615	-0.235533989077837	-0.205340561694715	-0.318857208881062	-0.0457059894620667	-0.455481481416935	-0.353402114871814	-0.402710517086964	-0.277062373409139	-0.397718444874017	-0.294969600138387	-0.241014634738826	-0.305795667315091	-0.277400179180874	0.840426740118341	-0.293665750627026	-0.457260918504294	-0.240527072270522	-0.309988507602556	-0.396297311906989	-0.471005142006638	-0.37652733650106	-0.092014457791147	-0.406402739938024	-0.150685540733999	-0.437004375421429	-0.187519473198912	-0.32889991606663	-0.266015354466104	-0.300282572823615	-0.213978743078948	-0.338923329302067	-0.413783280598433	-0.287757988285417
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia	-0.117690193502597	-0.212265240689721	0.394415894394183	-0.18031802002324	-0.148788923574246	0.30620052355557	-0.0716473378281957	3.48388644291692	0.235099763554795	0.00922908670392561	-0.106628362419842	0.453049630136532	0.0618643663202875	-0.196644046963339	0.0111595535673446	2.44042046459665	0.232643300503759	-0.205404880171578	0.813376774883696	0.706959785340117	2.84618167681465	1.13664498131061	0.347809394469236	-0.0919764520273218	-0.0895374062585727	4.56069095617921	-0.0399845018190387	-0.109004570181175	0.663811415337329	0.350908144545247	7.98152280414863	2.17054622026728	0.272317276078487	0.21768963527824	0.465496874719214	0.660234516962974	-0.142401401914479	0.532985766738642	-0.000573330067293823	-0.0683025660402759	0.529596978331182	0.917153239994362	0.275108050179113	-0.221816806852946	-0.201565497234237	-0.132055471112964	-0.187903078592426	-0.215828534896936	0.758068556623481	-0.1930981996025	-0.231314499349105	-0.142214820170563	-0.205588963280169	-0.231327314034102	0.0292019671888025	-0.261001052283029	-0.235953500371936	-0.149364784435765	-0.196557160007173	0.0218264485509929	-0.197831533125293	-0.148803319471332	-0.218089028135652	0.0612798766502935	0.00145394729064559	0.0789764309199266	-0.16977017976617	-0.222421846220359	-0.248715933576863	-0.00160053961506208	2.10917015644252	-0.144174758679742	-0.24716460104272	-0.200509973291658	-0.166914461770887	7.03253637022509	0.548333723387452	-0.262074423640396	-0.239824524700695	5.67794519727564	-0.164924881080247	-0.170697006994727	-0.0583988333864938	-0.151401216160847	-0.158691155845191	0.405960213832358	-0.167360369625064	-0.0530579135916933	-0.271574652227297	-0.191973684727474	-0.135285102249818	-0.225725517370153	-0.245451456446098	-0.175725498711718	-0.240533467664178	-0.232003101601608	-0.345896259208804	-0.316466306831341	-0.206272879381116	-0.191432872589061	-0.311971936888187	-0.264191226342479	-0.0116382636495126	-0.272108094371693	-0.0414111367664016	1.55951754158375	-0.289706160240105	-0.452728851109039	0.0659795014705994	-0.399647839837835	-0.267795134615127	-0.36572970120046	-0.296445748317636	-0.282489940084934	-0.297994308513232	-0.264192559931872	-0.340015841711278	-0.29169234913765	-0.368027018510692	-0.193291213751684	-0.310469266817782	-0.111278247226932	-0.17134122972086	-0.301993333386836	1.71028144019845	-0.332943874807555	-0.191001359488379	-0.403081172302826	-0.183155689379057	0.0660833963572084	-0.258180709733232	-0.248027711442938	-0.213978743078948	-0.331835832326814	-0.0230859161630005	-0.267622487537761
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium	-0.233838143925506	-0.254579135311799	-0.32889822020063	-0.25253434781313	-0.25881402919702	-0.227648918277833	-0.264578134549405	-0.279202388281836	-0.223506103985701	-0.206176248052556	-0.157925173144651	-0.351291826676362	-0.297199169458733	-0.274379810224643	-0.326989192193125	-0.270682363812109	-0.269801547406083	-0.265592930039603	-0.15490836005634	-0.254649092897379	-0.357038840414059	-0.277585216153327	-0.298591112645104	-0.224409621197081	-0.26295705995659	-0.242182498303157	-0.292426666108452	-0.290296513796278	-0.263892765788712	-0.258226268019574	-0.23148371192603	-0.283532636134899	-0.296872464575574	-0.306505799868139	-0.316306149848051	-0.27494097993588	-0.311798601110228	-0.296898959181989	-0.280861652331523	-0.234768435685025	-0.272532302914693	-0.241890654216856	-0.254481533208752	-0.213234133711781	-0.204475893980944	-0.199174902837345	-0.0731572091270774	-0.222138851431683	-0.0391146261111787	-0.0589726534785658	-0.254645545076578	-0.162076130555009	-0.168495773949782	-0.231327314034102	-0.214522465298093	-0.263577728446242	-0.238542792515683	-0.180586777245801	-0.197306875576735	-0.127592026258229	-0.199687458839748	-0.123887927017257	-0.222824754815166	-0.16347753908552	-0.205401833757259	0.925097985122661	-0.178303845947209	-0.225750606458501	-0.287216958343763	-0.272163694588224	-0.15042819924269	-0.172937505752001	-0.24716460104272	-0.197180351558418	2.49328224771053	-0.130933969218839	-0.222899631014784	-0.12877370246092	-0.323800107195882	-0.201631821522424	-0.0651643214473495	0.256453911635727	-0.100279099449908	-0.19555357076189	-0.16693829982011	0.0471421056966227	-0.188322819143099	-0.0296860187001082	-0.293138512304213	-0.160453312917912	-0.158537150773648	-0.217966006797871	-0.245822212055363	-0.150844471843079	0.045297943236773	-0.213977874977716	-0.346961763324661	5.25743567010365	-0.266745044903714	0.064198255288643	6.16886188736821	5.31626304074378	1.71446399803139	-0.277042684903849	-0.320430971822087	0.0932406447835608	-0.289305949751373	-0.166589306379537	-0.141397803945346	-0.0130251533011679	-0.275903812886215	0.866639253501891	0.851533419827041	-0.214257733524985	-0.241603914961814	-0.276519490030719	-0.353548102643003	-0.286266124883345	2.159586504393	-0.237683429387266	-0.139741703542862	3.08718861532635	-0.0190931704674366	-0.290123773081208	1.95248962698801	0.903775468717443	-0.183436788411454	0.859948818899803	0.0647893433509203	2.13014117736431	0.24345917788177	0.0133678273968129	-0.213978743078948	-0.283508192238506	-0.339299503029325	1.44376588974684
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Arachnia	-0.238880872878449	-0.25872177885746	-0.332962243429605	-0.252980677948809	-0.256631359129693	-0.252679325290489	-0.264995273081552	-0.289958032384046	-0.223506103985701	-0.219698525099798	-0.176406903453559	-0.378231598058406	-0.303986838974172	-0.308912194847929	-0.33008270173451	-0.303491722344424	-0.269332035001975	-0.272071745963195	-0.373441780897638	-0.322855135775151	-0.376289792465296	-0.283752270874532	-0.320804314814885	-0.226362154723909	-0.272290305468781	-0.242182498303157	-0.302830682824184	-0.313825993405112	-0.266997178663346	-0.260829102997726	-0.237220438986971	-0.29410402774762	-0.296872464575574	-0.32073661871554	-0.313910616805035	-0.28628997684419	-0.313567419960043	-0.300065521991852	-0.314083021362286	-0.236495886671955	-0.275135153405877	-0.243016060532386	-0.257839701377155	-0.234695877014822	-0.211753403146991	-0.244512139971195	-0.26169691843616	-0.223716672659032	-0.27762236733854	-0.266401521460093	-0.269011908651079	-0.16856967933435	-0.209301440035918	-0.235213608065857	-0.228298636058203	-0.267700870985771	-0.242427196356893	-0.197634167621052	-0.198056615642798	-0.257834572275696	-0.204513544310822	-0.243611237128919	-0.223614129054927	-0.188678386480631	-0.21433807978843	-0.102597698828755	-0.195990379870616	-0.231933685533681	-0.292720759463336	-0.282537349329238	-0.195646285630982	-0.182164611046382	-0.282279639403354	-0.211750814188724	-0.216023793097447	-0.290243140697589	-0.233784196958089	-0.260039972642211	-0.33498148540931	-0.265304273328996	-0.302737800688769	-0.199065296496794	-0.182283359958511	-0.201148475041437	-0.168929490560425	-0.308556619247024	-0.200851178012651	-0.244013829102051	-0.322046716455651	-0.200524062623701	-0.182343687515724	-0.229904681897263	-0.272528275774256	-0.19262452705665	-0.278471225487665	-0.248270926047464	-0.350158455771798	-0.386791892491952	-0.33767688668625	0.0700601878762988	0.0212961563084864	-0.302846553731234	-0.225408350884709	-0.277865191820411	-0.297874164649108	-0.297199878461629	-0.286904791649035	-0.455481481416935	-0.346869411609255	-0.390461092677718	-0.268181212741325	-0.38337577530812	-0.296937812009948	-0.282489940084934	-0.306254628059645	-0.277840533466052	-0.359751913520166	-0.293665750627026	-0.430474086192485	-0.231286351666364	-0.310469266817782	-0.395654770780257	-0.204855274097488	-0.368959658138956	-0.362631685307775	-0.404501410662546	-0.202352857198135	-0.425491974919756	-0.186646649831351	-0.310876947179119	-0.264274151782581	-0.300282572823615	-0.213455401137334	-0.00635880304351678	-0.33624929270857	-0.288740502994858
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium	-0.238460610318235	-0.258261456578691	-0.332454215986135	-0.252980677948809	-0.247356798081784	-0.254436623297429	-0.264161001802773	-0.287513260962189	-0.223047022940708	-0.223502933102298	-0.177516307064355	-0.375395080938229	-0.302752617570179	-0.307027771709715	-0.331320175873509	-0.298309299960407	-0.269801547406083	-0.268832168288708	-0.287365096627691	-0.281631870452359	-0.375220067357927	-0.289920460862846	-0.322824356555475	-0.225711294099436	-0.273138923303197	6.26082096501571	-0.299114600182357	-0.305981091273932	-0.266997178663346	-0.262781381752547	-0.253799713026114	-0.274725625582848	-0.299006674362969	-0.32073661871554	-0.317104697104936	-0.280236690632102	-0.315336327028048	-0.309566945339517	-0.304943991276619	-0.235920057360729	-0.275135153405877	-0.241327968389627	-0.243290459954912	-0.235650123913061	-0.211753403146991	-0.236036795851445	-0.26169691843616	-0.223716672659032	-0.270762955022891	-0.278444608642537	-0.269011908651079	-0.169356917177575	-0.209301440035918	-0.235213608065857	-0.228729261193731	-0.267700870985771	-0.238542792515683	-0.197634167621052	-0.198056615642798	-0.258172758857997	-0.201543529545001	-0.245174614683227	-0.223219438846777	-0.186640877639673	-0.2160139881899	-0.307307868714576	-0.199651289870706	-0.230506694670652	-0.29345466870848	-0.283056122977186	-0.195646285630982	-0.182164611046382	-0.280752114838892	-0.212167241449548	-0.24512062971485	-0.289353453015039	-0.234535019173526	-0.266482878748081	-0.334534165211942	-0.275928883285691	-0.285532726649877	-0.199799421952413	-0.182032866684848	-0.200588923867293	-0.168929490560425	-0.300625777546317	-0.200851178012651	-0.243359865601895	-0.321232074991674	-0.20081896015387	-0.179167959541959	-0.23020321954649	-0.267704645284081	-0.193810894169506	-0.278471225487665	-0.248270926047464	-0.350158455771798	-0.401833332607569	-0.33767688668625	-0.28317317289564	-0.32082261514676	-0.371227046103415	-0.264991592745973	-0.277865191820411	-0.330242611930888	-0.318375791030574	-0.292507773450992	-0.454793309736699	-0.350386885003685	-0.405773408483868	-0.277062373409139	-0.397718444874017	-0.296937812009948	-0.282489940084934	-0.306254628059645	-0.277840533466052	-0.359751913520166	-0.293665750627026	-0.457260918504294	-0.240527072270522	-0.310469266817782	-0.405936541189908	-0.469629700709879	-0.375986741128401	-0.371065169933756	-0.40703653444864	-0.190055652786477	-0.43215670547772	-0.1834465824014	-0.325718743755055	-0.264709443317149	-0.295813180551583	-0.213978743078948	-0.338923329302067	-0.411950359644119	-0.288740502994858
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Lancefieldella	-0.198984439029032	-0.217781024843068	-0.317724469460862	-0.249856509026484	-0.245720411042042	-0.242576843027566	-0.257904704756009	-0.1572239989691	-0.197810294872078	-0.179152775738403	-0.157186230636696	-0.233794350130572	-0.257733830611484	-0.281283686796776	-0.257760315608805	-0.202282294598391	-0.170426281042411	-0.268184293487129	-0.358673163306505	-0.2723986444506	-0.32497319875365	-0.177529336222802	-0.132414726730261	-0.169148023602348	-0.258715615135829	-0.242182498303157	-0.283511449277234	-0.285307427114201	-0.236742794873092	-0.225060476956184	-0.24742192465374	-0.29410402774762	-0.277670731614043	-0.288934472356265	-0.286772634051495	-0.23865051209888	-0.216413143816541	-0.265249220957297	-0.28003152323478	-0.225557235242601	-0.251717443644377	-0.213208397302553	-0.248325906030491	-0.229448115103692	-0.209569922752566	-0.240024863639112	-0.252339337467928	-0.220955549069211	-0.264590770323124	-0.270988806160278	-0.254196704266983	-0.163453376608318	-0.186360784180604	-0.218506641688744	-0.189572086494719	-0.256878830989451	-0.234011694199221	-0.18789131233863	-0.194308160261528	-0.250733576703013	-0.197460365379299	-0.242438762620571	-0.214537816589951	-0.182057175321375	-0.211545153386733	-0.287503673571826	-0.198736010040736	-0.22432394436316	-0.248715933576863	-0.279424889291676	-0.19209646147711	-0.169985681249466	0.315986408121973	-0.208836023048919	-0.240610695432608	-0.284905380702121	-0.231531856141458	-0.156805140049434	-0.30234135555051	-0.255125719870553	-0.281337701335048	-0.195395019482392	-0.179778559739586	-0.198910351347589	-0.16693829982011	-0.278542096984307	-0.198811212639863	-0.214600698052707	-0.315937366121165	-0.194921730511064	-0.126044111850917	-0.226322499442515	-0.262510805548217	-0.192031366645041	-0.269995749532021	-0.226700381735691	-0.228873666376604	-0.346506204757201	-0.126823476391166	-0.267511953605826	-0.319347351553245	-0.371227046103415	-0.115900402901378	0.345158653482998	-0.168197055316735	-0.209262855618342	0.0597705562294207	-0.453416994583013	-0.344357124946923	-0.378827311414181	-0.217646997135202	-0.38337577530812	-0.267426638424025	0.274957127067264	-0.0506833370115195	-0.172779544633846	-0.156652949934844	-0.288732475948667	-0.438027899203715	-0.235550898050662	-0.308546270226053	-0.163022540260269	-0.431819461573338	-0.351667418056171	-0.353637917181038	-0.3791581271522	-0.180915814435002	-0.433368576128871	-0.168325048502296	-0.32200772734121	-0.263838866338613	-0.28776976634458	-0.125173972688466	-0.336004793319923	-0.406452006359741	-0.282845826709392
