ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_10	-7.985	9.251	0.000187633315133569	0.0317100302575732	Depleted	0	0.087	0	0	0	0	0	0	0	0.001	0	0	0.659	0.029	0	0	0	0.007	0
ASV_106	5.055	9.403	0.00129906177088177	0.10977071963951	Enriched	0.079	0.003	0	0.018	0.008	0.009	0.098	0.003	0	0.559	0.015	0	0	0	0.005	0.006	0.011	0	0
ASV_53	-3.058	10.652	0.00267032320869285	0.114483461860821	Depleted	0.027	0.27	0.02	0.049	0.008	0.015	0.053	0.027	0	0.029	0.042	0.035	0.223	1.696	0.028	0.093	0.038	0.024	0.025
ASV_158	5.234	9.345	0.00270966773635078	0.114483461860821	Enriched	0.071	0.003	0.005	0	0.001	0.015	0	0.01	0	0.581	0.026	0	0.003	0	0	0.011	0	0.007	0
ASV_100	3.908	13.866	0.00382175903730171	0.117843504151871	Enriched	1.41	0.17	0.131	0.713	0.007	0.149	0.173	0.036	0	0.238	11.242	0.248	0.045	0.547	0.005	0.215	0.013	0.274	0.016
ASV_115	-3.063	11.985	0.00418379304681198	0.117843504151871	Depleted	0.086	0.556	0.013	0.011	0.037	0.155	0.177	0.348	0.015	0.016	0.004	0.071	0.011	0.017	3.294	0.42	0.125	0.352	0.154
ASV_50	3.184	11.76	0.00624525468166903	0.150778291600295	Enriched	0.315	0.059	0.008	0.049	0.02	0.268	0.035	0.103	2.334	0.018	0.001	0.06	0.008	0.021	0.035	0.098	0.071	0.103	0.078
ASV_22	-2.892	13.909	0.00859350491852224	0.181537791403782	Depleted	0.23	2.026	0.049	0.025	0.622	0.261	0.05	0.127	0.205	0.523	0.212	0.354	13.655	0.024	1.134	0.621	0.086	0.051	0.285
ASV_78	-2.714	11.333	0.0136731922853299	0.25675216624675	NotSig	0.056	0.435	0.054	0.138	0.056	0.091	0.089	0.043	0.026	0	0.001	0.291	0.002	0.075	0.063	0.089	2.899	0.041	0.019
ASV_113	3.024	14.335	0.01823976682553	0.28729302779658	NotSig	2.222	0.361	0.961	0.282	0.017	0.036	0.704	0.017	0.005	16.739	1.242	1.792	0.654	0.21	0.019	0.086	0.043	0.075	0.01
ASV_154	2.165	11.176	0.0204883149891861	0.28729302779658	NotSig	0.232	0.077	0.056	0.102	0.079	0.635	0.174	0.13	0.008	0.019	0.884	0.045	0.024	0.062	0.048	0.093	0.095	0.226	0.026
ASV_407	3.186	7.336	0.0217301651823632	0.28729302779658	NotSig	0.016	0.002	0	0	0.004	0.012	0.056	0.002	0	0.069	0.007	0	0	0	0	0.01	0.003	0.003	0
ASV_122	-2.877	11.11	0.02209946367666	0.28729302779658	NotSig	0.042	0.287	0.276	0.007	0.03	0.003	0.035	0.005	0.002	0.003	0.016	0.139	2.051	0.015	0.007	0.008	0.006	0	0.071
ASV_130	-2.028	11.992	0.024514084804921	0.295920023716546	NotSig	0.12	0.525	0.062	0.019	0.115	0.191	0.129	0.233	0.158	0.16	0.015	0.197	2.602	0.11	0.185	0.068	0.424	0.503	0.108
ASV_105	2.925	6.643	0.0269422793633117	0.303549680826646	NotSig	0.007	0.001	0	0	0.002	0.007	0.005	0.003	0	0.028	0.016	0	0	0	0	0.003	0.006	0	0
ASV_46	1.993	13.568	0.0306193224083662	0.31582356012189	NotSig	1.64	0.435	0.489	0.965	0.419	5.205	0.372	6.406	0.285	0.371	0.247	0.616	0.006	0.757	0.384	0.782	0.145	0.674	0.118
ASV_91	-2.461	11.048	0.0317692338584149	0.31582356012189	NotSig	0.041	0.338	0.007	0.082	0.068	0.023	0.027	0.007	0.008	0.006	0.14	0.023	0.002	0.942	0.208	1.476	0.003	0	0.049
ASV_57	2.53	11.999	0.0368394932146464	0.345881908515291	NotSig	0.369	0.11	0.099	0.044	0.018	0.003	0.14	0.228	0.02	0.103	2.671	0.45	0.006	0.047	0	0.023	0.084	0.263	0.009
ASV_75	-1.907	11.723	0.0406286917197762	0.361381521086431	NotSig	0.135	0.475	0.307	0.077	0.042	0.049	0.102	0.57	0.021	0.043	0.007	0.139	0.037	0.084	0.055	0.118	1.452	0.298	1.615
ASV_135	2.301	10.535	0.0584463428767597	0.49387159730862	NotSig	0.206	0.038	0.021	1.342	0.011	0.006	0.012	0.457	0	0.006	0	0.027	0.066	0.071	0.054	0.006	0.003	0.027	0.049
ASV_11	2.088	15.329	0.0683536745883923	0.5500843335923	NotSig	4.091	1.28	1.948	0.604	0.029	0.152	0.92	0.277	0.17	31.595	1.127	6.631	1.62	0.677	0.075	0.312	0.124	0.38	0.425
ASV_147	1.832	10.755	0.0736630863035129	0.55316467927055	NotSig	0.169	0.062	0.015	0.142	0.88	0.046	0.163	0.25	0.007	0.015	0.001	0.063	0.019	0.045	0.161	0.047	0.016	0.133	0.01
ASV_9	1.538	13.553	0.0813680828223678	0.55316467927055	NotSig	1.25	0.539	2.486	2.743	0.098	0.119	1.052	0.877	0.112	1.203	2.556	1.387	0.427	0.645	0.131	0.072	0.686	0.718	0.242
ASV_13	-1.738	14.168	0.085101599319755	0.55316467927055	NotSig	0.639	2.172	2.982	0.389	0.086	0.133	0.239	0.315	0.114	0.853	0.635	1.149	12.774	0.262	0.063	0.061	1.7	0.215	1.149
ASV_119	1.828	9.794	0.0865309653822009	0.55316467927055	NotSig	0.101	0.034	0.664	0.033	0.006	0.001	0.083	0.026	0.016	0.05	0.034	0.063	0	0.086	0.031	0.003	0.01	0.068	0.009
ASV_55	1.709	13.254	0.0867250555657435	0.55316467927055	NotSig	0.908	0.353	0.199	0.025	4.357	0.218	1.892	0.229	0.084	0.088	1.079	0.176	0.129	0.024	1.105	0.349	0.381	0.256	0.402
ASV_23	1.498	12.952	0.0899154805547953	0.55316467927055	NotSig	0.845	0.353	2.005	2.284	0.062	0.046	0.554	0.33	0.091	1.631	0.6	0.924	0.296	0.522	0.138	0.123	0.391	0.256	0.174
ASV_116	1.655	10.798	0.0922430481668159	0.55316467927055	NotSig	0.192	0.081	0.085	0.217	0.644	0.013	0.155	0.556	0.049	0.007	0	0.069	0.026	0.086	0.017	0.066	0.043	0.28	0.057
ASV_112	-2.044	12.749	0.0996630939273678	0.55316467927055	NotSig	0.218	0.988	1.624	0.138	0.004	0.022	0.006	0.045	0.01	0.104	0.009	7.328	0.261	0.164	0.015	0.018	0.065	0.051	0.001
ASV_110	2.344	10.84	0.100694918218775	0.55316467927055	NotSig	0.215	0.05	1.427	0.07	0.001	0.001	0	0.003	0	0.398	0.038	0.208	0.039	0.128	0	0.013	0.003	0.01	0
ASV_28	-4.178	12.499	0.101527883894877	0.55316467927055	NotSig	0.047	1.094	0	0	0.001	0.425	0	0	0	0	0	0	0	0	0	8.751	0	0	0
ASV_26	1.481	12.434	0.104741241045311	0.55316467927055	NotSig	0.46	0.253	0.241	0.191	0.157	0.267	0.267	0.18	0.124	0.131	2.579	0.315	0.267	0.558	0.074	0.019	0.14	0.397	0.254
ASV_131	2.842	10.445	0.109853616896212	0.560923681428613	NotSig	0.273	0.029	0	0	0	0.009	2.032	0.413	0	0	0.003	0	0	0	0	0.003	0.103	0.051	0.076
ASV_169	-1.647	9.584	0.121932775475917	0.560923681428613	NotSig	0.025	0.09	0.01	0.012	0.062	0.038	0.012	0.048	0.04	0.001	0	0.003	0.002	0.003	0.155	0.103	0.057	0.017	0.379
ASV_129	1.741	11.571	0.122503019807622	0.560923681428613	NotSig	0.352	0.121	2.48	0.377	0.008	0.023	0.041	0.017	0.003	0.197	0.022	0.402	0.102	0.315	0.003	0.02	0.011	0.103	0.01
ASV_69	-1.81	11.972	0.12298898126903	0.560923681428613	NotSig	0.14	0.492	0.47	0.513	0.005	0.022	0.052	0.012	0	0.065	0.119	0.962	2.373	0.523	0.011	0.015	0.006	0.003	0.044
ASV_88	1.734	10.174	0.123791676295485	0.560923681428613	NotSig	0.125	0.045	0.815	0.06	0.001	0.006	0.028	0.015	0.005	0.115	0.084	0.056	0.04	0.226	0	0.008	0.014	0.007	0.01
ASV_27	1.603	13.003	0.126124851445487	0.560923681428613	NotSig	0.686	0.358	0.287	0.78	0.007	0.045	0.149	0.12	0.012	0.759	4.017	0.408	0.228	1.149	0.011	0.211	0.097	0.38	0.384
ASV_94	1.532	11.664	0.14649746415061	0.634143956355656	NotSig	0.265	0.152	0.131	0.14	0.023	0.042	0.036	0.031	0.007	0.606	1.371	0.163	0.07	0.719	0.011	0.029	0.024	0.192	0.013
ASV_167	1.811	9.221	0.154281313268269	0.634143956355656	NotSig	0.061	0.022	0.199	0	0.092	0.129	0.057	0.024	0.048	0	0	0	0	0	0.015	0.066	0.049	0.027	0.019
ASV_136	-1.463	9.733	0.15773335760494	0.634143956355656	NotSig	0.03	0.106	0.034	0.019	0.023	0.077	0.009	0.027	0.048	0.012	0.022	0.739	0.019	0.023	0	0.011	0.005	0.021	0.034
ASV_33	-1.596	13.664	0.158238483376367	0.634143956355656	NotSig	0.444	1.471	0.103	0.047	1.421	1.866	0.218	0.216	0.091	0.026	0.007	0.054	0.006	0.033	8.486	2.287	0.257	0.109	0.53
ASV_8	-1.404	13.368	0.161350237415936	0.634143956355656	NotSig	0.489	1.477	0.81	2.169	0.046	0.064	0.743	0.099	0.026	0.297	0.146	0.891	0.241	9.775	0.078	0.326	0.194	0.092	0.22
ASV_48	1.494	13.977	0.169623499916513	0.638112869708603	NotSig	1.764	0.619	0.447	10.844	2.133	0.596	1.181	0.089	0.508	0.057	0.022	0.361	0.002	0.581	3.027	0.423	0.276	0.041	0.244
ASV_199	1.88	8.088	0.169911710869155	0.638112869708603	NotSig	0.037	0.008	0.002	0	0.001	0	0.288	0.005	0.035	0	0.001	0.006	0	0.008	0.004	0	0.024	0	0.023
ASV_97	1.18	10.821	0.187392708423778	0.688464515730836	NotSig	0.167	0.095	0.153	0.321	0.013	0.032	0.28	0.055	0.015	0.101	0.531	0.208	0.05	0.231	0.032	0.133	0.065	0.027	0.014
ASV_56	1.243	11.296	0.196570686586	0.70681800070285	NotSig	0.2	0.135	0.056	0.147	0.006	0.077	0.032	0.096	0.079	0.396	0.914	0.096	0.015	0.232	0.008	0.064	0.038	0.335	0.292
ASV_96	2.153	8.722	0.202592470869046	0.7132943245181	NotSig	0.038	0.01	0	0.002	0	0	0	0	0	0.338	0.001	0.005	0.002	0.012	0.058	0	0.002	0	0.001
ASV_21	1.109	12.747	0.219207630403519	0.718739199793593	NotSig	0.908	0.353	0.166	0.354	0.68	0.129	0.452	5.893	0.048	0.355	0.094	0.175	0.285	0.24	1.026	0.153	0.311	0.588	0.043
ASV_79	1.158	11.933	0.219458013637434	0.718739199793593	NotSig	0.33	0.192	0.094	0.163	0.148	0.528	0.39	0.197	1.437	0.007	0.008	0.047	0.092	0.065	0.395	0.155	0.337	0.113	0.333
ASV_31	1.247	12.723	0.221866362935793	0.718739199793593	NotSig	0.614	0.346	0.207	1.543	0.016	0.313	0.037	0.074	0.016	2.562	0.758	0.866	0.353	0.982	0.013	0.326	0.033	0.113	0.079
