num	err.mean	err.1	err.2	err.3	err.4	err.5	err.6	err.7	err.8	err.9	err.10
605	605	0.148529411764706	0.161764705882353	0.132352941176471	0.147058823529412	0.147058823529412	0.161764705882353	0.132352941176471	0.147058823529412	0.147058823529412	0.161764705882353	0.147058823529412
302	302	0.148529411764706	0.147058823529412	0.147058823529412	0.161764705882353	0.147058823529412	0.147058823529412	0.147058823529412	0.161764705882353	0.147058823529412	0.147058823529412	0.132352941176471
151	151	0.145588235294118	0.117647058823529	0.147058823529412	0.147058823529412	0.176470588235294	0.147058823529412	0.147058823529412	0.161764705882353	0.161764705882353	0.117647058823529	0.132352941176471
76	76	0.161764705882353	0.147058823529412	0.161764705882353	0.161764705882353	0.205882352941176	0.161764705882353	0.132352941176471	0.191176470588235	0.147058823529412	0.147058823529412	0.161764705882353
38	38	0.155882352941176	0.161764705882353	0.147058823529412	0.161764705882353	0.147058823529412	0.147058823529412	0.161764705882353	0.176470588235294	0.147058823529412	0.161764705882353	0.147058823529412
19	19	0.158823529411765	0.161764705882353	0.147058823529412	0.161764705882353	0.161764705882353	0.147058823529412	0.161764705882353	0.191176470588235	0.147058823529412	0.161764705882353	0.147058823529412
9	9	0.169117647058824	0.132352941176471	0.176470588235294	0.161764705882353	0.161764705882353	0.191176470588235	0.220588235294118	0.191176470588235	0.161764705882353	0.132352941176471	0.161764705882353
5	5	0.197058823529412	0.161764705882353	0.191176470588235	0.191176470588235	0.176470588235294	0.191176470588235	0.235294117647059	0.25	0.205882352941176	0.161764705882353	0.205882352941176
2	2	0.245588235294118	0.279411764705882	0.191176470588235	0.235294117647059	0.279411764705882	0.25	0.294117647058824	0.205882352941176	0.235294117647059	0.279411764705882	0.205882352941176
1	1	0.330882352941176	0.294117647058824	0.264705882352941	0.338235294117647	0.397058823529412	0.367647058823529	0.323529411764706	0.323529411764706	0.338235294117647	0.294117647058824	0.367647058823529
