PathwayL2	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	DE07P016	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076	DE08P017	DE10P016	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS04P138	DS04P194	DS04P86	DS05P114	DS05P196	DS06P140	DS06P180	DS07P016	DS07P037	DS07P049	DS07P054	DS07P060	DS07P065	DS07P076	DS07P172	DS07P193	DS08P017	DS08P191	DS10P016	DS10P049	DS10P054	DS10P166	HE02P026	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082	HE05P026	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE07P028	HE07P046	HE07P047	HE07P048	HE07P051	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078	HE10P003	HE10P049	HE10P054	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P031	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	HS00P93	HS00P96	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077	HS10P003	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070	IE07P013	IE07P020	IE07P027	IE07P052	IE07P053	IE07P062	IE07P069	IE07P070	IG00P013	IG00P020	IG00P052	IG00P053	IG00P062	IG00P069	IG00P070	IS00P013	IS00P020	IS00P027	IS00P033	IS00P038	IS00P039	IS00P043	IS00P052	IS00P053	IS00P062	IS00P069	IS00P070	IS00P081	IS00P083	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083	IS07P013	IS07P020	IS07P027	IS07P033	IS07P038	IS07P039	IS07P043	IS07P052	IS07P053	IS07P062	IS07P069	IS07P070
 sorting and degradation	1495505.27	1442273.550000001	2247935.1899999995	1404895.2500000005	2051520.2800000003	1661192.1199999999	1376790.6099999999	1058868.2399999998	1101978.8099999991	1331001.4000000001	2006903.6399999994	1998733.1100000003	1750673.8600000003	758149.9600000001	2015221.5000000002	1657780.8800000001	1350334.7100000002	1505234.45	1481731.2899999996	2224295.7799999993	2054045.4100000006	1874819.7900000005	1301422.1199999996	1114967.7500000002	1431425.68	1050665.4600000004	1123777.0200000005	1426867.9000000004	1602202.3800000008	1165450.74	2280523.859999999	1817228.2900000003	1907621.83	1506182.5700000008	1555749.02	1658608.0500000003	1633193.7799999993	1842938.6700000002	1990983.3099999998	1572156.19	1970999.92	1974194.1300000008	1591125.8900000004	1579215.1899999997	958020.43	1303973.9700000004	1548325.4399999992	1013115.0299999993	2107130.5100000007	2002589.3099999998	2317190.2	2043413.91	2248187.6100000003	2223693.099999999	1833356.2799999998	1826789.6300000001	1751527.0199999996	2093723.8600000003	2353470.219999999	2030949.1500000004	2051198.6500000004	1592270.9100000004	2047635.1499999997	1796933.9100000004	1561047.350000001	1882746.1800000002	1619878.4099999997	2562640.5300000003	1110793.4200000002	1081043.4999999995	1148418.2600000005	2339786.659999999	1225727.6000000003	1957786.35	1199840.7100000002	1610301.8700000003	1405601.3999999994	1488123.9800000004	2088580.0799999998	1739193.8099999996	1039964.3400000001	2170936.6199999982	1875534.5899999999	1203613.7800000003	1665724.5499999996	1544446.97	1693627.4599999997	1513874.8100000008	1341220.6100000003	1230952.1500000004	1426680.4300000002	1344709.9600000002	1009724.8099999999	1199772.5999999996	810318.7400000003	1103511.8699999996	1181530.3700000003	891316.3399999997	1764603.96	1565427.4799999997	2076105.7299999995	2127009.7400000007	1846328.8499999999	1839068.0099999998	1995009.8999999997	1771264.7199999995	2378867.58	2095790.8800000004	1822910.0000000007	1283821.5100000005	866700.0900000002	2020181.1899999997	1083595.1800000009	1166678.6100000003	1347177.2900000005	2335572.05	1911039.0299999996	2636779.5500000003	1693177.0999999999	1924420.7999999996	1607714.63	1155134.8100000008	1237611.3999999997	1651513.2299999997	1419511.6199999999	1151461.79	1614813.5499999996	974999.8499999999	1132418.5999999994	1071887.07	1367166.8799999997	1057864.6600000001	1141160.2500000002	2025968.9899999995	2276575.039999999	2400900.88	1696707.6000000006	1608987.2700000005	2319593.5700000008	2480182.44	1885137.55	1867540.2600000002	2418477.909999999	1790165.4999999993	1199638.6900000004	2244068.37	1394915.0599999998	2083242.28	1723437.0700000005	2330604.1699999995	1718548.7000000002	1921456.5099999998	1758666.8599999999	1542192.9799999997	2044743.2299999997	1218453.2100000007	2214462.4299999997	1614729.3199999998	1784381.0699999998	1594183.4699999997	1171846.58	1607288.4099999995	970518.7699999998	1081493.5399999996	953443.3299999996	1150467.4399999997	1059673.95	1255385.8600000003	1002189.6600000006	2006980.6800000004	1618023.7399999998	1964567.0300000007	2255092.159999999	1148513.26	2056499.7699999993	1650768.2799999998	2235697.3900000006	1864011.7400000002	1744598.4599999995	2326174.44	808204.4800000002	1595206.7099999997	1191999.4399999995	1688703.7399999998	1975652.8600000003	1899265.68	1892918.5	1168107.0900000003	3483328.060000001	1233624.3999999994	1786031.1199999996	1924526.89	2062535.1400000001	1693074.1500000006	1264435.5199999989	1598117.62	1733237.93	1496709.7299999997	1202832.660000001	809.3999999999994	1320750.2700000005	1340324.5600000003	1058907.9399999997	1273441.1500000004	1146816.0099999998	1178551.6799999995	1021500.2500000002	1245687.9299999995	1646854.22	1463129.4400000002	2102305.770000001	1353709.9199999997	1031380.6000000003	2231747.619999999	1694422.1100000008	2217534.07	1553124.0999999996	1653022.2800000003	1298579.1	1932947.0300000005	1802757.9399999995	1659305.66	1065991.9600000002	1524780.8099999996	2295252.8300000005	1852293.6899999997	1751256.0700000003	1672257.6399999997	1755006.9900000007	1833510.24	1766208.6999999997	1656983.29	1712124.7299999997	1362179.3899999997	1893031.6400000004	1928456.990000001	1599750.6899999997	1988601.5899999992	1794571.8500000006	1621795.3200000005	1852981.7699999998	1600445.8500000008	1702648.1800000002	1333313.98	1769079.4900000002	1131910.8199999991	1121879.77	1455410.3599999994	1645141.9300000002	1281010.1800000004	1538763.2800000003	1038706.9000000003	904499.9699999999	1082739.2400000002	1019843.6100000001	1223073.4300000002	1185386.7000000002	1110109.9400000004	1129571.3499999996	1241077.57	1316183.0099999995	1529065.0400000003	1304266.2200000007	1103288.8900000004	1187985.9799999997	1564697.769999999	1144274.7799999993	1337138.02	1406429.2499999998	1172988.4100000001	1817352.6700000006	1340048.95	1934292.4000000006	1828393.9400000006	2557735.07	1963866.2200000004	1968024.6100000006	1445647.4400000004	1932389.2100000002	1558550.5099999998	2459420.7499999995	2787636.0500000007	2095162.759999999	1713494.9300000006	1694923.6300000004	1406057.6500000001	1400362.72	1642187.2299999995	1734180.5899999996	1258258.44	901768.3699999998	887424.2400000001	1099004.4799999997	969288.9700000001	1273725.1399999994	1193182.3999999997	1019140.6099999995	1138946.560000001	1275114.15	1309691.5599999998	1277747.4399999997	1964418.260000001	1400541.9399999997	875151.0300000003	1368115.3700000006	2251381.589999999	1433447.0300000005	1653472.27	1607081.1500000006	1533786.37	1202506.9400000002	1340330.6499999994	1713472.0499999998	2880364.14	1629813.09	1046839.9200000002	2059483.6299999997	1979344.7399999993	2173639.56	1236059.0699999998	2129516.9799999995	2106153.7399999998	2312888.7800000007	1321512.5400000003	1558669.55	1221174.7899999998	2081750.5600000005	1531529.4899999998	2359374.1700000004	1588859.4200000004	2144671.409999999	2037624.7900000005	1855924.6900000002	1072790.0800000003	2007498.54	2214964.659999999	2662088.6100000003	1557590.49	1176008.4300000002	1673858.4400000006	1675901.2799999996	1730216.3000000003	2049050.629999999	2178437.559999998	2081109.6400000001	1875801.26	1544513.89	1981681.6499999997	953987.4299999999	1156209.22	1076562.5500000003	1072949.0900000003	1147004.6900000004	3297791.1999999997	1196183.14	790818.4000000001	2453859.65	947703.9400000004	2349561.5299999993	1634414.7800000003	1566655.7699999998	1103950.8400000003	1078055.2899999993	1373604.8499999999	891230.6600000001	1056133.99	2071246.1700000009	1439899.7299999997	1587180.5999999996	2095331.1900000006	1907817.2599999998	1436142.5499999998	1177166.0999999999	2829031.8900000006	1916140.6599999992	1579375.78	1186507.02	1023785.0500000002	1169841.8399999996	1148961.1899999997	1101975.4300000002	784096.3600000001	1673282.6500000001	1520652.5299999993	1751340.5199999993	2076826.7200000007
Aging	407399.37	381733.87	443689.42999999993	380987.11	507645.53	429121.17000000016	335422.18000000005	215152.47000000003	259086.35	302294.2700000001	477611.19000000006	453198.26	426253.97	179558.13	539451.5299999999	359420.56999999983	279211.94	437491.11	316241.49	457636.9099999999	480208.74	468149.27	325587.47	282868.06000000006	290544.70000000007	229509.69	314208.5	376772.3300000001	322047.61000000004	251397.9	637219.98	379473.25	484747.97	322570.7200000001	343976.7700000001	352754.22000000003	402889.06000000006	470214.3400000001	408372.70000000007	359692.64999999997	497625.56999999995	508660.2	419610.7	404728.61999999994	229214.76	336553.2900000001	414830.35	275943.99000000005	469817.6599999999	604539.1199999999	638790.3300000001	364313.42999999993	511470.12	476799.3599999999	433463.83999999997	401845.96	359134.2299999999	459632.83999999997	526112.29	471927.05	408408.92000000004	321843.93000000005	523874.81	376629.42999999993	392008.93000000005	486972.49	393820.9400000002	680823.14	245331.31999999995	268024.9	255284.68999999997	621349.1599999999	260455.90000000002	785121.2699999999	268173.23999999993	317830.19999999995	299612.5800000001	356109.61	429773.43000000005	417418.67999999993	256279.22	488875.9199999999	353305.0	296200.76999999996	467188.8099999998	365505.32	470805.5900000001	344154.02	333606.82000000007	299000.89	323352.67	335105.1599999999	237893.55000000002	251483.38999999998	209066.18	288910.3500000001	266271.42	191546.86	417892.95999999996	393667.1	494460.95000000007	494009.12999999995	497320.72	492911.92999999993	535334.76	398161.24	578047.82	492919.45999999996	405837.23	352425.79999999993	192982.42000000007	510288.32000000007	257954.51	290704.6400000001	336774.26000000007	649300.2899999999	516603.61	705474.9199999998	412651.77	500713.24000000005	415714.61	312472.8000000001	301726.65	358578.51999999996	294086.60000000003	257474.63000000003	383483.12000000005	266903.58999999997	277060.3500000001	258102.34000000003	390206.62000000005	240527.59000000008	277635.7800000001	714841.3200000001	726427.59	609665.8900000001	445611.1600000001	413176.8400000001	590209.82	588169.37	413630.8400000001	460903.7199999999	596685.5000000002	463740.2700000001	317740.0100000001	535631.7	347129.23	563624.65	392683.82	595616.76	514277.51	470606.51000000007	377188.94	336357.45000000007	511547.3	303884.58	502462.4	381106.2799999999	493843.5200000001	398995.06999999995	276984.32	366374.93999999994	204152.38000000006	243976.2	184781.80999999997	276126.38	229227.51	282077.06	231614.79000000004	433645.90000000014	420747.84	490674.4099999999	582112.78	293439.2100000001	453124.69000000006	418977.44999999995	529057.94	486635.4400000001	426030.93000000005	599188.61	217737.26000000004	419154.4999999999	296915.38	449519.29	581514.98	483945.37999999983	500188.61	307364.55000000005	827955.8099999999	271241.38000000006	405021.05	482603.11000000004	568346.2899999999	418311.36	292639.16000000003	358710.05000000016	446800.1599999999	360135.49	338663.30000000005	272.6	310570.65000000014	381278.5200000001	250413.86999999997	329888.51	285457.63	279765.87999999995	242896.4	262511.6100000001	400164.5	346119.27	668099.8099999999	274961.0	225799.80999999997	554568.2499999999	395899.9000000001	532760.5699999998	350474.44000000006	379556.53	238002.66999999998	377657.85000000003	472415.88	393136.24000000005	217544.08	362049.67	671304.2500000002	419741.26	346710.46	361327.82000000007	339763.44000000006	440528.2300000001	491062.07	425590.94999999995	429437.7799999999	252768.32	449975.32999999996	434898.7800000001	310555.62000000005	482671.9	382731.71000000014	356482.72	455525.02	443250.33999999997	508425.24	371225.42999999993	519860.13999999996	286049.07	281053.9900000001	370982.22	452579.76000000007	342819.56000000006	398785.54000000004	253916.36000000004	228092.92000000004	268569.4100000001	253220.71000000005	324925.38000000006	321860.19999999995	257951.86000000007	269260.10000000003	344560.09	402054.01	280777.30000000005	327410.56999999995	269088.69000000006	227857.02999999997	347843.85	211644.13	291697.71	279152.51999999996	328152.70999999996	376389.61000000004	408396.73000000004	396613.96999999986	485770.64	563383.51	455706.80999999994	486035.73999999993	313490.2400000001	315216.56000000006	276688.24999999994	518006.16	656496.9900000001	439046.89999999997	477123.4300000001	453002.51999999996	352648.45000000007	318159.24	428874.67000000004	465295.11	313209.32	237527.88	203036.94000000003	281109.43	253665.61000000002	279066.72	308249.7300000001	230401.57999999996	264861.13000000006	291247.61000000004	318576.26	307686.66000000003	419387.4199999999	343359.52999999997	215927.09999999998	269961.5800000001	414470.72	243249.70000000007	337334.0	350324.4	368781.29999999993	309577.15	237037.07999999996	341097.42	638052.1299999999	394763.07	219918.94999999998	564474.96	430608.5799999999	478758.36000000004	243811.02999999994	504353.11	482621.0	596997.85	307678.3499999999	391340.57000000007	276751.88	454833.98	391867.76000000007	590728.6699999999	460071.74000000005	539769.65	460174.5000000001	415946.52999999997	241209.76000000007	436948.0800000001	501859.3799999999	589401.1400000001	383052.03	288892.78	392080.75	368827.16000000003	486514.3699999999	436346.02	617294.0399999999	559765.1300000001	444869.40000000014	377486.48000000004	525501.1100000001	259672.62	294353.45	299577.34	238951.59	292002.51	822033.0299999999	286982.54	134196.08000000002	556127.0499999998	207892.10999999993	624781.4	504777.48	391237.49999999994	322621.25	261342.77000000002	405147.4499999999	198784.84	302968.4100000001	569037.29	345382.58	522206.70000000007	514735.35000000003	451042.67000000004	293058.2700000001	235525.01	767267.2	485176.6299999999	420675.54000000004	345100.61999999994	254484.96000000002	309616.77999999997	248175.74000000002	299716.7699999999	203560.93	267636.61	293251.24999999994	423304.4299999998	541021.2899999999
Amino acid metabolism	6239340.060000003	5786094.979999994	9517136.180000002	5768792.720000011	8103220.4899999965	6629789.169999997	5291577.330000009	3848514.410000002	3750568.340000007	5225262.979999997	8362137.290000019	8095565.0600000005	6532611.659999988	3187729.949999999	8785110.43	6701625.200000004	5873509.749999992	6829730.810000009	5579051.549999996	9314620.92999999	9140830.109999975	6925993.010000002	5457570.729999997	4585816.069999997	5171979.84	4708043.630000003	4998520.929999989	6333396.580000004	5732422.629999995	4337678.580000005	9981962.620000003	6934474.560000005	8073272.059999991	6139368.7100000065	5989919.950000004	7047144.919999986	6129286.820000003	7907919.700000021	8110449.110000013	6626773.290000015	8311944.640000027	8881663.950000007	6684648.959999993	6369968.929999998	4329381.340000004	5431544.970000001	6255344.489999984	4529937.749999991	8275792.2700000135	8898852.450000016	8983877.260000013	9176459.200000005	8930902.479999982	10125794.060000004	7248127.879999973	7642209.4000000125	7067437.870000012	8085276.079999986	9120083.939999985	8333026.179999999	9020211.409999985	6088327.949999994	7555869.230000013	7375354.459999993	6741237.100000003	7879087.659999968	6368308.6400000015	9944329.669999992	4710635.980000005	4392586.000000005	4495095.989999999	10294725.729999982	4585252.220000008	10741795.999999987	4461676.999999992	6052288.819999976	5316351.999999991	6179200.440000005	8787030.580000024	7508969.199999994	4311785.629999991	9617835.549999997	7666020.540000002	4387992.12999999	7596167.190000003	5880525.919999998	7084055.489999986	5912966.809999987	5432132.100000011	4974321.389999997	5353355.939999995	6051173.279999994	4176204.0399999996	4533341.590000009	3446108.0899999943	4675715.219999993	4040528.65	3418889.080000007	6970999.99	6079396.880000017	7980214.640000009	7988431.880000008	7905503.189999999	7151130.230000025	8162863.159999997	7561762.410000001	9343462.440000005	8218193.989999983	7353391.570000016	5341884.49999999	3558141.0799999894	7644499.28000001	4529537.920000003	4711912.389999992	5451487.899999995	9610357.140000023	9051888.650000006	10085961.009999987	6963689.210000016	7585412.700000002	5606515.980000006	4424385.549999995	4469371.269999998	6994300.120000016	5570371.679999994	4928451.4599999925	6751899.970000008	4418923.2299999995	4366768.2499999935	3993825.099999997	6145869.310000004	4080630.549999996	4281064.709999999	8325112.539999983	10505666.649999999	10746491.400000015	6754947.250000003	6541761.709999994	8422280.58999999	9645441.480000015	7719242.749999983	7370731.000000012	10134986.399999993	7698822.210000005	5132038.329999995	9019780.740000026	5499847.680000006	8230597.489999995	7443396.410000022	8391266.429999981	8158900.380000016	8000556.309999983	7250030.400000008	6124212.640000009	8171346.5899999775	4805765.739999998	9214279.30000001	6602107.690000002	7628246.220000006	6552485.239999995	4889659.14999999	6195552.089999987	3799041.5600000136	4110534.210000002	3889047.599999996	4870718.070000006	4468653.810000002	5049354.480000006	3723155.5699999975	8217622.180000004	6242831.090000008	6726180.839999988	8608808.38	4633460.240000008	8378426.209999973	6522438.929999997	8004988.999999979	6846365.970000021	7030489.620000006	9216534.63000001	3327433.900000008	6176240.139999997	4725856.9399999995	6224244.230000004	9595025.349999992	7625307.440000019	8445009.799999995	5110753.090000011	13509935.720000027	5043253.28000001	6957832.439999995	7622287.760000011	8712855.649999997	6935537.550000006	5318092.779999994	6577252.280000013	7044529.739999975	6319583.199999984	5474131.859999995	3849.800000000019	5577414.29000002	5102166.639999998	4351230.7299999995	5183026.169999992	4736107.33	4427344.560000002	4385572.349999999	5075606.340000003	6782748.540000006	5728970.010000016	12208492.249999994	5481867.540000006	4055872.070000007	8732421.709999984	6734862.579999987	8475869.130000003	6393257.120000005	6476917.899999997	5137260.5900000045	7162713.759999991	7651678.049999986	6382396.869999991	4222800.320000001	6865083.040000015	10586097.120000014	6869082.000000013	6574819.740000006	6487393.570000017	7532953.440000017	7665178.310000005	7644784.579999984	7266503.070000019	7448776.649999992	5251922.530000013	7699027.299999994	8420482.109999986	6484644.409999992	8390022.15999998	7306373.429999987	6064322.12000002	7923191.7300000135	7279495.429999997	7940067.73000001	5878867.020000001	7954533.050000002	4661691.359999987	4706439.419999993	6212632.850000008	7392204.979999982	5621595.339999998	6423271.910000015	4358598.629999998	3947991.6499999994	4746184.099999999	4537938.420000003	5193882.819999994	4899162.750000011	4551972.230000008	4738872.840000005	5726520.789999992	5588585.909999991	5767927.960000007	5258284.639999999	4165007.3100000126	4129811.3200000077	6216669.68	4186934.689999998	5365446.299999997	5432731.340000001	5204818.619999995	7519299.880000013	6282636.07000002	7627160.509999973	8236281.320000008	9799478.04999999	8200841.790000006	8680514.379999984	5463968.599999983	7148235.839999987	6049769.800000004	9841168.539999988	9089313.600000001	7930271.260000013	7570636.149999993	7125919.379999994	6013720.790000015	6054575.260000001	6883438.379999991	7973032.21	5342131.990000013	3925899.780000007	3937389.420000007	4939301.34	4431307.2800000105	5625456.57	4601586.299999997	4563463.529999995	4788071.820000001	5163553.660000002	5487309.339999993	5088473.879999994	7274367.800000024	5495058.8200000115	3363618.5700000064	5388617.2199999895	8839146.2	5406061.729999982	6261804.579999998	5935516.1900000125	6530521.249999987	5154662.3299999945	6016099.820000012	6312632.900000006	10708687.799999995	6486818.720000009	4274558.249999999	7943582.209999986	8225572.430000001	8118696.169999979	5158527.1499999985	9064504.219999993	8694016.460000008	9290560.79000001	4768105.989999995	5699585.750000004	5515542.949999987	8818674.169999992	6376346.980000016	9338285.810000008	7204720.750000008	9086022.509999998	7374622.12999998	7530004.4000000125	4155612.3599999975	8346668.720000006	9628150.550000012	10334868.950000035	6345889.760000006	3914811.5500000105	6472662.000000012	6801395.309999976	7212468.720000001	8869810.54000001	9965878.689999992	8782306.230000008	7575927.500000007	5439747.210000015	7715919.520000008	4300635.650000002	4954955.430000006	4865636.770000007	4476483.660000014	4742663.630000007	11231952.179999996	4846671.930000001	3412236.6899999874	9819446.430000002	3569876.9999999995	10303237.649999997	8427029.390000021	5706865.64999999	5335150.769999995	4478467.61	6564042.909999988	3877878.419999998	4806659.420000003	9643652.430000016	5698630.119999991	8441624.390000014	8304619.810000022	6867918.029999978	5663101.919999986	4290088.290000011	12721589.610000012	7355053.969999995	6083675.059999996	5526525.990000003	4350239.689999989	5270386.440000003	4913295.020000018	4840150.190000003	3404061.9499999983	6347563.619999993	5654232.700000001	6928943.200000015	9048376.590000017
