X1	X2	elements	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean	group
36	6.44814750905866	-12.9255592955291	ASV_137	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned	116.244155844156	Model_4
37	-6.95494108394285	7.16460716585271	ASV_138	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Unassigned	254.768831168831	Model_3
38	-18.5864661672267	5.55400625499442	ASV_14	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	798.979220779221	Model_2
39	-4.10648833217336	8.98394629152829	ASV_140	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	75.7714285714286	Model_6
40	-21.3887763531247	0.29825043817795	ASV_141	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Unassigned	79.174025974026	Model_6
41	11.0084042251129	5.31773043393241	ASV_142	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	85.3766233766234	Model_3
42	-0.853872760639425	9.38156846417976	ASV_143	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	84.9168831168831	Model_6
43	-7.32400130671923	-11.734545692311	ASV_146	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XI	Gemella	Unassigned	86.0155844155844	Model_6
44	5.96848607707413	7.76574976800078	ASV_147	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Unassigned	74.3688311688312	Model_6
45	8.51671846600019	13.7911513063842	ASV_148	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	96.0701298701299	Model_3
46	-16.2398178701321	5.64243109752627	ASV_15	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	708.005194805195	Model_2
47	-0.375048500895708	-19.8394733333452	ASV_152	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned	98.2	Model_3
48	1.73937638027098	-21.1926522637049	ASV_154	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XI	Gemella	Unassigned	96.251948051948	Model_4
49	-10.3471277940694	-2.27579676684337	ASV_156	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Unassigned	55.6311688311688	Model_7
50	0.104856924964576	-3.10416904479612	ASV_158	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	74.0467532467532	Model_1
51	6.51645064563105	-9.85177270624723	ASV_159	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned	106.763636363636	Model_3
52	15.9786129245201	-8.72087366544237	ASV_16	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unassigned	441.792207792208	Model_6
53	-15.8573729222765	0.330347613137679	ASV_166	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Unassigned	63.4987012987013	Model_6
54	-12.993532657868	-5.12070088276397	ASV_17	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Unassigned	462.283116883117	Model_3
55	-5.49605743551892	4.44241456136928	ASV_174	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Unassigned	123.090909090909	Model_1
56	-2.77088679189802	-10.266356772478	ASV_176	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Unassigned	97.6675324675325	Model_2
57	6.45046292081773	6.49180152977335	ASV_18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned	582.096103896104	Model_2
58	-14.4587709185852	-6.56791007922345	ASV_188	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Unassigned	88.7662337662338	Model_3
59	-1.46060430457389	-21.9340631785326	ASV_189	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Unassigned	112.594805194805	Model_3
60	-12.2297524826429	-7.75014302618027	ASV_199	Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Unassigned	106.963636363636	Model_3
61	13.9315101750029	-7.26785744785031	ASV_2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned	4121.71948051948	Model_6
62	14.0758927977459	-9.62261681575003	ASV_20	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned	462.088311688312	Model_6
63	-22.5824992294046	9.29157241103148	ASV_200	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	97.4467532467532	Model_6
64	1.96225852876658	15.2973136972748	ASV_203	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella	Unassigned	87.8857142857143	Model_2
65	4.72004080581909	15.8909330072345	ASV_209	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	93.5844155844156	Model_3
66	-1.12559625487435	3.77773026214994	ASV_21	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	356.114285714286	Model_6
67	-3.06912964363069	3.98363488208886	ASV_22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	514.805194805195	Model_7
68	-17.574990077833	11.2687908480799	ASV_23	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	473.675324675325	Model_2
69	12.463803702463	-8.87957462194432	ASV_24	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unassigned	236.335064935065	Model_6
70	-4.43061633614309	-18.5228941962918	ASV_25	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Unassigned	474.677922077922	Model_6
71	-2.66745799042888	-20.3967854135659	ASV_26	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Unassigned	435.18961038961	Model_2
72	-5.53307850292139	-15.6629072914705	ASV_27	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Unassigned	366.784415584416	Model_2
73	-21.2092362570841	10.8229004072418	ASV_28	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	222.81038961039	Model_3
74	-13.3899933310866	16.2225388738892	ASV_29	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Unassigned	281.532467532468	Model_3
75	22.7564708524337	-3.2475860128038	ASV_3	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unassigned	1733.63376623377	Model_3
76	16.9868833131934	-3.01995241315879	ASV_30	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned	258.797402597403	Model_6
77	-1.80984589674298	-17.7795601729095	ASV_31	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Parvimonas	Unassigned	321.457142857143	Model_2
78	21.6357143745857	-6.22917554916069	ASV_32	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Unassigned	232.787012987013	Model_3
79	19.5452781279008	-3.95568695801076	ASV_33	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unassigned	316.374025974026	Model_6
80	3.50428647242538	-13.1717221512717	ASV_34	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella	Unassigned	232.020779220779	Model_2
81	4.33150706269853	13.5327810852168	ASV_35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	322.07012987013	Model_2
82	1.54761150100273	7.15211005697541	ASV_36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned	282.8	Model_6
83	-18.1649815783326	8.69192666494996	ASV_37	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Unassigned	309.064935064935	Model_6
84	2.20238553433549	-16.7029472926461	ASV_38	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Unassigned	455.851948051948	Model_2
85	2.0388699978534	-0.105504481342384	ASV_39	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Unassigned	299.584415584416	Model_1
86	4.54036531516726	6.11885401288582	ASV_4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	1937.24415584416	Model_6
87	-4.22713925845132	-13.5189836721642	ASV_40	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned	332.664935064935	Model_3
88	-9.54884562909084	-8.3816100759691	ASV_41	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Unassigned	238.958441558442	Model_3
89	11.5722426058062	-2.49463290307613	ASV_42	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unassigned	254.407792207792	Model_3
90	0.28575125959881	-17.5747257317365	ASV_43	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Unassigned	269.701298701299	Model_6
91	15.4146890398571	-0.617848738659116	ASV_44	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Unassigned	202.337662337662	Model_3
92	0.318948021690495	11.0713341389581	ASV_46	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	265.376623376623	Model_6
93	6.73312556937082	-5.44174986466456	ASV_47	Bacteria	Candidatus_Saccharibacteria	Unassigned	Unassigned	Unassigned	Saccharibacteria_genera_incertae_sedis	Unassigned	203.449350649351	Model_6
94	2.33379521516056	12.2209173990568	ASV_48	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	238.264935064935	Model_6
95	18.6991207214079	-0.778080420672833	ASV_49	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned	224.21038961039	Model_6
96	-16.354316853788	7.17956715816882	ASV_5	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	1234.55844155844	Model_6
97	11.7795689679658	-5.36182876157599	ASV_50	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Unassigned	208.122077922078	Model_6
98	1.97163927632464	-18.9478779812314	ASV_51	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor	Unassigned	303.509090909091	Model_2
99	-6.30495800246842	-17.4494583687261	ASV_52	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Unassigned	286.046753246753	Model_2
100	-8.8375405675647	14.4627703007015	ASV_53	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Unassigned	178.78961038961	Model_3
101	-2.3941975495371	14.6568220925855	ASV_54	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	324.532467532468	Model_3
102	-0.811892637163698	-15.1410309870794	ASV_55	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Unassigned	290.885714285714	Model_3
103	9.20658199193208	2.69105803601785	ASV_56	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	204.592207792208	Model_3
104	10.6633253936263	-7.87976690123255	ASV_57	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Unassigned	279.041558441558	Model_3
105	1.67742714730531	10.0617187996598	ASV_58	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned	206.381818181818	Model_6
106	7.84395744261847	5.31215862396994	ASV_59	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Unassigned	260.031168831169	Model_2
107	18.7991254337878	-8.7704333047294	ASV_6	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unassigned	994.527272727273	Model_6
108	-0.713922557272982	-0.322465205564207	ASV_60	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned	239.633766233766	Model_1
109	16.7646432677888	-11.2213216257638	ASV_61	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Unassigned	134.337662337662	Model_6
110	-15.9516639869207	3.60582019636859	ASV_62	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	226.535064935065	Model_2
111	2.48625650377793	3.70953234703432	ASV_63	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned	175.033766233766	Model_6
112	4.33131407620697	-18.5687028295412	ASV_64	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unassigned	142.168831168831	Model_6
113	-21.413039273636	6.79790531130766	ASV_65	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	340.114285714286	Model_2
114	9.34058767094068	11.2516766033359	ASV_66	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned	177.483116883117	Model_3
115	4.23306471639505	1.5709347047118	ASV_67	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Unassigned	298.366233766234	Model_5
116	-18.6890616711044	2.17567055588736	ASV_69	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned	229.106493506494	Model_2
