feature	method	group1	group2	p_values	adj_method	p_adjust
ko04070	LinDA	HEmed	HGpre	0.587591802128179	none	0.587591802128179
ko03420	LinDA	HEmed	HGpre	0.94174334093349	none	0.94174334093349
ko00770	LinDA	HEmed	HGpre	0.964485012544787	none	0.964485012544787
ko02040	LinDA	HEmed	HGpre	0.987571799695422	none	0.987571799695422
ko04912	LinDA	HEmed	HGpre	0.367542005434531	none	0.367542005434531
ko00670	LinDA	HEmed	HGpre	0.91213721513777	none	0.91213721513777
ko04920	LinDA	HEmed	HGpre	0.479621242098577	none	0.479621242098577
ko04144	LinDA	HEmed	HGpre	0.546032495534671	none	0.546032495534671
ko00930	LinDA	HEmed	HGpre	0.383806103042801	none	0.383806103042801
ko04112	LinDA	HEmed	HGpre	0.92213994616118	none	0.92213994616118
ko04720	LinDA	HEmed	HGpre	0.367542005434531	none	0.367542005434531
ko04722	LinDA	HEmed	HGpre	0.367542005434531	none	0.367542005434531
ko04075	LinDA	HEmed	HGpre	0.233069024019575	none	0.233069024019575
