z	module	p	roles	label	role_7
ASV_86	1.5068878752748	5	0	Peripherals		ultra peripheral
ASV_539	0.575357188741287	5	0	Peripherals		ultra peripheral
ASV_34	2.43841856180831	5	0	Peripherals		ultra peripheral
ASV_383	-0.356173497792225	5	0	Peripherals		ultra peripheral
ASV_18	-0.356173497792225	5	0	Peripherals		ultra peripheral
ASV_20	-0.356173497792225	5	0	Peripherals		ultra peripheral
ASV_227	1.5068878752748	5	0.72	Connectors	ASV_227	non hub connector
ASV_404	0.575357188741287	5	0.32	Peripherals		peripheral
ASV_396	0.575357188741287	5	0	Peripherals		ultra peripheral
ASV_21	0.575357188741287	5	0	Peripherals		ultra peripheral
ASV_427	-1.28770418432574	5	0	Peripherals		ultra peripheral
ASV_429	0.575357188741287	5	0.255102040816326	Peripherals		peripheral
ASV_52	-0.356173497792225	5	0	Peripherals		ultra peripheral
ASV_385	1.5068878752748	5	0.203017832647462	Peripherals		peripheral
ASV_53	-1.28770418432574	5	0	Peripherals		ultra peripheral
ASV_178	0.575357188741287	5	0.444444444444444	Peripherals		peripheral
ASV_241	-0.356173497792225	5	0.277777777777778	Peripherals		peripheral
ASV_238	-1.28770418432574	5	0.375	Peripherals		peripheral
ASV_156	0.575357188741287	5	0.48	Peripherals		peripheral
ASV_153	-0.356173497792225	5	0.495867768595041	Peripherals		peripheral
ASV_438	-0.356173497792225	5	0.291666666666667	Peripherals		peripheral
ASV_313	-1.28770418432574	5	0.408163265306122	Peripherals		peripheral
ASV_1	0.575357188741287	5	0	Peripherals		ultra peripheral
ASV_1591	-1.28770418432574	5	0	Peripherals		ultra peripheral
ASV_28	0.575357188741287	5	0.0665873959571938	Peripherals		peripheral
ASV_118	-1.28770418432574	5	0.0798611111111112	Peripherals		peripheral
ASV_258	-1.28770418432574	5	0.0739644970414202	Peripherals		peripheral
ASV_513	-0.356173497792225	5	0.102264426588751	Peripherals		peripheral
ASV_235	-0.356173497792225	5	0.124444444444444	Peripherals		peripheral
ASV_378	1.5068878752748	5	0.17965496728138	Peripherals		peripheral
ASV_15	0.575357188741287	5	0.0525931336742148	Peripherals		peripheral
ASV_301	-0.356173497792225	5	0.2816	Peripherals		peripheral
ASV_119	-1.28770418432574	5	0.4140625	Peripherals		peripheral
ASV_450	-0.356173497792225	5	0	Peripherals		ultra peripheral
ASV_480	0.619836547288372	3	0.21875	Peripherals		peripheral
ASV_36	2.23680145325804	3	0.123818525519849	Peripherals		peripheral
ASV_38	1.02407777378079	3	0	Peripherals		ultra peripheral
ASV_210	-0.592887132188878	3	0.165289256198347	Peripherals		peripheral
ASV_143	3.04528390624287	3	0	Module hubs	ASV_143	provincial hub
ASV_392	1.02407777378079	3	0.137174211248285	Peripherals		peripheral
ASV_230	0.215595320795955	3	0.122788761706556	Peripherals		peripheral
ASV_83	1.83256022676562	3	0	Peripherals		ultra peripheral
ASV_226	-0.592887132188878	3	0	Peripherals		ultra peripheral
ASV_99	0.215595320795955	3	0.184444444444444	Peripherals		peripheral
ASV_245	-0.592887132188878	3	0.304498269896194	Peripherals		peripheral
ASV_319	-0.188645905696461	3	0.1171875	Peripherals		peripheral
ASV_374	-0.592887132188878	3	0	Peripherals		ultra peripheral
ASV_148	-0.188645905696461	3	0.165289256198347	Peripherals		peripheral
ASV_347	-0.188645905696461	3	0.21875	Peripherals		peripheral
ASV_170	-0.592887132188878	3	0.260355029585799	Peripherals		peripheral
ASV_367	-0.592887132188878	3	0.380853277835588	Peripherals		peripheral
ASV_439	-0.592887132188878	3	0.0644444444444444	Peripherals		peripheral
ASV_297	-0.997128358681294	3	0.283038501560874	Peripherals		peripheral
ASV_618	-0.592887132188878	3	0.214532871972318	Peripherals		peripheral
ASV_399	0.215595320795955	3	0.3203125	Peripherals		peripheral
ASV_291	0.215595320795955	3	0.0867768595041323	Peripherals		peripheral
ASV_730	-0.188645905696461	3	0.444444444444444	Peripherals		peripheral
ASV_434	-0.997128358681294	3	0.142011834319527	Peripherals		peripheral
ASV_30	-0.997128358681294	3	0	Peripherals		ultra peripheral
ASV_324	-0.592887132188878	3	0	Peripherals		ultra peripheral
ASV_3	0.619836547288372	3	0	Peripherals		ultra peripheral
ASV_27	-0.188645905696461	3	0	Peripherals		ultra peripheral
ASV_197	-0.997128358681294	3	0.1171875	Peripherals		peripheral
ASV_103	-0.997128358681294	3	0	Peripherals		ultra peripheral
