z	module	p	roles	label	role_7
ASV_259	0.014209090089924	1	0	Peripherals		ultra peripheral
ASV_249	-0.0335851220307293	1	0.42603550295858	Peripherals		peripheral
ASV_891	1.25685860522691	1	0.345679012345679	Peripherals		peripheral
ASV_323	1.8781833627954	1	0	Peripherals		ultra peripheral
ASV_277	1.7825949385541	1	0.48	Peripherals		peripheral
ASV_438	0.205385938572537	1	0.5546875	Peripherals		peripheral
ASV_1199	-0.846086728081835	1	0.375	Peripherals		peripheral
ASV_1072	1.01788754462364	1	0.244897959183674	Peripherals		peripheral
ASV_374	0.587739635537763	1	0.571428571428571	Peripherals		peripheral
ASV_48	-0.463733031116609	1	0	Peripherals		ultra peripheral
ASV_200	-0.989469364443795	1	0	Peripherals		ultra peripheral
ASV_147	0.0620033022105773	1	0	Peripherals		ultra peripheral
ASV_141	-1.13285200080575	1	0	Peripherals		ultra peripheral
ASV_134	-0.989469364443795	1	0	Peripherals		ultra peripheral
ASV_151	0.635533847658417	1	0.446124763705104	Peripherals		peripheral
ASV_186	-1.18064621292641	1	0	Peripherals		ultra peripheral
ASV_164	-0.607115667478569	1	0	Peripherals		ultra peripheral
ASV_236	-0.368144606875302	1	0	Peripherals		ultra peripheral
ASV_325	-0.941675152323141	1	0.235537190082645	Peripherals		peripheral
ASV_227	-0.559321455357915	1	0	Peripherals		ultra peripheral
ASV_111	-1.0850577886851	1	0	Peripherals		ultra peripheral
ASV_314	-0.415938818995955	1	0	Peripherals		ultra peripheral
ASV_224	-0.176967758392689	1	0	Peripherals		ultra peripheral
ASV_243	0.157591726451884	1	0	Peripherals		ultra peripheral
ASV_70	-0.893880940202488	1	0	Peripherals		ultra peripheral
ASV_173	-0.415938818995955	1	0	Peripherals		ultra peripheral
ASV_334	-1.18064621292641	1	0.290123456790123	Peripherals		peripheral
ASV_256	-0.415938818995955	1	0	Peripherals		ultra peripheral
ASV_427	-0.224761970513342	1	0	Peripherals		ultra peripheral
ASV_135	-0.654909879599222	1	0	Peripherals		ultra peripheral
ASV_242	-0.750498303840528	1	0	Peripherals		ultra peripheral
ASV_267	-0.941675152323141	1	0	Peripherals		ultra peripheral
ASV_302	-1.13285200080575	1	0	Peripherals		ultra peripheral
ASV_166	-0.941675152323141	1	0	Peripherals		ultra peripheral
ASV_265	-0.798292515961182	1	0	Peripherals		ultra peripheral
ASV_465	-1.0850577886851	1	0	Peripherals		ultra peripheral
ASV_786	-0.846086728081835	1	0	Peripherals		ultra peripheral
ASV_160	-1.0850577886851	1	0	Peripherals		ultra peripheral
ASV_744	-1.13285200080575	1	0.375	Peripherals		peripheral
ASV_178	-1.18064621292641	1	0	Peripherals		ultra peripheral
ASV_292	-1.18064621292641	1	0.207612456747405	Peripherals		peripheral
ASV_304	-1.18064621292641	1	0	Peripherals		ultra peripheral
ASV_524	-1.13285200080575	1	0	Peripherals		ultra peripheral
ASV_4	1.83038915067475	1	0.309917355371901	Peripherals		peripheral
ASV_22	-1.0850577886851	1	0.511296076099881	Peripherals		peripheral
ASV_25	-0.941675152323141	1	0	Peripherals		ultra peripheral
ASV_156	-1.03726357656445	1	0	Peripherals		ultra peripheral
ASV_346	-1.18064621292641	1	0.489795918367347	Peripherals		peripheral
ASV_228	0	9	0.110726643598616	Peripherals		peripheral
ASV_3	0	9	0	Peripherals		ultra peripheral
ASV_16	1.47755484393361	18	0.207612456747405	Peripherals		peripheral
ASV_769	-0.281439017892117	18	0.308390022675737	Peripherals		peripheral
ASV_338	-0.492518281311204	18	0	Peripherals		ultra peripheral
ASV_381	-0.703597544730292	18	0	Peripherals		ultra peripheral
ASV_11	0.64477977392475	2	0	Peripherals		ultra peripheral
ASV_14	2.51758409652776	2	0	Module hubs	ASV_14	provincial hub
ASV_65	1.39390150296595	2	0	Peripherals		ultra peripheral
