KO	Means	SD
num.edges(L)	2273	2273	0
num.pos.edges	2260	0	0
num.neg.edges	13	0	0
num.vertices(n)	258	258	0
Connectance(edge_density)	0.0685609145477031	0.0685609145477031	0
average.degree(Average K)	17.6201550387597	17.6201550387597	0
average.path.length	1.95037547658935	2.21030675956927	0.00210342725514291
diameter	6.11339460840486	3.28	0.451260859854213
edge.connectivity	0	7.17	1.3108328758018
mean.clustering.coefficient(Average.CC)	0.654537434997827	0.0684879803491549	0.00224328719200866
no.clusters	17	1	0
centralization.degree	0.258287334479534	0.0482873344795343	0.00734651317335352
centralization.betweenness	0.15030440313245	0.00856128513485998	0.00186010902153882
centralization.closeness	1.18859953808116	0.102495562413733	0.0104009310176217
RM(relative.modularity)	0.175006957347942	-0.00744237683697629	0.0535850027492029
the.number.of.keystone.nodes	Not.calculated	0	0
