KO	Means	SD
num.edges(L)	1078	1078	0
num.pos.edges	757	0	0
num.neg.edges	321	0	0
num.vertices(n)	335	335	0
Connectance(edge_density)	0.0192689248368934	0.0192689248368934	0
average.degree(Average K)	6.43582089552239	6.43582089552239	0
average.path.length	3.67289011120322	3.32369983394787	0.00894813801272801
diameter	12.4431426869278	6.19	0.419114024647906
edge.connectivity	0	0.59	0.514339823993296
mean.clustering.coefficient(Average.CC)	0.389428306294149	0.0193254397453157	0.00317261784218955
no.clusters	25	1.51	0.674124947205223
centralization.degree	0.11845562606131	0.025880775761909	0.00435394351695509
centralization.betweenness	0.0682693382872983	0.0248526933258656	0.00569207051278178
centralization.closeness	1.32505126359641	NaN	NA
RM(relative.modularity)	0.456422992667291	-0.000591257182086213	0.0539607773534017
the.number.of.keystone.nodes	Not.calculated	0	0
