post	pre	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0.00572213833763455	0.00800089158292394	0.00633781917801841	2.65832714979095
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Schwartzia	0.00446108500782368	0.00522478807935121	0.00462344406548753	2.3404003751506
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella	0.00325743005204672	0.00552738653830908	0.00395705562857442	2.43634796126283
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Unassigned	0.00294302583831068	0.00201381417884843	0.00257287100810019	2.17802338134769
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Filifactor	0.00232983293299937	0.00310212160246117	0.00249841995036619	2.18687791335189
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptoniphilaceae|Parvimonas	0.00228935267773	0.000401004959172693	0.00166209065873811	1.51629522180605
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema	0.00247220624273636	-0.000847653770868347	0.00143216752808589	1.1758904924822
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Unassigned	0.00145180406980108	0.001225714693308	0.00134630642483507	1.17940879031722
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned|Saccharibacteria_genera_incertae_sedis	0.0012518969161359	0.00125456048310002	0.00125071124629599	1.79590313144801
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Catonella	0.00168186163775194	-0.000490683898707761	0.00100829699695918	1.42261572963952
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	0.00131940959781917	0.000144864528678595	0.000932956157267113	1.57935693072383
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Lautropia	0.000734207502161722	0.00128745782913926	0.000873468351432394	1.44232381378963
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	0.000659745219029097	0.000861347413589497	0.000721129481504095	0.738137253544454
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Scardovia	0.00103641390760929	-0.00026505497373841	0.000608864009188501	0.711096523083153
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	0.0010779306989567	-0.000588717796945782	0.000592944498739654	1.08850816661799
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	0.00117008632751912	-0.000916926029035168	0.000504153788343146	1.04910017742541
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoanaerobacter	0.000923268082489304	-0.000542489728971018	0.000457434041148382	0.893444976982318
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Selenomonas	0.000538354955072452	0.000189094853628811	0.00040897072020523	1.06550306525651
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Centipeda	0.000776620350127979	-0.000378573913305099	0.000406189740137008	0.797993554703255
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Leptotrichia	0.00035109564039576	0.00029910733625838	0.000323178008702027	1.12565285080783
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Unassigned|Unassigned	0.00107875855217103	-0.00144222749423122	0.000314149754477794	0.862925080803149
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	3.58731612651255e-05	0.00092343399107619	0.000303957514422704	0.930043927721931
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	0.000865260048571059	-0.00097392468016795	0.000300417016905183	1.06762886440728
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Ralstonia	0.000548386327717797	-0.000352757113226604	0.000279206036732356	0.429482772010993
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0.000659201329689924	-0.000631953428398311	0.000244492454217046	0.971487516174623
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum	0.000276863199324575	0.000128241666768125	0.000239365125907732	1.30846268072847
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	-6.87207599426539e-05	0.000761379471881774	0.000216047165711232	1.15676659694407
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania	0.000426844337704278	-0.000318348971961102	0.000189903677945966	0.626627382350417
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.000298469945402243	-5.80457930822178e-05	0.000185616061446906	0.742608872310264
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	0.000358141016482554	-0.000189996754768814	0.000175196957787701	0.75753364664892
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae|Vallitalea	0.000749816865099593	-0.00115835759695089	0.000171623639504881	0.867871904767507
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	0.000561476796543996	-0.000730316934726311	0.000163261104340981	0.764792085502133
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	4.64415278387651e-05	0.000459794080738259	0.000163063146735077	0.581049471558872
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Metaprevotella	0.000371555263226489	-0.000267247015240108	0.000153789498624388	0.839589736965433
