D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae	0.00104018398268398	-0.000513166628767652	7.78082270614823e-06	0.413628340003499
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	0.000155456765456765	-8.75694446592279e-05	-1.2445516546329e-06	0.0557179592704224
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	-0.000203442113442113	-9.27241014769619e-06	-3.60114078576558e-05	0.46224263933647
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae	-0.000141197691197691	-8.06466366450887e-05	-9.8425860787555e-05	0.030887248007183
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	-0.000203717948717949	-8.79078615705349e-05	-0.000116347065824952	0.0623795996368426
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII	-0.000133841991341991	-0.00034074233459366	-0.000287329097494176	0.228993478059136
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	-0.000683917193917194	-0.000208193695746529	-0.000352987558060825	0.402843858642295
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae	-0.00118574314574314	-0.000147610408160213	-0.000461669332288252	0.303114791795371
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	-0.000972311022311023	-0.000793084489148697	-0.000793898221943555	0.252946556554213
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	-0.0018720115995116	-0.000574909502822749	-0.000953464621134639	0.335713583449633
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	-0.000374200244200244	-0.00160144056184613	-0.00126345375583582	0.356861796446579
